Date,Close,High,Low,Open,Volume
2023-07-03,42.0,43.0,41.0,43.0,954900
2023-07-04,42.0,43.0,41.0,43.0,829000
2023-07-05,42.0,42.0,39.0,42.0,909100
2023-07-06,41.0,42.0,39.0,42.0,827700
2023-07-07,42.0,42.0,40.0,40.0,472900
2023-07-10,41.0,42.0,40.0,40.0,1053100
2023-07-11,42.0,42.0,41.0,41.0,443800
2023-07-12,42.0,44.0,41.0,42.0,1597400
2023-07-13,43.0,43.0,41.0,42.0,1034600
2023-07-14,42.0,43.0,41.0,43.0,872500
2023-07-17,42.0,42.0,41.0,42.0,976500
2023-07-18,41.0,42.0,39.0,41.0,1897900
2023-07-20,41.0,42.0,39.0,42.0,841700
2023-07-21,40.0,41.0,40.0,41.0,672600
2023-07-24,42.0,42.0,39.0,40.0,2629900
2023-07-25,41.0,42.0,40.0,41.0,1304000
2023-07-26,40.0,42.0,39.0,40.0,1539800
2023-07-27,40.0,41.0,39.0,40.0,1423300
2023-07-28,40.0,41.0,37.0,39.0,1470200
2023-07-31,38.0,41.0,37.0,39.0,2498700
2023-08-01,38.0,39.0,37.0,39.0,4046800
2023-08-02,37.0,40.0,36.0,40.0,4280600
2023-08-03,37.0,38.0,35.0,37.0,2439600
2023-08-04,34.0,38.0,34.0,37.0,7778900
2023-08-07,33.0,35.0,31.0,35.0,2873900
2023-08-08,33.0,33.0,30.0,33.0,3672600
2023-08-09,31.0,33.0,30.0,33.0,2508200
2023-08-10,34.0,34.0,31.0,31.0,2140700
2023-08-11,36.0,37.0,34.0,36.0,2187100
2023-08-14,36.0,39.0,35.0,35.0,2864500
2023-08-15,36.0,36.0,35.0,36.0,753200
2023-08-16,35.0,37.0,35.0,36.0,850800
2023-08-18,35.0,36.0,33.0,34.0,1269600
2023-08-21,35.0,37.0,33.0,34.0,1048800
2023-08-22,35.0,35.0,34.0,34.0,753800
2023-08-23,36.0,38.0,34.0,35.0,1670600
2023-08-24,37.0,37.0,35.0,36.0,650100
2023-08-25,38.0,39.0,37.0,38.0,1879500
2023-08-28,37.0,38.0,35.0,38.0,545100
2023-08-29,40.0,40.0,37.0,39.0,8095200
2023-08-30,40.0,42.0,38.0,40.0,3030800
2023-08-31,41.0,42.0,37.0,40.0,1857300
2023-09-01,39.0,43.0,39.0,42.0,1124900
2023-09-04,39.0,42.0,37.0,39.0,4010000
2023-09-05,37.0,40.0,36.0,40.0,2307800
2023-09-06,40.0,40.0,37.0,38.0,2314200
2023-09-07,41.0,43.0,38.0,39.0,1705600
2023-09-08,43.0,43.0,40.0,40.0,2382700
2023-09-11,44.0,45.0,40.0,41.0,1673300
2023-09-12,44.0,44.0,42.0,43.0,293400
2023-09-13,47.0,47.0,42.0,44.0,1641300
2023-09-14,48.0,49.0,45.0,46.0,2106900
2023-09-15,50.0,50.0,48.0,49.0,4556300
2023-09-18,49.0,50.0,45.0,50.0,2687500
2023-09-19,48.0,50.0,46.0,49.0,1533900
2023-09-20,47.0,49.0,44.0,48.0,2310800
2023-09-21,47.0,48.0,45.0,47.0,571600
2023-09-22,48.0,50.0,45.0,47.0,1843300
2023-09-25,47.0,49.0,46.0,47.0,1558100
2023-09-26,48.0,48.0,46.0,47.0,907800
2023-09-27,45.0,48.0,44.0,48.0,3822400
2023-09-29,44.0,47.0,44.0,45.0,449900
2023-10-02,44.0,45.0,40.0,45.0,5601200
2023-10-03,43.0,44.0,41.0,42.0,1217400
2023-10-04,46.0,47.0,39.0,43.0,1930900
2023-10-05,45.0,46.0,43.0,46.0,422000
2023-10-06,43.0,44.0,43.0,44.0,407700
2023-10-09,41.0,43.0,40.0,43.0,1402500
2023-10-10,40.0,41.0,39.0,40.0,1304100
2023-10-11,41.0,41.0,39.0,40.0,331300
2023-10-12,40.0,41.0,39.0,41.0,417400
2023-10-13,41.0,41.0,39.0,41.0,341400
2023-10-16,40.0,41.0,39.0,40.0,267200
2023-10-17,39.0,41.0,39.0,39.0,223200
2023-10-18,39.0,41.0,39.0,39.0,193400
2023-10-19,39.0,40.0,37.0,40.0,727800
2023-10-20,37.0,39.0,37.0,39.0,1296400
