Date,Close,High,Low,Open,Volume
2023-07-03,1220.0,1245.0,1210.0,1225.0,6431700
2023-07-04,1265.0,1270.0,1205.0,1235.0,14935900
2023-07-05,1265.0,1285.0,1250.0,1265.0,13961800
2023-07-06,1265.0,1290.0,1225.0,1275.0,15223100
2023-07-07,1245.0,1275.0,1245.0,1255.0,5644900
2023-07-10,1285.0,1285.0,1240.0,1245.0,10184700
2023-07-11,1220.0,1295.0,1220.0,1290.0,9891600
2023-07-12,1205.0,1245.0,1205.0,1215.0,11745100
2023-07-13,1270.0,1275.0,1210.0,1215.0,16948400
2023-07-14,1320.0,1325.0,1265.0,1275.0,16753100
2023-07-17,1345.0,1365.0,1300.0,1335.0,14390300
2023-07-18,1300.0,1360.0,1300.0,1345.0,9192900
2023-07-20,1335.0,1345.0,1285.0,1305.0,14209000
2023-07-21,1335.0,1380.0,1330.0,1340.0,10424200
2023-07-24,1310.0,1345.0,1300.0,1335.0,11504500
2023-07-25,1345.0,1380.0,1300.0,1310.0,17415200
2023-07-26,1325.0,1350.0,1315.0,1345.0,12237900
2023-07-27,1295.0,1350.0,1295.0,1320.0,10958500
2023-07-28,1300.0,1300.0,1240.0,1295.0,13024800
2023-07-31,1270.0,1315.0,1240.0,1305.0,11680000
2023-08-01,1265.0,1300.0,1250.0,1270.0,13117800
2023-08-02,1240.0,1290.0,1225.0,1280.0,7225300
2023-08-03,1245.0,1255.0,1210.0,1240.0,17650600
2023-08-04,1210.0,1280.0,1210.0,1245.0,12499800
2023-08-07,1205.0,1225.0,1185.0,1215.0,9710600
2023-08-08,1215.0,1240.0,1190.0,1225.0,12278600
2023-08-09,1205.0,1230.0,1195.0,1225.0,11678100
2023-08-10,1215.0,1240.0,1200.0,1220.0,11523300
2023-08-11,1210.0,1235.0,1200.0,1225.0,7116900
2023-08-14,1250.0,1255.0,1185.0,1215.0,22846500
2023-08-15,1235.0,1260.0,1225.0,1255.0,10096600
2023-08-16,1235.0,1250.0,1205.0,1245.0,18754300
2023-08-18,1235.0,1250.0,1230.0,1240.0,8902700
2023-08-21,1240.0,1280.0,1230.0,1235.0,6737600
2023-08-22,1230.0,1255.0,1220.0,1245.0,17335200
2023-08-23,1255.0,1260.0,1230.0,1230.0,8265500
2023-08-24,1235.0,1260.0,1230.0,1255.0,7868800
2023-08-25,1215.0,1240.0,1205.0,1240.0,22824500
2023-08-28,1215.0,1230.0,1210.0,1220.0,6008400
2023-08-29,1220.0,1235.0,1215.0,1230.0,7784900
