Date,Close,High,Low,Open,Volume
2023-07-03,73.0,74.0,72.0,73.0,318600
2023-07-04,73.0,74.0,72.0,73.0,992900
2023-07-05,77.0,79.0,72.0,73.0,7557100
2023-07-06,74.0,81.0,73.0,78.0,9173100
2023-07-07,72.0,75.0,72.0,74.0,1805400
2023-07-10,73.0,74.0,72.0,73.0,635800
2023-07-11,73.0,73.0,72.0,73.0,631400
2023-07-12,74.0,75.0,72.0,72.0,1397800
2023-07-13,74.0,75.0,74.0,75.0,1071700
2023-07-14,82.0,83.0,74.0,74.0,7973200
2023-07-17,78.0,82.0,76.0,82.0,5644700
2023-07-18,80.0,82.0,78.0,78.0,5489000
2023-07-20,79.0,81.0,79.0,80.0,1275300
2023-07-21,84.0,85.0,77.0,79.0,6089600
2023-07-24,79.0,86.0,76.0,86.0,13270900
2023-07-25,77.0,80.0,77.0,79.0,3772300
2023-07-26,78.0,79.0,77.0,77.0,732800
2023-07-27,78.0,79.0,77.0,78.0,1091100
2023-07-28,75.0,78.0,75.0,78.0,987900
2023-07-31,80.0,80.0,75.0,75.0,3703800
2023-08-01,79.0,82.0,77.0,79.0,5056500
2023-08-02,77.0,79.0,76.0,79.0,4338600
2023-08-03,78.0,79.0,75.0,77.0,1663400
2023-08-04,77.0,78.0,76.0,77.0,411900
2023-08-07,76.0,77.0,75.0,77.0,1191800
2023-08-08,77.0,77.0,75.0,76.0,547700
2023-08-09,77.0,78.0,75.0,77.0,1411500
2023-08-10,78.0,80.0,77.0,77.0,1817300
2023-08-11,74.0,78.0,73.0,78.0,1642100
2023-08-14,71.0,75.0,70.0,75.0,4050300
2023-08-15,73.0,73.0,71.0,71.0,751300
2023-08-16,74.0,75.0,71.0,72.0,1136300
2023-08-18,73.0,75.0,72.0,74.0,761600
2023-08-21,72.0,74.0,71.0,73.0,910400
2023-08-22,71.0,72.0,69.0,72.0,1185500
2023-08-23,78.0,81.0,69.0,71.0,10638000
2023-08-24,73.0,85.0,72.0,79.0,17097900
2023-08-25,76.0,79.0,74.0,75.0,4813300
2023-08-28,75.0,77.0,74.0,76.0,1361100
2023-08-29,74.0,75.0,73.0,75.0,1057400
2023-08-30,72.0,75.0,72.0,75.0,1339200
2023-08-31,70.0,73.0,68.0,73.0,4391700
2023-09-01,70.0,72.0,68.0,70.0,1798800
2023-09-04,69.0,71.0,68.0,70.0,1256000
2023-09-05,68.0,70.0,66.0,69.0,1630200
