Date,Close,High,Low,Open,Volume
2023-07-03,50.0,50.0,50.0,50.0,1670700
2023-07-04,50.0,50.0,50.0,50.0,554900
2023-07-05,50.0,50.0,50.0,50.0,436000
2023-07-06,50.0,50.0,50.0,50.0,237100
2023-07-07,50.0,50.0,50.0,50.0,100200
2023-07-10,50.0,50.0,50.0,50.0,224400
2023-07-11,50.0,50.0,50.0,50.0,601400
2023-07-12,50.0,50.0,50.0,50.0,45400
2023-07-13,50.0,50.0,50.0,50.0,173100
2023-07-14,50.0,50.0,50.0,50.0,130000
2023-07-17,50.0,50.0,50.0,50.0,428500
2023-07-18,50.0,50.0,50.0,50.0,105500
2023-07-20,50.0,50.0,50.0,50.0,268600
2023-07-21,50.0,50.0,50.0,50.0,58700
2023-07-24,50.0,50.0,50.0,50.0,347000
2023-07-25,50.0,50.0,50.0,50.0,59800
2023-07-26,50.0,50.0,50.0,50.0,136100
2023-07-27,50.0,50.0,50.0,50.0,51900
2023-07-28,50.0,50.0,50.0,50.0,125300
2023-07-31,50.0,50.0,50.0,50.0,14700
2023-08-01,50.0,50.0,50.0,50.0,41200
2023-08-02,50.0,50.0,50.0,50.0,31100
2023-08-03,50.0,50.0,50.0,50.0,42900
2023-08-04,50.0,50.0,50.0,50.0,59100
2023-08-07,50.0,50.0,50.0,50.0,199000
2023-08-08,50.0,50.0,50.0,50.0,40700
2023-08-09,50.0,50.0,50.0,50.0,8700
2023-08-10,50.0,50.0,50.0,50.0,11900
2023-08-11,50.0,50.0,50.0,50.0,138000
2023-08-14,50.0,50.0,50.0,50.0,51000
2023-08-15,50.0,50.0,50.0,50.0,202900
2023-08-16,50.0,50.0,50.0,50.0,37600
2023-08-18,50.0,50.0,50.0,50.0,119300
2023-08-21,50.0,50.0,50.0,50.0,280900
2023-08-22,50.0,50.0,50.0,50.0,121600
2023-08-23,50.0,50.0,50.0,50.0,13000
2023-08-24,50.0,50.0,50.0,50.0,27500
2023-08-25,50.0,50.0,50.0,50.0,15100
2023-08-28,50.0,50.0,50.0,50.0,5900
2023-08-29,50.0,50.0,50.0,50.0,80200
2023-08-30,50.0,50.0,50.0,50.0,133300
2023-08-31,50.0,50.0,50.0,50.0,45800
2023-09-01,50.0,50.0,50.0,50.0,51100
2023-09-04,50.0,50.0,50.0,50.0,33100
2023-09-05,50.0,50.0,50.0,50.0,7000
2023-09-06,50.0,50.0,50.0,50.0,17900
2023-09-07,50.0,50.0,50.0,50.0,30900
2023-09-08,50.0,50.0,50.0,50.0,10200
2023-09-11,50.0,50.0,50.0,50.0,35600
2023-09-12,50.0,50.0,50.0,50.0,129100
2023-09-13,50.0,50.0,50.0,50.0,18900
2023-09-14,50.0,50.0,50.0,50.0,33300
2023-09-15,50.0,50.0,50.0,50.0,13700
2023-09-18,50.0,50.0,50.0,50.0,20400
2023-09-19,50.0,50.0,50.0,50.0,149800
2023-09-20,50.0,50.0,50.0,50.0,67200
2023-09-21,50.0,50.0,50.0,50.0,9700
2023-09-22,50.0,50.0,50.0,50.0,44100
2023-09-25,50.0,50.0,50.0,50.0,49700
2023-09-26,50.0,50.0,50.0,50.0,5600
2023-09-27,50.0,50.0,50.0,50.0,2400
2023-09-29,50.0,50.0,50.0,50.0,82100
2023-10-02,50.0,50.0,50.0,50.0,42300
2023-10-03,50.0,50.0,50.0,50.0,8600
2023-10-04,50.0,50.0,50.0,50.0,50900
2023-10-05,50.0,50.0,50.0,50.0,9500
2023-10-06,50.0,50.0,50.0,50.0,63600
2023-10-09,50.0,50.0,50.0,50.0,2400
2023-10-10,50.0,50.0,50.0,50.0,18200
2023-10-11,50.0,50.0,50.0,50.0,4500
2023-10-12,50.0,50.0,50.0,50.0,21800
2023-10-13,50.0,50.0,50.0,50.0,23200
2023-10-16,50.0,50.0,50.0,50.0,7700
2023-10-17,50.0,50.0,50.0,50.0,6800
2023-10-18,50.0,50.0,50.0,50.0,61200
2023-10-19,50.0,50.0,50.0,50.0,69800
2023-10-20,50.0,50.0,50.0,50.0,23600
2023-10-23,50.0,50.0,50.0,50.0,1800
2023-10-24,50.0,50.0,50.0,50.0,21600
2023-10-25,50.0,50.0,50.0,50.0,2500
2023-10-26,50.0,50.0,50.0,50.0,4100
2023-10-27,50.0,50.0,50.0,50.0,32500
2023-10-30,50.0,50.0,50.0,50.0,13500
2023-10-31,50.0,50.0,50.0,50.0,5000
2023-11-01,50.0,50.0,50.0,50.0,13500
2023-11-02,50.0,50.0,50.0,50.0,3600
2023-11-03,50.0,50.0,50.0,50.0,2200
2023-11-06,50.0,50.0,50.0,50.0,15600
2023-11-07,50.0,50.0,50.0,50.0,8400
2023-11-08,50.0,50.0,50.0,50.0,800
2023-11-09,50.0,50.0,50.0,50.0,7100
2023-11-10,50.0,50.0,50.0,50.0,2200
2023-11-13,50.0,50.0,50.0,50.0,78700
2023-11-14,50.0,50.0,50.0,50.0,9300
2023-11-15,50.0,50.0,50.0,50.0,11700
2023-11-16,50.0,50.0,50.0,50.0,208300
2023-11-17,50.0,50.0,50.0,50.0,39400
2023-11-20,50.0,50.0,50.0,50.0,16300
2023-11-21,50.0,50.0,50.0,50.0,5000
2023-11-22,50.0,50.0,50.0,50.0,32000
2023-11-23,50.0,50.0,50.0,50.0,2400
2023-11-24,50.0,50.0,50.0,50.0,5400
2023-11-27,50.0,50.0,50.0,50.0,1400
2023-11-28,50.0,50.0,50.0,50.0,4300
2023-11-29,50.0,50.0,50.0,50.0,5200
2023-11-30,50.0,50.0,50.0,50.0,1900
2023-12-01,50.0,50.0,50.0,50.0,700
2023-12-04,50.0,50.0,50.0,50.0,3000
