Date,Close,High,Low,Open,Volume
2023-07-03,53.0,54.0,52.0,53.0,70826400
2023-07-04,54.0,54.0,53.0,54.0,26412900
2023-07-05,53.0,54.0,53.0,54.0,49193600
2023-07-06,56.0,56.0,53.0,53.0,178183600
2023-07-07,55.0,56.0,55.0,56.0,48531300
2023-07-10,55.0,56.0,54.0,55.0,36217000
2023-07-11,55.0,56.0,54.0,55.0,62981000
2023-07-12,56.0,56.0,54.0,55.0,62437900
2023-07-13,55.0,56.0,54.0,56.0,63435700
2023-07-14,55.0,55.0,54.0,55.0,26643500
2023-07-17,55.0,56.0,54.0,55.0,58737600
2023-07-18,55.0,55.0,54.0,55.0,19948300
2023-07-20,55.0,55.0,54.0,55.0,62929200
2023-07-21,54.0,55.0,54.0,55.0,32696000
2023-07-24,54.0,55.0,54.0,54.0,19136900
2023-07-25,55.0,55.0,54.0,55.0,11067800
2023-07-26,54.0,55.0,54.0,55.0,30910000
2023-07-27,54.0,55.0,53.0,54.0,65984200
2023-07-28,53.0,54.0,53.0,54.0,31278500
2023-07-31,53.0,54.0,53.0,53.0,20924900
2023-08-01,52.0,54.0,52.0,53.0,213706700
2023-08-02,53.0,54.0,52.0,53.0,56721700
2023-08-03,52.0,54.0,52.0,53.0,46853600
2023-08-04,53.0,54.0,52.0,52.0,14253300
2023-08-07,53.0,54.0,52.0,53.0,55674900
2023-08-08,53.0,53.0,52.0,53.0,17952900
2023-08-09,52.0,53.0,52.0,53.0,202034100
2023-08-10,53.0,53.0,51.0,52.0,80051400
2023-08-11,52.0,53.0,51.0,52.0,50355300
2023-08-14,52.0,53.0,51.0,52.0,35148500
2023-08-15,52.0,53.0,51.0,52.0,175656600
2023-08-16,52.0,53.0,51.0,52.0,70407300
2023-08-18,52.0,53.0,52.0,52.0,24343100
2023-08-21,52.0,53.0,51.0,52.0,37621600
2023-08-22,52.0,52.0,51.0,52.0,13973800
2023-08-23,52.0,53.0,51.0,51.0,47090700
2023-08-24,52.0,53.0,51.0,52.0,16823000
2023-08-25,51.0,52.0,51.0,52.0,59913000
2023-08-28,52.0,52.0,51.0,51.0,50843900
2023-08-29,52.0,53.0,51.0,52.0,238940300
2023-08-30,52.0,53.0,51.0,52.0,51774500
2023-08-31,51.0,52.0,51.0,52.0,29982800
2023-09-01,52.0,52.0,51.0,52.0,45906500
2023-09-04,52.0,53.0,51.0,52.0,38682200
2023-09-05,51.0,52.0,51.0,52.0,25643800
2023-09-06,51.0,52.0,51.0,52.0,24541400
2023-09-07,52.0,52.0,51.0,51.0,35903400
2023-09-08,51.0,52.0,51.0,51.0,22736100
2023-09-11,52.0,52.0,50.0,52.0,286504800
2023-09-12,51.0,52.0,50.0,51.0,136559600
2023-09-13,51.0,51.0,50.0,51.0,48846700
2023-09-14,50.0,51.0,50.0,51.0,23414800
2023-09-15,50.0,51.0,50.0,51.0,23361500
2023-09-18,50.0,51.0,50.0,50.0,27998800
2023-09-19,50.0,51.0,50.0,51.0,77966500
2023-09-20,50.0,51.0,50.0,50.0,130897800
2023-09-21,50.0,51.0,50.0,50.0,42828900
2023-09-22,50.0,51.0,50.0,50.0,19859100
2023-09-25,50.0,51.0,50.0,51.0,19384600
2023-09-26,50.0,51.0,50.0,51.0,29805900
2023-09-27,50.0,51.0,50.0,51.0,31388600
2023-09-29,51.0,51.0,50.0,51.0,41144600
2023-10-02,51.0,51.0,50.0,51.0,26499400
2023-10-03,50.0,51.0,50.0,51.0,42588600
2023-10-04,50.0,51.0,50.0,50.0,320470600
2023-10-05,50.0,50.0,50.0,50.0,44824200
2023-10-06,50.0,50.0,50.0,50.0,22707300
2023-10-09,50.0,50.0,50.0,50.0,22242900
2023-10-10,50.0,50.0,50.0,50.0,11409200
2023-10-11,50.0,50.0,50.0,50.0,13370200
2023-10-12,51.0,52.0,50.0,50.0,323757000
2023-10-13,50.0,51.0,50.0,51.0,124196700
2023-10-16,50.0,50.0,50.0,50.0,22763300
2023-10-17,50.0,50.0,50.0,50.0,12542000
2023-10-18,50.0,50.0,50.0,50.0,9040600
2023-10-19,50.0,50.0,50.0,50.0,1765100
2023-10-20,50.0,50.0,50.0,50.0,6106000
2023-10-23,50.0,50.0,50.0,50.0,2744400
2023-10-24,50.0,50.0,50.0,50.0,2203800
2023-10-25,50.0,50.0,50.0,50.0,3237400
2023-10-26,50.0,50.0,50.0,50.0,15690200
2023-10-27,50.0,50.0,50.0,50.0,1948600
2023-10-30,50.0,50.0,50.0,50.0,659000
2023-10-31,50.0,50.0,50.0,50.0,3158100
2023-11-01,50.0,50.0,50.0,50.0,2529400
2023-11-02,50.0,50.0,50.0,50.0,319300
2023-11-03,50.0,50.0,50.0,50.0,500700
2023-11-06,50.0,50.0,50.0,50.0,1079300
2023-11-07,50.0,50.0,50.0,50.0,438800
2023-11-08,50.0,50.0,50.0,50.0,311000
2023-11-09,50.0,50.0,50.0,50.0,331300
2023-11-10,50.0,50.0,50.0,50.0,839200
2023-11-13,50.0,50.0,50.0,50.0,391200
2023-11-14,50.0,50.0,50.0,50.0,170900
