Date,Close,High,Low,Open,Volume
2023-07-03,52.0,53.0,51.0,53.0,1672300
2023-07-04,51.0,53.0,51.0,51.0,1066600
2023-07-05,53.0,53.0,51.0,51.0,2447600
2023-07-06,52.0,53.0,52.0,53.0,3170200
2023-07-07,51.0,53.0,51.0,52.0,822000
2023-07-10,50.0,53.0,50.0,51.0,4906700
2023-07-11,51.0,51.0,50.0,50.0,1352600
2023-07-12,51.0,51.0,50.0,51.0,614600
2023-07-13,50.0,51.0,50.0,50.0,1012500
2023-07-14,51.0,51.0,50.0,50.0,100400
2023-07-17,50.0,51.0,50.0,51.0,213200
2023-07-18,50.0,51.0,50.0,51.0,213900
2023-07-20,50.0,51.0,50.0,50.0,439200
2023-07-21,50.0,51.0,50.0,50.0,282400
2023-07-24,50.0,50.0,50.0,50.0,5900
2023-07-25,50.0,50.0,50.0,50.0,130400
2023-07-26,50.0,51.0,50.0,50.0,47000
2023-07-27,50.0,50.0,50.0,50.0,141900
2023-07-28,50.0,51.0,50.0,50.0,257300
2023-07-31,50.0,51.0,50.0,50.0,8100
2023-08-01,50.0,50.0,50.0,50.0,316000
2023-08-02,50.0,51.0,50.0,50.0,347900
2023-08-03,50.0,50.0,50.0,50.0,6100
2023-08-04,50.0,50.0,50.0,50.0,5300
2023-08-07,50.0,50.0,50.0,50.0,3300
2023-08-08,50.0,50.0,50.0,50.0,73200
2023-08-09,50.0,50.0,50.0,50.0,1000
2023-08-10,50.0,50.0,50.0,50.0,300
2023-08-11,50.0,50.0,50.0,50.0,200
2023-08-14,50.0,54.0,50.0,50.0,122600
2023-08-15,50.0,50.0,50.0,50.0,48100
2023-08-16,50.0,50.0,50.0,50.0,300
2023-08-18,50.0,50.0,50.0,50.0,6100
2023-08-21,50.0,50.0,50.0,50.0,12600
2023-08-22,50.0,50.0,50.0,50.0,600
2023-08-23,50.0,50.0,50.0,50.0,3300
2023-08-24,50.0,50.0,50.0,50.0,1600
2023-08-25,50.0,50.0,50.0,50.0,3000
2023-08-28,50.0,50.0,50.0,50.0,55000
2023-08-29,50.0,50.0,50.0,50.0,106200
2023-08-30,50.0,50.0,50.0,50.0,43200
