Date,Close,High,Low,Open,Volume
2023-07-03,52.0,55.0,52.0,54.0,79022800
2023-07-04,52.0,53.0,50.0,52.0,116044700
2023-07-05,51.0,53.0,51.0,52.0,94520900
2023-07-06,53.0,56.0,51.0,56.0,85297300
2023-07-07,52.0,54.0,52.0,53.0,34128700
2023-07-10,54.0,55.0,52.0,53.0,64868800
2023-07-11,53.0,54.0,53.0,54.0,22029500
2023-07-12,53.0,54.0,52.0,53.0,36661300
2023-07-13,52.0,54.0,52.0,53.0,29826200
2023-07-14,53.0,54.0,52.0,53.0,80704400
2023-07-17,53.0,54.0,53.0,53.0,17809600
2023-07-18,53.0,54.0,52.0,53.0,44611100
2023-07-20,53.0,54.0,53.0,53.0,16411500
2023-07-21,53.0,54.0,52.0,54.0,44784900
2023-07-24,54.0,54.0,53.0,53.0,15731500
2023-07-25,53.0,54.0,52.0,54.0,30317400
2023-07-26,54.0,55.0,53.0,53.0,77082800
2023-07-27,53.0,55.0,53.0,54.0,28184600
2023-07-28,54.0,54.0,53.0,54.0,16938700
2023-07-31,53.0,55.0,53.0,54.0,35064900
2023-08-01,52.0,54.0,52.0,53.0,40127300
2023-08-02,52.0,53.0,52.0,53.0,18847600
2023-08-03,52.0,53.0,52.0,52.0,22343100
2023-08-04,52.0,53.0,52.0,53.0,17889600
2023-08-07,53.0,53.0,52.0,52.0,39321600
2023-08-08,52.0,53.0,52.0,53.0,20260200
2023-08-09,52.0,53.0,51.0,53.0,76722500
2023-08-10,52.0,53.0,51.0,53.0,30363000
2023-08-11,52.0,52.0,51.0,52.0,32506600
2023-08-14,52.0,52.0,51.0,52.0,35248200
2023-08-15,51.0,52.0,51.0,52.0,13391800
2023-08-16,51.0,52.0,51.0,51.0,23944900
2023-08-18,51.0,52.0,50.0,51.0,64702100
2023-08-21,51.0,52.0,51.0,51.0,40885700
2023-08-22,52.0,52.0,51.0,51.0,17045500
2023-08-23,51.0,52.0,50.0,52.0,63452100
2023-08-24,50.0,52.0,50.0,51.0,39867000
2023-08-25,51.0,51.0,50.0,51.0,17096400
2023-08-28,51.0,51.0,50.0,51.0,30835500
2023-08-29,52.0,53.0,50.0,50.0,94670900
2023-08-30,51.0,52.0,50.0,52.0,94005800
2023-08-31,50.0,51.0,50.0,50.0,14201700
2023-09-01,51.0,52.0,50.0,50.0,56112000
2023-09-04,51.0,52.0,50.0,50.0,31963700
2023-09-05,51.0,51.0,50.0,51.0,89235400
2023-09-06,51.0,51.0,50.0,51.0,43561700
2023-09-07,50.0,51.0,50.0,50.0,182954300
2023-09-08,51.0,51.0,50.0,50.0,19957400
2023-09-11,51.0,51.0,50.0,51.0,12137100
2023-09-12,50.0,51.0,50.0,50.0,59584700
2023-09-13,50.0,51.0,50.0,50.0,13122900
2023-09-14,50.0,50.0,50.0,50.0,6697200
2023-09-15,50.0,50.0,50.0,50.0,3645800
2023-09-18,50.0,50.0,50.0,50.0,2272000
2023-09-19,50.0,50.0,50.0,50.0,1034500
2023-09-20,50.0,50.0,50.0,50.0,9853900
2023-09-21,50.0,50.0,50.0,50.0,592800
2023-09-22,51.0,52.0,50.0,50.0,77362700
2023-09-25,50.0,52.0,50.0,51.0,93867300
2023-09-26,50.0,51.0,50.0,50.0,31403900
2023-09-27,50.0,51.0,50.0,50.0,24137400
2023-09-29,51.0,51.0,50.0,50.0,21415300
2023-10-02,50.0,51.0,50.0,51.0,15090500
2023-10-03,51.0,51.0,50.0,50.0,22159400
2023-10-04,50.0,51.0,50.0,50.0,6652400
2023-10-05,50.0,50.0,50.0,50.0,254400
2023-10-06,50.0,50.0,50.0,50.0,1536400
2023-10-09,50.0,50.0,50.0,50.0,8106800
2023-10-10,50.0,50.0,50.0,50.0,372000
2023-10-11,50.0,50.0,50.0,50.0,1501700
2023-10-12,50.0,50.0,50.0,50.0,582400
2023-10-13,50.0,51.0,50.0,50.0,48726700
2023-10-16,50.0,50.0,50.0,50.0,4147500
2023-10-17,50.0,50.0,50.0,50.0,1973200
2023-10-18,50.0,50.0,50.0,50.0,693900
2023-10-19,50.0,50.0,50.0,50.0,37100
2023-10-20,50.0,50.0,50.0,50.0,48800
2023-10-23,50.0,50.0,50.0,50.0,528500
2023-10-24,50.0,50.0,50.0,50.0,357300
2023-10-25,50.0,50.0,50.0,50.0,13121800
2023-10-26,50.0,50.0,50.0,50.0,314900
2023-10-27,50.0,50.0,50.0,50.0,245800
2023-10-30,50.0,50.0,50.0,50.0,1586300
2023-10-31,50.0,50.0,50.0,50.0,250500
2023-11-01,50.0,50.0,50.0,50.0,398800
2023-11-02,50.0,50.0,50.0,50.0,612800
2023-11-03,50.0,50.0,50.0,50.0,227000
2023-11-06,50.0,50.0,50.0,50.0,1042800
2023-11-07,50.0,50.0,50.0,50.0,17100
2023-11-08,50.0,50.0,50.0,50.0,12000
2023-11-09,50.0,50.0,50.0,50.0,61800
2023-11-10,50.0,50.0,50.0,50.0,71000
2023-11-13,50.0,50.0,50.0,50.0,87200
2023-11-14,50.0,50.0,50.0,50.0,69900
2023-11-15,50.0,50.0,50.0,50.0,107900
2023-11-16,50.0,50.0,50.0,50.0,205300
2023-11-17,50.0,50.0,50.0,50.0,138700
2023-11-20,50.0,50.0,50.0,50.0,55100
2023-11-21,50.0,50.0,50.0,50.0,123900
2023-11-22,50.0,50.0,50.0,50.0,23500
2023-11-23,50.0,50.0,50.0,50.0,3700
2023-11-24,50.0,50.0,50.0,50.0,322800
2023-11-27,50.0,50.0,50.0,50.0,437500
2023-11-28,50.0,50.0,50.0,50.0,38000
2023-11-29,50.0,50.0,50.0,50.0,21715900
2023-11-30,51.0,54.0,50.0,50.0,157836400
2023-12-01,51.0,52.0,50.0,51.0,43097900
2023-12-04,51.0,51.0,50.0,51.0,43215600
2023-12-05,51.0,51.0,50.0,51.0,32543100
