Date,Close,High,Low,Open,Volume
2023-07-03,52.0,53.0,51.0,52.0,46361500
2023-07-04,52.0,52.0,51.0,51.0,18915600
2023-07-05,53.0,53.0,51.0,52.0,30727900
2023-07-06,52.0,53.0,52.0,53.0,25609700
2023-07-07,52.0,53.0,51.0,52.0,34836400
2023-07-10,52.0,53.0,52.0,53.0,11976100
2023-07-11,52.0,53.0,52.0,52.0,30900400
2023-07-12,54.0,55.0,52.0,52.0,105017400
2023-07-13,53.0,55.0,53.0,54.0,42555300
2023-07-14,53.0,54.0,53.0,53.0,13223800
2023-07-17,54.0,54.0,53.0,53.0,30369200
2023-07-18,54.0,55.0,53.0,54.0,34440300
2023-07-20,54.0,55.0,53.0,54.0,23703900
2023-07-21,54.0,54.0,53.0,54.0,6879500
2023-07-24,53.0,55.0,53.0,54.0,65119900
2023-07-25,54.0,55.0,53.0,54.0,41082300
2023-07-26,54.0,55.0,53.0,54.0,23943600
2023-07-27,53.0,55.0,53.0,54.0,27218400
2023-07-28,53.0,54.0,52.0,53.0,81330100
2023-07-31,53.0,54.0,52.0,54.0,81173300
2023-08-01,53.0,54.0,52.0,53.0,19219500
2023-08-02,51.0,53.0,51.0,53.0,51291800
2023-08-03,53.0,53.0,51.0,52.0,54491600
2023-08-04,52.0,53.0,51.0,53.0,28421300
2023-08-07,52.0,53.0,51.0,52.0,54947200
2023-08-08,52.0,53.0,51.0,52.0,50712700
2023-08-09,52.0,53.0,51.0,52.0,9276600
2023-08-10,51.0,53.0,51.0,52.0,9808200
2023-08-11,51.0,53.0,51.0,51.0,51974200
2023-08-14,51.0,52.0,51.0,52.0,34241200
2023-08-15,51.0,52.0,51.0,51.0,21863700
2023-08-16,52.0,52.0,51.0,52.0,9769500
2023-08-18,52.0,52.0,51.0,51.0,9160600
2023-08-21,52.0,52.0,51.0,52.0,15594700
2023-08-22,52.0,52.0,51.0,52.0,43999400
2023-08-23,52.0,53.0,51.0,52.0,62483800
2023-08-24,53.0,54.0,51.0,51.0,84646400
2023-08-25,53.0,54.0,53.0,53.0,19892600
2023-08-28,71.0,71.0,53.0,54.0,1864765700
2023-08-29,61.0,91.0,61.0,91.0,2059712800
2023-08-30,64.0,68.0,59.0,60.0,801003500
2023-08-31,61.0,65.0,61.0,64.0,212225900
2023-09-01,66.0,67.0,61.0,61.0,422860100
2023-09-04,62.0,66.0,62.0,66.0,276130600
2023-09-05,61.0,65.0,61.0,62.0,299283300
2023-09-06,61.0,63.0,60.0,61.0,171454500
2023-09-07,59.0,62.0,56.0,61.0,327526500
2023-09-08,58.0,59.0,56.0,59.0,116275600
2023-09-11,58.0,60.0,57.0,58.0,137817600
2023-09-12,60.0,62.0,57.0,57.0,285663400
2023-09-13,59.0,61.0,58.0,60.0,86168500
2023-09-14,62.0,62.0,58.0,59.0,124562800
2023-09-15,58.0,64.0,58.0,63.0,309063100
2023-09-18,57.0,59.0,56.0,58.0,159139100
2023-09-19,57.0,58.0,55.0,57.0,79343100
2023-09-20,56.0,57.0,56.0,57.0,55514500
2023-09-21,54.0,57.0,54.0,56.0,183257300
2023-09-22,58.0,59.0,54.0,54.0,193147400
2023-09-25,58.0,59.0,56.0,58.0,128419500
2023-09-26,58.0,60.0,56.0,58.0,434875200
2023-09-27,58.0,59.0,57.0,58.0,64413300
2023-09-29,58.0,59.0,56.0,58.0,80793200
2023-10-02,58.0,59.0,57.0,58.0,105335500
2023-10-03,59.0,60.0,58.0,58.0,109903900
2023-10-04,57.0,60.0,57.0,60.0,63525400
2023-10-05,61.0,64.0,57.0,58.0,326850700
2023-10-06,61.0,63.0,60.0,62.0,160442300
2023-10-09,59.0,62.0,58.0,61.0,128984600
2023-10-10,59.0,61.0,59.0,59.0,53162400
2023-10-11,59.0,61.0,59.0,60.0,48104100
2023-10-12,58.0,60.0,58.0,59.0,70808600
2023-10-13,58.0,59.0,57.0,58.0,102807700
2023-10-16,57.0,59.0,56.0,58.0,101577800
2023-10-17,58.0,60.0,56.0,58.0,149598200
2023-10-18,57.0,59.0,57.0,59.0,57470900
2023-10-19,56.0,58.0,56.0,58.0,38020000
2023-10-20,55.0,65.0,54.0,65.0,109920100
2023-10-23,54.0,56.0,54.0,55.0,93016200
2023-10-24,55.0,57.0,54.0,54.0,73184600
2023-10-25,57.0,58.0,54.0,55.0,69048100
2023-10-26,55.0,57.0,54.0,57.0,101804800
2023-10-27,56.0,56.0,54.0,55.0,40895000
2023-10-30,54.0,56.0,54.0,55.0,46492000
2023-10-31,53.0,55.0,53.0,54.0,58887000
2023-11-01,53.0,57.0,52.0,54.0,180811400
2023-11-02,54.0,55.0,52.0,54.0,76382600
2023-11-03,54.0,55.0,53.0,54.0,77747600
2023-11-06,54.0,55.0,53.0,54.0,45173900
2023-11-07,55.0,56.0,53.0,54.0,101145000
2023-11-08,54.0,55.0,53.0,55.0,40175700
2023-11-09,54.0,56.0,54.0,55.0,54717300
2023-11-10,54.0,55.0,53.0,54.0,51179000
2023-11-13,54.0,55.0,53.0,54.0,26496400
2023-11-14,53.0,55.0,53.0,54.0,17064400
2023-11-15,54.0,55.0,53.0,54.0,68027200
2023-11-16,54.0,55.0,53.0,54.0,15021500
2023-11-17,53.0,54.0,53.0,54.0,14791200
2023-11-20,53.0,54.0,53.0,53.0,40578900
2023-11-21,53.0,54.0,53.0,53.0,12558800
2023-11-22,54.0,54.0,53.0,53.0,26072700
2023-11-23,53.0,54.0,53.0,53.0,15885800
2023-11-24,53.0,54.0,52.0,53.0,35872900
2023-11-27,53.0,54.0,52.0,53.0,67643500
2023-11-28,53.0,54.0,53.0,53.0,26616200
2023-11-29,53.0,54.0,53.0,53.0,30636000
2023-11-30,53.0,54.0,53.0,53.0,29614900
2023-12-01,53.0,54.0,53.0,53.0,29374400
2023-12-04,53.0,54.0,52.0,53.0,47074500
2023-12-05,53.0,53.0,52.0,53.0,15457200
2023-12-06,52.0,53.0,52.0,52.0,34328300
2023-12-07,52.0,53.0,51.0,52.0,95916000
2023-12-08,51.0,53.0,51.0,52.0,30392600
2023-12-11,51.0,52.0,50.0,51.0,105884700
2023-12-12,51.0,52.0,50.0,51.0,61122400
2023-12-13,51.0,52.0,51.0,52.0,11487500
2023-12-14,53.0,54.0,51.0,51.0,67761500
2023-12-15,52.0,54.0,51.0,54.0,119181800
2023-12-18,52.0,53.0,51.0,52.0,30858400
2023-12-19,51.0,52.0,51.0,52.0,25085100
2023-12-20,51.0,52.0,51.0,52.0,37328200
2023-12-21,51.0,52.0,51.0,51.0,20950300
2023-12-22,51.0,52.0,51.0,51.0,29654300
2023-12-27,51.0,52.0,50.0,51.0,159948000
2023-12-28,51.0,52.0,51.0,51.0,18526800
2023-12-29,51.0,52.0,51.0,51.0,25780800
2024-01-02,51.0,52.0,51.0,52.0,3901300
2024-01-03,52.0,52.0,51.0,52.0,12775900
2024-01-04,52.0,52.0,51.0,52.0,8576100
2024-01-05,52.0,52.0,51.0,51.0,16346000
2024-01-08,51.0,52.0,51.0,52.0,10898400
2024-01-09,51.0,52.0,50.0,51.0,155973800
2024-01-10,51.0,53.0,50.0,51.0,100317700
2024-01-11,51.0,52.0,51.0,52.0,46904900
2024-01-12,51.0,52.0,51.0,52.0,7561000
2024-01-15,51.0,52.0,50.0,51.0,67874900
2024-01-16,51.0,52.0,51.0,51.0,8715800
2024-01-17,51.0,52.0,51.0,51.0,21132600
2024-01-18,51.0,52.0,51.0,51.0,16866500
2024-01-19,51.0,52.0,50.0,51.0,160986900
2024-01-22,50.0,51.0,50.0,51.0,71441600
2024-01-23,50.0,51.0,50.0,50.0,130138000
2024-01-24,50.0,51.0,50.0,50.0,54166800
2024-01-25,50.0,51.0,50.0,50.0,38040300
2024-01-26,51.0,51.0,50.0,50.0,13186500
2024-01-29,51.0,51.0,50.0,50.0,42825800
2024-01-30,50.0,51.0,50.0,51.0,109350000
2024-01-31,52.0,54.0,50.0,51.0,148938300
2024-02-01,52.0,54.0,52.0,52.0,69288700
2024-02-02,52.0,53.0,51.0,53.0,44634700
2024-02-05,52.0,52.0,51.0,52.0,22639700
2024-02-06,52.0,54.0,51.0,52.0,37190300
2024-02-07,52.0,53.0,51.0,53.0,8259200
2024-02-12,51.0,52.0,51.0,52.0,12387800
2024-02-13,52.0,52.0,51.0,51.0,17764400
2024-02-15,51.0,52.0,51.0,52.0,26980400
2024-02-16,51.0,52.0,51.0,52.0,45112800
2024-02-19,52.0,52.0,51.0,51.0,29208100
