Date,Close,High,Low,Open,Volume
2023-07-03,50.0,50.0,50.0,50.0,4000
2023-07-04,50.0,50.0,50.0,50.0,200
2023-07-05,50.0,50.0,50.0,50.0,2600
2023-07-06,50.0,50.0,50.0,50.0,1100
2023-07-07,50.0,50.0,50.0,50.0,5200
2023-07-10,50.0,50.0,50.0,50.0,300
2023-07-11,50.0,50.0,50.0,50.0,2100
2023-07-12,50.0,50.0,50.0,50.0,200
2023-07-13,50.0,50.0,50.0,50.0,1100
2023-07-14,50.0,50.0,50.0,50.0,100
2023-07-17,50.0,50.0,50.0,50.0,300
2023-07-18,50.0,50.0,50.0,50.0,100
2023-07-20,50.0,50.0,50.0,50.0,100
2023-07-21,50.0,50.0,50.0,50.0,400
2023-07-24,50.0,50.0,50.0,50.0,1100
2023-07-25,50.0,50.0,50.0,50.0,400
2023-07-26,50.0,50.0,50.0,50.0,200
2023-07-27,50.0,50.0,50.0,50.0,200
2023-07-28,50.0,50.0,50.0,50.0,100
2023-07-31,50.0,50.0,50.0,50.0,400
2023-08-01,50.0,50.0,50.0,50.0,400
2023-08-02,50.0,50.0,50.0,50.0,1100
2023-08-03,50.0,50.0,50.0,50.0,200
2023-08-04,50.0,50.0,50.0,50.0,100
2023-08-07,50.0,50.0,50.0,50.0,7100
2023-08-08,50.0,50.0,50.0,50.0,100
2023-08-09,50.0,50.0,50.0,50.0,200
2023-08-10,50.0,50.0,50.0,50.0,200
2023-08-11,50.0,50.0,50.0,50.0,100
2023-08-14,50.0,50.0,50.0,50.0,100
2023-08-15,50.0,50.0,50.0,50.0,0
2023-08-16,50.0,50.0,50.0,50.0,100
2023-08-18,50.0,50.0,50.0,50.0,200
2023-08-21,50.0,50.0,50.0,50.0,600
2023-08-22,50.0,50.0,50.0,50.0,300
2023-08-23,50.0,50.0,50.0,50.0,100
2023-08-24,50.0,50.0,50.0,50.0,100
2023-08-25,50.0,50.0,50.0,50.0,1100
2023-08-28,50.0,50.0,50.0,50.0,100
2023-08-29,50.0,50.0,50.0,50.0,1000
2023-08-30,50.0,50.0,50.0,50.0,0
2023-08-31,50.0,50.0,50.0,50.0,100
2023-09-01,50.0,50.0,50.0,50.0,100
2023-09-04,50.0,50.0,50.0,50.0,100
2023-09-05,50.0,50.0,50.0,50.0,10100
2023-09-06,50.0,50.0,50.0,50.0,100
2023-09-07,50.0,50.0,50.0,50.0,10200
2023-09-08,50.0,50.0,50.0,50.0,100
2023-09-11,50.0,50.0,50.0,50.0,100
2023-09-12,50.0,50.0,50.0,50.0,100
2023-09-13,50.0,50.0,50.0,50.0,400
2023-09-14,50.0,50.0,50.0,50.0,0
2023-09-15,50.0,50.0,50.0,50.0,200
2023-09-18,50.0,50.0,50.0,50.0,100
2023-09-19,50.0,50.0,50.0,50.0,300
2023-09-20,50.0,50.0,50.0,50.0,5000
2023-09-21,50.0,50.0,50.0,50.0,100
2023-09-22,50.0,50.0,50.0,50.0,100
2023-09-25,50.0,50.0,50.0,50.0,400
2023-09-26,50.0,50.0,50.0,50.0,100
2023-09-27,50.0,50.0,50.0,50.0,1100
2023-09-29,50.0,50.0,50.0,50.0,100
2023-10-02,50.0,50.0,50.0,50.0,200
2023-10-03,50.0,50.0,50.0,50.0,100
2023-10-04,50.0,50.0,50.0,50.0,100
2023-10-05,50.0,50.0,50.0,50.0,100
2023-10-06,50.0,50.0,50.0,50.0,100
2023-10-09,50.0,50.0,50.0,50.0,100
2023-10-10,50.0,50.0,50.0,50.0,100
2023-10-11,50.0,50.0,50.0,50.0,100
2023-10-12,50.0,50.0,50.0,50.0,10500
2023-10-13,50.0,50.0,50.0,50.0,0
2023-10-16,50.0,50.0,50.0,50.0,0
2023-10-17,50.0,50.0,50.0,50.0,100
2023-10-18,50.0,50.0,50.0,50.0,0
2023-10-19,50.0,50.0,50.0,50.0,100
2023-10-20,50.0,50.0,50.0,50.0,0
2023-10-23,50.0,50.0,50.0,50.0,5000
2023-10-24,50.0,50.0,50.0,50.0,0
2023-10-25,50.0,50.0,50.0,50.0,0
2023-10-26,50.0,50.0,50.0,50.0,100
2023-10-27,50.0,50.0,50.0,50.0,300400
2023-10-30,50.0,50.0,50.0,50.0,400
2023-10-31,50.0,50.0,50.0,50.0,100
2023-11-01,50.0,50.0,50.0,50.0,0
2023-11-02,50.0,50.0,50.0,50.0,0
2023-11-03,50.0,50.0,50.0,50.0,0
2023-11-06,50.0,50.0,50.0,50.0,100
2023-11-07,50.0,50.0,50.0,50.0,5500
2023-11-08,50.0,50.0,50.0,50.0,0
2023-11-09,50.0,50.0,50.0,50.0,0
2023-11-10,50.0,50.0,50.0,50.0,0
2023-11-13,50.0,50.0,50.0,50.0,0
2023-11-14,50.0,50.0,50.0,50.0,400
2023-11-15,50.0,50.0,50.0,50.0,0
2023-11-16,50.0,50.0,50.0,50.0,0
2023-11-17,50.0,50.0,50.0,50.0,0
2023-11-20,50.0,50.0,50.0,50.0,100
2023-11-21,50.0,50.0,50.0,50.0,0
2023-11-22,50.0,50.0,50.0,50.0,0
2023-11-23,50.0,50.0,50.0,50.0,0
2023-11-24,50.0,50.0,50.0,50.0,0
2023-11-27,50.0,50.0,50.0,50.0,4000
2023-11-28,50.0,50.0,50.0,50.0,100
2023-11-29,50.0,50.0,50.0,50.0,1100
2023-11-30,45.0,45.0,45.0,45.0,100
2023-12-01,41.0,41.0,41.0,41.0,300
2023-12-04,37.0,37.0,37.0,37.0,9500
2023-12-05,34.0,34.0,34.0,34.0,92400
2023-12-06,31.0,31.0,31.0,31.0,9200
2023-12-07,28.0,28.0,28.0,28.0,500
2023-12-08,26.0,26.0,26.0,26.0,29900
2023-12-11,24.0,24.0,24.0,24.0,4200
2023-12-12,22.0,22.0,22.0,22.0,9600
2023-12-13,20.0,20.0,20.0,20.0,100300
2023-12-14,18.0,18.0,18.0,18.0,50700
2023-12-15,17.0,17.0,17.0,17.0,22500
2023-12-18,16.0,16.0,16.0,16.0,22300
2023-12-19,15.0,15.0,15.0,15.0,222500
2023-12-20,14.0,14.0,14.0,14.0,27000
