Date,Close,High,Low,Open,Volume
2023-07-03,212.0,216.0,210.0,212.0,31873500
2023-07-04,212.0,214.0,208.0,212.0,27068700
2023-07-05,214.0,220.0,212.0,218.0,61128700
2023-07-06,226.0,228.0,214.0,216.0,66113300
2023-07-07,218.0,226.0,216.0,226.0,29672800
2023-07-10,224.0,226.0,218.0,218.0,50582600
2023-07-11,224.0,228.0,222.0,224.0,55657700
2023-07-12,224.0,232.0,222.0,224.0,57624500
2023-07-13,224.0,226.0,218.0,226.0,40887600
2023-07-14,222.0,228.0,222.0,224.0,43398700
2023-07-17,222.0,226.0,222.0,222.0,36145300
2023-07-18,228.0,230.0,222.0,222.0,48121700
2023-07-20,244.0,244.0,228.0,230.0,106058500
2023-07-21,238.0,246.0,236.0,244.0,53696200
2023-07-24,230.0,240.0,230.0,240.0,63318800
2023-07-25,236.0,240.0,230.0,232.0,62483500
2023-07-26,234.0,238.0,230.0,236.0,45335800
2023-07-27,230.0,238.0,230.0,234.0,41015100
2023-07-28,226.0,232.0,222.0,232.0,57328000
2023-07-31,230.0,234.0,222.0,224.0,56032500
2023-08-01,224.0,240.0,224.0,240.0,44948800
2023-08-02,224.0,228.0,216.0,226.0,42551700
2023-08-03,228.0,230.0,220.0,224.0,33872000
2023-08-04,230.0,234.0,228.0,230.0,31232500
2023-08-07,258.0,258.0,230.0,234.0,152830600
2023-08-08,246.0,260.0,246.0,258.0,84509800
2023-08-09,236.0,256.0,230.0,248.0,168071100
2023-08-10,250.0,254.0,238.0,238.0,70082100
2023-08-11,250.0,254.0,244.0,250.0,51542200
2023-08-14,246.0,254.0,242.0,254.0,41924600
2023-08-15,242.0,250.0,240.0,246.0,56022200
2023-08-16,236.0,244.0,236.0,242.0,45638500
2023-08-18,230.0,240.0,230.0,236.0,47872700
2023-08-21,240.0,242.0,230.0,230.0,78278100
2023-08-22,242.0,246.0,236.0,242.0,65473600
2023-08-23,246.0,254.0,240.0,244.0,79361800
2023-08-24,242.0,248.0,240.0,248.0,42195600
2023-08-25,242.0,248.0,240.0,246.0,36077300
2023-08-28,236.0,244.0,234.0,242.0,41840800
2023-08-29,242.0,242.0,236.0,236.0,34790200
2023-08-30,242.0,246.0,240.0,242.0,31190200
2023-08-31,244.0,244.0,232.0,242.0,48466900
2023-09-01,262.0,264.0,240.0,244.0,143903700
2023-09-04,274.0,284.0,266.0,266.0,156534400
2023-09-05,268.0,278.0,266.0,274.0,72816400
2023-09-06,278.0,286.0,270.0,272.0,95995300
2023-09-07,272.0,284.0,270.0,280.0,38805400
2023-09-08,268.0,276.0,264.0,272.0,37944900
2023-09-11,280.0,282.0,262.0,268.0,63431900
2023-09-12,276.0,286.0,274.0,280.0,99628800
2023-09-13,290.0,302.0,278.0,280.0,188759800
2023-09-14,282.0,294.0,280.0,290.0,126144100
2023-09-15,286.0,292.0,280.0,284.0,105476000
2023-09-18,278.0,292.0,278.0,286.0,62296200
2023-09-19,280.0,284.0,274.0,280.0,65369500
2023-09-20,270.0,284.0,270.0,282.0,63457800
2023-09-21,262.0,274.0,262.0,272.0,54761700
2023-09-22,272.0,276.0,260.0,264.0,57068600
2023-09-25,280.0,282.0,274.0,276.0,60476600
2023-09-26,270.0,286.0,268.0,280.0,80115300
2023-09-27,278.0,282.0,270.0,276.0,71411900
2023-09-29,274.0,286.0,274.0,280.0,54816200
2023-10-02,268.0,280.0,264.0,274.0,41155600
2023-10-03,258.0,268.0,258.0,266.0,64542700
2023-10-04,242.0,260.0,242.0,256.0,70560500
2023-10-05,240.0,248.0,236.0,244.0,44655500
2023-10-06,246.0,250.0,238.0,240.0,41722300
2023-10-09,262.0,264.0,254.0,254.0,63346200
2023-10-10,254.0,266.0,252.0,264.0,53060000
2023-10-11,252.0,258.0,252.0,256.0,39477200
2023-10-12,248.0,252.0,244.0,252.0,33977500
2023-10-13,252.0,254.0,246.0,254.0,38762000
2023-10-16,252.0,260.0,250.0,260.0,57614200
2023-10-17,254.0,254.0,250.0,252.0,27036000
2023-10-18,258.0,260.0,252.0,256.0,46750300
2023-10-19,246.0,260.0,246.0,260.0,43420000
2023-10-20,248.0,254.0,242.0,248.0,39381600
2023-10-23,240.0,246.0,236.0,244.0,44576300
2023-10-24,242.0,246.0,236.0,240.0,29721500
2023-10-25,240.0,242.0,236.0,242.0,40255100
2023-10-26,240.0,244.0,238.0,240.0,30393900
2023-10-27,248.0,248.0,238.0,242.0,37902400
2023-10-30,244.0,250.0,240.0,250.0,35649000
2023-10-31,244.0,244.0,238.0,244.0,33015000
2023-11-01,238.0,250.0,238.0,246.0,33815100
2023-11-02,240.0,244.0,240.0,240.0,22255600
2023-11-03,242.0,248.0,240.0,244.0,19583100
2023-11-06,240.0,244.0,238.0,244.0,29162400
2023-11-07,240.0,244.0,238.0,242.0,31648000
2023-11-08,220.0,240.0,218.0,240.0,127217700
2023-11-09,214.0,222.0,212.0,222.0,43931200
2023-11-10,214.0,220.0,212.0,214.0,21577700
2023-11-13,212.0,218.0,210.0,218.0,29839400
2023-11-14,222.0,222.0,214.0,214.0,43833200
2023-11-15,220.0,226.0,220.0,224.0,34975100
2023-11-16,218.0,222.0,216.0,220.0,22535400
2023-11-17,214.0,220.0,212.0,216.0,21194700
2023-11-20,216.0,220.0,214.0,218.0,21035800
2023-11-21,216.0,220.0,216.0,218.0,20454000
2023-11-22,218.0,218.0,214.0,216.0,13924200
2023-11-23,218.0,220.0,216.0,220.0,9015900
2023-11-24,216.0,220.0,214.0,218.0,16300100
2023-11-27,214.0,220.0,212.0,220.0,19591300
2023-11-28,230.0,230.0,212.0,214.0,42077800
2023-11-29,228.0,240.0,226.0,234.0,27138300
2023-11-30,230.0,232.0,224.0,228.0,29896100
2023-12-01,224.0,230.0,222.0,230.0,24159800
2023-12-04,224.0,232.0,222.0,226.0,27633700
2023-12-05,226.0,230.0,222.0,224.0,19344700
2023-12-06,224.0,230.0,222.0,228.0,19619900
2023-12-07,220.0,224.0,216.0,224.0,25005400
2023-12-08,216.0,222.0,216.0,218.0,22870600
2023-12-11,220.0,222.0,216.0,218.0,27677800
2023-12-12,218.0,222.0,216.0,222.0,16386700
2023-12-13,214.0,220.0,212.0,218.0,18122500
2023-12-14,220.0,220.0,216.0,216.0,20541500
2023-12-15,214.0,222.0,214.0,220.0,32693700
2023-12-18,214.0,218.0,212.0,214.0,13443800
2023-12-19,226.0,228.0,212.0,214.0,53546900
2023-12-20,232.0,234.0,226.0,228.0,45989400
2023-12-21,224.0,234.0,216.0,234.0,29479800
2023-12-22,220.0,226.0,220.0,224.0,13515000
2023-12-27,224.0,230.0,220.0,220.0,22347200
2023-12-28,228.0,232.0,224.0,226.0,24856900
2023-12-29,220.0,230.0,218.0,228.0,32029200
2024-01-02,228.0,230.0,222.0,222.0,13523800
2024-01-03,240.0,242.0,226.0,228.0,63233200
2024-01-04,246.0,248.0,242.0,242.0,43185800
2024-01-05,250.0,252.0,242.0,246.0,28288000
2024-01-08,250.0,252.0,244.0,250.0,30091400
2024-01-09,248.0,252.0,238.0,250.0,39301800
2024-01-10,246.0,250.0,246.0,248.0,5419100
2024-01-11,242.0,248.0,236.0,246.0,40408500
2024-01-12,246.0,252.0,240.0,242.0,37526500
2024-01-15,242.0,256.0,242.0,250.0,31709400
2024-01-16,242.0,246.0,240.0,242.0,21890700
2024-01-17,232.0,246.0,232.0,242.0,28261100
2024-01-18,238.0,238.0,230.0,232.0,20955200
2024-01-19,232.0,242.0,228.0,238.0,26582600
2024-01-22,220.0,236.0,218.0,236.0,40865600
2024-01-23,220.0,226.0,216.0,222.0,23121900
2024-01-24,210.0,220.0,210.0,220.0,36019100
2024-01-25,210.0,216.0,206.0,206.0,34345200
2024-01-26,208.0,214.0,202.0,212.0,29152900
2024-01-29,204.0,212.0,200.0,210.0,34317500
2024-01-30,206.0,210.0,202.0,204.0,25345100
2024-01-31,204.0,212.0,204.0,206.0,21122600
2024-02-01,206.0,208.0,202.0,204.0,22743500
2024-02-02,202.0,208.0,200.0,206.0,15858400
2024-02-05,199.0,202.0,198.0,202.0,26805300
2024-02-06,202.0,204.0,197.0,200.0,8995800
2024-02-07,199.0,204.0,199.0,202.0,18746400
2024-02-12,202.0,208.0,199.0,199.0,30750400
2024-02-13,208.0,208.0,202.0,202.0,21907800
2024-02-15,204.0,212.0,204.0,212.0,22999000
2024-02-16,204.0,208.0,202.0,204.0,9337600
2024-02-19,200.0,206.0,198.0,204.0,26396500
2024-02-20,198.0,202.0,195.0,200.0,34680800
2024-02-21,197.0,199.0,196.0,198.0,23470400
2024-02-22,208.0,212.0,197.0,198.0,69632700
2024-02-23,206.0,210.0,204.0,210.0,31629900
2024-02-26,206.0,208.0,202.0,204.0,25936900
2024-02-27,202.0,208.0,202.0,206.0,17351900
