Date,Close,High,Low,Open,Volume
2023-07-03,50.0,50.0,50.0,50.0,11200
2023-07-04,50.0,50.0,50.0,50.0,1100
2023-07-05,50.0,50.0,50.0,50.0,42300
2023-07-06,50.0,50.0,50.0,50.0,100
2023-07-07,50.0,50.0,50.0,50.0,10000
2023-07-10,50.0,50.0,50.0,50.0,1200
2023-07-11,50.0,50.0,50.0,50.0,22400
2023-07-12,50.0,50.0,50.0,50.0,12000
2023-07-13,50.0,50.0,50.0,50.0,200
2023-07-14,50.0,50.0,50.0,50.0,34800
2023-07-17,50.0,50.0,50.0,50.0,17000
2023-07-18,50.0,50.0,50.0,50.0,15600
2023-07-20,50.0,50.0,50.0,50.0,82000
2023-07-21,50.0,50.0,50.0,50.0,100
2023-07-24,50.0,50.0,50.0,50.0,1468100
2023-07-25,50.0,50.0,50.0,50.0,207300
2023-07-26,50.0,50.0,50.0,50.0,6300
2023-07-27,50.0,50.0,50.0,50.0,5300
2023-07-28,50.0,50.0,50.0,50.0,5100
2023-07-31,50.0,50.0,50.0,50.0,500
2023-08-01,50.0,50.0,50.0,50.0,37620900
2023-08-02,50.0,50.0,50.0,50.0,8087400
2023-08-03,50.0,50.0,50.0,50.0,64200
2023-08-04,50.0,50.0,50.0,50.0,3500
2023-08-07,50.0,50.0,50.0,50.0,219300
2023-08-08,50.0,50.0,50.0,50.0,4000
2023-08-09,50.0,50.0,50.0,50.0,400
2023-08-10,50.0,50.0,50.0,50.0,226000
2023-08-11,50.0,50.0,50.0,50.0,500
2023-08-14,50.0,50.0,50.0,50.0,64100
2023-08-15,50.0,50.0,50.0,50.0,1900
2023-08-16,50.0,50.0,50.0,50.0,126800
2023-08-18,50.0,50.0,50.0,50.0,15500
2023-08-21,50.0,50.0,50.0,50.0,2100
2023-08-22,50.0,50.0,50.0,50.0,1300
2023-08-23,50.0,50.0,50.0,50.0,14400
2023-08-24,50.0,50.0,50.0,50.0,1100
2023-08-25,50.0,50.0,50.0,50.0,300
2023-08-28,50.0,50.0,50.0,50.0,100
2023-08-29,50.0,50.0,50.0,50.0,38000
2023-08-30,50.0,50.0,50.0,50.0,127800
2023-08-31,50.0,50.0,50.0,50.0,1000
2023-09-01,50.0,50.0,50.0,50.0,32700
2023-09-04,50.0,50.0,50.0,50.0,10400
2023-09-05,50.0,50.0,50.0,50.0,5100
2023-09-06,50.0,50.0,50.0,50.0,200
2023-09-07,50.0,50.0,50.0,50.0,0
2023-09-08,50.0,50.0,50.0,50.0,62800
2023-09-11,50.0,50.0,50.0,50.0,4500
2023-09-12,50.0,50.0,50.0,50.0,1700
2023-09-13,50.0,50.0,50.0,50.0,3000
2023-09-14,50.0,50.0,50.0,50.0,3100
2023-09-15,50.0,50.0,50.0,50.0,1000
2023-09-18,50.0,50.0,50.0,50.0,0
2023-09-19,50.0,50.0,50.0,50.0,5500
2023-09-20,50.0,50.0,50.0,50.0,0
2023-09-21,50.0,50.0,50.0,50.0,0
2023-09-22,50.0,50.0,50.0,50.0,800
2023-09-25,50.0,50.0,50.0,50.0,100
2023-09-26,50.0,50.0,50.0,50.0,76100
2023-09-27,50.0,50.0,50.0,50.0,400
2023-09-29,50.0,50.0,50.0,50.0,20200
2023-10-02,50.0,50.0,50.0,50.0,26200
2023-10-03,50.0,50.0,50.0,50.0,2700
2023-10-04,50.0,50.0,50.0,50.0,200
2023-10-05,50.0,50.0,50.0,50.0,200
2023-10-06,50.0,50.0,50.0,50.0,0
2023-10-09,50.0,50.0,50.0,50.0,59700
2023-10-10,50.0,50.0,50.0,50.0,900
2023-10-11,50.0,50.0,50.0,50.0,700
2023-10-12,50.0,50.0,50.0,50.0,11700
2023-10-13,50.0,50.0,50.0,50.0,15200
2023-10-16,50.0,50.0,50.0,50.0,13700
2023-10-17,50.0,50.0,50.0,50.0,3800
2023-10-18,50.0,50.0,50.0,50.0,12600
2023-10-19,50.0,50.0,50.0,50.0,26000
2023-10-20,50.0,52.0,50.0,50.0,51174700
2023-10-23,50.0,50.0,50.0,50.0,269700
2023-10-24,50.0,50.0,50.0,50.0,52100
2023-10-25,50.0,50.0,50.0,50.0,5100
2023-10-26,50.0,50.0,50.0,50.0,19100
2023-10-27,50.0,50.0,50.0,50.0,5300
2023-10-30,50.0,50.0,50.0,50.0,935800
2023-10-31,50.0,50.0,50.0,50.0,6800
2023-11-01,50.0,50.0,50.0,50.0,500
2023-11-02,50.0,50.0,50.0,50.0,4600
2023-11-03,50.0,50.0,50.0,50.0,700
2023-11-06,50.0,50.0,50.0,50.0,16500
2023-11-07,50.0,50.0,50.0,50.0,7300
2023-11-08,50.0,50.0,50.0,50.0,100
2023-11-09,50.0,50.0,50.0,50.0,0
2023-11-10,50.0,50.0,50.0,50.0,6000
2023-11-13,50.0,50.0,50.0,50.0,1600
2023-11-14,50.0,50.0,50.0,50.0,1700
2023-11-15,50.0,50.0,50.0,50.0,300
2023-11-16,50.0,50.0,50.0,50.0,100
2023-11-17,50.0,50.0,50.0,50.0,0
2023-11-20,50.0,50.0,50.0,50.0,0
2023-11-21,50.0,50.0,50.0,50.0,400
2023-11-22,50.0,50.0,50.0,50.0,1800
2023-11-23,50.0,50.0,50.0,50.0,100
2023-11-24,50.0,50.0,50.0,50.0,600
2023-11-27,50.0,50.0,50.0,50.0,0
2023-11-28,50.0,50.0,50.0,50.0,1600
2023-11-29,50.0,50.0,50.0,50.0,0
2023-11-30,50.0,50.0,50.0,50.0,0
2023-12-01,50.0,50.0,50.0,50.0,100
2023-12-04,50.0,50.0,50.0,50.0,100
2023-12-05,50.0,50.0,50.0,50.0,7100
2023-12-06,50.0,50.0,50.0,50.0,200
2023-12-07,50.0,50.0,50.0,50.0,5100
2023-12-08,50.0,50.0,50.0,50.0,2700
2023-12-11,50.0,50.0,50.0,50.0,5100
2023-12-12,50.0,50.0,50.0,50.0,1200
2023-12-13,50.0,50.0,50.0,50.0,100
2023-12-14,50.0,50.0,50.0,50.0,100
2023-12-15,50.0,50.0,50.0,50.0,100
2023-12-18,50.0,50.0,50.0,50.0,100
2023-12-19,50.0,50.0,50.0,50.0,0
2023-12-20,50.0,50.0,50.0,50.0,100
2023-12-21,50.0,50.0,50.0,50.0,100
2023-12-22,50.0,50.0,50.0,50.0,200
2023-12-27,50.0,50.0,50.0,50.0,300
2023-12-28,50.0,50.0,50.0,50.0,200
2023-12-29,50.0,50.0,50.0,50.0,1200
2024-01-02,50.0,50.0,50.0,50.0,300
2024-01-03,50.0,50.0,50.0,50.0,1100
2024-01-04,50.0,50.0,50.0,50.0,0
2024-01-05,50.0,50.0,50.0,50.0,100
2024-01-08,50.0,50.0,50.0,50.0,100
2024-01-09,50.0,50.0,50.0,50.0,1100
2024-01-10,50.0,50.0,50.0,50.0,10000
2024-01-11,50.0,50.0,50.0,50.0,100
2024-01-12,50.0,50.0,50.0,50.0,100
2024-01-15,50.0,50.0,50.0,50.0,5300
2024-01-16,50.0,50.0,50.0,50.0,100
2024-01-17,50.0,50.0,50.0,50.0,100
2024-01-18,50.0,50.0,50.0,50.0,0
2024-01-19,50.0,50.0,50.0,50.0,0
2024-01-22,50.0,50.0,50.0,50.0,1300
2024-01-23,50.0,50.0,50.0,50.0,0
2024-01-24,50.0,50.0,50.0,50.0,300
2024-01-25,50.0,50.0,50.0,50.0,0
2024-01-26,50.0,50.0,50.0,50.0,100
2024-01-29,50.0,50.0,50.0,50.0,0
2024-01-30,50.0,50.0,50.0,50.0,0
2024-01-31,50.0,50.0,50.0,50.0,0
2024-02-01,50.0,50.0,50.0,50.0,0
2024-02-02,50.0,50.0,50.0,50.0,100
2024-02-05,50.0,50.0,50.0,50.0,0
2024-02-06,50.0,50.0,50.0,50.0,22800
2024-02-07,50.0,50.0,50.0,50.0,0
2024-02-12,50.0,50.0,50.0,50.0,100
2024-02-13,50.0,50.0,50.0,50.0,0
2024-02-15,50.0,50.0,50.0,50.0,1300
2024-02-16,50.0,50.0,50.0,50.0,0
2024-02-19,50.0,51.0,50.0,50.0,34774300
2024-02-20,51.0,52.0,50.0,50.0,15341800
2024-02-21,51.0,52.0,50.0,50.0,20169500
2024-02-22,51.0,52.0,50.0,51.0,6453700
2024-02-23,55.0,55.0,50.0,51.0,18050600
2024-02-26,55.0,56.0,53.0,55.0,6251900
2024-02-27,57.0,59.0,54.0,55.0,6477800
2024-02-28,55.0,57.0,53.0,57.0,6306500
2024-02-29,57.0,57.0,53.0,56.0,4348600
2024-03-01,61.0,61.0,55.0,55.0,21408100
2024-03-04,59.0,61.0,59.0,61.0,4062000
2024-03-05,62.0,63.0,57.0,59.0,8181200
2024-03-06,62.0,66.0,60.0,61.0,29950200
2024-03-07,65.0,67.0,62.0,62.0,8405100
2024-03-08,69.0,70.0,64.0,65.0,20274600
2024-03-13,70.0,70.0,67.0,69.0,12799400
2024-03-14,70.0,70.0,65.0,70.0,10470500
2024-03-15,72.0,74.0,68.0,68.0,15730300
2024-03-18,72.0,75.0,70.0,71.0,7447500
2024-03-19,72.0,74.0,67.0,70.0,26487000
2024-03-20,69.0,73.0,69.0,71.0,5146200
2024-03-21,63.0,69.0,63.0,68.0,11204100
2024-03-22,57.0,63.0,57.0,57.0,12127800
2024-03-25,52.0,52.0,52.0,52.0,264700
2024-03-26,47.0,47.0,47.0,47.0,202600
2024-03-27,43.0,43.0,43.0,43.0,121000
2024-03-28,39.0,39.0,39.0,39.0,133800
2024-04-01,36.0,36.0,36.0,36.0,26400
2024-04-02,33.0,33.0,33.0,33.0,41900
2024-04-03,30.0,30.0,30.0,30.0,245400
2024-04-04,33.0,33.0,27.0,27.0,6328100
2024-04-05,31.0,36.0,30.0,36.0,4652400
2024-04-16,34.0,34.0,28.0,28.0,4431700
2024-04-17,37.0,37.0,37.0,37.0,919400
2024-04-18,40.0,40.0,40.0,40.0,5205800
2024-04-19,36.0,36.0,36.0,36.0,432400
2024-04-22,36.0,36.0,36.0,36.0,72400
2024-04-23,36.0,36.0,36.0,36.0,10100
2024-04-24,35.0,36.0,35.0,36.0,17000
2024-04-25,35.0,35.0,34.0,34.0,58200
2024-04-26,37.0,37.0,35.0,35.0,46600
2024-04-29,35.0,35.0,35.0,35.0,50000
2024-04-30,34.0,35.0,34.0,35.0,20400
2024-05-02,32.0,32.0,31.0,32.0,18700
2024-05-03,32.0,32.0,32.0,32.0,19200
2024-05-06,30.0,32.0,30.0,32.0,53200
2024-05-07,30.0,30.0,27.0,27.0,1201700
2024-05-08,30.0,30.0,27.0,30.0,180500
2024-05-13,30.0,30.0,27.0,27.0,700
2024-05-14,30.0,30.0,27.0,30.0,142500
2024-05-15,30.0,30.0,30.0,30.0,7100
2024-05-16,30.0,30.0,30.0,30.0,43500
2024-05-17,30.0,30.0,30.0,30.0,200
2024-05-20,27.0,30.0,27.0,30.0,363400
2024-05-21,29.0,29.0,27.0,27.0,24700
2024-05-22,28.0,29.0,28.0,29.0,108900
2024-05-27,26.0,27.0,26.0,27.0,254200
2024-05-28,25.0,26.0,25.0,26.0,104000
2024-05-29,23.0,24.0,23.0,24.0,167900
2024-05-30,23.0,23.0,23.0,23.0,105300
2024-05-31,21.0,21.0,21.0,21.0,101600
2024-06-03,21.0,21.0,20.0,21.0,72400
2024-06-04,23.0,23.0,19.0,20.0,390700
2024-06-05,23.0,23.0,23.0,23.0,25400
2024-06-06,22.0,23.0,22.0,23.0,192800
2024-06-07,23.0,23.0,22.0,22.0,78200
2024-06-10,22.0,23.0,22.0,23.0,164800
2024-06-11,23.0,23.0,21.0,21.0,303400
2024-06-12,23.0,23.0,23.0,23.0,1700
2024-06-13,23.0,23.0,23.0,23.0,11600
2024-06-14,25.0,25.0,25.0,25.0,13800
2024-06-19,27.0,27.0,25.0,25.0,244000
2024-06-20,27.0,27.0,25.0,25.0,1700
2024-06-21,27.0,27.0,27.0,27.0,817900
2024-06-24,29.0,29.0,27.0,27.0,215500
2024-06-25,31.0,31.0,31.0,31.0,111600
2024-06-26,34.0,34.0,32.0,32.0,113400
2024-06-27,34.0,34.0,34.0,34.0,184800
2024-06-28,34.0,34.0,34.0,34.0,60800
2024-07-01,33.0,34.0,33.0,34.0,3300
2024-07-02,30.0,32.0,30.0,32.0,131600
2024-07-03,29.0,29.0,29.0,29.0,72300
2024-07-04,29.0,29.0,29.0,29.0,15000
2024-07-05,31.0,31.0,29.0,29.0,1002300
2024-07-08,32.0,32.0,31.0,31.0,133600
2024-07-09,32.0,32.0,32.0,32.0,200000
2024-07-10,33.0,33.0,33.0,33.0,100
2024-07-11,34.0,35.0,33.0,34.0,180000
2024-07-12,34.0,34.0,34.0,34.0,60000
2024-07-15,35.0,35.0,35.0,35.0,10100
2024-07-16,38.0,38.0,36.0,36.0,77300
2024-07-17,38.0,38.0,38.0,38.0,15800
2024-07-18,40.0,40.0,39.0,39.0,11000
2024-07-19,37.0,37.0,37.0,37.0,45300
2024-07-22,36.0,37.0,36.0,37.0,351400
2024-07-23,36.0,36.0,36.0,36.0,16800
2024-07-24,37.0,38.0,37.0,38.0,20600
2024-07-25,37.0,37.0,37.0,37.0,11700
2024-07-26,35.0,35.0,35.0,35.0,82800
2024-07-29,34.0,36.0,34.0,36.0,21800
2024-07-30,34.0,34.0,34.0,34.0,600
2024-07-31,33.0,33.0,33.0,33.0,20700
2024-08-01,33.0,33.0,33.0,33.0,370700
2024-08-02,33.0,33.0,31.0,32.0,23000
2024-08-05,34.0,34.0,33.0,33.0,70700
2024-08-06,34.0,34.0,34.0,34.0,27000
2024-08-07,33.0,33.0,32.0,32.0,1700
2024-08-08,31.0,33.0,31.0,33.0,97000
2024-08-09,33.0,33.0,32.0,32.0,7200
2024-08-12,33.0,33.0,33.0,33.0,5100
2024-08-13,33.0,33.0,33.0,33.0,10200
2024-08-14,36.0,36.0,36.0,36.0,233900
2024-08-15,38.0,39.0,38.0,39.0,323000
2024-08-16,39.0,41.0,39.0,41.0,47200
2024-08-19,40.0,41.0,39.0,41.0,37600
2024-08-20,40.0,40.0,40.0,40.0,8500
2024-08-21,39.0,39.0,39.0,39.0,15000
2024-08-22,39.0,39.0,39.0,39.0,3300
2024-08-23,39.0,39.0,39.0,39.0,554700
2024-08-26,39.0,40.0,39.0,40.0,271200
2024-08-27,39.0,40.0,39.0,40.0,305100
2024-08-28,39.0,39.0,39.0,39.0,703200
2024-08-29,40.0,40.0,39.0,39.0,772100
2024-08-30,41.0,41.0,40.0,40.0,297800
2024-09-02,40.0,41.0,40.0,41.0,261800
2024-09-03,40.0,40.0,40.0,40.0,21300
2024-09-04,43.0,43.0,41.0,41.0,1500400
2024-09-05,44.0,44.0,43.0,44.0,876800
2024-09-06,43.0,43.0,43.0,43.0,79900
2024-09-09,41.0,41.0,39.0,41.0,45400
2024-09-10,42.0,42.0,41.0,41.0,254500
2024-09-11,43.0,43.0,42.0,43.0,133600
2024-09-12,43.0,43.0,42.0,43.0,15500
