Date,Close,High,Low,Open,Volume
2023-07-03,84.0,85.0,81.0,82.0,1339400
2023-07-04,84.0,92.0,83.0,88.0,29402800
2023-07-05,84.0,85.0,81.0,84.0,12814500
2023-07-06,84.0,85.0,82.0,84.0,7554700
2023-07-07,84.0,85.0,82.0,84.0,12480400
2023-07-10,84.0,85.0,83.0,84.0,12601500
2023-07-11,84.0,84.0,82.0,84.0,17309800
2023-07-12,84.0,84.0,82.0,84.0,9110300
2023-07-13,83.0,84.0,82.0,83.0,12316900
2023-07-14,83.0,83.0,82.0,83.0,13402100
2023-07-17,82.0,83.0,81.0,83.0,9266000
2023-07-18,82.0,82.0,81.0,82.0,1220400
2023-07-20,82.0,82.0,81.0,82.0,483500
2023-07-21,82.0,82.0,80.0,82.0,640700
2023-07-24,81.0,82.0,80.0,82.0,1160100
2023-07-25,85.0,85.0,81.0,81.0,3380400
2023-07-26,85.0,87.0,84.0,87.0,2556000
2023-07-27,84.0,86.0,82.0,85.0,1313400
2023-07-28,83.0,85.0,82.0,84.0,1278000
2023-07-31,81.0,84.0,80.0,82.0,2252000
2023-08-01,83.0,84.0,81.0,82.0,2902200
2023-08-02,83.0,85.0,83.0,84.0,2401900
2023-08-03,84.0,84.0,83.0,83.0,412600
2023-08-04,84.0,84.0,83.0,83.0,457200
2023-08-07,84.0,84.0,82.0,83.0,800000
2023-08-08,83.0,84.0,83.0,84.0,1264000
2023-08-09,83.0,84.0,83.0,83.0,764000
2023-08-10,82.0,83.0,82.0,83.0,12057200
2023-08-11,82.0,83.0,81.0,82.0,9047300
2023-08-14,84.0,84.0,82.0,82.0,2146200
2023-08-15,83.0,84.0,83.0,84.0,713400
2023-08-16,84.0,84.0,82.0,83.0,1058800
2023-08-18,84.0,84.0,82.0,84.0,476400
2023-08-21,84.0,86.0,83.0,84.0,4117500
2023-08-22,85.0,86.0,84.0,84.0,6542800
2023-08-23,86.0,86.0,84.0,85.0,2438100
2023-08-24,86.0,86.0,84.0,86.0,3750700
2023-08-25,84.0,86.0,84.0,86.0,382200
2023-08-28,86.0,87.0,83.0,85.0,7146600
2023-08-29,87.0,88.0,86.0,87.0,2047700
2023-08-30,86.0,88.0,84.0,87.0,796700
2023-08-31,87.0,87.0,84.0,86.0,10544400
2023-09-01,84.0,87.0,84.0,87.0,11451300
2023-09-04,85.0,87.0,83.0,85.0,25378800
2023-09-05,84.0,86.0,84.0,85.0,6243400
2023-09-06,86.0,86.0,83.0,84.0,10342400
2023-09-07,86.0,87.0,85.0,86.0,20446400
2023-09-08,93.0,99.0,86.0,86.0,44748800
2023-09-11,90.0,95.0,89.0,94.0,11968200
2023-09-12,92.0,96.0,88.0,90.0,19187800
2023-09-13,90.0,94.0,90.0,92.0,27058200
2023-09-14,88.0,91.0,86.0,91.0,15298500
2023-09-15,88.0,90.0,86.0,88.0,20628500
2023-09-18,86.0,88.0,84.0,88.0,11986000
2023-09-19,87.0,88.0,84.0,86.0,24221900
2023-09-20,88.0,89.0,86.0,87.0,20790100
2023-09-21,87.0,89.0,86.0,88.0,13818100
2023-09-22,87.0,88.0,85.0,86.0,17283100
2023-09-25,85.0,87.0,85.0,87.0,10228000
2023-09-26,88.0,95.0,85.0,85.0,113148200
2023-09-27,86.0,89.0,86.0,88.0,28681600
2023-09-29,84.0,87.0,83.0,86.0,38762100
2023-10-02,84.0,87.0,83.0,85.0,42361100
2023-10-03,85.0,87.0,84.0,85.0,23068600
2023-10-04,83.0,86.0,83.0,85.0,27558400
2023-10-05,84.0,85.0,83.0,84.0,17675800
2023-10-06,83.0,84.0,81.0,83.0,13179000
2023-10-09,83.0,84.0,81.0,83.0,14758600
2023-10-10,85.0,85.0,82.0,83.0,16437400
2023-10-11,83.0,86.0,83.0,85.0,28873300
2023-10-12,83.0,85.0,82.0,84.0,15008000
2023-10-13,81.0,84.0,78.0,83.0,13028300
2023-10-16,80.0,82.0,79.0,80.0,14276000
2023-10-17,80.0,83.0,79.0,80.0,25629600
2023-10-18,81.0,82.0,79.0,81.0,13964400
2023-10-19,80.0,81.0,78.0,81.0,16654500
2023-10-20,80.0,80.0,76.0,80.0,26516800
2023-10-23,81.0,85.0,78.0,80.0,31734000
2023-10-24,81.0,83.0,79.0,81.0,20329600
2023-10-25,81.0,82.0,79.0,81.0,17137500
2023-10-26,79.0,82.0,78.0,81.0,22736400
2023-10-27,80.0,81.0,78.0,79.0,15746300
2023-10-30,80.0,82.0,78.0,80.0,17209300
2023-10-31,81.0,81.0,78.0,80.0,23958800
2023-11-01,81.0,82.0,79.0,81.0,17141900
2023-11-02,85.0,85.0,80.0,80.0,31523800
2023-11-03,81.0,85.0,79.0,85.0,37968600
2023-11-06,81.0,82.0,79.0,81.0,32797700
2023-11-07,80.0,82.0,79.0,81.0,13030900
2023-11-08,80.0,80.0,79.0,80.0,8192200
2023-11-09,80.0,83.0,79.0,80.0,35552300
2023-11-10,80.0,82.0,79.0,80.0,32922900
2023-11-13,80.0,80.0,78.0,80.0,21374900
2023-11-14,80.0,82.0,78.0,82.0,18440800
2023-11-15,79.0,80.0,78.0,79.0,17566800
2023-11-16,79.0,79.0,77.0,78.0,27945100
2023-11-17,78.0,79.0,77.0,78.0,20312600
2023-11-20,76.0,78.0,75.0,78.0,12808000
2023-11-21,76.0,76.0,75.0,76.0,10153200
