Date,Close,High,Low,Open,Volume
2023-07-03,79.0,79.0,79.0,79.0,0
2023-07-04,79.0,79.0,79.0,79.0,0
2023-07-05,79.0,79.0,79.0,79.0,0
2023-07-06,79.0,79.0,79.0,79.0,0
2023-07-07,79.0,79.0,79.0,79.0,0
2023-07-10,79.0,79.0,79.0,79.0,0
2023-07-11,79.0,79.0,79.0,79.0,0
2023-07-12,79.0,79.0,79.0,79.0,0
2023-07-13,79.0,79.0,79.0,79.0,0
2023-07-14,79.0,79.0,79.0,79.0,0
2023-07-17,79.0,79.0,79.0,79.0,0
2023-07-18,79.0,79.0,79.0,79.0,0
2023-07-20,79.0,79.0,79.0,79.0,0
2023-07-21,79.0,79.0,79.0,79.0,0
2023-07-24,79.0,79.0,79.0,79.0,0
2023-07-25,79.0,79.0,79.0,79.0,0
2023-07-26,79.0,79.0,79.0,79.0,0
2023-07-27,79.0,79.0,79.0,79.0,0
2023-07-28,79.0,79.0,79.0,79.0,0
2023-07-31,79.0,79.0,79.0,79.0,0
2023-08-01,79.0,79.0,79.0,79.0,0
2023-08-02,79.0,79.0,79.0,79.0,0
2023-08-03,79.0,79.0,79.0,79.0,0
2023-08-04,79.0,79.0,79.0,79.0,0
2023-08-07,79.0,79.0,79.0,79.0,0
2023-08-08,79.0,79.0,79.0,79.0,0
2023-08-09,79.0,79.0,79.0,79.0,0
2023-08-10,79.0,79.0,79.0,79.0,0
2023-08-11,79.0,79.0,79.0,79.0,0
2023-08-14,79.0,79.0,79.0,79.0,0
2023-08-15,79.0,79.0,79.0,79.0,0
2023-08-16,79.0,79.0,79.0,79.0,0
2023-08-18,79.0,79.0,79.0,79.0,0
2023-08-21,79.0,79.0,79.0,79.0,0
2023-08-22,79.0,79.0,79.0,79.0,0
2023-08-23,79.0,79.0,79.0,79.0,0
2023-08-24,79.0,79.0,79.0,79.0,0
2023-08-25,79.0,79.0,79.0,79.0,0
2023-08-28,79.0,79.0,79.0,79.0,0
2023-08-29,79.0,79.0,79.0,79.0,0
2023-08-30,79.0,79.0,79.0,79.0,0
2023-08-31,79.0,79.0,79.0,79.0,0
2023-09-01,79.0,79.0,79.0,79.0,0
2023-09-04,79.0,79.0,79.0,79.0,0
2023-09-05,79.0,79.0,79.0,79.0,0
2023-09-06,79.0,79.0,79.0,79.0,0
2023-09-07,79.0,79.0,79.0,79.0,0
2023-09-08,79.0,79.0,79.0,79.0,0
2023-09-11,79.0,79.0,79.0,79.0,0
2023-09-12,79.0,79.0,79.0,79.0,0
2023-09-13,79.0,79.0,79.0,79.0,0
2023-09-14,79.0,79.0,79.0,79.0,0
2023-09-15,79.0,79.0,79.0,79.0,0
2023-09-18,79.0,79.0,79.0,79.0,0
2023-09-19,79.0,79.0,79.0,79.0,0
2023-09-20,79.0,79.0,79.0,79.0,0
2023-09-21,79.0,79.0,79.0,79.0,0
2023-09-22,79.0,79.0,79.0,79.0,0
2023-09-25,79.0,79.0,79.0,79.0,0
2023-09-26,79.0,79.0,79.0,79.0,0
2023-09-27,79.0,79.0,79.0,79.0,0
2023-09-29,79.0,79.0,79.0,79.0,0
2023-10-02,79.0,79.0,79.0,79.0,0
2023-10-03,79.0,79.0,79.0,79.0,0
2023-10-04,79.0,79.0,79.0,79.0,0
2023-10-05,79.0,79.0,79.0,79.0,0
2023-10-06,79.0,79.0,79.0,79.0,0
2023-10-09,79.0,79.0,79.0,79.0,0
2023-10-10,79.0,79.0,79.0,79.0,0
2023-10-11,79.0,79.0,79.0,79.0,0
2023-10-12,79.0,79.0,79.0,79.0,0
2023-10-13,79.0,79.0,79.0,79.0,0
2023-10-16,79.0,79.0,79.0,79.0,0
2023-10-17,79.0,79.0,79.0,79.0,0
2023-10-18,79.0,79.0,79.0,79.0,0
2023-10-19,79.0,79.0,79.0,79.0,0
2023-10-20,79.0,79.0,79.0,79.0,0
2023-10-23,79.0,79.0,79.0,79.0,0
2023-10-24,79.0,79.0,79.0,79.0,0
2023-10-25,79.0,79.0,79.0,79.0,0
2023-10-26,79.0,79.0,79.0,79.0,0
2023-10-27,79.0,79.0,79.0,79.0,0
2023-10-30,79.0,79.0,79.0,79.0,0
2023-10-31,79.0,79.0,79.0,79.0,0
2023-11-01,79.0,79.0,79.0,79.0,0
2023-11-02,79.0,79.0,79.0,79.0,0
2023-11-03,79.0,79.0,79.0,79.0,0
2023-11-06,79.0,79.0,79.0,79.0,0
2023-11-07,79.0,79.0,79.0,79.0,0
2023-11-08,79.0,79.0,79.0,79.0,0
2023-11-09,79.0,79.0,79.0,79.0,0
2023-11-10,79.0,79.0,79.0,79.0,0
2023-11-13,79.0,79.0,79.0,79.0,0
2023-11-14,79.0,79.0,79.0,79.0,0
2023-11-15,79.0,79.0,79.0,79.0,0
2023-11-16,79.0,79.0,79.0,79.0,0
2023-11-17,79.0,79.0,79.0,79.0,0
2023-11-20,79.0,79.0,79.0,79.0,0
2023-11-21,79.0,79.0,79.0,79.0,0
2023-11-22,79.0,79.0,79.0,79.0,0
2023-11-23,79.0,79.0,79.0,79.0,0
2023-11-24,79.0,79.0,79.0,79.0,0
2023-11-27,79.0,79.0,79.0,79.0,0
2023-11-28,79.0,79.0,79.0,79.0,0
2023-11-29,79.0,79.0,79.0,79.0,0
2023-11-30,79.0,79.0,79.0,79.0,0
2023-12-01,79.0,79.0,79.0,79.0,0
2023-12-04,79.0,79.0,79.0,79.0,0
2023-12-05,79.0,79.0,79.0,79.0,0
2023-12-06,79.0,79.0,79.0,79.0,0
2023-12-07,79.0,79.0,79.0,79.0,0
2023-12-08,79.0,79.0,79.0,79.0,0
2023-12-11,79.0,79.0,79.0,79.0,0
2023-12-12,79.0,79.0,79.0,79.0,0
2023-12-13,79.0,79.0,79.0,79.0,0
2023-12-14,79.0,79.0,79.0,79.0,0
2023-12-15,79.0,79.0,79.0,79.0,0
2023-12-18,79.0,79.0,79.0,79.0,0
2023-12-19,79.0,79.0,79.0,79.0,0
2023-12-20,79.0,79.0,79.0,79.0,0
2023-12-21,79.0,79.0,79.0,79.0,0
2023-12-22,79.0,79.0,79.0,79.0,0
2023-12-27,79.0,79.0,79.0,79.0,0
2023-12-28,79.0,79.0,79.0,79.0,0
2023-12-29,79.0,79.0,79.0,79.0,0
2024-01-02,79.0,79.0,79.0,79.0,0
2024-01-03,79.0,79.0,79.0,79.0,500
2024-01-04,79.0,79.0,79.0,79.0,100
2024-01-05,77.0,77.0,77.0,77.0,1500
2024-01-08,77.0,77.0,77.0,77.0,0
2024-01-09,71.0,71.0,71.0,71.0,700
2024-01-10,64.0,69.0,64.0,69.0,15600
2024-01-11,58.0,58.0,58.0,58.0,15800
