Date,Close,High,Low,Open,Volume
2023-07-03,1495.0,1505.0,1425.0,1425.0,24513500
2023-07-04,1580.0,1580.0,1500.0,1500.0,35879400
2023-07-05,1590.0,1635.0,1580.0,1590.0,37091900
2023-07-06,1620.0,1645.0,1600.0,1600.0,22747900
2023-07-07,1585.0,1610.0,1575.0,1610.0,8483200
2023-07-10,1605.0,1635.0,1585.0,1585.0,6556300
2023-07-11,1610.0,1620.0,1585.0,1615.0,6535400
2023-07-12,1595.0,1610.0,1580.0,1610.0,3037500
2023-07-13,1525.0,1610.0,1515.0,1595.0,16286400
2023-07-14,1525.0,1555.0,1515.0,1530.0,9375000
2023-07-17,1530.0,1555.0,1525.0,1530.0,12303300
2023-07-18,1490.0,1530.0,1485.0,1530.0,16660900
2023-07-20,1540.0,1540.0,1500.0,1500.0,14471200
2023-07-21,1545.0,1565.0,1540.0,1550.0,7991600
2023-07-24,1555.0,1565.0,1540.0,1545.0,10797200
2023-07-25,1555.0,1575.0,1540.0,1565.0,15053800
2023-07-26,1705.0,1710.0,1575.0,1575.0,60786000
2023-07-27,1655.0,1705.0,1650.0,1705.0,23814100
2023-07-28,1670.0,1670.0,1610.0,1655.0,23318400
2023-07-31,1660.0,1695.0,1640.0,1675.0,15401200
2023-08-01,1685.0,1690.0,1640.0,1660.0,23479700
2023-08-02,1630.0,1690.0,1625.0,1685.0,16406100
2023-08-03,1640.0,1655.0,1620.0,1630.0,9651900
2023-08-04,1605.0,1665.0,1600.0,1640.0,19118900
2023-08-07,1630.0,1650.0,1605.0,1605.0,11626200
2023-08-08,1640.0,1660.0,1630.0,1645.0,7901500
2023-08-09,1620.0,1650.0,1620.0,1650.0,6810700
2023-08-10,1635.0,1645.0,1610.0,1625.0,9451200
2023-08-11,1610.0,1645.0,1605.0,1635.0,6112500
2023-08-14,1570.0,1620.0,1565.0,1610.0,16445900
2023-08-15,1580.0,1590.0,1550.0,1570.0,12437300
2023-08-16,1585.0,1590.0,1575.0,1580.0,6349200
2023-08-18,1560.0,1585.0,1560.0,1580.0,7614300
2023-08-21,1580.0,1615.0,1565.0,1565.0,11789100
2023-08-22,1640.0,1655.0,1585.0,1585.0,36425100
2023-08-23,1635.0,1665.0,1635.0,1650.0,24104700
2023-08-24,1610.0,1635.0,1610.0,1635.0,9069300
2023-08-25,1600.0,1610.0,1570.0,1600.0,19853400
2023-08-28,1615.0,1630.0,1595.0,1600.0,11151800
2023-08-29,1600.0,1635.0,1600.0,1625.0,11599200
2023-08-30,1585.0,1610.0,1575.0,1605.0,14480800
2023-08-31,1560.0,1590.0,1560.0,1585.0,10696000
2023-09-01,1575.0,1585.0,1560.0,1560.0,7027600
2023-09-04,1620.0,1640.0,1580.0,1585.0,27276600
2023-09-05,1605.0,1635.0,1605.0,1620.0,10328600
2023-09-06,1695.0,1700.0,1620.0,1625.0,60591300
2023-09-07,1670.0,1730.0,1660.0,1685.0,62848800
2023-09-08,1665.0,1705.0,1655.0,1670.0,19194300
2023-09-11,1695.0,1730.0,1610.0,1665.0,51159800
2023-09-12,1735.0,1765.0,1715.0,1715.0,44926900
2023-09-13,1760.0,1770.0,1730.0,1735.0,19988900
2023-09-14,1800.0,1845.0,1770.0,1775.0,66534700
2023-09-15,1810.0,1830.0,1775.0,1800.0,23316400
2023-09-18,1780.0,1820.0,1755.0,1810.0,17092200
2023-09-19,1845.0,1860.0,1755.0,1785.0,24333000
2023-09-20,1810.0,1865.0,1805.0,1860.0,17924200
2023-09-21,1790.0,1825.0,1780.0,1810.0,14401100
2023-09-22,1820.0,1830.0,1775.0,1780.0,10290600
2023-09-25,1820.0,1870.0,1820.0,1820.0,19613700
2023-09-26,1735.0,1835.0,1715.0,1825.0,14698100
2023-09-27,1870.0,1890.0,1745.0,1745.0,59566500
2023-09-29,1885.0,1945.0,1875.0,1885.0,53835300
2023-10-02,1820.0,1920.0,1815.0,1895.0,29184300
2023-10-03,1735.0,1820.0,1735.0,1820.0,42501900
2023-10-04,1695.0,1725.0,1635.0,1725.0,51734100
2023-10-05,1635.0,1735.0,1625.0,1685.0,27812400
2023-10-06,1660.0,1670.0,1610.0,1630.0,25953700
2023-10-09,1680.0,1705.0,1660.0,1685.0,25520600
2023-10-10,1670.0,1725.0,1670.0,1710.0,20632000
2023-10-11,1675.0,1695.0,1655.0,1680.0,16259600
2023-10-12,1620.0,1675.0,1615.0,1675.0,22937700
2023-10-13,1670.0,1695.0,1630.0,1630.0,24736800
2023-10-16,1705.0,1720.0,1680.0,1680.0,20007000
2023-10-17,1700.0,1715.0,1680.0,1705.0,8367200
2023-10-18,1725.0,1725.0,1660.0,1695.0,15590000
2023-10-19,1760.0,1780.0,1720.0,1725.0,34931900
2023-10-20,1760.0,1775.0,1705.0,1760.0,18618200
2023-10-23,1720.0,1785.0,1700.0,1760.0,11955900
2023-10-24,1735.0,1755.0,1710.0,1720.0,6973200
2023-10-25,1760.0,1780.0,1730.0,1745.0,9046400
2023-10-26,1725.0,1765.0,1715.0,1760.0,7271100
2023-10-27,1735.0,1750.0,1730.0,1730.0,4235000
2023-10-30,1600.0,1760.0,1595.0,1735.0,23631100
2023-10-31,1615.0,1625.0,1565.0,1600.0,13741500
2023-11-01,1510.0,1600.0,1505.0,1600.0,23567600
2023-11-02,1525.0,1560.0,1510.0,1510.0,11909000
2023-11-03,1515.0,1560.0,1510.0,1540.0,13628700
2023-11-06,1515.0,1545.0,1495.0,1505.0,18733300
2023-11-07,1470.0,1515.0,1460.0,1515.0,16913200
2023-11-08,1465.0,1490.0,1455.0,1470.0,10465100
2023-11-09,1475.0,1510.0,1465.0,1480.0,7047000
2023-11-10,1460.0,1475.0,1455.0,1475.0,3932200
2023-11-13,1445.0,1460.0,1430.0,1455.0,7290500
2023-11-14,1470.0,1470.0,1435.0,1445.0,4912800
2023-11-15,1450.0,1485.0,1450.0,1470.0,7793400
2023-11-16,1440.0,1465.0,1435.0,1455.0,5112000
2023-11-17,1410.0,1445.0,1405.0,1430.0,11671300
2023-11-20,1415.0,1440.0,1410.0,1415.0,6705400
2023-11-21,1420.0,1425.0,1405.0,1415.0,4616300
2023-11-22,1435.0,1440.0,1410.0,1420.0,4980400
