Date,Close,High,Low,Open,Volume
2023-07-03,740.0,745.0,740.0,745.0,5700
2023-07-04,745.0,745.0,705.0,705.0,200
2023-07-05,715.0,775.0,710.0,720.0,12300
2023-07-06,755.0,760.0,735.0,760.0,1000
2023-07-07,760.0,760.0,750.0,750.0,1500
2023-07-10,765.0,765.0,765.0,765.0,100
2023-07-11,780.0,780.0,765.0,765.0,14300
2023-07-12,855.0,950.0,795.0,795.0,61000
2023-07-13,820.0,855.0,800.0,840.0,8800
2023-07-14,785.0,815.0,765.0,770.0,5400
2023-07-17,790.0,820.0,765.0,765.0,1500
2023-07-18,815.0,815.0,805.0,810.0,21900
2023-07-20,795.0,820.0,785.0,800.0,4900
2023-07-21,815.0,815.0,815.0,815.0,200
2023-07-24,790.0,825.0,790.0,815.0,2000
2023-07-25,775.0,815.0,775.0,790.0,13200
2023-07-26,855.0,965.0,775.0,775.0,96000
2023-07-27,850.0,895.0,810.0,850.0,144700
2023-07-28,885.0,910.0,820.0,865.0,11800
2023-07-31,895.0,1100.0,875.0,885.0,124900
2023-08-01,950.0,1060.0,860.0,945.0,143700
2023-08-02,970.0,1010.0,915.0,925.0,26500
2023-08-03,975.0,1000.0,950.0,970.0,9400
2023-08-04,975.0,995.0,915.0,950.0,6800
2023-08-07,970.0,975.0,935.0,975.0,700
2023-08-08,1015.0,1100.0,935.0,935.0,36100
2023-08-09,1010.0,1025.0,970.0,970.0,12800
2023-08-10,1000.0,1030.0,950.0,1025.0,11100
2023-08-11,1000.0,1065.0,975.0,1000.0,9300
2023-08-14,990.0,995.0,990.0,995.0,800
2023-08-15,975.0,985.0,905.0,985.0,22900
2023-08-16,990.0,1000.0,965.0,975.0,12000
2023-08-18,1000.0,1025.0,950.0,1025.0,1000
2023-08-21,995.0,1000.0,915.0,960.0,57600
2023-08-22,1000.0,1045.0,975.0,995.0,7900
2023-08-23,1000.0,1000.0,975.0,995.0,1900
2023-08-24,1000.0,1065.0,990.0,990.0,4000
