Date,Close,High,Low,Open,Volume
2023-07-03,50.0,50.0,50.0,50.0,352500
2023-07-04,50.0,50.0,50.0,50.0,66000
2023-07-05,50.0,50.0,50.0,50.0,55300
2023-07-06,50.0,50.0,50.0,50.0,58300
2023-07-07,50.0,50.0,50.0,50.0,13200
2023-07-10,50.0,50.0,50.0,50.0,120000
2023-07-11,50.0,50.0,50.0,50.0,23100
2023-07-12,50.0,50.0,50.0,50.0,84500
2023-07-13,50.0,50.0,50.0,50.0,106800
2023-07-14,50.0,50.0,50.0,50.0,21000
2023-07-17,50.0,50.0,50.0,50.0,11300
2023-07-18,50.0,50.0,50.0,50.0,15300
2023-07-20,50.0,50.0,50.0,50.0,15100
2023-07-21,50.0,50.0,50.0,50.0,500
2023-07-24,50.0,50.0,50.0,50.0,4500
2023-07-25,50.0,50.0,50.0,50.0,3300
2023-07-26,50.0,50.0,50.0,50.0,3000
2023-07-27,50.0,50.0,50.0,50.0,12300
2023-07-28,50.0,50.0,50.0,50.0,4300
2023-07-31,50.0,50.0,50.0,50.0,370500
2023-08-01,50.0,50.0,50.0,50.0,10000
2023-08-02,50.0,50.0,50.0,50.0,3200
2023-08-03,50.0,50.0,50.0,50.0,56500
2023-08-04,50.0,50.0,50.0,50.0,48300
2023-08-07,50.0,50.0,50.0,50.0,114400
2023-08-08,50.0,50.0,50.0,50.0,48300
2023-08-09,50.0,50.0,50.0,50.0,39900
2023-08-10,50.0,50.0,50.0,50.0,7000
2023-08-11,50.0,50.0,50.0,50.0,16900
2023-08-14,50.0,50.0,50.0,50.0,5500
2023-08-15,50.0,50.0,50.0,50.0,4300
2023-08-16,50.0,50.0,50.0,50.0,600
2023-08-18,50.0,50.0,50.0,50.0,2500
2023-08-21,50.0,50.0,50.0,50.0,1000
2023-08-22,50.0,50.0,50.0,50.0,2800
2023-08-23,50.0,50.0,50.0,50.0,4200
2023-08-24,50.0,50.0,50.0,50.0,336300
2023-08-25,50.0,50.0,50.0,50.0,6600
2023-08-28,50.0,50.0,50.0,50.0,9400
2023-08-29,50.0,50.0,50.0,50.0,197200
2023-08-30,50.0,50.0,50.0,50.0,264000
2023-08-31,50.0,50.0,50.0,50.0,10300
2023-09-01,50.0,50.0,50.0,50.0,14300
2023-09-04,50.0,50.0,50.0,50.0,21700
2023-09-05,50.0,50.0,50.0,50.0,81000
2023-09-06,50.0,50.0,50.0,50.0,36600
2023-09-07,50.0,50.0,50.0,50.0,3500
2023-09-08,50.0,50.0,50.0,50.0,3100
2023-09-11,50.0,50.0,50.0,50.0,11800
2023-09-12,50.0,50.0,50.0,50.0,10000
2023-09-13,50.0,50.0,50.0,50.0,160800
2023-09-14,50.0,50.0,50.0,50.0,313300
2023-09-15,50.0,50.0,50.0,50.0,41800
2023-09-18,50.0,50.0,50.0,50.0,9800
2023-09-19,50.0,50.0,50.0,50.0,1400
2023-09-20,50.0,50.0,50.0,50.0,5600
2023-09-21,50.0,50.0,50.0,50.0,31000
2023-09-22,50.0,50.0,50.0,50.0,26100
2023-09-25,50.0,50.0,50.0,50.0,132600
2023-09-26,50.0,50.0,50.0,50.0,128200
2023-09-27,50.0,50.0,50.0,50.0,122600
2023-09-29,50.0,50.0,50.0,50.0,89400
2023-10-02,50.0,50.0,50.0,50.0,20000
2023-10-03,50.0,50.0,50.0,50.0,2500
2023-10-04,50.0,50.0,50.0,50.0,6600
2023-10-05,50.0,50.0,50.0,50.0,500
2023-10-06,50.0,50.0,50.0,50.0,44200
2023-10-09,50.0,50.0,50.0,50.0,94500
2023-10-10,50.0,50.0,50.0,50.0,30200
2023-10-11,50.0,50.0,50.0,50.0,4500
2023-10-12,50.0,50.0,50.0,50.0,14200
2023-10-13,50.0,50.0,50.0,50.0,8800
2023-10-16,50.0,50.0,50.0,50.0,3200
2023-10-17,50.0,50.0,50.0,50.0,6400
2023-10-18,50.0,50.0,50.0,50.0,5700
2023-10-19,50.0,50.0,50.0,50.0,3000
2023-10-20,50.0,50.0,50.0,50.0,7300
2023-10-23,50.0,50.0,50.0,50.0,77500
2023-10-24,50.0,50.0,50.0,50.0,20300
2023-10-25,50.0,50.0,50.0,50.0,15500
2023-10-26,50.0,50.0,50.0,50.0,26000
2023-10-27,50.0,50.0,50.0,50.0,2500
2023-10-30,50.0,50.0,50.0,50.0,600
2023-10-31,50.0,50.0,50.0,50.0,13600
2023-11-01,50.0,50.0,50.0,50.0,1100
2023-11-02,50.0,50.0,50.0,50.0,4500
2023-11-03,50.0,50.0,50.0,50.0,6800
2023-11-06,50.0,50.0,50.0,50.0,3100
2023-11-07,50.0,50.0,50.0,50.0,5600
2023-11-08,50.0,50.0,50.0,50.0,32800
2023-11-09,50.0,50.0,50.0,50.0,1200
2023-11-10,50.0,50.0,50.0,50.0,21200
