Date,Close,High,Low,Open,Volume
2023-07-03,790.0,800.0,785.0,785.0,238800
2023-07-04,845.0,900.0,790.0,790.0,2381800
2023-07-05,845.0,870.0,830.0,845.0,1340900
2023-07-06,855.0,865.0,835.0,845.0,486900
2023-07-07,850.0,865.0,840.0,855.0,385600
2023-07-10,860.0,875.0,845.0,850.0,1044000
2023-07-11,860.0,895.0,840.0,860.0,2527400
2023-07-12,825.0,880.0,810.0,860.0,2639200
2023-07-13,845.0,845.0,825.0,830.0,454400
2023-07-14,855.0,855.0,835.0,845.0,772600
2023-07-17,845.0,860.0,845.0,860.0,465600
2023-07-18,850.0,860.0,840.0,855.0,377200
2023-07-20,845.0,860.0,845.0,845.0,395600
2023-07-21,840.0,855.0,840.0,850.0,278000
2023-07-24,845.0,850.0,830.0,835.0,326000
2023-07-25,840.0,855.0,840.0,845.0,312200
2023-07-26,845.0,855.0,845.0,845.0,640500
2023-07-27,840.0,850.0,830.0,845.0,391000
2023-07-28,835.0,845.0,830.0,840.0,136300
2023-07-31,850.0,865.0,830.0,835.0,820600
2023-08-01,900.0,915.0,855.0,855.0,4517600
2023-08-02,875.0,915.0,860.0,900.0,1506000
2023-08-03,870.0,885.0,865.0,865.0,516800
2023-08-04,880.0,885.0,860.0,870.0,284800
2023-08-07,855.0,885.0,855.0,880.0,697900
2023-08-08,845.0,865.0,830.0,855.0,914400
2023-08-09,820.0,855.0,820.0,845.0,1378900
2023-08-10,830.0,830.0,815.0,815.0,282000
2023-08-11,830.0,840.0,825.0,835.0,215000
2023-08-14,835.0,845.0,830.0,830.0,437700
2023-08-15,850.0,850.0,825.0,835.0,328600
2023-08-16,845.0,850.0,835.0,850.0,272000
2023-08-18,835.0,850.0,835.0,845.0,195900
2023-08-21,830.0,840.0,825.0,835.0,298900
2023-08-22,830.0,840.0,825.0,830.0,333900
2023-08-23,830.0,855.0,820.0,825.0,820900
2023-08-24,830.0,840.0,830.0,830.0,168800
2023-08-25,835.0,840.0,825.0,830.0,157100
