Date,Close,High,Low,Open,Volume
2023-07-03,230.0,230.0,224.0,224.0,608900
2023-07-04,232.0,238.0,230.0,230.0,1024300
2023-07-05,236.0,238.0,232.0,232.0,522000
2023-07-06,234.0,238.0,230.0,238.0,461200
2023-07-07,242.0,242.0,234.0,236.0,1421400
2023-07-10,244.0,246.0,238.0,242.0,1173900
2023-07-11,248.0,258.0,242.0,244.0,2767500
2023-07-12,248.0,250.0,246.0,248.0,582800
2023-07-13,248.0,258.0,244.0,248.0,654800
2023-07-14,246.0,250.0,246.0,248.0,503000
2023-07-17,244.0,248.0,242.0,248.0,396500
2023-07-18,244.0,246.0,242.0,244.0,449100
2023-07-20,244.0,246.0,242.0,244.0,337400
2023-07-21,244.0,246.0,242.0,244.0,242300
2023-07-24,246.0,246.0,242.0,244.0,390200
2023-07-25,252.0,254.0,244.0,246.0,1666900
2023-07-26,278.0,282.0,252.0,254.0,7223600
2023-07-27,274.0,288.0,270.0,280.0,4464500
2023-07-28,272.0,278.0,262.0,274.0,2284100
2023-07-31,272.0,280.0,264.0,272.0,974100
2023-08-01,232.0,268.0,232.0,268.0,5783800
2023-08-02,214.0,230.0,208.0,230.0,5331600
2023-08-03,214.0,222.0,204.0,204.0,1017100
2023-08-04,218.0,220.0,206.0,206.0,343500
2023-08-07,218.0,222.0,204.0,204.0,845400
2023-08-08,218.0,220.0,216.0,218.0,771500
2023-08-09,216.0,220.0,216.0,218.0,399400
2023-08-10,216.0,218.0,214.0,216.0,688700
2023-08-11,216.0,218.0,214.0,214.0,379500
2023-08-14,220.0,224.0,214.0,216.0,1409800
2023-08-15,218.0,220.0,216.0,220.0,648400
2023-08-16,218.0,220.0,216.0,218.0,211400
2023-08-18,218.0,228.0,214.0,228.0,235400
2023-08-21,216.0,226.0,214.0,226.0,828600
2023-08-22,220.0,220.0,214.0,214.0,1021900
2023-08-23,220.0,224.0,216.0,220.0,524100
2023-08-24,216.0,222.0,216.0,218.0,230500
2023-08-25,218.0,222.0,216.0,218.0,743500
2023-08-28,220.0,220.0,216.0,218.0,365000
2023-08-29,216.0,222.0,216.0,220.0,543300
2023-08-30,218.0,220.0,214.0,218.0,327900
2023-08-31,216.0,218.0,214.0,216.0,1015500
2023-09-01,216.0,216.0,212.0,216.0,441200
2023-09-04,214.0,216.0,212.0,216.0,572000
2023-09-05,210.0,216.0,210.0,214.0,702300
2023-09-06,212.0,214.0,210.0,212.0,329500
2023-09-07,212.0,216.0,210.0,212.0,908500
2023-09-08,212.0,214.0,208.0,212.0,401400
2023-09-11,212.0,214.0,208.0,212.0,375600
2023-09-12,210.0,214.0,208.0,212.0,816600
2023-09-13,208.0,212.0,208.0,212.0,560400
2023-09-14,212.0,214.0,208.0,208.0,340000
2023-09-15,212.0,214.0,208.0,214.0,241200
2023-09-18,206.0,212.0,206.0,212.0,431900
2023-09-19,208.0,210.0,206.0,208.0,326100
2023-09-20,208.0,214.0,208.0,210.0,551000
2023-09-21,208.0,212.0,208.0,208.0,124500
2023-09-22,210.0,212.0,208.0,210.0,200300
2023-09-25,208.0,212.0,208.0,210.0,262700
2023-09-26,204.0,210.0,204.0,210.0,1239600
2023-09-27,208.0,212.0,206.0,206.0,1190800
2023-09-29,206.0,212.0,206.0,212.0,285300
2023-10-02,240.0,256.0,204.0,210.0,72247500
2023-10-03,228.0,250.0,224.0,240.0,18489100
2023-10-04,230.0,232.0,216.0,232.0,5366400
2023-10-05,222.0,238.0,216.0,230.0,3863200
2023-10-06,220.0,228.0,214.0,214.0,2746200
2023-10-09,214.0,220.0,214.0,218.0,1475800
2023-10-10,214.0,216.0,210.0,214.0,548000
2023-10-11,214.0,216.0,212.0,216.0,587500
2023-10-12,208.0,214.0,206.0,212.0,1958900
2023-10-13,204.0,208.0,204.0,208.0,1631500
2023-10-16,204.0,208.0,204.0,206.0,1073300
2023-10-17,208.0,208.0,204.0,208.0,593000
2023-10-18,206.0,210.0,204.0,208.0,622900
2023-10-19,212.0,226.0,206.0,208.0,5748600
2023-10-20,208.0,228.0,206.0,228.0,1335500
2023-10-23,202.0,218.0,200.0,218.0,992700
2023-10-24,206.0,214.0,202.0,214.0,413500
2023-10-25,204.0,212.0,202.0,208.0,844500
2023-10-26,204.0,208.0,202.0,204.0,272800
2023-10-27,204.0,208.0,200.0,206.0,828000
2023-10-30,192.0,204.0,192.0,204.0,2544000
2023-10-31,179.0,199.0,173.0,184.0,2337300
2023-11-01,168.0,179.0,166.0,179.0,842600
2023-11-02,165.0,174.0,159.0,159.0,454100
2023-11-03,168.0,174.0,160.0,160.0,178800
2023-11-06,167.0,170.0,159.0,159.0,288800
2023-11-07,166.0,168.0,165.0,165.0,156200
2023-11-08,167.0,167.0,157.0,157.0,116200
2023-11-09,165.0,169.0,158.0,158.0,178000
2023-11-10,159.0,169.0,155.0,165.0,1468000
2023-11-13,155.0,167.0,155.0,160.0,307000
2023-11-14,157.0,163.0,154.0,155.0,1302900
2023-11-15,157.0,159.0,147.0,147.0,338200
2023-11-16,159.0,159.0,148.0,148.0,350400
2023-11-17,157.0,165.0,150.0,150.0,732000
2023-11-20,157.0,158.0,154.0,154.0,86200
2023-11-21,156.0,159.0,155.0,155.0,253600
2023-11-22,156.0,157.0,154.0,156.0,645700
2023-11-23,156.0,163.0,155.0,157.0,161800
2023-11-24,157.0,160.0,155.0,156.0,140500
2023-11-27,159.0,162.0,158.0,159.0,180900
2023-11-28,159.0,161.0,158.0,160.0,143700
2023-11-29,160.0,162.0,158.0,158.0,346900
2023-11-30,173.0,187.0,158.0,158.0,3624200
2023-12-01,175.0,193.0,172.0,193.0,559200
2023-12-04,173.0,185.0,166.0,185.0,691500
2023-12-05,171.0,175.0,168.0,175.0,200600
2023-12-06,168.0,180.0,165.0,180.0,136800
2023-12-07,166.0,177.0,163.0,177.0,101200
2023-12-08,163.0,174.0,159.0,174.0,227200
2023-12-11,160.0,170.0,153.0,170.0,411600
2023-12-12,158.0,168.0,154.0,168.0,122300
2023-12-13,160.0,167.0,157.0,167.0,119700
2023-12-14,155.0,167.0,155.0,167.0,283300
2023-12-15,158.0,160.0,155.0,159.0,155100
2023-12-18,157.0,159.0,149.0,149.0,258300
2023-12-19,158.0,159.0,147.0,147.0,21300
2023-12-20,157.0,159.0,149.0,149.0,97200
2023-12-21,157.0,160.0,150.0,150.0,102400
2023-12-22,156.0,160.0,149.0,149.0,102500
2023-12-27,159.0,164.0,147.0,147.0,207900
