Date,Close,High,Low,Open,Volume
2025-01-08,565.0,565.0,492.0,545.0,85871200
2025-01-09,424.0,635.0,424.0,610.0,169130100
2025-01-10,326.0,426.0,320.0,406.0,92887600
2025-01-13,326.0,350.0,322.0,338.0,32127800
2025-01-14,312.0,338.0,308.0,326.0,11140000
2025-01-15,290.0,310.0,276.0,310.0,13512800
2025-01-16,320.0,348.0,254.0,290.0,39631000
2025-01-17,300.0,322.0,292.0,320.0,9739700
2025-01-20,292.0,308.0,288.0,304.0,3747400
2025-01-21,282.0,298.0,278.0,292.0,4451800
2025-01-22,274.0,292.0,272.0,282.0,5658300
2025-01-23,274.0,292.0,270.0,274.0,7067200
2025-01-24,270.0,274.0,264.0,274.0,2258800
2025-01-30,270.0,270.0,270.0,270.0,0
2025-01-31,272.0,300.0,266.0,292.0,7674400
2025-02-03,252.0,272.0,246.0,272.0,4561900
2025-02-04,238.0,252.0,236.0,250.0,2924800
2025-02-05,236.0,254.0,230.0,238.0,3923400
2025-02-06,226.0,242.0,224.0,242.0,2851900
2025-02-07,218.0,226.0,212.0,226.0,2136300
2025-02-10,218.0,242.0,200.0,210.0,7977600
2025-02-11,220.0,238.0,214.0,220.0,2626500
2025-02-12,222.0,230.0,218.0,220.0,790100
2025-02-13,222.0,228.0,218.0,228.0,442700
2025-02-14,216.0,228.0,216.0,222.0,818900
2025-02-17,224.0,234.0,210.0,214.0,1259300
2025-02-18,224.0,228.0,220.0,220.0,739800
2025-02-19,230.0,236.0,222.0,230.0,1355500
2025-02-20,222.0,236.0,222.0,234.0,1404200
2025-02-21,220.0,228.0,218.0,222.0,745200
2025-02-24,220.0,224.0,218.0,222.0,525100
2025-02-25,212.0,224.0,208.0,212.0,1486800
2025-02-26,216.0,222.0,208.0,212.0,647200
2025-02-27,210.0,218.0,208.0,216.0,537200
2025-02-28,191.0,216.0,190.0,210.0,1343900
2025-03-03,191.0,191.0,191.0,191.0,0
2025-03-04,191.0,191.0,191.0,191.0,0
2025-03-05,178.0,179.0,175.0,179.0,846300
2025-03-06,182.0,182.0,175.0,175.0,575200
2025-03-07,186.0,186.0,184.0,184.0,129500
2025-03-10,202.0,202.0,189.0,189.0,599600
2025-03-11,222.0,222.0,222.0,222.0,2473600
2025-03-12,244.0,244.0,244.0,244.0,987700
2025-03-13,240.0,240.0,220.0,220.0,2296400
2025-03-14,210.0,236.0,206.0,212.0,3139100
2025-03-17,204.0,214.0,192.0,212.0,1576300
2025-03-18,196.0,210.0,184.0,204.0,1455200
2025-03-19,190.0,196.0,182.0,191.0,820300
2025-03-20,191.0,200.0,182.0,188.0,1187900
2025-03-21,190.0,198.0,170.0,198.0,454800
2025-03-24,179.0,191.0,172.0,190.0,1040600
2025-03-25,181.0,190.0,171.0,179.0,1353000
2025-03-26,184.0,189.0,177.0,181.0,652400
2025-03-27,193.0,193.0,184.0,184.0,4916600
2025-04-08,178.0,191.0,175.0,188.0,1252400
2025-04-09,194.0,198.0,171.0,177.0,500700
2025-04-10,193.0,200.0,184.0,196.0,409800
2025-04-11,190.0,200.0,186.0,193.0,329800
2025-04-14,196.0,199.0,189.0,190.0,834100
2025-04-15,196.0,197.0,190.0,196.0,358400
2025-04-16,197.0,198.0,189.0,196.0,473500
2025-04-17,196.0,226.0,194.0,195.0,3808900
2025-04-21,206.0,208.0,197.0,197.0,689000
2025-04-22,204.0,212.0,200.0,206.0,449400
2025-04-23,206.0,212.0,200.0,204.0,489200
2025-04-24,204.0,210.0,200.0,206.0,306500
2025-04-25,204.0,208.0,196.0,204.0,687000
2025-04-28,204.0,204.0,198.0,204.0,232200
2025-04-29,202.0,210.0,200.0,204.0,327600
2025-04-30,206.0,214.0,202.0,202.0,1088200
2025-05-02,208.0,210.0,204.0,208.0,582300
2025-05-05,208.0,212.0,204.0,208.0,337200
2025-05-06,212.0,214.0,206.0,206.0,529500
2025-05-07,204.0,214.0,198.0,212.0,984600
2025-05-08,202.0,204.0,198.0,204.0,941800
2025-05-09,195.0,202.0,192.0,202.0,355000
2025-05-14,190.0,196.0,183.0,196.0,1090700
2025-05-15,190.0,193.0,187.0,190.0,216600
2025-05-16,191.0,196.0,189.0,190.0,198400
2025-05-19,192.0,195.0,191.0,194.0,280600
2025-05-20,191.0,196.0,190.0,192.0,168100
2025-05-21,192.0,195.0,191.0,191.0,289500
2025-05-22,190.0,194.0,188.0,193.0,383700
2025-05-23,193.0,196.0,189.0,191.0,1844700
2025-05-26,195.0,195.0,188.0,192.0,525900
2025-05-27,195.0,199.0,193.0,196.0,532100
2025-05-28,196.0,198.0,194.0,195.0,119700
2025-06-02,193.0,197.0,191.0,196.0,191700
2025-06-03,196.0,197.0,191.0,193.0,366200
2025-06-04,194.0,196.0,193.0,196.0,32000
2025-06-05,193.0,200.0,191.0,194.0,366200
2025-06-10,200.0,204.0,193.0,193.0,544600
2025-06-11,200.0,206.0,199.0,200.0,245900
2025-06-12,202.0,204.0,198.0,200.0,175900
2025-06-13,202.0,202.0,197.0,200.0,117900
2025-06-16,202.0,202.0,195.0,202.0,584200
2025-06-17,202.0,202.0,199.0,199.0,94500
2025-06-18,202.0,202.0,198.0,200.0,75200
2025-06-19,196.0,202.0,196.0,202.0,213200
2025-06-20,198.0,204.0,195.0,196.0,324600
2025-06-23,195.0,204.0,187.0,198.0,635400
2025-06-24,202.0,202.0,195.0,195.0,613400
2025-06-25,226.0,252.0,202.0,202.0,18882500
2025-06-26,204.0,226.0,202.0,226.0,5040200
2025-06-30,200.0,208.0,196.0,206.0,1113000
2025-07-01,202.0,204.0,197.0,204.0,326300
2025-07-02,196.0,200.0,196.0,200.0,451900
2025-07-03,197.0,206.0,195.0,195.0,624400
2025-07-04,197.0,208.0,193.0,196.0,634600
2025-07-07,195.0,199.0,191.0,196.0,245000
2025-07-08,198.0,199.0,193.0,195.0,180500
2025-07-09,198.0,200.0,195.0,198.0,159400
2025-07-10,198.0,199.0,195.0,197.0,317800
2025-07-11,199.0,202.0,195.0,197.0,155300
2025-07-14,196.0,199.0,195.0,199.0,484700
2025-07-15,194.0,199.0,193.0,196.0,206200
2025-07-16,196.0,196.0,191.0,193.0,744100
2025-07-17,195.0,200.0,194.0,198.0,242700
2025-07-18,195.0,197.0,193.0,195.0,122400
2025-07-21,199.0,199.0,193.0,194.0,1516500
2025-07-22,202.0,202.0,195.0,199.0,711100
2025-07-23,198.0,204.0,197.0,202.0,272900
2025-07-24,199.0,202.0,197.0,198.0,123900
