Date,Close,High,Low,Open,Volume
2025-03-10,270.0,270.0,270.0,270.0,1098800
2025-03-11,336.0,336.0,336.0,336.0,2048900
2025-03-12,420.0,420.0,420.0,420.0,3981200
2025-03-13,525.0,525.0,525.0,525.0,41323800
2025-03-14,488.0,625.0,420.0,525.0,492184500
2025-03-17,442.0,510.0,420.0,500.0,126632100
2025-03-18,510.0,545.0,332.0,458.0,223518900
2025-03-19,510.0,565.0,488.0,515.0,94659500
2025-03-20,482.0,525.0,474.0,515.0,30460000
2025-03-21,470.0,510.0,452.0,484.0,24368600
2025-03-24,440.0,468.0,428.0,468.0,15202200
2025-03-25,434.0,460.0,418.0,440.0,16336000
2025-03-26,456.0,466.0,432.0,434.0,17164400
2025-03-27,476.0,496.0,458.0,464.0,18933700
2025-04-08,410.0,450.0,406.0,416.0,13104900
2025-04-09,458.0,470.0,410.0,410.0,10312700
2025-04-10,488.0,505.0,460.0,476.0,16388000
2025-04-11,488.0,496.0,460.0,488.0,9428000
2025-04-14,482.0,510.0,476.0,488.0,10623200
2025-04-15,488.0,492.0,476.0,482.0,5659000
2025-04-16,476.0,490.0,464.0,488.0,5914900
2025-04-17,474.0,476.0,454.0,474.0,8402600
2025-04-21,484.0,535.0,466.0,474.0,32733500
2025-04-22,482.0,496.0,480.0,484.0,4651100
2025-04-23,494.0,496.0,470.0,486.0,7769500
2025-04-24,600.0,615.0,496.0,496.0,96632800
2025-04-25,555.0,600.0,535.0,595.0,28699800
2025-04-28,550.0,565.0,525.0,560.0,10533900
2025-04-29,575.0,595.0,545.0,550.0,20085900
2025-04-30,505.0,585.0,505.0,585.0,26341100
2025-05-02,525.0,530.0,494.0,510.0,10283900
2025-05-05,530.0,540.0,520.0,530.0,4162600
2025-05-06,550.0,560.0,530.0,530.0,7720400
2025-05-07,545.0,555.0,520.0,550.0,4683600
2025-05-08,510.0,545.0,505.0,545.0,11274400
2025-05-09,510.0,530.0,494.0,505.0,5433900
2025-05-14,505.0,515.0,500.0,505.0,3592900
2025-05-15,520.0,535.0,505.0,510.0,7860900
2025-05-16,510.0,530.0,500.0,520.0,6470600
2025-05-19,545.0,550.0,510.0,515.0,7780000
2025-05-20,510.0,550.0,500.0,545.0,11546000
2025-05-21,498.0,515.0,482.0,510.0,17454700
2025-05-22,498.0,510.0,490.0,498.0,3528800
2025-05-23,500.0,505.0,496.0,498.0,2029500
2025-05-26,498.0,505.0,494.0,500.0,2247500
2025-05-27,492.0,505.0,492.0,498.0,2928000
2025-05-28,492.0,505.0,490.0,496.0,2903600
2025-06-02,484.0,496.0,480.0,492.0,4192500
2025-06-03,484.0,496.0,466.0,482.0,5015000
