Date,Close,High,Low,Open,Volume
2023-07-03,16.0,16.0,16.0,16.0,21300
2023-07-04,15.0,15.0,15.0,15.0,11900
2023-07-05,14.0,14.0,14.0,14.0,244700
2023-07-06,13.0,13.0,13.0,13.0,37300
2023-07-07,12.0,12.0,12.0,12.0,63000
2023-07-10,11.0,11.0,11.0,11.0,288900
2023-07-11,10.0,10.0,10.0,10.0,302300
2023-07-12,9.0,9.0,9.0,9.0,2092100
2023-07-13,8.0,8.0,8.0,8.0,4394400
2023-07-14,9.0,9.0,9.0,9.0,16671900
2023-07-17,8.0,10.0,8.0,10.0,19036300
2023-07-18,8.0,8.0,8.0,8.0,2807900
2023-07-20,7.0,8.0,7.0,8.0,5027000
2023-07-21,6.0,6.0,6.0,6.0,6900400
2023-07-24,5.0,5.0,5.0,5.0,2920800
2023-07-25,4.0,4.0,4.0,4.0,4113900
2023-07-26,5.0,5.0,4.0,4.0,19794500
2023-07-27,5.0,5.0,5.0,5.0,7091200
2023-07-28,6.0,6.0,6.0,6.0,7083100
2023-07-31,7.0,7.0,7.0,7.0,3614000
2023-08-01,6.0,6.0,6.0,6.0,6640500
2023-08-02,6.0,6.0,6.0,6.0,11706400
2023-08-03,6.0,6.0,6.0,6.0,842700
2023-08-04,6.0,6.0,6.0,6.0,2596300
2023-08-07,5.0,6.0,5.0,6.0,5637400
2023-08-08,5.0,5.0,5.0,5.0,915800
2023-08-09,5.0,5.0,5.0,5.0,2615500
2023-08-10,5.0,5.0,4.0,4.0,608100
2023-08-11,5.0,5.0,5.0,5.0,1571200
2023-08-14,5.0,5.0,5.0,5.0,3551100
2023-08-15,5.0,5.0,5.0,5.0,2801800
2023-08-16,5.0,5.0,5.0,5.0,962200
2023-08-18,5.0,5.0,5.0,5.0,3698400
2023-08-21,5.0,5.0,5.0,5.0,548700
2023-08-22,5.0,5.0,5.0,5.0,3580700
2023-08-23,5.0,5.0,5.0,5.0,7152800
2023-08-24,6.0,6.0,6.0,6.0,12842200
2023-08-25,7.0,7.0,7.0,7.0,13123100
2023-08-28,7.0,7.0,7.0,7.0,2014500
2023-08-29,6.0,7.0,6.0,7.0,13383300
2023-08-30,6.0,6.0,5.0,5.0,12437800
2023-08-31,6.0,6.0,6.0,6.0,13732300
2023-09-01,6.0,6.0,6.0,6.0,11535600
2023-09-04,6.0,6.0,6.0,6.0,6884400
2023-09-05,6.0,6.0,6.0,6.0,2329000
2023-09-06,6.0,6.0,6.0,6.0,665400
