Date,Close,High,Low,Open,Volume
2023-07-03,70.0,73.0,64.0,69.0,723900
2023-07-04,65.0,71.0,63.0,70.0,78100
2023-07-05,70.0,70.0,65.0,65.0,230400
2023-07-06,70.0,70.0,70.0,70.0,100
2023-07-07,72.0,72.0,64.0,70.0,35600
2023-07-10,66.0,74.0,66.0,72.0,17200
2023-07-11,65.0,66.0,65.0,66.0,38300
2023-07-12,63.0,67.0,60.0,63.0,135600
2023-07-13,63.0,69.0,58.0,63.0,135800
2023-07-14,60.0,69.0,60.0,69.0,9000
2023-07-17,66.0,66.0,59.0,60.0,371800
2023-07-18,69.0,69.0,65.0,66.0,33700
2023-07-20,65.0,67.0,65.0,65.0,15400
2023-07-21,64.0,69.0,63.0,69.0,32500
2023-07-24,65.0,65.0,64.0,64.0,34800
2023-07-25,70.0,70.0,60.0,69.0,53300
2023-07-26,65.0,74.0,65.0,70.0,73500
2023-07-27,65.0,70.0,63.0,70.0,6300
2023-07-28,64.0,70.0,64.0,69.0,57400
2023-07-31,66.0,69.0,65.0,65.0,6900
2023-08-01,68.0,69.0,61.0,69.0,13900
2023-08-02,69.0,69.0,67.0,67.0,12000
2023-08-03,69.0,70.0,69.0,69.0,26400
2023-08-04,69.0,69.0,65.0,65.0,1500
2023-08-07,71.0,71.0,69.0,69.0,1100
2023-08-08,67.0,72.0,65.0,71.0,550900
2023-08-09,67.0,70.0,67.0,70.0,22100
2023-08-10,67.0,67.0,67.0,67.0,0
2023-08-11,69.0,70.0,62.0,64.0,13500
2023-08-14,65.0,69.0,65.0,65.0,12600
2023-08-15,68.0,70.0,59.0,70.0,19900
2023-08-16,68.0,68.0,63.0,63.0,300
2023-08-18,64.0,65.0,64.0,64.0,10400
2023-08-21,62.0,64.0,62.0,63.0,11600
2023-08-22,63.0,63.0,62.0,62.0,8300
2023-08-23,67.0,67.0,65.0,66.0,11000
2023-08-24,63.0,67.0,63.0,67.0,4700
2023-08-25,64.0,69.0,64.0,66.0,7300
2023-08-28,63.0,70.0,62.0,69.0,19800
2023-08-29,63.0,63.0,63.0,63.0,32000
2023-08-30,63.0,63.0,63.0,63.0,0
2023-08-31,65.0,65.0,60.0,60.0,800
2023-09-01,65.0,67.0,65.0,65.0,29400
2023-09-04,67.0,67.0,66.0,66.0,26200
2023-09-05,67.0,70.0,67.0,70.0,56500
2023-09-06,69.0,70.0,63.0,63.0,33900
2023-09-07,68.0,68.0,64.0,64.0,7100
2023-09-08,66.0,66.0,65.0,65.0,400
2023-09-11,69.0,69.0,69.0,69.0,2300
2023-09-12,65.0,67.0,65.0,66.0,12100
2023-09-13,62.0,64.0,61.0,64.0,10200
2023-09-14,66.0,68.0,63.0,68.0,5600
2023-09-15,67.0,67.0,62.0,62.0,46500
2023-09-18,63.0,63.0,63.0,63.0,2200
2023-09-19,63.0,68.0,62.0,63.0,8000
2023-09-20,66.0,68.0,66.0,66.0,35000
2023-09-21,63.0,70.0,62.0,63.0,2500
2023-09-22,65.0,67.0,58.0,63.0,80300
2023-09-25,65.0,65.0,62.0,62.0,400
2023-09-26,64.0,64.0,63.0,63.0,500
2023-09-27,64.0,64.0,64.0,64.0,1000
2023-09-29,63.0,63.0,63.0,63.0,800
2023-10-02,64.0,64.0,60.0,60.0,200
2023-10-03,66.0,66.0,61.0,65.0,1200
2023-10-04,63.0,65.0,63.0,63.0,1100
2023-10-05,63.0,63.0,63.0,63.0,14300
2023-10-06,62.0,62.0,62.0,62.0,21100
2023-10-09,61.0,61.0,61.0,61.0,8300
2023-10-10,61.0,61.0,61.0,61.0,0
2023-10-11,66.0,66.0,61.0,61.0,4500
2023-10-12,68.0,72.0,62.0,70.0,104700
2023-10-13,69.0,71.0,65.0,65.0,6800
2023-10-16,68.0,70.0,65.0,70.0,101700
2023-10-17,67.0,67.0,67.0,67.0,100
2023-10-18,67.0,70.0,64.0,69.0,140000
2023-10-19,64.0,65.0,61.0,65.0,118500
2023-10-20,64.0,64.0,60.0,64.0,16300
2023-10-23,61.0,64.0,61.0,64.0,111400
2023-10-24,65.0,65.0,65.0,65.0,100
2023-10-25,64.0,64.0,62.0,62.0,1400
2023-10-26,64.0,64.0,64.0,64.0,100
2023-10-27,64.0,64.0,60.0,60.0,2100
2023-10-30,63.0,63.0,58.0,62.0,4200
2023-10-31,64.0,64.0,60.0,60.0,300
2023-11-01,64.0,64.0,64.0,64.0,5100
2023-11-02,64.0,64.0,64.0,64.0,4000
2023-11-03,63.0,66.0,63.0,66.0,1300
2023-11-06,60.0,66.0,58.0,58.0,2300
2023-11-07,60.0,60.0,60.0,60.0,0
2023-11-08,61.0,61.0,54.0,60.0,8600
2023-11-09,63.0,63.0,61.0,61.0,600
2023-11-10,61.0,66.0,61.0,66.0,300
2023-11-13,60.0,65.0,60.0,65.0,200
2023-11-14,56.0,65.0,54.0,60.0,3500
2023-11-15,57.0,61.0,56.0,56.0,6700
2023-11-16,57.0,62.0,57.0,57.0,400
2023-11-17,57.0,62.0,57.0,62.0,5100
2023-11-20,62.0,62.0,57.0,57.0,5000
2023-11-21,67.0,67.0,58.0,58.0,17900
2023-11-22,65.0,72.0,61.0,72.0,9300
2023-11-23,63.0,71.0,61.0,65.0,9200
2023-11-24,65.0,66.0,61.0,66.0,500
2023-11-27,64.0,64.0,61.0,61.0,19400
2023-11-28,63.0,64.0,60.0,60.0,1900
2023-11-29,63.0,63.0,58.0,58.0,1800
2023-11-30,62.0,62.0,62.0,62.0,200
2023-12-01,62.0,62.0,62.0,62.0,0
2023-12-04,62.0,62.0,56.0,56.0,23300
2023-12-05,63.0,63.0,57.0,57.0,5600
2023-12-06,63.0,68.0,57.0,57.0,39300
2023-12-07,63.0,63.0,58.0,58.0,400
2023-12-08,59.0,68.0,58.0,58.0,5400
2023-12-11,61.0,61.0,61.0,61.0,900
2023-12-12,57.0,61.0,57.0,61.0,300
2023-12-13,57.0,57.0,57.0,57.0,0
2023-12-14,58.0,62.0,58.0,62.0,40700
2023-12-15,56.0,62.0,54.0,58.0,2700
2023-12-18,56.0,56.0,56.0,56.0,0
2023-12-19,56.0,56.0,56.0,56.0,100
2023-12-20,54.0,57.0,54.0,56.0,20900
2023-12-21,59.0,59.0,53.0,54.0,14700
2023-12-22,56.0,64.0,54.0,64.0,32000
2023-12-27,58.0,61.0,53.0,54.0,97100
2023-12-28,60.0,62.0,54.0,62.0,95100
2023-12-29,60.0,65.0,54.0,65.0,29700
2024-01-02,58.0,60.0,55.0,60.0,72200
2024-01-03,57.0,60.0,57.0,60.0,400
2024-01-04,58.0,59.0,54.0,59.0,2800
2024-01-05,56.0,57.0,54.0,57.0,22400
2024-01-08,54.0,54.0,54.0,54.0,300
2024-01-09,57.0,58.0,53.0,53.0,29900
2024-01-10,57.0,62.0,57.0,62.0,500
