Date,Close,High,Low,Open,Volume
2023-07-03,16.0,16.0,16.0,16.0,2335500
2023-07-04,17.0,17.0,16.0,16.0,5426700
2023-07-05,16.0,16.0,16.0,16.0,2458100
2023-07-06,16.0,16.0,16.0,16.0,3378300
2023-07-07,17.0,17.0,16.0,16.0,8386000
2023-07-10,18.0,18.0,17.0,17.0,3039300
2023-07-11,19.0,19.0,19.0,19.0,347200
2023-07-12,20.0,20.0,20.0,20.0,216200
2023-07-13,22.0,22.0,22.0,22.0,318100
2023-07-14,24.0,24.0,24.0,24.0,593400
2023-07-17,26.0,26.0,26.0,26.0,1011800
2023-07-18,28.0,28.0,28.0,28.0,2567300
2023-07-20,28.0,28.0,28.0,28.0,1463300
2023-07-21,27.0,27.0,27.0,27.0,798800
2023-07-24,25.0,26.0,25.0,26.0,288800
2023-07-25,23.0,23.0,23.0,23.0,302100
2023-07-26,21.0,21.0,21.0,21.0,711700
2023-07-27,19.0,19.0,19.0,19.0,3695000
2023-07-28,19.0,19.0,19.0,19.0,440100
2023-07-31,20.0,20.0,19.0,19.0,296700
2023-08-01,21.0,21.0,21.0,21.0,1253900
2023-08-02,21.0,21.0,21.0,21.0,994300
2023-08-03,21.0,21.0,21.0,21.0,176400
2023-08-04,21.0,21.0,21.0,21.0,401400
2023-08-07,21.0,21.0,21.0,21.0,1871100
2023-08-08,20.0,20.0,20.0,20.0,810500
2023-08-09,20.0,20.0,20.0,20.0,1799800
2023-08-10,20.0,20.0,20.0,20.0,23000
2023-08-11,20.0,20.0,20.0,20.0,229900
2023-08-14,20.0,20.0,20.0,20.0,388900
2023-08-15,20.0,20.0,20.0,20.0,43200
2023-08-16,20.0,20.0,20.0,20.0,277700
2023-08-18,21.0,21.0,20.0,20.0,206100
2023-08-21,21.0,21.0,21.0,21.0,12500
2023-08-22,21.0,21.0,21.0,21.0,261700
2023-08-23,21.0,21.0,21.0,21.0,163900
2023-08-24,20.0,20.0,20.0,20.0,176000
2023-08-25,22.0,22.0,22.0,22.0,835300
2023-08-28,22.0,22.0,22.0,22.0,364200
2023-08-29,22.0,22.0,22.0,22.0,183500
2023-08-30,22.0,22.0,22.0,22.0,49500
2023-08-31,22.0,22.0,22.0,22.0,424400
2023-09-01,22.0,22.0,22.0,22.0,1082700
2023-09-04,22.0,22.0,22.0,22.0,42500
2023-09-05,22.0,22.0,22.0,22.0,1059500
2023-09-06,22.0,22.0,22.0,22.0,131600
2023-09-07,22.0,22.0,22.0,22.0,148000
2023-09-08,22.0,22.0,22.0,22.0,162900
2023-09-11,21.0,22.0,21.0,22.0,7300
2023-09-12,21.0,21.0,21.0,21.0,729000
2023-09-13,22.0,22.0,22.0,22.0,109400
2023-09-14,22.0,22.0,22.0,22.0,12800
2023-09-15,22.0,22.0,22.0,22.0,6800
2023-09-18,20.0,21.0,20.0,21.0,548200
2023-09-19,20.0,21.0,20.0,21.0,10500
2023-09-20,20.0,20.0,20.0,20.0,364300
2023-09-21,20.0,20.0,20.0,20.0,322200
