Date,Close,High,Low,Open,Volume
2023-07-03,161.0,165.0,140.0,140.0,4926000
2023-07-04,160.0,167.0,151.0,151.0,4726900
2023-07-05,158.0,162.0,157.0,160.0,2645000
2023-07-06,156.0,162.0,156.0,159.0,3914500
2023-07-07,152.0,159.0,147.0,147.0,1775400
2023-07-10,152.0,168.0,143.0,143.0,31280000
2023-07-11,151.0,156.0,150.0,153.0,2432200
2023-07-12,147.0,154.0,147.0,151.0,1510700
2023-07-13,153.0,198.0,140.0,140.0,3472400
2023-07-14,152.0,155.0,143.0,143.0,1412400
2023-07-17,150.0,154.0,142.0,142.0,1063200
2023-07-18,148.0,151.0,143.0,143.0,1190200
2023-07-20,152.0,153.0,147.0,147.0,1237500
2023-07-21,149.0,152.0,143.0,143.0,531300
2023-07-24,150.0,154.0,149.0,149.0,773900
2023-07-25,149.0,154.0,142.0,142.0,656800
2023-07-26,150.0,152.0,147.0,147.0,677300
2023-07-27,148.0,150.0,142.0,142.0,869600
2023-07-28,147.0,151.0,145.0,149.0,524600
2023-07-31,144.0,150.0,143.0,147.0,1318400
2023-08-01,130.0,144.0,127.0,136.0,4835100
2023-08-02,127.0,131.0,126.0,130.0,1229300
2023-08-03,127.0,130.0,124.0,127.0,1220400
2023-08-04,127.0,131.0,126.0,131.0,474400
2023-08-07,131.0,133.0,127.0,132.0,1418300
2023-08-08,130.0,137.0,128.0,137.0,497800
2023-08-09,129.0,135.0,127.0,135.0,506600
2023-08-10,126.0,134.0,126.0,134.0,578700
2023-08-11,126.0,133.0,126.0,133.0,401800
2023-08-14,121.0,132.0,120.0,132.0,1269100
2023-08-15,122.0,123.0,112.0,112.0,386900
2023-08-16,126.0,137.0,121.0,123.0,4426000
2023-08-18,125.0,135.0,124.0,135.0,905800
2023-08-21,124.0,134.0,123.0,134.0,532300
2023-08-22,125.0,129.0,121.0,129.0,277500
2023-08-23,123.0,130.0,121.0,130.0,254500
2023-08-24,123.0,129.0,120.0,129.0,580400
2023-08-25,123.0,128.0,120.0,128.0,371700
2023-08-28,122.0,127.0,121.0,127.0,209100
2023-08-29,123.0,126.0,121.0,126.0,394300
2023-08-30,123.0,126.0,120.0,126.0,540000
2023-08-31,121.0,126.0,120.0,126.0,330400
2023-09-01,113.0,127.0,105.0,127.0,969600
2023-09-04,112.0,119.0,105.0,119.0,2745800
2023-09-05,112.0,112.0,96.0,96.0,506100
2023-09-06,113.0,117.0,111.0,117.0,435200
2023-09-07,113.0,119.0,111.0,119.0,307900
2023-09-08,113.0,118.0,111.0,118.0,221200
2023-09-11,110.0,117.0,109.0,117.0,574600
