Date,Close,High,Low,Open,Volume
2023-07-03,54.0,56.0,53.0,56.0,358000
2023-07-04,54.0,54.0,53.0,54.0,167500
2023-07-05,54.0,57.0,53.0,57.0,272300
2023-07-06,55.0,55.0,53.0,54.0,437000
2023-07-07,54.0,56.0,53.0,56.0,1226700
2023-07-10,54.0,57.0,53.0,57.0,765700
2023-07-11,55.0,55.0,54.0,55.0,46500
2023-07-12,55.0,55.0,53.0,54.0,107600
2023-07-13,54.0,55.0,54.0,54.0,113700
2023-07-14,54.0,55.0,54.0,55.0,356500
2023-07-17,54.0,57.0,53.0,57.0,930400
2023-07-18,54.0,55.0,53.0,54.0,309900
2023-07-20,54.0,54.0,53.0,54.0,227200
2023-07-21,54.0,54.0,53.0,54.0,40500
2023-07-24,54.0,54.0,53.0,53.0,201500
2023-07-25,54.0,54.0,53.0,54.0,125600
2023-07-26,53.0,54.0,53.0,53.0,984800
2023-07-27,53.0,54.0,52.0,53.0,1048300
2023-07-28,53.0,53.0,52.0,52.0,152200
2023-07-31,53.0,53.0,51.0,52.0,4252500
2023-08-01,50.0,52.0,50.0,52.0,6076000
2023-08-02,50.0,51.0,50.0,50.0,3276400
2023-08-03,50.0,51.0,50.0,50.0,3481300
2023-08-04,50.0,51.0,50.0,50.0,853300
2023-08-07,50.0,51.0,50.0,50.0,251100
2023-08-08,50.0,50.0,50.0,50.0,1601600
2023-08-09,50.0,51.0,50.0,50.0,2214200
2023-08-10,50.0,51.0,50.0,50.0,1558900
2023-08-11,50.0,51.0,50.0,50.0,2228600
2023-08-14,50.0,50.0,50.0,50.0,321800
2023-08-15,50.0,50.0,50.0,50.0,274300
2023-08-16,50.0,51.0,50.0,50.0,373200
2023-08-18,50.0,50.0,50.0,50.0,149200
2023-08-21,50.0,50.0,50.0,50.0,213800
2023-08-22,50.0,50.0,50.0,50.0,21700
2023-08-23,50.0,50.0,50.0,50.0,124000
2023-08-24,50.0,50.0,50.0,50.0,35900
2023-08-25,51.0,52.0,50.0,50.0,5091900
2023-08-28,50.0,51.0,50.0,51.0,1408400
2023-08-29,51.0,51.0,50.0,51.0,2858000
2023-08-30,50.0,51.0,50.0,51.0,1144700
2023-08-31,50.0,51.0,50.0,50.0,761400
2023-09-01,50.0,50.0,50.0,50.0,401100
2023-09-04,50.0,51.0,50.0,50.0,400500
2023-09-05,50.0,50.0,50.0,50.0,170000
2023-09-06,50.0,50.0,50.0,50.0,213100
2023-09-07,50.0,51.0,50.0,50.0,292500
2023-09-08,51.0,51.0,50.0,50.0,214700
2023-09-11,51.0,51.0,50.0,50.0,107800
2023-09-12,50.0,51.0,50.0,50.0,70600
2023-09-13,51.0,51.0,50.0,50.0,868300
2023-09-14,51.0,51.0,50.0,51.0,219400
2023-09-15,50.0,51.0,50.0,50.0,667100
2023-09-18,50.0,50.0,50.0,50.0,50000
2023-09-19,50.0,51.0,50.0,50.0,497500
2023-09-20,50.0,50.0,50.0,50.0,64000
2023-09-21,50.0,51.0,50.0,50.0,1149100
2023-09-22,50.0,50.0,50.0,50.0,112500
2023-09-25,50.0,50.0,50.0,50.0,500
2023-09-26,50.0,50.0,50.0,50.0,200
2023-09-27,50.0,50.0,50.0,50.0,400
2023-09-29,50.0,50.0,50.0,50.0,2000
2023-10-02,50.0,50.0,50.0,50.0,2067300
2023-10-03,50.0,51.0,50.0,50.0,963600
2023-10-04,50.0,50.0,50.0,50.0,541200
2023-10-05,50.0,50.0,50.0,50.0,2500
2023-10-06,50.0,51.0,50.0,50.0,129400
2023-10-09,50.0,50.0,50.0,50.0,245400
2023-10-10,50.0,51.0,50.0,51.0,48200
2023-10-11,55.0,59.0,50.0,50.0,12253800
2023-10-12,74.0,74.0,56.0,56.0,123551100
2023-10-13,61.0,79.0,59.0,77.0,56821500
2023-10-16,67.0,75.0,58.0,62.0,99533500
2023-10-17,68.0,76.0,65.0,68.0,48891100
2023-10-18,69.0,71.0,66.0,68.0,12263600
2023-10-19,66.0,69.0,62.0,62.0,9552600
2023-10-20,63.0,73.0,62.0,65.0,25996800
2023-10-23,62.0,67.0,59.0,63.0,18135600
2023-10-24,61.0,63.0,58.0,58.0,3992000
2023-10-25,61.0,66.0,60.0,61.0,9379100
2023-10-26,59.0,62.0,55.0,55.0,10473200
2023-10-27,58.0,61.0,58.0,59.0,5162900
2023-10-30,56.0,59.0,56.0,58.0,4897300
2023-10-31,51.0,58.0,50.0,57.0,40051400
2023-11-01,52.0,53.0,51.0,51.0,2617800
2023-11-02,52.0,53.0,51.0,52.0,2070100
2023-11-03,52.0,53.0,51.0,52.0,626600
2023-11-06,53.0,54.0,52.0,52.0,944900
2023-11-07,54.0,56.0,52.0,53.0,3353400
2023-11-08,54.0,55.0,53.0,54.0,818900
2023-11-09,53.0,55.0,53.0,54.0,1305700
2023-11-10,53.0,54.0,51.0,53.0,1678800
2023-11-13,53.0,53.0,51.0,52.0,864300
2023-11-14,53.0,53.0,52.0,52.0,298200
2023-11-15,53.0,53.0,52.0,53.0,755100
2023-11-16,53.0,53.0,52.0,53.0,90600
2023-11-17,52.0,53.0,51.0,52.0,806400
2023-11-20,51.0,55.0,51.0,51.0,4077500
2023-11-21,51.0,52.0,50.0,51.0,2663100
2023-11-22,51.0,52.0,50.0,51.0,2447200
2023-11-23,51.0,53.0,50.0,53.0,2385900
2023-11-24,50.0,51.0,50.0,51.0,1529900
2023-11-27,51.0,51.0,50.0,50.0,1381200
2023-11-28,52.0,53.0,51.0,51.0,2490000
2023-11-29,53.0,53.0,52.0,52.0,747400
2023-11-30,52.0,54.0,51.0,53.0,859500
2023-12-01,51.0,53.0,50.0,50.0,1929500
2023-12-04,52.0,52.0,50.0,51.0,1202600
2023-12-05,51.0,52.0,50.0,51.0,1200500
2023-12-06,50.0,51.0,50.0,51.0,1515800
2023-12-07,51.0,52.0,50.0,50.0,1977700
2023-12-08,52.0,52.0,51.0,52.0,1478700
2023-12-11,51.0,55.0,50.0,51.0,13472100
2023-12-12,51.0,52.0,51.0,51.0,700300
2023-12-13,51.0,52.0,51.0,52.0,686200
2023-12-14,51.0,52.0,51.0,51.0,268200
2023-12-15,51.0,52.0,51.0,51.0,628800
2023-12-18,51.0,52.0,51.0,51.0,1043500
2023-12-19,52.0,52.0,51.0,51.0,106700
2023-12-20,51.0,52.0,51.0,52.0,1270200
2023-12-21,51.0,52.0,51.0,51.0,303000
2023-12-22,51.0,52.0,51.0,51.0,403900
2023-12-27,52.0,52.0,51.0,51.0,72500
2023-12-28,52.0,52.0,51.0,52.0,416000
2023-12-29,52.0,52.0,51.0,52.0,271100
2024-01-02,51.0,52.0,51.0,51.0,834100
2024-01-03,51.0,52.0,51.0,52.0,629800
2024-01-04,52.0,53.0,51.0,51.0,418300
2024-01-05,51.0,52.0,51.0,52.0,1085800
2024-01-08,52.0,52.0,51.0,51.0,86600
2024-01-09,51.0,61.0,51.0,51.0,34852200
2024-01-10,51.0,52.0,51.0,51.0,1826900
2024-01-11,52.0,52.0,51.0,52.0,364700
2024-01-12,52.0,52.0,51.0,52.0,965800
2024-01-15,51.0,52.0,51.0,51.0,351800
2024-01-16,52.0,55.0,51.0,51.0,8618900
2024-01-17,53.0,53.0,52.0,52.0,550900
2024-01-18,53.0,54.0,52.0,52.0,328800
2024-01-19,53.0,54.0,52.0,53.0,450000
2024-01-22,53.0,53.0,52.0,53.0,943700
2024-01-23,52.0,53.0,52.0,53.0,708900
2024-01-24,52.0,53.0,52.0,52.0,1264400
2024-01-25,53.0,53.0,52.0,53.0,1500
2024-01-26,52.0,53.0,52.0,53.0,1295600
2024-01-29,52.0,53.0,52.0,52.0,1504300
2024-01-30,52.0,53.0,52.0,52.0,744700
2024-01-31,52.0,53.0,52.0,52.0,525600
2024-02-01,52.0,53.0,52.0,52.0,359400
2024-02-02,53.0,53.0,52.0,52.0,59700
2024-02-05,53.0,53.0,52.0,52.0,138800
2024-02-06,52.0,53.0,52.0,52.0,343300
2024-02-07,53.0,53.0,52.0,52.0,47600
2024-02-12,53.0,54.0,52.0,53.0,506400
2024-02-13,53.0,53.0,52.0,52.0,345700
2024-02-15,53.0,53.0,52.0,53.0,12300
2024-02-16,53.0,53.0,52.0,52.0,103200
2024-02-19,52.0,53.0,52.0,52.0,230300
2024-02-20,53.0,53.0,51.0,52.0,798100
2024-02-21,53.0,53.0,52.0,53.0,696900
2024-02-22,51.0,52.0,51.0,52.0,294100
2024-02-23,52.0,52.0,51.0,51.0,235900
2024-02-26,52.0,53.0,51.0,52.0,37100
2024-02-27,53.0,53.0,51.0,51.0,171900
2024-02-28,53.0,53.0,52.0,53.0,141100
2024-02-29,53.0,53.0,52.0,52.0,14800
2024-03-01,53.0,53.0,52.0,52.0,138400
2024-03-04,53.0,53.0,51.0,52.0,38200
2024-03-05,53.0,53.0,52.0,52.0,152600
2024-03-06,53.0,53.0,52.0,52.0,174600
2024-03-07,53.0,53.0,52.0,52.0,80100
2024-03-08,53.0,54.0,52.0,52.0,840500
2024-03-13,52.0,54.0,52.0,53.0,172200
2024-03-14,53.0,54.0,52.0,52.0,3219500
2024-03-15,53.0,54.0,52.0,53.0,268400
2024-03-18,54.0,54.0,52.0,53.0,582200
2024-03-19,54.0,54.0,53.0,54.0,816500
2024-03-20,53.0,54.0,53.0,54.0,766100
2024-03-21,53.0,53.0,52.0,52.0,104900
2024-03-22,52.0,54.0,52.0,53.0,442000
2024-03-25,53.0,53.0,51.0,53.0,468300
2024-03-26,52.0,53.0,50.0,53.0,15130900
2024-03-27,52.0,53.0,50.0,52.0,895700
2024-03-28,52.0,53.0,51.0,52.0,978200
2024-04-01,53.0,53.0,51.0,53.0,671000
2024-04-02,52.0,53.0,51.0,53.0,441300
2024-04-03,52.0,53.0,51.0,52.0,735200
2024-04-04,52.0,53.0,51.0,52.0,327900
2024-04-05,52.0,52.0,52.0,52.0,205000
2024-04-16,52.0,53.0,52.0,52.0,186100
2024-04-17,53.0,53.0,52.0,52.0,111600
2024-04-18,53.0,54.0,51.0,53.0,2351000
2024-04-19,53.0,54.0,53.0,53.0,973500
2024-04-22,54.0,54.0,53.0,53.0,819600
2024-04-23,55.0,55.0,52.0,53.0,829100
2024-04-24,54.0,55.0,53.0,54.0,1709700
2024-04-25,53.0,54.0,52.0,54.0,704400
2024-04-26,54.0,55.0,53.0,53.0,456800
2024-04-29,54.0,55.0,53.0,53.0,576300
2024-04-30,55.0,58.0,53.0,54.0,5471800
2024-05-02,56.0,56.0,54.0,55.0,1148100
2024-05-03,55.0,56.0,54.0,56.0,1670400
2024-05-06,56.0,56.0,55.0,55.0,427500
2024-05-07,56.0,57.0,55.0,56.0,853300
2024-05-08,58.0,58.0,56.0,56.0,1903600
2024-05-13,58.0,58.0,56.0,58.0,484400
2024-05-14,60.0,60.0,58.0,58.0,2502600
2024-05-15,59.0,61.0,58.0,59.0,862300
2024-05-16,60.0,60.0,59.0,59.0,178900
2024-05-17,59.0,60.0,58.0,59.0,768400
2024-05-20,65.0,73.0,58.0,59.0,38449000
2024-05-21,64.0,74.0,62.0,74.0,5061900
2024-05-22,64.0,67.0,63.0,67.0,1403500
2024-05-27,65.0,65.0,63.0,63.0,1024200
2024-05-28,62.0,66.0,61.0,64.0,2889300
2024-05-29,63.0,67.0,62.0,67.0,485400
2024-05-30,63.0,68.0,62.0,68.0,678100
2024-05-31,63.0,65.0,62.0,63.0,892200
2024-06-03,65.0,67.0,62.0,64.0,2253600
2024-06-04,64.0,66.0,60.0,65.0,3251600
2024-06-05,63.0,66.0,61.0,65.0,788800
2024-06-06,62.0,64.0,62.0,63.0,414000
2024-06-07,63.0,63.0,61.0,61.0,142700
2024-06-10,62.0,63.0,60.0,63.0,1260400
2024-06-11,63.0,63.0,61.0,63.0,328300
2024-06-12,62.0,64.0,61.0,61.0,338700
2024-06-13,62.0,64.0,62.0,62.0,223300
2024-06-14,62.0,63.0,62.0,62.0,639200
2024-06-19,61.0,64.0,59.0,62.0,846400
2024-06-20,61.0,62.0,60.0,60.0,747000
2024-06-21,61.0,62.0,58.0,62.0,511800
2024-06-24,61.0,62.0,60.0,62.0,246900
2024-06-25,60.0,62.0,60.0,60.0,456000
2024-06-26,60.0,61.0,58.0,60.0,452200
2024-06-27,60.0,61.0,59.0,59.0,566000
2024-06-28,59.0,61.0,50.0,59.0,1026700
2024-07-01,56.0,60.0,55.0,58.0,482800
2024-07-02,56.0,58.0,54.0,56.0,163600
2024-07-03,59.0,62.0,55.0,62.0,243500
2024-07-04,59.0,60.0,57.0,60.0,152000
2024-07-05,58.0,60.0,57.0,60.0,196200
2024-07-08,59.0,63.0,57.0,63.0,722300
2024-07-09,58.0,65.0,56.0,65.0,428600
2024-07-10,59.0,63.0,58.0,63.0,546200
2024-07-11,60.0,62.0,57.0,61.0,2351700
2024-07-12,60.0,65.0,58.0,65.0,2561100
2024-07-15,60.0,66.0,59.0,66.0,1349800
2024-07-16,60.0,61.0,59.0,60.0,592000
2024-07-17,60.0,61.0,57.0,60.0,121300
2024-07-18,61.0,61.0,59.0,59.0,681800
2024-07-19,67.0,69.0,59.0,61.0,3467200
2024-07-22,68.0,71.0,66.0,67.0,1793000
2024-07-23,72.0,73.0,68.0,69.0,4010500
2024-07-24,78.0,83.0,71.0,72.0,27328800
2024-07-25,74.0,88.0,74.0,82.0,32501400
2024-07-26,79.0,81.0,74.0,74.0,9849000
2024-07-29,77.0,79.0,76.0,79.0,4572900
2024-07-30,75.0,78.0,74.0,77.0,3148500
2024-07-31,73.0,80.0,72.0,75.0,1455700
2024-08-01,78.0,81.0,72.0,72.0,15517500
2024-08-02,82.0,83.0,78.0,79.0,13950800
2024-08-05,84.0,87.0,82.0,83.0,12819000
2024-08-06,86.0,91.0,81.0,85.0,14271300
2024-08-07,84.0,89.0,84.0,87.0,7458300
2024-08-08,84.0,89.0,84.0,85.0,6181200
2024-08-09,85.0,87.0,83.0,85.0,4433700
2024-08-12,84.0,88.0,83.0,85.0,4478400
2024-08-13,82.0,84.0,82.0,82.0,1475200
2024-08-14,83.0,88.0,77.0,81.0,8323100
2024-08-15,85.0,87.0,83.0,84.0,5441100
2024-08-16,86.0,88.0,84.0,85.0,5732200
2024-08-19,88.0,89.0,86.0,86.0,4926700
2024-08-20,88.0,89.0,87.0,88.0,1794800
2024-08-21,87.0,88.0,87.0,88.0,3665400
2024-08-22,85.0,87.0,84.0,86.0,951300
2024-08-23,85.0,87.0,85.0,86.0,1082900
2024-08-26,84.0,87.0,84.0,85.0,3285600
2024-08-27,84.0,88.0,82.0,84.0,7174700
2024-08-28,83.0,85.0,83.0,83.0,1106600
2024-08-29,86.0,88.0,83.0,83.0,4840700
2024-08-30,85.0,87.0,85.0,86.0,2734100
2024-09-02,85.0,88.0,84.0,86.0,2664400
2024-09-03,85.0,86.0,84.0,86.0,1300700
2024-09-04,84.0,85.0,83.0,85.0,1278600
2024-09-05,83.0,85.0,82.0,85.0,1754400
2024-09-06,85.0,86.0,84.0,84.0,1524900
2024-09-09,90.0,91.0,84.0,85.0,14511300
2024-09-10,93.0,103.0,84.0,91.0,80336200
2024-09-11,124.0,125.0,91.0,94.0,179780200
2024-09-12,110.0,138.0,110.0,124.0,85236600
2024-09-13,101.0,113.0,94.0,110.0,29784400
2024-09-17,102.0,106.0,97.0,97.0,10507400
2024-09-18,107.0,116.0,93.0,93.0,37366800
2024-09-19,115.0,123.0,100.0,100.0,45465900
2024-09-20,106.0,116.0,106.0,111.0,11277400
2024-09-23,102.0,110.0,97.0,97.0,12367600
2024-09-24,102.0,107.0,100.0,101.0,10475100
2024-09-25,100.0,106.0,99.0,102.0,8957100
2024-09-26,99.0,108.0,91.0,91.0,17947700
2024-09-27,96.0,101.0,90.0,90.0,6831900
2024-09-30,92.0,100.0,90.0,90.0,21512900
2024-10-01,84.0,93.0,83.0,84.0,17692400
2024-10-02,76.0,86.0,74.0,77.0,17520600
2024-10-03,83.0,87.0,70.0,70.0,22073900
2024-10-04,82.0,85.0,75.0,83.0,5667500
2024-10-07,81.0,87.0,74.0,74.0,2580800
2024-10-08,80.0,83.0,72.0,72.0,1732900
2024-10-09,79.0,82.0,72.0,72.0,2713200
2024-10-10,78.0,82.0,72.0,72.0,2257800
2024-10-11,79.0,81.0,71.0,71.0,713200
2024-10-14,79.0,79.0,71.0,71.0,685300
2024-10-15,79.0,81.0,77.0,78.0,1862600
2024-10-16,83.0,85.0,79.0,81.0,6774000
2024-10-17,83.0,90.0,81.0,81.0,12115800
2024-10-18,84.0,87.0,81.0,81.0,4248700
2024-10-21,83.0,85.0,83.0,84.0,2238800
2024-10-22,80.0,84.0,79.0,82.0,3521200
2024-10-23,77.0,81.0,76.0,79.0,3379900
2024-10-24,75.0,78.0,73.0,75.0,1873000
2024-10-25,75.0,78.0,70.0,70.0,2077400
2024-10-28,73.0,79.0,72.0,75.0,12028600
2024-10-29,73.0,74.0,70.0,73.0,3470100
2024-10-30,70.0,74.0,66.0,66.0,3489900
2024-10-31,70.0,73.0,68.0,69.0,2459100
2024-11-01,69.0,70.0,66.0,68.0,1506500
2024-11-04,62.0,69.0,60.0,60.0,3051900
2024-11-05,63.0,69.0,61.0,69.0,1589300
2024-11-06,68.0,83.0,62.0,67.0,46251600
2024-11-07,65.0,69.0,63.0,68.0,6311500
2024-11-08,62.0,70.0,62.0,68.0,6497000
2024-11-11,56.0,63.0,56.0,63.0,6493600
2024-11-12,53.0,57.0,50.0,57.0,28071900
2024-11-13,55.0,59.0,53.0,59.0,4572300
2024-11-14,53.0,56.0,53.0,55.0,1546400
2024-11-15,50.0,54.0,50.0,54.0,16674800
2024-11-18,52.0,53.0,50.0,51.0,5502100
2024-11-19,51.0,53.0,50.0,53.0,3920100
2024-11-20,51.0,52.0,50.0,50.0,4308900
2024-11-21,51.0,52.0,50.0,51.0,2310600
2024-11-22,51.0,51.0,50.0,51.0,3042200
2024-11-25,50.0,51.0,50.0,51.0,3295400
2024-11-26,51.0,51.0,50.0,50.0,825000
2024-11-28,51.0,51.0,50.0,50.0,764300
2024-11-29,51.0,51.0,50.0,50.0,3372000
2024-12-02,50.0,51.0,50.0,50.0,2910500
2024-12-03,51.0,51.0,50.0,50.0,1394800
2024-12-04,50.0,51.0,50.0,51.0,833200
2024-12-05,51.0,51.0,50.0,50.0,475100
2024-12-06,51.0,51.0,50.0,50.0,779200
2024-12-09,51.0,51.0,50.0,51.0,775300
2024-12-10,50.0,51.0,50.0,50.0,370100
2024-12-11,50.0,51.0,50.0,50.0,476400
