Date,Close,High,Low,Open,Volume
2023-07-03,16.0,16.0,16.0,16.0,55900
2023-07-04,15.0,15.0,15.0,15.0,20200
2023-07-05,14.0,14.0,14.0,14.0,25900
2023-07-06,13.0,13.0,13.0,13.0,63200
2023-07-07,12.0,12.0,12.0,12.0,341200
2023-07-10,11.0,11.0,11.0,11.0,120000
2023-07-11,10.0,10.0,10.0,10.0,234500
2023-07-12,9.0,9.0,9.0,9.0,10783900
2023-07-13,10.0,10.0,10.0,10.0,4896100
2023-07-14,10.0,11.0,10.0,11.0,20160700
2023-07-17,10.0,10.0,10.0,10.0,4572700
2023-07-18,9.0,10.0,9.0,10.0,1357200
2023-07-20,8.0,9.0,8.0,9.0,3777500
2023-07-21,7.0,7.0,7.0,7.0,4637300
2023-07-24,6.0,6.0,6.0,6.0,2128400
2023-07-25,5.0,5.0,5.0,5.0,32616700
2023-07-26,6.0,6.0,5.0,5.0,14750700
2023-07-27,6.0,6.0,6.0,6.0,12672700
2023-07-28,6.0,6.0,6.0,6.0,2380500
2023-07-31,6.0,6.0,6.0,6.0,8200300
2023-08-01,6.0,6.0,6.0,6.0,3435200
2023-08-02,6.0,6.0,6.0,6.0,290200
2023-08-03,6.0,6.0,6.0,6.0,589100
2023-08-04,6.0,6.0,6.0,6.0,355300
2023-08-07,6.0,6.0,5.0,5.0,922200
2023-08-08,5.0,5.0,5.0,5.0,1012600
2023-08-09,5.0,5.0,5.0,5.0,2075700
2023-08-10,5.0,5.0,5.0,5.0,942200
2023-08-11,5.0,5.0,5.0,5.0,1620800
2023-08-14,5.0,5.0,5.0,5.0,707900
2023-08-15,5.0,5.0,5.0,5.0,15570100
2023-08-16,5.0,5.0,5.0,5.0,173633000
2023-08-18,5.0,5.0,5.0,5.0,6016200
2023-08-21,5.0,5.0,5.0,5.0,8611400
2023-08-22,5.0,5.0,5.0,5.0,71947600
2023-08-23,6.0,6.0,6.0,6.0,14409200
2023-08-24,7.0,7.0,7.0,7.0,8205500
2023-08-25,7.0,7.0,7.0,7.0,18492200
2023-08-28,7.0,7.0,7.0,7.0,2987800
2023-08-29,7.0,7.0,7.0,7.0,1528400
2023-08-30,8.0,8.0,8.0,8.0,2916000
2023-08-31,8.0,8.0,8.0,8.0,4376100
2023-09-01,8.0,8.0,8.0,8.0,855000
2023-09-04,7.0,7.0,7.0,7.0,7555800
2023-09-05,7.0,7.0,7.0,7.0,5629000
2023-09-06,7.0,7.0,7.0,7.0,1617700
2023-09-07,7.0,7.0,7.0,7.0,3291800
2023-09-08,8.0,8.0,7.0,7.0,1094800
2023-09-11,8.0,8.0,8.0,8.0,1789600
2023-09-12,8.0,8.0,8.0,8.0,594500
2023-09-13,8.0,8.0,8.0,8.0,2203100
2023-09-14,8.0,8.0,8.0,8.0,1084400
2023-09-15,8.0,8.0,8.0,8.0,3667100
2023-09-18,8.0,8.0,8.0,8.0,3588400
2023-09-19,8.0,8.0,8.0,8.0,670600
2023-09-20,8.0,8.0,8.0,8.0,1207400
2023-09-21,8.0,8.0,8.0,8.0,1066500
2023-09-22,8.0,8.0,8.0,8.0,5022800
2023-09-25,9.0,9.0,8.0,8.0,2678400
2023-09-26,9.0,9.0,9.0,9.0,2395600
2023-09-27,9.0,9.0,9.0,9.0,736800
2023-09-29,9.0,9.0,8.0,8.0,576600
2023-10-02,9.0,9.0,9.0,9.0,2349200
2023-10-03,9.0,9.0,9.0,9.0,5269900
2023-10-04,9.0,9.0,9.0,9.0,1040400
2023-10-05,9.0,9.0,9.0,9.0,787400
2023-10-06,9.0,9.0,9.0,9.0,5049800
2023-10-09,9.0,9.0,9.0,9.0,945800
2023-10-10,10.0,10.0,9.0,9.0,468000
2023-10-11,10.0,10.0,10.0,10.0,152800
2023-10-12,10.0,10.0,10.0,10.0,20700
2023-10-13,10.0,10.0,10.0,10.0,2766800
2023-10-16,11.0,11.0,10.0,10.0,2557800
2023-10-17,10.0,10.0,10.0,10.0,491000
2023-10-18,9.0,9.0,9.0,9.0,3229900
2023-10-19,9.0,9.0,9.0,9.0,8651100
2023-10-20,10.0,10.0,9.0,9.0,69100
2023-10-23,10.0,10.0,10.0,10.0,132200
2023-10-24,9.0,9.0,9.0,9.0,1230800
2023-10-25,9.0,9.0,9.0,9.0,999600
2023-10-26,9.0,9.0,9.0,9.0,382200
2023-10-27,10.0,10.0,10.0,10.0,103300
2023-10-30,10.0,10.0,10.0,10.0,861500
2023-10-31,10.0,10.0,10.0,10.0,61000
2023-11-01,10.0,10.0,10.0,10.0,26600
2023-11-02,10.0,10.0,10.0,10.0,206700
2023-11-03,10.0,10.0,10.0,10.0,2300
2023-11-06,9.0,9.0,9.0,9.0,520600
2023-11-07,9.0,9.0,9.0,9.0,13800
2023-11-08,9.0,9.0,9.0,9.0,94300
2023-11-09,9.0,9.0,9.0,9.0,32400
2023-11-10,8.0,9.0,8.0,9.0,151600
2023-11-13,9.0,9.0,8.0,8.0,390300
2023-11-14,9.0,9.0,9.0,9.0,13900
2023-11-15,9.0,9.0,9.0,9.0,33400
2023-11-16,9.0,9.0,9.0,9.0,2800
2023-11-17,9.0,9.0,9.0,9.0,70900
2023-11-20,9.0,9.0,9.0,9.0,531100
2023-11-21,9.0,10.0,9.0,10.0,113700
2023-11-22,10.0,10.0,9.0,9.0,631800
2023-11-23,9.0,9.0,9.0,9.0,5063200
2023-11-24,10.0,10.0,9.0,9.0,37400
2023-11-27,10.0,10.0,10.0,10.0,156500
2023-11-28,9.0,10.0,9.0,10.0,200100
2023-11-29,9.0,9.0,9.0,9.0,367800
2023-11-30,9.0,9.0,9.0,9.0,301600
2023-12-01,10.0,10.0,9.0,9.0,36700
2023-12-04,10.0,10.0,10.0,10.0,143300
2023-12-05,10.0,10.0,10.0,10.0,18500
2023-12-06,9.0,9.0,9.0,9.0,241700
2023-12-07,9.0,9.0,9.0,9.0,548500
2023-12-08,9.0,10.0,9.0,10.0,25800
2023-12-11,9.0,9.0,9.0,9.0,43200
2023-12-12,9.0,9.0,9.0,9.0,31700
2023-12-13,9.0,9.0,9.0,9.0,176200
2023-12-14,8.0,8.0,8.0,8.0,830100
2023-12-15,9.0,9.0,8.0,8.0,13500
2023-12-18,9.0,9.0,9.0,9.0,60800
2023-12-19,9.0,9.0,9.0,9.0,40300
2023-12-20,9.0,9.0,9.0,9.0,47400
2023-12-21,9.0,9.0,9.0,9.0,5500
2023-12-22,9.0,9.0,9.0,9.0,48400
2023-12-27,9.0,9.0,9.0,9.0,14200
2023-12-28,9.0,9.0,9.0,9.0,12300
