Date,Close,High,Low,Open,Volume
2023-07-03,107.0,120.0,100.0,103.0,1203409400
2023-07-04,109.0,118.0,106.0,109.0,714130300
2023-07-05,101.0,112.0,93.0,109.0,406914200
2023-07-06,102.0,109.0,98.0,101.0,338711100
2023-07-07,101.0,107.0,100.0,103.0,148475600
2023-07-10,96.0,103.0,96.0,101.0,50070900
2023-07-11,98.0,108.0,94.0,96.0,478837000
2023-07-12,94.0,100.0,94.0,99.0,191315500
2023-07-13,92.0,97.0,92.0,94.0,200726400
2023-07-14,92.0,96.0,91.0,91.0,132856400
2023-07-17,91.0,95.0,91.0,92.0,79907400
2023-07-18,90.0,93.0,90.0,91.0,83883500
2023-07-20,92.0,93.0,88.0,90.0,89136400
2023-07-21,94.0,100.0,92.0,93.0,491131200
2023-07-24,85.0,99.0,85.0,95.0,382590300
2023-07-25,81.0,85.0,80.0,85.0,33505200
2023-07-26,80.0,82.0,78.0,82.0,31170300
2023-07-27,82.0,84.0,78.0,79.0,121183600
2023-07-28,81.0,83.0,79.0,82.0,51721600
2023-07-31,79.0,81.0,78.0,81.0,9287200
2023-08-01,76.0,81.0,75.0,79.0,77866900
2023-08-02,70.0,76.0,70.0,75.0,15051600
2023-08-03,65.0,71.0,65.0,70.0,17035300
2023-08-04,66.0,68.0,56.0,56.0,7602600
2023-08-07,65.0,67.0,63.0,66.0,4198300
2023-08-08,67.0,67.0,64.0,65.0,3027700
2023-08-09,68.0,70.0,67.0,67.0,7547600
2023-08-10,65.0,69.0,65.0,69.0,4599900
2023-08-11,64.0,67.0,63.0,66.0,1740700
2023-08-14,64.0,64.0,61.0,64.0,2564800
2023-08-15,63.0,64.0,62.0,64.0,1257500
2023-08-16,62.0,64.0,62.0,63.0,2625100
2023-08-18,63.0,64.0,62.0,63.0,1026000
2023-08-21,61.0,63.0,61.0,63.0,4789700
2023-08-22,63.0,64.0,62.0,62.0,29057000
2023-08-23,63.0,64.0,62.0,63.0,33059300
2023-08-24,64.0,65.0,63.0,65.0,5263400
2023-08-25,62.0,65.0,62.0,65.0,2322100
2023-08-28,62.0,63.0,61.0,62.0,5199300
2023-08-29,60.0,62.0,60.0,62.0,7680500
2023-08-30,62.0,62.0,59.0,60.0,2044500
2023-08-31,60.0,62.0,59.0,62.0,3146300
2023-09-01,61.0,61.0,59.0,60.0,1792300
2023-09-04,59.0,61.0,58.0,61.0,2364100
2023-09-05,59.0,60.0,58.0,59.0,1441200
2023-09-06,59.0,60.0,58.0,58.0,727600
2023-09-07,57.0,59.0,57.0,59.0,4406500
2023-09-08,57.0,58.0,56.0,58.0,617300
2023-09-11,55.0,57.0,55.0,56.0,1628800
2023-09-12,57.0,59.0,55.0,55.0,2070600
2023-09-13,58.0,59.0,56.0,57.0,892400
2023-09-14,58.0,59.0,57.0,58.0,580900
2023-09-15,56.0,58.0,56.0,57.0,895500
2023-09-18,56.0,57.0,55.0,56.0,938100
2023-09-19,56.0,56.0,55.0,56.0,872100
2023-09-20,56.0,56.0,55.0,56.0,731900
2023-09-21,56.0,57.0,55.0,56.0,543500
2023-09-22,56.0,57.0,55.0,56.0,1092200
2023-09-25,55.0,57.0,55.0,57.0,500600
2023-09-26,56.0,61.0,55.0,55.0,2990000
2023-09-27,55.0,57.0,55.0,57.0,648000
2023-09-29,57.0,57.0,55.0,56.0,1200200
2023-10-02,56.0,57.0,55.0,57.0,893300
2023-10-03,57.0,59.0,56.0,56.0,1725100
2023-10-04,56.0,58.0,55.0,57.0,1740700
2023-10-05,55.0,57.0,55.0,56.0,926200
2023-10-06,55.0,56.0,55.0,55.0,1140600
2023-10-09,54.0,56.0,54.0,55.0,1450300
2023-10-10,55.0,56.0,54.0,54.0,1784800
2023-10-11,58.0,60.0,55.0,55.0,3068500
2023-10-12,57.0,58.0,56.0,58.0,331900
2023-10-13,55.0,57.0,54.0,56.0,1366600
2023-10-16,54.0,55.0,54.0,55.0,1083900
2023-10-17,55.0,56.0,54.0,54.0,1299800
2023-10-18,55.0,56.0,54.0,55.0,702800
2023-10-19,74.0,74.0,55.0,55.0,127192200
2023-10-20,67.0,82.0,63.0,81.0,158543000
2023-10-23,85.0,86.0,66.0,67.0,130028500
2023-10-24,75.0,85.0,72.0,85.0,33120100
2023-10-25,68.0,78.0,67.0,74.0,25308400
2023-10-26,71.0,82.0,68.0,68.0,95758200
2023-10-27,70.0,76.0,68.0,72.0,24662700
2023-10-30,68.0,73.0,64.0,71.0,16160900
2023-10-31,69.0,72.0,67.0,69.0,12348800
2023-11-01,64.0,82.0,60.0,67.0,319889500
2023-11-02,63.0,69.0,62.0,65.0,16862500
2023-11-03,60.0,64.0,60.0,64.0,8974100
2023-11-06,62.0,66.0,58.0,61.0,23711700
2023-11-07,60.0,63.0,60.0,62.0,3692700
2023-11-08,59.0,61.0,58.0,59.0,5319100
2023-11-09,59.0,61.0,58.0,59.0,4226700
2023-11-10,58.0,60.0,58.0,59.0,3392600
2023-11-13,64.0,66.0,58.0,59.0,30421000
2023-11-14,62.0,66.0,60.0,64.0,15540000
2023-11-15,61.0,65.0,61.0,63.0,9483400
2023-11-16,59.0,62.0,59.0,61.0,5504900
2023-11-17,58.0,60.0,58.0,59.0,3782200
2023-11-20,60.0,60.0,58.0,58.0,3179500
2023-11-21,59.0,61.0,59.0,60.0,3555700
2023-11-22,57.0,60.0,56.0,59.0,6875000
