Date,Close,High,Low,Open,Volume
2023-07-03,56.0,56.0,55.0,56.0,5107000
2023-07-04,55.0,56.0,55.0,56.0,2845400
2023-07-05,55.0,56.0,55.0,55.0,2907200
2023-07-06,56.0,56.0,55.0,55.0,5612500
2023-07-07,56.0,56.0,55.0,56.0,2663700
2023-07-10,55.0,56.0,55.0,56.0,2357000
2023-07-11,56.0,56.0,55.0,55.0,2081500
2023-07-12,54.0,56.0,54.0,56.0,2830100
2023-07-13,54.0,56.0,54.0,54.0,1786100
2023-07-14,54.0,55.0,54.0,55.0,1781700
2023-07-17,54.0,55.0,54.0,54.0,2539900
2023-07-18,54.0,55.0,54.0,55.0,9499800
2023-07-20,53.0,55.0,53.0,55.0,1970900
2023-07-21,53.0,54.0,53.0,54.0,8579200
2023-07-24,54.0,54.0,53.0,53.0,2301200
2023-07-25,53.0,54.0,53.0,54.0,1592100
2023-07-26,53.0,54.0,53.0,53.0,994500
2023-07-27,53.0,54.0,53.0,53.0,1592800
2023-07-28,53.0,54.0,50.0,50.0,2921000
2023-07-31,52.0,54.0,52.0,53.0,5840200
2023-08-01,50.0,52.0,50.0,52.0,62422800
2023-08-02,50.0,50.0,50.0,50.0,3074300
2023-08-03,50.0,50.0,50.0,50.0,2071300
2023-08-04,50.0,50.0,50.0,50.0,1399900
2023-08-07,50.0,50.0,50.0,50.0,193000
2023-08-08,50.0,50.0,50.0,50.0,134400
2023-08-09,50.0,50.0,50.0,50.0,198900
2023-08-10,50.0,50.0,50.0,50.0,77300
2023-08-11,50.0,50.0,50.0,50.0,180600
2023-08-14,50.0,50.0,50.0,50.0,102200
2023-08-15,50.0,50.0,50.0,50.0,63200
2023-08-16,50.0,50.0,50.0,50.0,30700
2023-08-18,50.0,50.0,50.0,50.0,64100
2023-08-21,50.0,50.0,50.0,50.0,24900
2023-08-22,50.0,50.0,50.0,50.0,87700
2023-08-23,50.0,50.0,50.0,50.0,55500
2023-08-24,50.0,50.0,50.0,50.0,52500
2023-08-25,50.0,50.0,50.0,50.0,17400
2023-08-28,50.0,50.0,50.0,50.0,129700
2023-08-29,50.0,50.0,50.0,50.0,279400
2023-08-30,50.0,50.0,50.0,50.0,31200
2023-08-31,50.0,50.0,50.0,50.0,3900
2023-09-01,50.0,50.0,50.0,50.0,47300
2023-09-04,50.0,50.0,50.0,50.0,35900
2023-09-05,50.0,50.0,50.0,50.0,27900
2023-09-06,50.0,50.0,50.0,50.0,7100
2023-09-07,50.0,50.0,50.0,50.0,181200
2023-09-08,50.0,50.0,50.0,50.0,1700
2023-09-11,50.0,50.0,50.0,50.0,2042400
2023-09-12,50.0,50.0,50.0,50.0,31800
2023-09-13,50.0,50.0,50.0,50.0,6000
2023-09-14,50.0,50.0,50.0,50.0,4013900
2023-09-15,50.0,50.0,50.0,50.0,10900
2023-09-18,50.0,50.0,50.0,50.0,110300
2023-09-19,50.0,50.0,50.0,50.0,36600
2023-09-20,50.0,50.0,50.0,50.0,9100
2023-09-21,50.0,50.0,50.0,50.0,24800
2023-09-22,50.0,50.0,50.0,50.0,145700
2023-09-25,50.0,50.0,50.0,50.0,65600
2023-09-26,50.0,50.0,50.0,50.0,17000
2023-09-27,50.0,50.0,50.0,50.0,97700
2023-09-29,50.0,50.0,50.0,50.0,177300
2023-10-02,50.0,50.0,50.0,50.0,26800
2023-10-03,50.0,50.0,50.0,50.0,545800
2023-10-04,50.0,50.0,50.0,50.0,215300
2023-10-05,50.0,50.0,50.0,50.0,2177200
2023-10-06,50.0,50.0,50.0,50.0,3238300
2023-10-09,50.0,50.0,50.0,50.0,81000
2023-10-10,50.0,50.0,50.0,50.0,4700
2023-10-11,50.0,50.0,50.0,50.0,605100
2023-10-12,50.0,50.0,50.0,50.0,2500
2023-10-13,50.0,50.0,50.0,50.0,14900
2023-10-16,50.0,50.0,50.0,50.0,3600
2023-10-17,50.0,50.0,50.0,50.0,23400
2023-10-18,50.0,50.0,50.0,50.0,93700
2023-10-19,50.0,50.0,50.0,50.0,600
2023-10-20,50.0,50.0,50.0,50.0,71600
2023-10-23,50.0,50.0,50.0,50.0,16900
2023-10-24,50.0,50.0,50.0,50.0,51700
2023-10-25,50.0,50.0,50.0,50.0,63600
2023-10-26,50.0,50.0,50.0,50.0,18100
2023-10-27,50.0,50.0,50.0,50.0,1400
2023-10-30,50.0,50.0,50.0,50.0,200
2023-10-31,50.0,50.0,50.0,50.0,13100
2023-11-01,50.0,50.0,50.0,50.0,400
2023-11-02,50.0,50.0,50.0,50.0,20100
2023-11-03,50.0,50.0,50.0,50.0,600
2023-11-06,50.0,50.0,50.0,50.0,100
2023-11-07,50.0,50.0,50.0,50.0,96600
2023-11-08,50.0,50.0,50.0,50.0,1415100
2023-11-09,50.0,50.0,50.0,50.0,243800
2023-11-10,50.0,50.0,50.0,50.0,10700
2023-11-13,50.0,50.0,50.0,50.0,30100
2023-11-14,50.0,50.0,50.0,50.0,7000
2023-11-15,50.0,50.0,50.0,50.0,62800
2023-11-16,50.0,50.0,50.0,50.0,60100
2023-11-17,50.0,50.0,50.0,50.0,361500
2023-11-20,50.0,50.0,50.0,50.0,897200
2023-11-21,50.0,50.0,50.0,50.0,80800
2023-11-22,50.0,50.0,50.0,50.0,81400
2023-11-23,50.0,50.0,50.0,50.0,121900
2023-11-24,50.0,50.0,50.0,50.0,102100
2023-11-27,50.0,50.0,50.0,50.0,700
2023-11-28,50.0,50.0,50.0,50.0,500
2023-11-29,50.0,50.0,50.0,50.0,18300
2023-11-30,50.0,50.0,50.0,50.0,402700
2023-12-01,50.0,50.0,50.0,50.0,7200
2023-12-04,50.0,50.0,50.0,50.0,10700
2023-12-05,50.0,50.0,50.0,50.0,28500
2023-12-06,50.0,50.0,50.0,50.0,1932200
2023-12-07,50.0,50.0,50.0,50.0,2510400
2023-12-08,50.0,50.0,50.0,50.0,7300
2023-12-11,50.0,50.0,50.0,50.0,1500
2023-12-12,50.0,50.0,50.0,50.0,22600
2023-12-13,50.0,50.0,50.0,50.0,5100
2023-12-14,50.0,50.0,50.0,50.0,2800
2023-12-15,50.0,50.0,50.0,50.0,2800
2023-12-18,50.0,50.0,50.0,50.0,100
2023-12-19,50.0,50.0,50.0,50.0,600
2023-12-20,50.0,50.0,50.0,50.0,4434900
2023-12-21,50.0,50.0,50.0,50.0,500
2023-12-22,50.0,50.0,50.0,50.0,101700
2023-12-27,50.0,50.0,50.0,50.0,10200
2023-12-28,50.0,50.0,50.0,50.0,500
2023-12-29,50.0,50.0,50.0,50.0,100
2024-01-02,50.0,50.0,50.0,50.0,5100
2024-01-03,50.0,50.0,50.0,50.0,11900
2024-01-04,50.0,50.0,50.0,50.0,12000
2024-01-05,50.0,50.0,50.0,50.0,11300
2024-01-08,50.0,50.0,50.0,50.0,300
2024-01-09,50.0,50.0,50.0,50.0,145500
2024-01-10,50.0,50.0,50.0,50.0,100
2024-01-11,50.0,50.0,50.0,50.0,200
2024-01-12,50.0,50.0,50.0,50.0,0
2024-01-15,50.0,50.0,50.0,50.0,0
2024-01-16,50.0,50.0,50.0,50.0,3100
2024-01-17,50.0,50.0,50.0,50.0,4700
2024-01-18,50.0,50.0,50.0,50.0,3500
2024-01-19,50.0,50.0,50.0,50.0,0
2024-01-22,50.0,50.0,50.0,50.0,10400
2024-01-23,50.0,50.0,50.0,50.0,11000
2024-01-24,50.0,50.0,50.0,50.0,0
2024-01-25,50.0,50.0,50.0,50.0,0
2024-01-26,50.0,50.0,50.0,50.0,0
2024-01-29,50.0,50.0,50.0,50.0,18000
2024-01-30,50.0,50.0,50.0,50.0,200
2024-01-31,50.0,50.0,50.0,50.0,8500
2024-02-01,50.0,50.0,50.0,50.0,500
2024-02-02,50.0,50.0,50.0,50.0,2100
2024-02-05,50.0,50.0,50.0,50.0,100
2024-02-06,50.0,50.0,50.0,50.0,2400
2024-02-07,50.0,50.0,50.0,50.0,0
2024-02-12,50.0,50.0,50.0,50.0,0
2024-02-13,50.0,50.0,50.0,50.0,1100
2024-02-15,50.0,50.0,50.0,50.0,295200
2024-02-16,50.0,50.0,50.0,50.0,19600
2024-02-19,50.0,50.0,50.0,50.0,1100
2024-02-20,50.0,50.0,50.0,50.0,200
2024-02-21,50.0,50.0,50.0,50.0,1500
2024-02-22,50.0,50.0,50.0,50.0,10400
2024-02-23,50.0,50.0,50.0,50.0,300
2024-02-26,50.0,50.0,50.0,50.0,1700
2024-02-27,50.0,50.0,50.0,50.0,0
2024-02-28,50.0,50.0,50.0,50.0,48500
2024-02-29,50.0,50.0,50.0,50.0,500
2024-03-01,50.0,50.0,50.0,50.0,11500
2024-03-04,50.0,50.0,50.0,50.0,200
2024-03-05,50.0,50.0,50.0,50.0,300
2024-03-06,50.0,50.0,50.0,50.0,100
2024-03-07,50.0,50.0,50.0,50.0,105200
2024-03-08,50.0,50.0,50.0,50.0,500
2024-03-13,50.0,50.0,50.0,50.0,17400
2024-03-14,50.0,50.0,50.0,50.0,400
2024-03-15,50.0,50.0,50.0,50.0,11100
2024-03-18,50.0,50.0,50.0,50.0,1000
