Date,Close,High,Low,Open,Volume
2023-07-03,1060.0,1060.0,1020.0,1020.0,1473700
2023-07-04,1070.0,1080.0,1050.0,1060.0,1710600
2023-07-05,1105.0,1135.0,1065.0,1070.0,9717100
2023-07-06,1175.0,1180.0,1080.0,1120.0,9688300
2023-07-07,1130.0,1185.0,1115.0,1175.0,6951200
2023-07-10,1115.0,1150.0,1105.0,1125.0,3864700
2023-07-11,1165.0,1165.0,1110.0,1115.0,4218100
2023-07-12,1145.0,1175.0,1125.0,1170.0,4818800
2023-07-13,1125.0,1160.0,1105.0,1150.0,3043800
2023-07-14,1140.0,1150.0,1115.0,1135.0,2425700
2023-07-17,1130.0,1150.0,1125.0,1145.0,1683900
2023-07-18,1115.0,1155.0,1110.0,1140.0,2387400
2023-07-20,1130.0,1130.0,1105.0,1125.0,1579500
2023-07-21,1105.0,1130.0,1095.0,1130.0,3165500
2023-07-24,1115.0,1140.0,1095.0,1120.0,1881700
2023-07-25,1110.0,1120.0,1085.0,1120.0,2132900
2023-07-26,1115.0,1135.0,1110.0,1110.0,3836200
2023-07-27,1130.0,1165.0,1115.0,1125.0,7382200
2023-07-28,1120.0,1140.0,1105.0,1140.0,3168200
2023-07-31,1115.0,1125.0,1100.0,1115.0,2759400
2023-08-01,1100.0,1125.0,1100.0,1125.0,3607000
2023-08-02,1075.0,1100.0,1050.0,1100.0,4224900
2023-08-03,1085.0,1095.0,1075.0,1075.0,1741600
2023-08-04,1085.0,1090.0,1075.0,1085.0,914400
2023-08-07,1120.0,1125.0,1080.0,1085.0,3717400
2023-08-08,1110.0,1140.0,1110.0,1120.0,2793900
2023-08-09,1105.0,1120.0,1100.0,1115.0,1442600
2023-08-10,1105.0,1105.0,1085.0,1105.0,1417200
2023-08-11,1100.0,1110.0,1095.0,1100.0,1595400
2023-08-14,1115.0,1120.0,1105.0,1105.0,3211500
2023-08-15,1100.0,1130.0,1090.0,1115.0,1929700
2023-08-16,1100.0,1110.0,1090.0,1100.0,1314300
2023-08-18,1095.0,1110.0,1080.0,1100.0,2946900
2023-08-21,1070.0,1095.0,1070.0,1095.0,1138700
2023-08-22,1080.0,1090.0,1070.0,1075.0,909800
2023-08-23,1090.0,1105.0,1075.0,1090.0,3744400
2023-08-24,1075.0,1095.0,1070.0,1090.0,1502600
2023-08-25,1075.0,1100.0,1050.0,1075.0,3778700
2023-08-28,1060.0,1075.0,1055.0,1075.0,2304800
2023-08-29,1060.0,1065.0,1050.0,1065.0,994700
2023-08-30,1065.0,1070.0,1045.0,1060.0,2066700
2023-08-31,1055.0,1065.0,1050.0,1065.0,304900
2023-09-01,1050.0,1055.0,1045.0,1050.0,1010700
2023-09-04,1060.0,1065.0,1045.0,1045.0,653900
2023-09-05,1060.0,1060.0,1045.0,1060.0,814800
2023-09-06,1070.0,1080.0,1045.0,1060.0,2800000
2023-09-07,1075.0,1090.0,1065.0,1070.0,988600
2023-09-08,1075.0,1085.0,1065.0,1080.0,681000
2023-09-11,1080.0,1090.0,1065.0,1075.0,1157800
2023-09-12,1055.0,1120.0,1050.0,1120.0,2292600
2023-09-13,1055.0,1060.0,1040.0,1060.0,1714200
2023-09-14,1060.0,1060.0,1045.0,1055.0,1529800
2023-09-15,1050.0,1060.0,1045.0,1050.0,132300
2023-09-18,1040.0,1055.0,1040.0,1050.0,858300
2023-09-19,1045.0,1050.0,1000.0,1000.0,862400
2023-09-20,1040.0,1050.0,1035.0,1045.0,2271400
2023-09-21,1035.0,1045.0,1025.0,1045.0,646600
2023-09-22,1030.0,1040.0,1025.0,1030.0,1789100
2023-09-25,1025.0,1035.0,1025.0,1030.0,1695400
2023-09-26,1020.0,1035.0,1015.0,1035.0,1464700
2023-09-27,1025.0,1030.0,1005.0,1030.0,2266900
2023-09-29,1035.0,1040.0,1020.0,1025.0,975700
2023-10-02,1030.0,1035.0,1020.0,1035.0,459700
2023-10-03,1025.0,1035.0,1005.0,1030.0,681100
2023-10-04,1010.0,1025.0,1000.0,1020.0,1157900
2023-10-05,1015.0,1015.0,1000.0,1010.0,1150800
2023-10-06,1015.0,1015.0,1005.0,1015.0,2008000
2023-10-09,1015.0,1030.0,1010.0,1010.0,633100
2023-10-10,1025.0,1030.0,1015.0,1020.0,579100
2023-10-11,1035.0,1035.0,1010.0,1020.0,1163900
2023-10-12,1035.0,1050.0,1030.0,1035.0,843000
2023-10-13,1035.0,1040.0,1025.0,1040.0,205000
2023-10-16,1020.0,1035.0,1015.0,1035.0,612800
2023-10-17,1010.0,1025.0,1010.0,1020.0,1001300
2023-10-18,1010.0,1015.0,1005.0,1010.0,2781900
2023-10-19,1010.0,1015.0,1000.0,1015.0,638300
2023-10-20,1010.0,1010.0,1000.0,1010.0,486900
2023-10-23,1000.0,1010.0,985.0,1010.0,1691200
2023-10-24,1000.0,1000.0,995.0,1000.0,617800
2023-10-25,995.0,1015.0,995.0,995.0,1040800
2023-10-26,1000.0,1010.0,995.0,1000.0,634900
2023-10-27,995.0,1000.0,990.0,995.0,474600
2023-10-30,995.0,1005.0,985.0,1000.0,1103900
2023-10-31,995.0,1000.0,985.0,995.0,673400
2023-11-01,985.0,1000.0,955.0,1000.0,1431800
2023-11-02,980.0,985.0,960.0,980.0,1362600
2023-11-03,990.0,990.0,975.0,980.0,292300
2023-11-06,1005.0,1005.0,980.0,990.0,735800
2023-11-07,995.0,1010.0,980.0,1005.0,508200
2023-11-08,960.0,995.0,955.0,995.0,2081900
2023-11-09,965.0,975.0,965.0,965.0,479400
2023-11-10,975.0,980.0,960.0,965.0,224800
2023-11-13,985.0,995.0,975.0,975.0,604100
2023-11-14,980.0,990.0,970.0,990.0,414600
2023-11-15,990.0,995.0,975.0,985.0,1441700
2023-11-16,985.0,990.0,980.0,990.0,386000
2023-11-17,985.0,1010.0,975.0,985.0,2064800
2023-11-20,985.0,990.0,975.0,990.0,331300
2023-11-21,975.0,985.0,965.0,985.0,326000
