Date,Close,High,Low,Open,Volume
2023-07-03,159.52662658691406,160.52366638183594,154.5414276123047,159.52662658691406,7096395
2023-07-04,166.50592041015625,166.50592041015625,158.5295867919922,159.52662658691406,99190563
2023-07-05,165.50888061523438,169.49703979492188,164.5118408203125,169.49703979492188,57962486
2023-07-06,168.5,170.49407958984375,165.50888061523438,165.50888061523438,64719878
2023-07-07,167.50296020507812,169.49703979492188,166.50592041015625,168.5,37767036
2023-07-10,168.5,169.49703979492188,166.50592041015625,167.50296020507812,42001966
2023-07-11,168.0,169.0,166.0,169.0,37812400
2023-07-12,168.0,169.0,164.0,169.0,204463400
2023-07-13,170.0,173.0,168.0,168.0,161375200
2023-07-14,170.0,171.0,168.0,171.0,31896600
2023-07-17,169.0,170.0,149.0,169.0,88152000
2023-07-18,165.0,170.0,165.0,169.0,76613700
2023-07-20,158.0,164.0,157.0,164.0,31950500
2023-07-21,158.0,160.0,155.0,159.0,8632400
2023-07-24,159.0,160.0,155.0,158.0,8264600
2023-07-25,161.0,163.0,158.0,160.0,47866800
2023-07-26,159.0,161.0,158.0,161.0,13084300
2023-07-27,157.0,160.0,157.0,159.0,7318400
2023-07-28,157.0,164.0,156.0,157.0,430093200
2023-07-31,152.0,159.0,151.0,158.0,27091700
2023-08-01,139.0,152.0,137.0,152.0,54762200
2023-08-02,138.0,143.0,132.0,137.0,13776900
2023-08-03,138.0,142.0,134.0,137.0,11028300
2023-08-04,141.0,144.0,136.0,138.0,11695500
2023-08-07,141.0,144.0,140.0,142.0,9651200
2023-08-08,139.0,144.0,139.0,140.0,12652000
2023-08-09,140.0,142.0,139.0,140.0,4080800
2023-08-10,137.0,141.0,136.0,141.0,8166600
2023-08-11,139.0,139.0,136.0,137.0,3690800
2023-08-14,138.0,139.0,136.0,139.0,5097000
2023-08-15,137.0,139.0,137.0,138.0,4779500
2023-08-16,138.0,139.0,136.0,138.0,3901200
2023-08-18,136.0,138.0,136.0,138.0,3496600
2023-08-21,136.0,140.0,135.0,136.0,21495800
2023-08-22,137.0,138.0,135.0,136.0,20935400
2023-08-23,145.0,147.0,137.0,138.0,69088900
2023-08-24,141.0,148.0,140.0,147.0,25611500
2023-08-25,138.0,143.0,138.0,143.0,14971300
2023-08-28,139.0,141.0,137.0,139.0,32244000
2023-08-29,139.0,141.0,137.0,140.0,46131900
2023-08-30,142.0,158.0,139.0,140.0,392124100
2023-08-31,135.0,148.0,134.0,143.0,286847200
2023-09-01,124.0,137.0,118.0,136.0,142830600
2023-09-04,122.0,127.0,116.0,116.0,34732500
2023-09-05,117.0,124.0,116.0,124.0,46790200
2023-09-06,122.0,123.0,115.0,118.0,41461000
2023-09-07,118.0,129.0,117.0,123.0,55498800
2023-09-08,119.0,121.0,117.0,118.0,22437300
2023-09-11,117.0,120.0,103.0,103.0,19831700
2023-09-12,117.0,119.0,115.0,118.0,19184500
2023-09-13,114.0,118.0,114.0,117.0,26038800
2023-09-14,114.0,117.0,113.0,114.0,32950300
2023-09-15,111.0,115.0,110.0,114.0,45471100
2023-09-18,105.0,112.0,103.0,103.0,49879600
2023-09-19,102.0,107.0,89.0,95.0,44132800
2023-09-20,111.0,114.0,102.0,102.0,106930900
2023-09-21,106.0,113.0,106.0,112.0,34363100
2023-09-22,107.0,111.0,106.0,108.0,32320400
2023-09-25,106.0,108.0,103.0,107.0,38802400
2023-09-26,102.0,108.0,101.0,106.0,44204600
2023-09-27,101.0,105.0,101.0,102.0,34757400
2023-09-29,103.0,106.0,101.0,101.0,69067200
2023-10-02,102.0,107.0,101.0,103.0,81244800
2023-10-03,101.0,105.0,100.0,103.0,65585800
2023-10-04,96.0,102.0,95.0,101.0,71794700
2023-10-05,93.0,99.0,93.0,97.0,87392900
2023-10-06,91.0,95.0,76.0,83.0,99812000
2023-10-09,88.0,96.0,86.0,91.0,61591400
2023-10-10,91.0,93.0,87.0,89.0,59562500
2023-10-11,90.0,93.0,88.0,92.0,98660200
2023-10-12,88.0,93.0,88.0,90.0,73376500
2023-10-13,84.0,90.0,83.0,89.0,82303400
2023-10-16,79.0,84.0,77.0,84.0,95347300
2023-10-17,92.0,93.0,78.0,78.0,252015700
2023-10-18,88.0,95.0,85.0,92.0,166407400
2023-10-19,84.0,90.0,83.0,88.0,138302700
2023-10-20,83.0,89.0,83.0,84.0,112080600
2023-10-23,83.0,91.0,80.0,83.0,225270100
2023-10-24,83.0,87.0,83.0,84.0,137849600
2023-10-25,87.0,89.0,83.0,84.0,167055500
2023-10-26,84.0,90.0,83.0,87.0,117075600
2023-10-27,82.0,86.0,82.0,84.0,16823800
2023-10-30,82.0,84.0,79.0,82.0,29959100
2023-10-31,81.0,83.0,81.0,83.0,7442300
2023-11-01,79.0,81.0,79.0,81.0,8202700
2023-11-02,83.0,83.0,79.0,80.0,14814500
2023-11-03,83.0,85.0,82.0,84.0,15084000
2023-11-06,83.0,85.0,83.0,84.0,20844100
2023-11-07,82.0,85.0,82.0,84.0,9206600
2023-11-08,81.0,83.0,80.0,82.0,7229700
2023-11-09,81.0,82.0,80.0,82.0,6299000
2023-11-10,81.0,82.0,80.0,81.0,5886900
2023-11-13,80.0,82.0,79.0,81.0,7058900
2023-11-14,79.0,81.0,72.0,72.0,10423900
2023-11-15,78.0,81.0,77.0,79.0,13099100
2023-11-16,78.0,79.0,77.0,79.0,11076700
2023-11-17,76.0,78.0,75.0,78.0,12946500
2023-11-20,74.0,77.0,71.0,77.0,23023300
2023-11-21,72.0,74.0,71.0,74.0,14376800
2023-11-22,73.0,77.0,64.0,64.0,127912300
2023-11-23,74.0,75.0,73.0,74.0,9402100
2023-11-24,77.0,78.0,73.0,74.0,18120300
2023-11-27,78.0,79.0,75.0,77.0,10555900
2023-11-28,77.0,79.0,76.0,78.0,10699500
2023-11-29,80.0,80.0,75.0,77.0,16865100
2023-11-30,80.0,82.0,79.0,80.0,17514700
2023-12-01,82.0,82.0,77.0,80.0,9233000
