Date,Close,High,Low,Open,Volume
2023-07-03,181.0,182.0,180.0,182.0,396300
2023-07-04,181.0,182.0,180.0,181.0,345900
2023-07-05,182.0,182.0,180.0,181.0,389800
2023-07-06,179.0,183.0,179.0,182.0,752700
2023-07-07,180.0,181.0,180.0,180.0,513700
2023-07-10,183.0,183.0,180.0,180.0,412500
2023-07-11,186.0,192.0,182.0,182.0,1766600
2023-07-12,184.0,189.0,184.0,186.0,586200
2023-07-13,185.0,187.0,184.0,185.0,432700
2023-07-14,188.0,189.0,184.0,186.0,817700
2023-07-17,188.0,190.0,185.0,190.0,947300
2023-07-18,186.0,188.0,186.0,188.0,165500
2023-07-20,190.0,191.0,185.0,186.0,485100
2023-07-21,188.0,191.0,186.0,189.0,344000
2023-07-24,189.0,222.0,183.0,188.0,121456800
2023-07-25,189.0,194.0,187.0,190.0,4876000
2023-07-26,191.0,194.0,186.0,190.0,4374800
2023-07-27,193.0,198.0,188.0,192.0,2959400
2023-07-28,188.0,195.0,188.0,195.0,1958900
2023-07-31,189.0,192.0,187.0,189.0,2941900
2023-08-01,188.0,189.0,187.0,189.0,1206300
2023-08-02,188.0,191.0,186.0,190.0,775300
2023-08-03,189.0,190.0,188.0,188.0,385300
2023-08-04,189.0,191.0,188.0,189.0,575100
2023-08-07,189.0,191.0,189.0,189.0,676500
2023-08-08,187.0,189.0,186.0,189.0,1116100
2023-08-09,185.0,187.0,183.0,187.0,1152300
2023-08-10,185.0,188.0,184.0,185.0,413600
2023-08-11,184.0,188.0,184.0,188.0,173300
2023-08-14,186.0,186.0,184.0,184.0,146900
2023-08-15,185.0,186.0,182.0,186.0,2053900
2023-08-16,184.0,186.0,182.0,184.0,310500
2023-08-18,184.0,185.0,182.0,184.0,225500
2023-08-21,182.0,185.0,182.0,184.0,411100
2023-08-22,183.0,185.0,182.0,183.0,603600
2023-08-23,184.0,186.0,183.0,183.0,732800
2023-08-24,183.0,185.0,183.0,184.0,748000
2023-08-25,182.0,184.0,181.0,183.0,498800
2023-08-28,183.0,184.0,181.0,182.0,207400
2023-08-29,185.0,186.0,181.0,182.0,331100
2023-08-30,185.0,185.0,183.0,185.0,334000
2023-08-31,183.0,185.0,181.0,184.0,796000
2023-09-01,184.0,184.0,181.0,183.0,600400
2023-09-04,182.0,184.0,182.0,184.0,369400
2023-09-05,182.0,184.0,181.0,182.0,272300
2023-09-06,176.0,184.0,170.0,182.0,3930400
2023-09-07,174.0,177.0,174.0,176.0,494900
2023-09-08,176.0,177.0,174.0,175.0,136100
2023-09-11,180.0,181.0,176.0,176.0,587300
2023-09-12,179.0,186.0,178.0,180.0,768400
2023-09-13,181.0,184.0,181.0,182.0,131900
2023-09-14,182.0,184.0,180.0,182.0,204800
2023-09-15,179.0,183.0,178.0,183.0,107000
2023-09-18,179.0,181.0,177.0,179.0,625300
2023-09-19,179.0,181.0,177.0,178.0,453800
2023-09-20,179.0,182.0,178.0,179.0,198100
2023-09-21,178.0,180.0,178.0,179.0,33700
2023-09-22,184.0,208.0,175.0,180.0,59731900
2023-09-25,182.0,186.0,179.0,184.0,3086300
2023-09-26,185.0,197.0,180.0,182.0,4107000
2023-09-27,186.0,191.0,183.0,187.0,2279100
2023-09-29,184.0,187.0,182.0,187.0,872700
2023-10-02,183.0,185.0,182.0,184.0,558500
2023-10-03,184.0,188.0,183.0,183.0,685400
2023-10-04,182.0,185.0,180.0,183.0,1474600
2023-10-05,184.0,185.0,181.0,182.0,317100
2023-10-06,178.0,184.0,175.0,181.0,2143900
2023-10-09,180.0,183.0,180.0,181.0,281200
2023-10-10,179.0,182.0,178.0,182.0,500800
2023-10-11,180.0,181.0,178.0,180.0,430600
2023-10-12,180.0,181.0,178.0,181.0,188000
2023-10-13,180.0,181.0,177.0,180.0,365200
2023-10-16,185.0,199.0,177.0,180.0,13779500
2023-10-17,188.0,190.0,183.0,190.0,1151500
2023-10-18,185.0,189.0,182.0,189.0,1283400
2023-10-19,182.0,188.0,182.0,184.0,653400
2023-10-20,182.0,182.0,180.0,182.0,342700
2023-10-23,181.0,185.0,180.0,184.0,237200
2023-10-24,185.0,185.0,180.0,180.0,235700
2023-10-25,185.0,190.0,182.0,185.0,1795200
2023-10-26,184.0,188.0,184.0,185.0,720000
2023-10-27,184.0,186.0,180.0,184.0,632300
2023-10-30,179.0,188.0,178.0,184.0,1242200
2023-10-31,178.0,182.0,172.0,181.0,2286800
2023-11-01,177.0,179.0,175.0,179.0,235900
2023-11-02,178.0,180.0,175.0,179.0,196100
2023-11-03,180.0,182.0,174.0,179.0,361000
2023-11-06,180.0,182.0,178.0,180.0,52100
2023-11-07,180.0,181.0,178.0,179.0,99500
2023-11-08,180.0,181.0,178.0,178.0,403500
2023-11-09,178.0,180.0,178.0,180.0,265600
2023-11-10,177.0,180.0,175.0,180.0,811900
2023-11-13,182.0,183.0,177.0,177.0,1467800
2023-11-14,186.0,191.0,182.0,182.0,2345900
2023-11-15,186.0,189.0,184.0,189.0,336900
2023-11-16,189.0,189.0,185.0,186.0,635300
2023-11-17,190.0,190.0,186.0,188.0,315600
2023-11-20,188.0,190.0,185.0,190.0,121700
2023-11-21,188.0,190.0,185.0,185.0,299100
2023-11-22,188.0,189.0,185.0,186.0,89700
2023-11-23,188.0,190.0,183.0,188.0,295500
2023-11-24,183.0,189.0,180.0,182.0,1644600
2023-11-27,182.0,188.0,182.0,183.0,200000
2023-11-28,190.0,192.0,183.0,188.0,2785400
2023-11-29,190.0,196.0,186.0,189.0,872400
2023-11-30,189.0,195.0,185.0,195.0,501500
2023-12-01,190.0,190.0,185.0,185.0,1334200
2023-12-04,192.0,194.0,188.0,188.0,1220700
2023-12-05,189.0,194.0,188.0,192.0,281500
2023-12-06,188.0,192.0,186.0,189.0,149900
2023-12-07,186.0,188.0,186.0,188.0,200000
2023-12-08,188.0,190.0,186.0,190.0,391300
2023-12-11,187.0,190.0,186.0,188.0,553200
2023-12-12,189.0,189.0,186.0,187.0,255000
2023-12-13,190.0,190.0,187.0,187.0,150600
2023-12-14,189.0,194.0,187.0,190.0,1228100
2023-12-15,190.0,190.0,188.0,190.0,68000
2023-12-18,192.0,192.0,188.0,190.0,212300
2023-12-19,191.0,192.0,187.0,192.0,155700
2023-12-20,191.0,194.0,189.0,190.0,101800
2023-12-21,191.0,194.0,188.0,194.0,412700
2023-12-22,191.0,193.0,191.0,191.0,146600
2023-12-27,190.0,195.0,189.0,192.0,187000
2023-12-28,191.0,191.0,188.0,190.0,110800
2023-12-29,194.0,195.0,189.0,191.0,1971500
2024-01-02,191.0,194.0,191.0,194.0,87500
2024-01-03,193.0,193.0,188.0,191.0,214600
2024-01-04,191.0,192.0,189.0,192.0,221200
2024-01-05,192.0,193.0,189.0,191.0,100000
2024-01-08,191.0,193.0,189.0,193.0,122200
2024-01-09,192.0,192.0,188.0,189.0,82000
2024-01-10,191.0,192.0,190.0,192.0,40000
2024-01-11,189.0,190.0,189.0,189.0,46200
2024-01-12,190.0,192.0,188.0,188.0,878300
2024-01-15,189.0,191.0,188.0,190.0,387600
2024-01-16,192.0,192.0,189.0,191.0,410100
2024-01-17,189.0,192.0,189.0,192.0,407200
2024-01-18,190.0,194.0,185.0,189.0,871600
2024-01-19,190.0,190.0,189.0,190.0,65700
2024-01-22,188.0,192.0,187.0,192.0,1537600
2024-01-23,189.0,189.0,188.0,189.0,24000
2024-01-24,187.0,191.0,186.0,191.0,23800
2024-01-25,186.0,187.0,186.0,187.0,42200
2024-01-26,184.0,187.0,180.0,183.0,1264700
2024-01-29,181.0,189.0,180.0,184.0,267100
2024-01-30,182.0,184.0,181.0,181.0,49300
2024-01-31,183.0,185.0,181.0,181.0,41000
2024-02-01,183.0,186.0,180.0,185.0,1864600
2024-02-02,181.0,184.0,180.0,184.0,252900
2024-02-05,182.0,186.0,182.0,184.0,114900
2024-02-06,182.0,187.0,180.0,183.0,60400
2024-02-07,180.0,183.0,180.0,183.0,118200
2024-02-12,184.0,185.0,178.0,180.0,813200
2024-02-13,179.0,182.0,177.0,180.0,514500
2024-02-15,175.0,181.0,174.0,178.0,770300
2024-02-16,177.0,180.0,174.0,176.0,217100
2024-02-19,178.0,179.0,175.0,177.0,242700
2024-02-20,178.0,179.0,175.0,178.0,84900
2024-02-21,179.0,180.0,174.0,176.0,963900
2024-02-22,177.0,179.0,176.0,179.0,60800
2024-02-23,179.0,179.0,176.0,177.0,52800
2024-02-26,179.0,181.0,177.0,179.0,1351000
2024-02-27,178.0,181.0,178.0,179.0,66800
2024-02-28,179.0,180.0,176.0,177.0,48300
2024-02-29,179.0,179.0,174.0,179.0,220100
2024-03-01,178.0,178.0,175.0,177.0,75400
2024-03-04,178.0,179.0,178.0,178.0,81400
2024-03-05,178.0,180.0,175.0,178.0,35800
2024-03-06,180.0,182.0,178.0,178.0,218500
2024-03-07,182.0,183.0,178.0,181.0,210900
2024-03-08,180.0,182.0,179.0,179.0,71800
2024-03-13,181.0,182.0,179.0,179.0,105100
2024-03-14,181.0,181.0,181.0,181.0,44700
2024-03-15,182.0,182.0,181.0,181.0,65600
2024-03-18,183.0,183.0,182.0,182.0,209100
2024-03-19,181.0,184.0,180.0,181.0,253900
2024-03-20,181.0,182.0,180.0,180.0,34600
2024-03-21,183.0,185.0,181.0,181.0,141600
2024-03-22,182.0,182.0,180.0,182.0,362500
2024-03-25,183.0,183.0,182.0,183.0,27400
2024-03-26,188.0,192.0,181.0,192.0,2276300
2024-03-27,184.0,189.0,184.0,188.0,83000
2024-03-28,183.0,184.0,182.0,184.0,92200
2024-04-01,183.0,183.0,182.0,182.0,203000
2024-04-02,184.0,184.0,182.0,183.0,64400
2024-04-03,183.0,185.0,183.0,185.0,67400
2024-04-04,182.0,182.0,180.0,181.0,392200
2024-04-05,182.0,184.0,180.0,180.0,235800
2024-04-16,182.0,182.0,180.0,181.0,729400
2024-04-17,180.0,184.0,179.0,181.0,165000
2024-04-18,179.0,180.0,178.0,180.0,142900
2024-04-19,174.0,179.0,173.0,178.0,396000
2024-04-22,171.0,179.0,169.0,173.0,240300
2024-04-23,174.0,180.0,171.0,173.0,22400
2024-04-24,172.0,174.0,171.0,174.0,273400
2024-04-25,174.0,175.0,174.0,175.0,400
2024-04-26,170.0,175.0,169.0,172.0,132600
2024-04-29,175.0,176.0,171.0,176.0,3600
2024-04-30,174.0,175.0,171.0,171.0,19500
2024-05-02,175.0,176.0,170.0,173.0,20600
2024-05-03,175.0,175.0,175.0,175.0,0
2024-05-06,172.0,176.0,172.0,176.0,76400
2024-05-07,172.0,172.0,172.0,172.0,53100
2024-05-08,175.0,176.0,173.0,176.0,209700
2024-05-13,168.0,176.0,168.0,172.0,190400
2024-05-14,168.0,175.0,167.0,175.0,133000
2024-05-15,171.0,172.0,167.0,168.0,32300
2024-05-16,172.0,173.0,170.0,171.0,54500
2024-05-17,171.0,173.0,170.0,172.0,28200
2024-05-20,170.0,171.0,169.0,170.0,94700
2024-05-21,170.0,172.0,170.0,170.0,88000
2024-05-22,171.0,174.0,169.0,169.0,37700
2024-05-27,170.0,171.0,170.0,170.0,18900
2024-05-28,166.0,171.0,160.0,171.0,217700
2024-05-29,164.0,167.0,163.0,163.0,22500
2024-05-30,167.0,167.0,166.0,166.0,34800
2024-05-31,166.0,166.0,160.0,162.0,578100
2024-06-03,168.0,170.0,164.0,164.0,345400
2024-06-04,165.0,168.0,162.0,168.0,80600
2024-06-05,162.0,162.0,161.0,161.0,63700
2024-06-06,161.0,163.0,161.0,162.0,7300
2024-06-07,172.0,173.0,161.0,161.0,267800
2024-06-10,170.0,170.0,170.0,170.0,31500
2024-06-11,156.0,170.0,154.0,170.0,1669400
2024-06-12,153.0,157.0,145.0,156.0,609700
2024-06-13,151.0,153.0,150.0,151.0,33700
2024-06-14,153.0,156.0,148.0,156.0,87800
2024-06-19,150.0,155.0,150.0,155.0,10900
2024-06-20,154.0,160.0,140.0,157.0,296300
2024-06-21,154.0,155.0,149.0,154.0,162000
2024-06-24,157.0,160.0,149.0,153.0,61700
2024-06-25,156.0,164.0,151.0,151.0,181200
2024-06-26,160.0,162.0,160.0,160.0,575800
2024-06-27,163.0,163.0,157.0,157.0,178100
2024-06-28,164.0,164.0,160.0,161.0,121000
2024-07-01,173.0,176.0,165.0,165.0,451700
2024-07-02,178.0,180.0,171.0,173.0,1248300
2024-07-03,180.0,181.0,178.0,180.0,293100
2024-07-04,185.0,191.0,180.0,180.0,1034800
2024-07-05,189.0,191.0,185.0,190.0,2665900
2024-07-08,189.0,190.0,187.0,189.0,186500
2024-07-09,193.0,193.0,187.0,188.0,238900
2024-07-10,192.0,195.0,191.0,193.0,800700
2024-07-11,191.0,193.0,190.0,192.0,320000
2024-07-12,193.0,193.0,191.0,191.0,191300
2024-07-15,199.0,202.0,192.0,195.0,1673300
2024-07-16,210.0,212.0,200.0,202.0,1105200
2024-07-17,210.0,218.0,206.0,212.0,1563900
2024-07-18,208.0,214.0,208.0,210.0,587500
2024-07-19,210.0,218.0,208.0,218.0,824200
2024-07-22,210.0,218.0,208.0,210.0,449200
2024-07-23,218.0,220.0,208.0,210.0,1872600
2024-07-24,234.0,240.0,220.0,226.0,5256200
2024-07-25,254.0,256.0,234.0,234.0,4442900
2024-07-26,266.0,268.0,248.0,256.0,3187000
2024-07-29,270.0,276.0,264.0,266.0,3375400
2024-07-30,300.0,300.0,266.0,268.0,6069600
2024-07-31,346.0,350.0,298.0,300.0,12093100
2024-08-01,366.0,370.0,302.0,348.0,9413400
2024-08-02,456.0,456.0,456.0,456.0,35145200
2024-08-05,456.0,456.0,456.0,456.0,0
2024-08-06,484.0,510.0,464.0,486.0,43975000
2024-08-07,482.0,494.0,472.0,486.0,7943100
2024-08-08,484.0,488.0,480.0,486.0,3992500
2024-08-09,490.0,510.0,484.0,488.0,6470900
2024-08-12,480.0,492.0,480.0,490.0,9773700
2024-08-13,480.0,484.0,476.0,480.0,7042400
2024-08-14,480.0,484.0,478.0,480.0,3213700
2024-08-15,482.0,484.0,480.0,482.0,1745000
2024-08-16,482.0,486.0,480.0,482.0,2156900
2024-08-19,484.0,490.0,482.0,486.0,2002300
2024-08-20,482.0,488.0,478.0,484.0,6835300
2024-08-21,484.0,484.0,476.0,482.0,6896100
2024-08-22,482.0,484.0,478.0,480.0,2635800
2024-08-23,480.0,484.0,480.0,480.0,1160200
2024-08-26,482.0,482.0,478.0,480.0,2609600
2024-08-27,480.0,484.0,480.0,482.0,3107500
2024-08-28,484.0,500.0,480.0,482.0,6985900
2024-08-29,484.0,494.0,482.0,486.0,1975300
2024-08-30,486.0,490.0,484.0,486.0,1676100
2024-09-02,488.0,490.0,484.0,490.0,846800
2024-09-03,488.0,490.0,486.0,488.0,1670400
2024-09-04,490.0,490.0,488.0,488.0,1243000
2024-09-05,488.0,492.0,488.0,490.0,1798100
2024-09-06,490.0,492.0,488.0,490.0,3583500
2024-09-09,492.0,505.0,490.0,490.0,2600500
2024-09-10,498.0,500.0,492.0,498.0,1793800
2024-09-11,494.0,498.0,490.0,496.0,2055900
2024-09-12,492.0,498.0,488.0,492.0,3945800
2024-09-13,492.0,492.0,486.0,492.0,4281000
2024-09-17,494.0,498.0,490.0,494.0,1577300
2024-09-18,494.0,494.0,490.0,490.0,1248300
2024-09-19,494.0,494.0,490.0,494.0,331200
2024-09-20,494.0,494.0,488.0,494.0,3286100
2024-09-23,492.0,492.0,490.0,490.0,701800
2024-09-24,492.0,492.0,488.0,492.0,1119300
2024-09-25,492.0,492.0,488.0,490.0,196000
2024-09-26,492.0,492.0,488.0,492.0,488500
2024-09-27,490.0,492.0,488.0,490.0,443100
2024-09-30,490.0,492.0,486.0,492.0,622500
2024-10-01,494.0,496.0,490.0,490.0,2193300
2024-10-02,486.0,496.0,486.0,494.0,1912500
2024-10-03,492.0,492.0,488.0,488.0,239900
2024-10-04,492.0,492.0,486.0,490.0,178400
2024-10-07,492.0,492.0,488.0,490.0,710800
2024-10-08,492.0,492.0,490.0,490.0,176700
2024-10-09,492.0,494.0,488.0,492.0,627500
2024-10-10,492.0,492.0,490.0,490.0,275500
2024-10-11,490.0,494.0,490.0,492.0,454800
2024-10-14,490.0,492.0,490.0,490.0,299300
2024-10-15,490.0,494.0,488.0,490.0,512100
2024-10-16,492.0,494.0,490.0,492.0,616000
2024-10-17,494.0,498.0,492.0,492.0,365400
2024-10-18,500.0,500.0,492.0,492.0,735700
2024-10-21,494.0,500.0,494.0,500.0,214500
2024-10-22,510.0,595.0,494.0,500.0,13448900
2024-10-23,510.0,520.0,490.0,510.0,3458700
2024-10-24,510.0,525.0,510.0,515.0,5670000
2024-10-25,520.0,520.0,510.0,510.0,4110000
2024-10-28,520.0,520.0,515.0,520.0,3326200
2024-10-29,520.0,525.0,515.0,520.0,3133000
2024-10-30,520.0,520.0,515.0,520.0,715200
2024-10-31,520.0,520.0,515.0,520.0,2078300
2024-11-01,520.0,520.0,515.0,515.0,1353200
2024-11-04,520.0,520.0,510.0,520.0,6016700
2024-11-05,515.0,520.0,515.0,520.0,3887000
2024-11-06,520.0,520.0,515.0,515.0,587100
2024-11-07,520.0,520.0,515.0,515.0,1139500
2024-11-08,520.0,520.0,515.0,515.0,696500
2024-11-11,520.0,520.0,515.0,515.0,1108500
2024-11-12,520.0,520.0,515.0,520.0,656000
2024-11-13,515.0,520.0,515.0,515.0,1139000
2024-11-14,520.0,520.0,515.0,515.0,934600
2024-11-15,520.0,520.0,515.0,520.0,688900
2024-11-18,520.0,520.0,515.0,520.0,1004700
2024-11-19,520.0,520.0,515.0,515.0,431500
2024-11-20,520.0,520.0,515.0,515.0,207700
2024-11-21,520.0,520.0,515.0,520.0,73700
2024-11-22,520.0,520.0,515.0,520.0,390000
2024-11-25,520.0,520.0,515.0,520.0,133700
2024-11-26,520.0,520.0,515.0,520.0,584900
2024-11-28,515.0,520.0,515.0,515.0,7311600
2024-11-29,515.0,515.0,515.0,515.0,2487900
2024-12-02,520.0,520.0,515.0,515.0,481800
2024-12-03,520.0,520.0,515.0,515.0,1359500
2024-12-04,515.0,520.0,515.0,520.0,892700
2024-12-05,515.0,520.0,515.0,515.0,229200
2024-12-06,520.0,520.0,515.0,515.0,781300
2024-12-09,520.0,520.0,515.0,520.0,932400
2024-12-10,520.0,520.0,515.0,520.0,19100
2024-12-11,515.0,520.0,515.0,520.0,1744100
2024-12-12,520.0,520.0,515.0,515.0,1360300
2024-12-13,520.0,520.0,515.0,515.0,1196700
2024-12-16,520.0,520.0,515.0,515.0,706200
2024-12-17,520.0,525.0,520.0,520.0,13389900
2024-12-18,520.0,525.0,520.0,520.0,6100400
2024-12-19,520.0,525.0,520.0,525.0,7655000
2024-12-20,520.0,525.0,520.0,520.0,1539400
2024-12-23,520.0,525.0,520.0,520.0,132100
2024-12-24,520.0,525.0,520.0,525.0,470300
2024-12-27,525.0,525.0,520.0,525.0,339200
2024-12-30,525.0,525.0,520.0,520.0,1479100
2025-01-02,520.0,525.0,520.0,525.0,409900
2025-01-03,525.0,530.0,520.0,520.0,1685200
2025-01-06,525.0,525.0,520.0,525.0,128200
2025-01-07,525.0,525.0,494.0,525.0,824600
2025-01-08,520.0,525.0,520.0,520.0,161300
2025-01-09,530.0,530.0,520.0,520.0,1107700
2025-01-10,530.0,545.0,525.0,530.0,568300
2025-01-13,525.0,530.0,525.0,530.0,1136500
2025-01-14,525.0,530.0,515.0,530.0,387400
2025-01-15,545.0,655.0,525.0,525.0,4510800
2025-01-16,585.0,590.0,520.0,575.0,1362300
2025-01-17,585.0,600.0,565.0,590.0,269900
2025-01-20,625.0,650.0,530.0,530.0,541000
2025-01-21,630.0,645.0,585.0,635.0,273700
2025-01-22,605.0,645.0,600.0,645.0,330400
2025-01-23,630.0,640.0,595.0,605.0,180700
2025-01-24,570.0,630.0,570.0,630.0,177600
2025-01-30,570.0,610.0,540.0,570.0,167000
2025-01-31,590.0,600.0,535.0,570.0,167200
2025-02-03,735.0,735.0,600.0,605.0,3151600
2025-02-04,915.0,915.0,750.0,900.0,2403200
2025-02-05,1140.0,1140.0,1140.0,1140.0,1379400
2025-02-06,1140.0,1140.0,1140.0,1140.0,0
2025-02-07,1425.0,1425.0,1425.0,1425.0,434900
2025-02-10,1425.0,1425.0,1425.0,1425.0,0
2025-02-11,1425.0,1425.0,1425.0,1425.0,0
2025-02-12,1425.0,1425.0,1425.0,1425.0,0
2025-02-13,1425.0,1425.0,1425.0,1425.0,0
2025-02-14,1425.0,1425.0,1425.0,1425.0,0
2025-02-17,1425.0,1425.0,1425.0,1425.0,0
2025-02-18,1425.0,1425.0,1425.0,1425.0,0
2025-02-19,1425.0,1425.0,1425.0,1425.0,0
2025-02-20,1425.0,1425.0,1425.0,1425.0,0
2025-02-21,1425.0,1425.0,1425.0,1425.0,0
2025-02-24,1425.0,1425.0,1425.0,1425.0,0
2025-02-25,1425.0,1425.0,1425.0,1425.0,0
2025-02-26,1425.0,1425.0,1425.0,1425.0,0
2025-02-27,1565.0,1565.0,1565.0,1565.0,114200
2025-02-28,1720.0,1720.0,1720.0,1720.0,508800
2025-03-03,1890.0,1890.0,1890.0,1890.0,50200
2025-03-04,2070.0,2070.0,2070.0,2070.0,96800
2025-03-05,2270.0,2270.0,2270.0,2270.0,42100
2025-03-06,2490.0,2490.0,2490.0,2490.0,149200
2025-03-07,2730.0,2730.0,2730.0,2730.0,940700
2025-03-10,2890.0,3200.0,2550.0,2720.0,3680400
2025-03-11,2170.0,2990.0,2170.0,2990.0,2928300
2025-03-12,1950.0,2130.0,1630.0,1945.0,4098500
2025-03-13,2430.0,2430.0,1670.0,2050.0,4272700
2025-03-14,2010.0,2300.0,1905.0,2300.0,2045500
2025-03-17,1710.0,2180.0,1650.0,2010.0,953100
2025-03-18,1485.0,1720.0,1285.0,1710.0,2503600
2025-03-19,1595.0,1795.0,1305.0,1475.0,1535000
