Date,Close,High,Low,Open,Volume
2023-07-03,905.0,920.0,895.0,910.0,1712400
2023-07-04,900.0,905.0,890.0,900.0,1306500
2023-07-05,930.0,930.0,895.0,900.0,2672400
2023-07-06,940.0,950.0,930.0,935.0,1947100
2023-07-07,950.0,960.0,935.0,940.0,2653900
2023-07-10,980.0,980.0,945.0,950.0,2695100
2023-07-11,1000.0,1000.0,975.0,980.0,3003500
2023-07-12,990.0,1010.0,985.0,1000.0,1767800
2023-07-13,995.0,1000.0,980.0,985.0,1863700
2023-07-14,1000.0,1010.0,995.0,995.0,1558800
2023-07-17,995.0,1005.0,985.0,1005.0,1101100
2023-07-18,1015.0,1015.0,990.0,995.0,2217800
2023-07-20,1015.0,1030.0,1010.0,1015.0,2020200
2023-07-21,1015.0,1025.0,1005.0,1010.0,1576400
2023-07-24,1025.0,1030.0,1010.0,1015.0,1282600
2023-07-25,1040.0,1050.0,1025.0,1025.0,1797400
2023-07-26,1030.0,1045.0,1025.0,1040.0,1115100
2023-07-27,1025.0,1030.0,1020.0,1025.0,1697300
2023-07-28,1025.0,1035.0,1010.0,1025.0,2490300
2023-07-31,1050.0,1055.0,1015.0,1020.0,3079300
2023-08-01,1045.0,1050.0,1040.0,1050.0,1072000
2023-08-02,1045.0,1050.0,1035.0,1050.0,2375500
2023-08-03,1075.0,1075.0,1045.0,1045.0,3316300
2023-08-04,1070.0,1080.0,1060.0,1075.0,2408900
2023-08-07,1080.0,1090.0,1065.0,1065.0,2825900
2023-08-08,1075.0,1085.0,1070.0,1080.0,1981000
2023-08-09,1070.0,1075.0,1060.0,1075.0,2668500
2023-08-10,1085.0,1095.0,1070.0,1070.0,3099400
2023-08-11,1080.0,1085.0,1075.0,1080.0,1521800
2023-08-14,1075.0,1080.0,1065.0,1080.0,1681200
2023-08-15,1080.0,1085.0,1070.0,1070.0,1577300
2023-08-16,1085.0,1095.0,1075.0,1075.0,2183100
2023-08-18,1080.0,1090.0,1070.0,1085.0,1893300
2023-08-21,1085.0,1090.0,1075.0,1075.0,2199100
2023-08-22,1090.0,1090.0,1080.0,1080.0,1648600
2023-08-23,1090.0,1090.0,1080.0,1085.0,1410800
2023-08-24,1110.0,1110.0,1080.0,1085.0,3331600
