Date,Close,High,Low,Open,Volume
2023-07-03,21.0,22.0,20.0,21.0,609700
2023-07-04,22.0,22.0,20.0,22.0,402200
2023-07-05,22.0,22.0,20.0,20.0,108100
2023-07-06,22.0,22.0,21.0,22.0,127700
2023-07-07,22.0,22.0,21.0,22.0,10100
2023-07-10,22.0,22.0,21.0,22.0,1144700
2023-07-11,22.0,22.0,21.0,21.0,25500
2023-07-12,21.0,22.0,20.0,21.0,686700
2023-07-13,21.0,22.0,20.0,20.0,1219400
2023-07-14,20.0,21.0,19.0,20.0,1912100
2023-07-17,21.0,21.0,19.0,21.0,2110100
2023-07-18,21.0,21.0,20.0,21.0,756500
2023-07-20,21.0,21.0,20.0,21.0,433200
2023-07-21,21.0,21.0,20.0,21.0,549100
2023-07-24,21.0,21.0,20.0,21.0,473700
2023-07-25,21.0,21.0,20.0,20.0,412000
2023-07-26,21.0,21.0,20.0,20.0,787900
2023-07-27,21.0,21.0,20.0,21.0,866600
2023-07-28,21.0,21.0,20.0,20.0,76300
2023-07-31,21.0,21.0,20.0,20.0,58000
2023-08-01,21.0,21.0,19.0,21.0,457400
2023-08-02,21.0,21.0,20.0,20.0,550000
2023-08-03,21.0,21.0,20.0,20.0,123400
2023-08-04,20.0,21.0,19.0,20.0,82900
2023-08-07,20.0,20.0,19.0,19.0,548100
2023-08-08,21.0,21.0,19.0,20.0,745400
2023-08-09,21.0,21.0,20.0,21.0,28400
2023-08-10,20.0,21.0,19.0,21.0,33500
2023-08-11,20.0,20.0,19.0,19.0,237500
2023-08-14,20.0,20.0,19.0,20.0,43100
2023-08-15,21.0,21.0,19.0,20.0,233100
2023-08-16,21.0,21.0,20.0,20.0,34300
2023-08-18,20.0,21.0,19.0,21.0,217900
2023-08-21,20.0,20.0,18.0,20.0,1058500
2023-08-22,20.0,20.0,18.0,20.0,523800
2023-08-23,20.0,20.0,19.0,20.0,256500
2023-08-24,20.0,20.0,19.0,19.0,121700
2023-08-25,20.0,20.0,19.0,20.0,40600
2023-08-28,20.0,20.0,19.0,20.0,381500
2023-08-29,20.0,20.0,19.0,20.0,394900
2023-08-30,20.0,20.0,19.0,20.0,620600
2023-08-31,20.0,20.0,19.0,20.0,28300
2023-09-01,20.0,20.0,19.0,20.0,109400
2023-09-04,20.0,20.0,19.0,20.0,191200
2023-09-05,20.0,20.0,19.0,20.0,96700
2023-09-06,20.0,20.0,19.0,20.0,86400
2023-09-07,20.0,20.0,19.0,20.0,88800
2023-09-08,19.0,20.0,19.0,20.0,537300
2023-09-11,20.0,20.0,19.0,20.0,399400
2023-09-12,20.0,20.0,19.0,19.0,98600
2023-09-13,20.0,20.0,19.0,19.0,42000
2023-09-14,20.0,20.0,19.0,19.0,3400
2023-09-15,20.0,20.0,19.0,20.0,6800
2023-09-18,20.0,20.0,19.0,20.0,41900
2023-09-19,20.0,20.0,19.0,19.0,146100
2023-09-20,20.0,20.0,19.0,20.0,7700
2023-09-21,20.0,20.0,19.0,19.0,161100
2023-09-22,20.0,20.0,19.0,19.0,14000
2023-09-25,19.0,19.0,18.0,19.0,3522400
2023-09-26,19.0,19.0,18.0,19.0,20000
2023-09-27,19.0,19.0,18.0,19.0,109200
2023-09-29,19.0,19.0,18.0,19.0,98100
2023-10-02,19.0,19.0,18.0,19.0,105400
2023-10-03,19.0,19.0,18.0,19.0,381100
2023-10-04,19.0,19.0,18.0,18.0,126700
2023-10-05,19.0,19.0,18.0,19.0,33400
2023-10-06,19.0,19.0,18.0,19.0,37600
2023-10-09,19.0,19.0,18.0,19.0,1331100
2023-10-10,19.0,19.0,18.0,19.0,6300
2023-10-11,19.0,19.0,18.0,18.0,28300
2023-10-12,19.0,19.0,18.0,19.0,79400
2023-10-13,19.0,19.0,18.0,18.0,440000
2023-10-16,19.0,19.0,18.0,19.0,234800
2023-10-17,19.0,19.0,18.0,19.0,6900
2023-10-18,19.0,19.0,18.0,19.0,13500
2023-10-19,19.0,19.0,18.0,19.0,41200
2023-10-20,19.0,20.0,18.0,19.0,1083800
2023-10-23,19.0,19.0,18.0,18.0,3300
2023-10-24,19.0,19.0,18.0,18.0,49800
2023-10-25,19.0,19.0,18.0,18.0,4700
2023-10-26,19.0,19.0,19.0,19.0,3900
2023-10-27,19.0,19.0,18.0,19.0,134700
2023-10-30,18.0,19.0,18.0,19.0,53700
2023-10-31,19.0,19.0,18.0,19.0,22200
