Date,Close,High,Low,Open,Volume
2023-07-03,133.0,134.0,132.0,134.0,502400
2023-07-04,133.0,133.0,130.0,130.0,5022800
2023-07-05,133.0,133.0,130.0,130.0,6000
2023-07-06,133.0,133.0,130.0,130.0,3000300
2023-07-07,133.0,133.0,133.0,133.0,100
2023-07-10,133.0,133.0,133.0,133.0,0
2023-07-11,133.0,133.0,131.0,131.0,2302600
2023-07-12,133.0,133.0,130.0,132.0,1002600
2023-07-13,133.0,133.0,130.0,133.0,2000
2023-07-14,133.0,133.0,130.0,130.0,100500
2023-07-17,134.0,134.0,133.0,133.0,504500
2023-07-18,131.0,134.0,129.0,134.0,190600
2023-07-20,133.0,134.0,129.0,130.0,3741000
2023-07-21,134.0,134.0,134.0,134.0,100
2023-07-24,134.0,136.0,130.0,136.0,38800
2023-07-25,134.0,134.0,134.0,134.0,0
2023-07-26,130.0,130.0,130.0,130.0,800
2023-07-27,134.0,134.0,130.0,134.0,600
2023-07-28,134.0,134.0,126.0,134.0,1000500
2023-07-31,137.0,137.0,130.0,131.0,2200
2023-08-01,137.0,137.0,129.0,136.0,1500800
2023-08-02,136.0,136.0,130.0,136.0,800
2023-08-03,136.0,136.0,129.0,136.0,6000400
2023-08-04,136.0,136.0,129.0,136.0,600
2023-08-07,136.0,136.0,136.0,136.0,0
2023-08-08,136.0,136.0,129.0,129.0,1100
2023-08-09,136.0,136.0,136.0,136.0,0
2023-08-10,136.0,136.0,136.0,136.0,300
2023-08-11,136.0,136.0,128.0,128.0,3000
2023-08-14,136.0,136.0,133.0,134.0,3501200
2023-08-15,135.0,135.0,129.0,129.0,4200
2023-08-16,135.0,135.0,135.0,135.0,0
2023-08-18,136.0,138.0,130.0,130.0,2500
2023-08-21,135.0,136.0,128.0,136.0,9300
2023-08-22,134.0,134.0,128.0,128.0,39500
2023-08-23,131.0,131.0,131.0,131.0,75300
2023-08-24,131.0,131.0,131.0,131.0,0
2023-08-25,131.0,131.0,128.0,128.0,600
2023-08-28,129.0,129.0,129.0,129.0,2000
2023-08-29,133.0,133.0,128.0,129.0,57200
2023-08-30,129.0,129.0,128.0,129.0,12300
2023-08-31,129.0,129.0,129.0,129.0,10900
2023-09-01,129.0,129.0,128.0,129.0,1000
2023-09-04,129.0,129.0,127.0,128.0,202100
2023-09-05,129.0,129.0,129.0,129.0,0
2023-09-06,126.0,126.0,126.0,126.0,1600
2023-09-07,126.0,126.0,126.0,126.0,0
2023-09-08,125.0,126.0,125.0,126.0,20081200
2023-09-11,147.0,167.0,129.0,129.0,841900
2023-09-12,130.0,147.0,130.0,147.0,70600
2023-09-13,125.0,128.0,124.0,128.0,182000
2023-09-14,121.0,124.0,120.0,124.0,206900
2023-09-15,124.0,124.0,120.0,120.0,24300
2023-09-18,121.0,121.0,117.0,120.0,53500
2023-09-19,121.0,121.0,120.0,120.0,5200
2023-09-20,121.0,121.0,120.0,120.0,2100
2023-09-21,121.0,124.0,120.0,121.0,666200
2023-09-22,121.0,121.0,120.0,120.0,1700
2023-09-25,117.0,117.0,115.0,117.0,13200
2023-09-26,116.0,120.0,116.0,120.0,3300
2023-09-27,120.0,120.0,120.0,120.0,100
2023-09-29,120.0,120.0,120.0,120.0,100
2023-10-02,120.0,147.0,117.0,117.0,315300
2023-10-03,120.0,120.0,116.0,120.0,1700
2023-10-04,120.0,120.0,115.0,115.0,39500
2023-10-05,120.0,125.0,120.0,120.0,3200
2023-10-06,120.0,120.0,118.0,119.0,5807400
2023-10-09,119.0,120.0,115.0,120.0,8000
2023-10-10,118.0,119.0,115.0,119.0,24000
2023-10-11,118.0,118.0,114.0,118.0,3000
2023-10-12,119.0,119.0,114.0,115.0,6500
2023-10-13,119.0,119.0,119.0,119.0,0
2023-10-16,116.0,116.0,114.0,114.0,2900
2023-10-17,116.0,116.0,114.0,114.0,200
2023-10-18,116.0,116.0,113.0,116.0,5500
2023-10-19,116.0,116.0,113.0,116.0,10200
2023-10-20,115.0,116.0,115.0,116.0,1017200
2023-10-23,115.0,125.0,114.0,114.0,8100
2023-10-24,120.0,120.0,113.0,113.0,13000
2023-10-25,115.0,115.0,113.0,115.0,4900
2023-10-26,115.0,115.0,115.0,115.0,7100
2023-10-27,115.0,115.0,115.0,115.0,700
2023-10-30,115.0,115.0,113.0,113.0,3400
2023-10-31,115.0,115.0,113.0,115.0,3000
2023-11-01,113.0,115.0,113.0,115.0,24100
2023-11-02,115.0,121.0,113.0,121.0,400
2023-11-03,115.0,115.0,113.0,113.0,600
2023-11-06,118.0,122.0,118.0,122.0,500
2023-11-07,114.0,118.0,114.0,118.0,47200
2023-11-08,114.0,114.0,114.0,114.0,200
2023-11-09,114.0,114.0,113.0,113.0,1200
2023-11-10,114.0,114.0,113.0,113.0,7668400
2023-11-13,113.0,124.0,113.0,124.0,42400
2023-11-14,113.0,123.0,112.0,123.0,15800
2023-11-15,113.0,113.0,112.0,112.0,5100
2023-11-16,113.0,113.0,113.0,113.0,300
2023-11-17,113.0,113.0,113.0,113.0,0
2023-11-20,113.0,113.0,112.0,112.0,200
