Date,Close,High,Low,Open,Volume
2023-07-03,50.0,52.0,50.0,50.0,2014400
2023-07-04,50.0,50.0,50.0,50.0,61000
2023-07-05,50.0,50.0,50.0,50.0,325900
2023-07-06,50.0,50.0,50.0,50.0,5200
2023-07-07,50.0,50.0,50.0,50.0,1100
2023-07-10,50.0,50.0,50.0,50.0,5300
2023-07-11,50.0,50.0,50.0,50.0,133900
2023-07-12,50.0,50.0,50.0,50.0,84700
2023-07-13,50.0,50.0,50.0,50.0,25500
2023-07-14,50.0,50.0,50.0,50.0,103600
2023-07-17,50.0,50.0,50.0,50.0,12000
2023-07-18,50.0,50.0,50.0,50.0,5400
2023-07-20,50.0,50.0,50.0,50.0,89100
2023-07-21,50.0,50.0,50.0,50.0,16200
2023-07-24,50.0,50.0,50.0,50.0,21400
2023-07-25,50.0,50.0,50.0,50.0,13100
2023-07-26,50.0,50.0,50.0,50.0,37100
2023-07-27,50.0,50.0,50.0,50.0,20100
2023-07-28,50.0,50.0,50.0,50.0,2800
2023-07-31,50.0,50.0,50.0,50.0,3200
2023-08-01,50.0,50.0,50.0,50.0,20200
2023-08-02,50.0,50.0,50.0,50.0,100
2023-08-03,50.0,50.0,50.0,50.0,1100
2023-08-04,50.0,50.0,50.0,50.0,13200
2023-08-07,50.0,50.0,50.0,50.0,5100
2023-08-08,50.0,50.0,50.0,50.0,700
2023-08-09,50.0,50.0,50.0,50.0,100
2023-08-10,50.0,50.0,50.0,50.0,100
2023-08-11,50.0,50.0,50.0,50.0,300
2023-08-14,50.0,50.0,50.0,50.0,100
2023-08-15,50.0,50.0,50.0,50.0,200
2023-08-16,50.0,50.0,50.0,50.0,700
2023-08-18,50.0,50.0,50.0,50.0,75100
2023-08-21,50.0,50.0,50.0,50.0,25200
2023-08-22,50.0,50.0,50.0,50.0,20100
2023-08-23,50.0,50.0,50.0,50.0,400
2023-08-24,50.0,50.0,50.0,50.0,500
2023-08-25,50.0,50.0,50.0,50.0,700
2023-08-28,50.0,50.0,50.0,50.0,8100
2023-08-29,50.0,50.0,50.0,50.0,6400
2023-08-30,50.0,50.0,50.0,50.0,2100
2023-08-31,50.0,50.0,50.0,50.0,4400
2023-09-01,50.0,50.0,50.0,50.0,200
2023-09-04,50.0,50.0,50.0,50.0,100
2023-09-05,50.0,50.0,50.0,50.0,300
2023-09-06,50.0,50.0,50.0,50.0,2000
2023-09-07,50.0,50.0,50.0,50.0,900
2023-09-08,50.0,50.0,50.0,50.0,500
2023-09-11,50.0,50.0,50.0,50.0,17900
2023-09-12,50.0,50.0,50.0,50.0,0
2023-09-13,50.0,50.0,50.0,50.0,100
2023-09-14,50.0,50.0,50.0,50.0,0
2023-09-15,50.0,50.0,50.0,50.0,600
2023-09-18,50.0,50.0,50.0,50.0,700
2023-09-19,50.0,50.0,50.0,50.0,200
2023-09-20,50.0,50.0,50.0,50.0,500
2023-09-21,50.0,50.0,50.0,50.0,0
2023-09-22,50.0,50.0,50.0,50.0,1100
2023-09-25,50.0,50.0,50.0,50.0,0
2023-09-26,50.0,50.0,50.0,50.0,100
2023-09-27,50.0,50.0,50.0,50.0,300
2023-09-29,50.0,50.0,50.0,50.0,100
2023-10-02,50.0,50.0,50.0,50.0,10500
2023-10-03,50.0,50.0,50.0,50.0,5000
2023-10-04,50.0,50.0,50.0,50.0,1300
2023-10-05,50.0,50.0,50.0,50.0,100
2023-10-06,50.0,50.0,50.0,50.0,14200
2023-10-09,50.0,50.0,50.0,50.0,14000
2023-10-10,50.0,50.0,50.0,50.0,200
2023-10-11,50.0,50.0,50.0,50.0,68600
2023-10-12,50.0,50.0,50.0,50.0,20200
2023-10-13,50.0,50.0,50.0,50.0,68200
2023-10-16,50.0,50.0,50.0,50.0,32200
2023-10-17,51.0,52.0,50.0,50.0,944200
2023-10-18,51.0,51.0,50.0,50.0,983700
2023-10-19,64.0,68.0,52.0,52.0,77949200
2023-10-20,52.0,63.0,50.0,63.0,28914200
2023-10-23,56.0,63.0,52.0,53.0,60653300
2023-10-24,58.0,66.0,55.0,57.0,32290800
2023-10-25,55.0,60.0,54.0,59.0,10036700
2023-10-26,53.0,56.0,53.0,55.0,3969100
2023-10-27,55.0,65.0,54.0,54.0,65925800
2023-10-30,58.0,65.0,55.0,55.0,39106700
2023-10-31,59.0,62.0,58.0,59.0,9729000
2023-11-01,58.0,63.0,55.0,60.0,12512500
2023-11-02,57.0,59.0,56.0,59.0,4026200
2023-11-03,56.0,61.0,54.0,57.0,37457700
2023-11-06,57.0,59.0,56.0,56.0,3020900
2023-11-07,55.0,58.0,55.0,57.0,2549000
2023-11-08,57.0,59.0,55.0,56.0,5286500
2023-11-09,56.0,59.0,56.0,57.0,2556000
2023-11-10,56.0,58.0,55.0,56.0,1768600
2023-11-13,55.0,58.0,52.0,52.0,3211800
2023-11-14,55.0,56.0,53.0,53.0,1675100
2023-11-15,54.0,55.0,52.0,52.0,1227000
2023-11-16,53.0,57.0,52.0,53.0,10772700
2023-11-17,53.0,56.0,53.0,53.0,1350000
2023-11-20,52.0,54.0,52.0,53.0,1159600
2023-11-21,53.0,54.0,52.0,52.0,562200
2023-11-22,52.0,54.0,50.0,51.0,6500500
2023-11-23,53.0,53.0,51.0,51.0,458700
2023-11-24,52.0,53.0,51.0,51.0,423200
2023-11-27,51.0,53.0,50.0,50.0,691800
2023-11-28,51.0,53.0,50.0,50.0,213200
2023-11-29,51.0,57.0,51.0,51.0,13259600
2023-11-30,51.0,52.0,50.0,52.0,1186300
2023-12-01,52.0,53.0,50.0,51.0,651500
2023-12-04,52.0,55.0,51.0,52.0,13983200
2023-12-05,52.0,53.0,51.0,52.0,1417800
2023-12-06,51.0,52.0,51.0,52.0,765400
2023-12-07,50.0,51.0,50.0,51.0,677800
2023-12-08,50.0,50.0,50.0,50.0,829000
2023-12-11,50.0,50.0,50.0,50.0,21700
2023-12-12,50.0,50.0,50.0,50.0,4100
2023-12-13,50.0,50.0,50.0,50.0,2300
2023-12-14,50.0,50.0,50.0,50.0,11400
2023-12-15,50.0,50.0,50.0,50.0,12600
2023-12-18,50.0,50.0,50.0,50.0,83700
2023-12-19,50.0,50.0,50.0,50.0,1300
2023-12-20,50.0,50.0,50.0,50.0,17300
