Date,Close,High,Low,Open,Volume
2023-07-03,18066.27734375,18321.007935364698,17889.92539570906,18281.81861357782,6561500
2023-07-04,18105.466796875,18223.03476308847,18066.27747480384,18144.656118946157,2442900
2023-07-05,18575.7421875,18634.52618176424,18144.65956289557,18183.84889240506,5469200
2023-07-06,18850.064453125,18869.659114718685,18673.712498781835,18771.685806750258,4409200
2023-07-07,18614.9296875,18810.876315789472,18497.361710526315,18732.497664473685,4699200
2023-07-10,18889.25390625,18928.44322970695,18712.901950693726,18732.4966124222,2886800
2023-07-11,19183.173828125,19183.173828125,18869.659240535624,18889.25390225996,3988500
2023-07-12,18810.873046875,19183.171575927736,18810.873046875,19183.171575927736,3568700
2023-07-13,18928.443359375,18987.22734496312,18791.28072633605,18810.875388198758,2583600
2023-07-14,18928.443359375,19026.416668688533,18850.06471192417,18967.63268310041,2675400
2023-07-17,18987.224609375,19124.387222652218,18967.6299503354,19046.00858649381,3021800
2023-07-18,19006.822265625,19163.57956266108,18850.06496858892,19006.822265625,3304900
2023-07-20,19104.796875,19261.554182692307,18987.228894230768,19261.554182692307,3011600
2023-07-21,19202.765625,19202.765625,19026.413695790816,19124.38698979592,2546600
2023-07-24,19908.17578125,20064.93307086614,19222.36263917938,19222.36263917938,7839200
2023-07-25,19908.17578125,20221.690360482284,19908.17578125,19986.554426058072,5141800
2023-07-26,20691.96484375,20829.127489494556,20006.151615027225,20006.151615027225,9071700
2023-07-27,20672.369140625,20966.289081013034,20456.827851007107,20711.558466010072,6529600
2023-07-28,20887.91015625,20887.91015625,20398.043595362335,20691.963531894933,4247900
2023-07-31,21573.724609375,21671.6979273104,21221.020664807562,21514.94061861376,10459300
2023-08-01,21573.724609375,21710.887254484558,21279.8046555688,21652.10326372332,4076800
2023-08-02,20946.6953125,21554.12988189897,20770.343340739008,21554.12988189897,8222700
2023-08-03,21279.802734375,21456.15469073722,20946.693483468578,20946.693483468578,4755600
2023-08-04,21416.96484375,21730.479425177266,21358.180859732387,21358.180859732387,3880200
2023-08-07,21495.341796875,21691.28839484104,21397.368497891977,21573.720436061416,4576800
2023-08-08,21573.724609375,21710.887254484558,21554.12994578792,21573.724609375,1752600
2023-08-09,21750.07421875,21828.452864583334,21612.91158854167,21612.91158854167,3731100
2023-08-10,21632.5078125,21926.42775560462,21632.5078125,21828.454441236416,3644800
2023-08-11,21240.61328125,21652.101176919972,21005.477340867157,21632.5065152214,4270100
2023-08-14,21514.939453125,21514.939453125,21044.667552510244,21318.992827868853,3157000
2023-08-15,21456.15625,21554.129566210046,21279.804280821918,21554.129566210046,1785100
2023-08-16,21554.12890625,21554.12890625,21299.39829190341,21456.155593039774,1667900
2023-08-18,21005.478515625,21456.155759896807,21005.478515625,21416.966434307953,5084200
2023-08-21,21221.01953125,21397.371494113573,21005.47824330563,21005.47824330563,2444100
2023-08-22,21632.5078125,21671.697138247284,21279.803880774456,21338.587869395382,4336900
2023-08-23,21848.044921875,22063.58617222534,21789.26094450673,21828.450262752245,4536100
2023-08-24,20927.09765625,21769.668067503513,20927.09765625,21769.668067503513,12388200
2023-08-25,20417.63671875,20946.692564629317,20358.85273587452,20927.097903670827,8528800
2023-08-28,20691.96484375,20848.722153172348,20476.423543294273,20476.423543294273,3056300
2023-08-29,20652.7734375,20848.72005455408,20613.584114089186,20770.34140773245,1930400
2023-08-30,20496.017578125,20691.96420889101,20496.017578125,20652.77488273781,2492400
2023-08-31,20378.44921875,20574.395845853367,20378.44921875,20496.01719501202,4100400
2023-09-01,20652.7734375,20711.557422616224,20378.44817362429,20378.44817362429,2242300
2023-09-04,21025.0703125,21064.259632746973,20711.555750524232,20711.555750524232,3263600
2023-09-05,21318.9921875,21436.560159122244,21044.666920381434,21044.666920381434,3836800
2023-09-06,21475.75,21573.723312043796,21436.56067518248,21475.75,5838100
2023-09-07,21279.802734375,21495.344014373273,21123.0454398308,21475.74935255525,3659600
2023-09-08,21397.37109375,21534.533728966344,21142.64048549107,21260.208458533652,3162700
2023-09-11,21083.857421875,21436.56135644168,21044.668095812038,21416.966693410202,3044900
2023-09-12,21221.01953125,21358.182169032778,21103.451556007618,21123.046218548014,2664400
2023-09-13,21299.396484375,21377.77512829174,21221.017840458255,21279.801823395814,4128300
2023-09-14,21475.75,21632.507299270073,21416.966012773722,21416.966012773722,6719500
2023-09-15,22279.12890625,22279.12890625,21358.179866149956,21475.747828715917,13900400
2023-09-18,22024.400390625,22416.29363600979,22024.400390625,22239.941675586633,4143000
2023-09-19,22200.751953125,22298.72526271514,21965.61601010867,22063.58931969881,3124700
2023-09-20,22337.916015625,22553.457310512607,22259.537362938594,22259.537362938594,5245200
2023-09-21,22200.751953125,22318.319924633164,22141.967967370918,22318.319924633164,2422500
2023-09-22,22220.345703125,22357.508330922068,22083.183075327932,22141.967058669532,2770200
2023-09-25,22141.96875,22239.942063053095,22063.59009955752,22220.347400442475,3737000
2023-09-26,21750.07421875,22259.53541666667,21652.100911458336,22161.562109375,3941400
