Date,Close,High,Low,Open,Volume
2023-07-03,94.0,95.0,92.0,93.0,2358700
2023-07-04,91.0,95.0,90.0,91.0,2729500
2023-07-05,91.0,93.0,85.0,85.0,1810300
2023-07-06,93.0,96.0,90.0,90.0,4072300
2023-07-07,94.0,95.0,88.0,88.0,1256300
2023-07-10,92.0,95.0,89.0,89.0,1387500
2023-07-11,93.0,94.0,92.0,93.0,430400
2023-07-12,93.0,95.0,86.0,86.0,2267700
2023-07-13,92.0,94.0,85.0,85.0,2867300
2023-07-14,94.0,108.0,93.0,108.0,14047200
2023-07-17,92.0,94.0,91.0,92.0,2353900
2023-07-18,91.0,93.0,90.0,92.0,1308500
2023-07-20,92.0,94.0,90.0,91.0,1717000
2023-07-21,93.0,93.0,91.0,92.0,85600
2023-07-24,92.0,93.0,91.0,93.0,458900
2023-07-25,92.0,93.0,90.0,92.0,694000
2023-07-26,93.0,94.0,92.0,92.0,556600
2023-07-27,92.0,94.0,91.0,94.0,533800
2023-07-28,92.0,92.0,91.0,92.0,372800
2023-07-31,92.0,93.0,91.0,92.0,226200
2023-08-01,91.0,92.0,90.0,92.0,726900
2023-08-02,91.0,93.0,91.0,92.0,323800
2023-08-03,92.0,93.0,91.0,91.0,283900
2023-08-04,93.0,95.0,91.0,92.0,941200
2023-08-07,93.0,94.0,92.0,93.0,456600
2023-08-08,93.0,94.0,92.0,93.0,1050100
2023-08-09,93.0,99.0,92.0,93.0,492600
2023-08-10,94.0,95.0,93.0,93.0,432800
2023-08-11,93.0,94.0,92.0,93.0,1061900
2023-08-14,93.0,95.0,92.0,94.0,692600
2023-08-15,93.0,94.0,92.0,93.0,459500
2023-08-16,92.0,93.0,91.0,93.0,423100
2023-08-18,92.0,93.0,91.0,92.0,514100
2023-08-21,92.0,96.0,91.0,96.0,316700
2023-08-22,92.0,93.0,91.0,92.0,522300
2023-08-23,92.0,93.0,91.0,92.0,60300
2023-08-24,92.0,94.0,92.0,92.0,257300
2023-08-25,93.0,93.0,92.0,93.0,160700
2023-08-28,93.0,93.0,91.0,92.0,56000
2023-08-29,92.0,93.0,92.0,93.0,167300
2023-08-30,92.0,93.0,91.0,91.0,164100
2023-08-31,92.0,93.0,91.0,91.0,182200
2023-09-01,91.0,92.0,91.0,92.0,301100
2023-09-04,90.0,92.0,90.0,90.0,714600
2023-09-05,91.0,91.0,89.0,91.0,540100
2023-09-06,92.0,92.0,90.0,91.0,158200
2023-09-07,91.0,92.0,90.0,91.0,118900
2023-09-08,90.0,91.0,89.0,91.0,103400
2023-09-11,90.0,91.0,90.0,90.0,6000
2023-09-12,90.0,91.0,90.0,91.0,80500
2023-09-13,90.0,91.0,90.0,91.0,54700
2023-09-14,90.0,91.0,89.0,90.0,100900
2023-09-15,90.0,91.0,90.0,90.0,59800
2023-09-18,88.0,90.0,88.0,88.0,492600
2023-09-19,89.0,90.0,88.0,88.0,43100
2023-09-20,89.0,90.0,88.0,89.0,212900
2023-09-21,89.0,89.0,88.0,88.0,139100
2023-09-22,89.0,90.0,88.0,88.0,35800
2023-09-25,89.0,90.0,88.0,89.0,151700
2023-09-26,89.0,90.0,88.0,89.0,427300
2023-09-27,89.0,89.0,87.0,88.0,221500
2023-09-29,91.0,91.0,88.0,89.0,411300
2023-10-02,90.0,92.0,88.0,92.0,755000
2023-10-03,90.0,91.0,88.0,88.0,408300
2023-10-04,90.0,90.0,89.0,89.0,4400
2023-10-05,91.0,91.0,89.0,89.0,53600
2023-10-06,91.0,91.0,89.0,90.0,82700
2023-10-09,90.0,91.0,89.0,91.0,322000
2023-10-10,90.0,91.0,89.0,89.0,316100
2023-10-11,91.0,91.0,90.0,90.0,23300
2023-10-12,90.0,91.0,90.0,90.0,318700
2023-10-13,91.0,91.0,89.0,90.0,274200
2023-10-16,92.0,92.0,89.0,90.0,352000
2023-10-17,91.0,92.0,89.0,92.0,64700
2023-10-18,91.0,91.0,89.0,91.0,382800
2023-10-19,91.0,91.0,90.0,90.0,13200
2023-10-20,91.0,91.0,88.0,91.0,215800
2023-10-23,88.0,89.0,88.0,89.0,224900
2023-10-24,88.0,90.0,88.0,88.0,269700
2023-10-25,89.0,90.0,88.0,88.0,32300
2023-10-26,88.0,89.0,84.0,89.0,368400
2023-10-27,88.0,88.0,86.0,88.0,90600
2023-10-30,86.0,88.0,85.0,87.0,117000
2023-10-31,86.0,89.0,86.0,88.0,105300
2023-11-01,88.0,91.0,86.0,86.0,412200
2023-11-02,88.0,88.0,87.0,88.0,28100
2023-11-03,90.0,90.0,87.0,88.0,97900
2023-11-06,87.0,90.0,87.0,89.0,124900
2023-11-07,87.0,90.0,83.0,90.0,1857200
2023-11-08,87.0,87.0,85.0,87.0,95500
2023-11-09,87.0,87.0,86.0,87.0,205300
2023-11-10,86.0,90.0,85.0,86.0,359300
2023-11-13,87.0,89.0,87.0,87.0,68200
2023-11-14,90.0,90.0,86.0,86.0,341700
2023-11-15,89.0,90.0,88.0,89.0,23600
2023-11-16,86.0,89.0,86.0,87.0,374500
2023-11-17,89.0,91.0,87.0,87.0,1187800
2023-11-20,88.0,89.0,85.0,89.0,593300
2023-11-21,86.0,90.0,86.0,86.0,398100
2023-11-22,85.0,87.0,85.0,86.0,398200
2023-11-23,85.0,86.0,85.0,85.0,74700
2023-11-24,86.0,89.0,84.0,85.0,243700
2023-11-27,88.0,91.0,87.0,88.0,1126800
2023-11-28,89.0,89.0,87.0,88.0,124300
2023-11-29,88.0,88.0,87.0,88.0,13800
2023-11-30,88.0,89.0,86.0,86.0,258600
2023-12-01,88.0,89.0,88.0,89.0,63000
2023-12-04,88.0,89.0,87.0,88.0,63300
2023-12-05,87.0,90.0,87.0,88.0,146500
2023-12-06,88.0,88.0,86.0,87.0,68100
2023-12-07,89.0,89.0,87.0,87.0,195900
2023-12-08,87.0,90.0,87.0,87.0,197600
2023-12-11,87.0,88.0,87.0,88.0,33500
2023-12-12,89.0,89.0,86.0,87.0,667100
2023-12-13,89.0,89.0,88.0,88.0,356200
2023-12-14,89.0,89.0,88.0,89.0,122100
2023-12-15,88.0,89.0,87.0,89.0,172100
2023-12-18,88.0,90.0,87.0,89.0,397500
