Date,Close,High,Low,Open,Volume
2026-04-10,226.0,226.0,226.0,226.0,2048100
2026-04-13,282.0,282.0,282.0,282.0,1586300
2026-04-14,352.0,352.0,352.0,352.0,1840000
2026-04-15,440.0,440.0,440.0,440.0,2471800
2026-04-16,550.0,550.0,550.0,550.0,4979900
2026-04-17,685.0,685.0,685.0,685.0,11146600
2026-04-20,685.0,685.0,685.0,685.0,0
2026-04-21,855.0,855.0,855.0,855.0,18906500
2026-04-22,1065.0,1065.0,1065.0,1065.0,7325200
2026-04-23,1330.0,1330.0,1330.0,1330.0,7155400
2026-04-24,1330.0,1330.0,1330.0,1330.0,0
2026-04-27,1330.0,1330.0,1330.0,1330.0,0
2026-04-28,1330.0,1330.0,1330.0,1330.0,0
2026-04-29,1330.0,1330.0,1330.0,1330.0,0
2026-04-30,1330.0,1330.0,1330.0,1330.0,0
2026-05-01,1330.0,1330.0,1330.0,1330.0,0
2026-05-04,1330.0,1330.0,1330.0,1330.0,0
2026-05-05,1460.0,1460.0,1460.0,1460.0,18894000
2026-05-06,1605.0,1605.0,1605.0,1605.0,39896500
2026-05-07,1445.0,1445.0,1445.0,1445.0,34123200
2026-05-08,1305.0,1305.0,1305.0,1305.0,6986900
2026-05-11,1175.0,1175.0,1175.0,1175.0,7017600
2026-05-12,1150.0,1240.0,1110.0,1240.0,108439900
2026-05-13,1265.0,1265.0,1145.0,1145.0,35704200
2026-05-14,1265.0,1265.0,1265.0,1265.0,0
2026-05-15,1265.0,1265.0,1265.0,1265.0,0
2026-05-18,1080.0,1325.0,1080.0,1230.0,284040000
2026-05-19,920.0,1065.0,920.0,1005.0,195336400
2026-05-20,785.0,875.0,785.0,820.0,196898000
2026-05-21,670.0,800.0,670.0,785.0,96742300
2026-05-22,630.0,710.0,580.0,600.0,103936700
2026-05-25,760.0,785.0,605.0,630.0,296024500
2026-05-26,660.0,885.0,655.0,775.0,203236500
2026-05-27,660.0,660.0,660.0,660.0,0
2026-05-28,660.0,660.0,660.0,660.0,0
2026-05-29,675.0,775.0,660.0,670.0,47059800
2026-06-02,640.0,715.0,600.0,680.0,35175100
2026-06-03,665.0,680.0,600.0,640.0,39563200
2026-06-04,690.0,715.0,630.0,650.0,67688700
2026-06-05,670.0,690.0,620.0,685.0,38271700
2026-06-08,640.0,655.0,620.0,650.0,15329700
2026-06-09,685.0,695.0,615.0,640.0,40868000
2026-06-10,725.0,755.0,660.0,670.0,72239800
2026-06-11,715.0,765.0,700.0,730.0,30854400
2026-06-12,765.0,775.0,720.0,720.0,38881700
2026-06-15,790.0,830.0,765.0,770.0,57200500
2026-06-17,740.0,795.0,735.0,790.0,22062200
2026-06-18,755.0,775.0,725.0,740.0,14799200
2026-06-19,735.0,760.0,725.0,755.0,15447400
2026-06-22,790.0,790.0,720.0,740.0,37058600
2026-06-23,775.0,810.0,745.0,790.0,37177800
2026-06-24,730.0,785.0,730.0,775.0,13496500
2026-06-25,740.0,765.0,730.0,735.0,14262900
2026-06-26,695.0,745.0,685.0,740.0,15199600
2026-06-29,690.0,715.0,670.0,695.0,14107300
2026-06-30,630.0,695.0,620.0,690.0,21708500
2026-07-01,635.0,655.0,620.0,630.0,14228900
2026-07-02,625.0,650.0,620.0,635.0,10276900
2026-07-03,640.0,665.0,625.0,625.0,18772300
