Date,Close,High,Low,Open,Volume
2023-07-03,49.75,49.75,49.75,49.75,75000
2023-07-04,49.75,49.75,49.75,49.75,9800
2023-07-05,49.75,49.75,49.75,49.75,34900
2023-07-06,49.75,49.75,49.75,49.75,38600
2023-07-07,49.75,49.75,49.75,49.75,4300
2023-07-10,49.75,49.75,49.75,49.75,115400
2023-07-11,49.75,49.75,49.75,49.75,67100
2023-07-12,49.75,49.75,49.75,49.75,22700
2023-07-13,49.75,49.75,49.75,49.75,9400
2023-07-14,49.75,49.75,49.75,49.75,14500
2023-07-17,49.75,49.75,49.75,49.75,73800
2023-07-18,49.75,49.75,49.75,49.75,7900
2023-07-20,49.75,49.75,49.75,49.75,84200
2023-07-21,49.75,49.75,49.75,49.75,5600
2023-07-24,49.75,49.75,49.75,49.75,67400
2023-07-25,49.75,49.75,49.75,49.75,14900
2023-07-26,49.75,49.75,49.75,49.75,43400
2023-07-27,49.75,49.75,49.75,49.75,4100
2023-07-28,49.75,49.75,49.75,49.75,7100
2023-07-31,49.75,49.75,49.75,49.75,13500
2023-08-01,49.75,49.75,49.75,49.75,15700
2023-08-02,49.75,49.75,49.75,49.75,25300
2023-08-03,49.75,49.75,49.75,49.75,9400
2023-08-04,49.75,49.75,49.75,49.75,19900
2023-08-07,49.75,49.75,49.75,49.75,252100
2023-08-08,49.75,49.75,49.75,49.75,114000
2023-08-09,49.75,49.75,49.75,49.75,35400
2023-08-10,49.75,49.75,49.75,49.75,1400
2023-08-11,49.75,49.75,49.75,49.75,39700
2023-08-14,49.75,49.75,49.75,49.75,526600
2023-08-15,49.75,49.75,49.75,49.75,15100
2023-08-16,49.75,49.75,49.75,49.75,422700
2023-08-18,49.75,49.75,49.75,49.75,27800
2023-08-21,49.75,49.75,49.75,49.75,56700
2023-08-22,49.75,49.75,49.75,49.75,22000
2023-08-23,49.75,49.75,49.75,49.75,11400
2023-08-24,49.75,49.75,49.75,49.75,7100
2023-08-25,49.75,49.75,49.75,49.75,311400
2023-08-28,49.75,49.75,49.75,49.75,6800
2023-08-29,49.75,49.75,49.75,49.75,8300
2023-08-30,49.75,49.75,49.75,49.75,55500
2023-08-31,49.75,49.75,49.75,49.75,28700
2023-09-01,49.75,49.75,49.75,49.75,7500
2023-09-04,49.75,49.75,49.75,49.75,11400
2023-09-05,49.75,49.75,49.75,49.75,41300
2023-09-06,49.75,49.75,49.75,49.75,38800
2023-09-07,49.75,49.75,49.75,49.75,13100
2023-09-08,49.75,49.75,49.75,49.75,21700
2023-09-11,49.75,49.75,49.75,49.75,11400
2023-09-12,49.75,49.75,49.75,49.75,6400
2023-09-13,49.75,49.75,49.75,49.75,21700
2023-09-14,49.75,49.75,49.75,49.75,39700
2023-09-15,49.75,49.75,49.75,49.75,1700
2023-09-18,49.75,49.75,49.75,49.75,2500
2023-09-19,49.75,49.75,49.75,49.75,43800
2023-09-20,49.75,49.75,49.75,49.75,11400
2023-09-21,49.75,49.75,49.75,49.75,500
2023-09-22,49.75,49.75,49.75,49.75,1300
2023-09-25,49.75,49.75,49.75,49.75,223200
2023-09-26,49.75,49.75,49.75,49.75,113700
2023-09-27,49.75,49.75,49.75,49.75,131500
2023-09-29,49.75,49.75,49.75,49.75,49200
2023-10-02,49.75,49.75,49.75,49.75,9200
2023-10-03,49.75,49.75,49.75,49.75,65100
2023-10-04,49.75,49.75,49.75,49.75,35300
2023-10-05,49.75,49.75,49.75,49.75,16900
2023-10-06,49.75,49.75,49.75,49.75,4700
2023-10-09,49.75,49.75,49.75,49.75,27700
2023-10-10,49.75,49.75,49.75,49.75,10400
2023-10-11,49.75,49.75,49.75,49.75,5300
2023-10-12,49.75,49.75,49.75,49.75,19400
2023-10-13,49.75,49.75,49.75,49.75,12900
2023-10-16,49.75,49.75,49.75,49.75,9500
2023-10-17,49.75,49.75,49.75,49.75,50500
2023-10-18,49.75,49.75,49.75,49.75,8500
2023-10-19,49.75,49.75,49.75,49.75,61700
2023-10-20,49.75,49.75,49.75,49.75,3600
2023-10-23,49.75,49.75,49.75,49.75,22700
2023-10-24,49.75,49.75,49.75,49.75,22500
2023-10-25,49.75,49.75,49.75,49.75,9400
2023-10-26,49.75,49.75,49.75,49.75,33100
2023-10-27,49.75,49.75,49.75,49.75,600
2023-10-30,49.75,49.75,49.75,49.75,700
2023-10-31,49.75,49.75,49.75,49.75,5400
2023-11-01,49.75,49.75,49.75,49.75,56700
2023-11-02,49.75,49.75,49.75,49.75,15200
2023-11-03,49.75,49.75,49.75,49.75,15100
2023-11-06,49.75,49.75,49.75,49.75,13800
2023-11-07,49.75,49.75,49.75,49.75,30200
2023-11-08,49.75,49.75,49.75,49.75,42900
2023-11-09,49.75,49.75,49.75,49.75,24200
2023-11-10,49.75,49.75,49.75,49.75,6600
2023-11-13,49.75,49.75,49.75,49.75,14700
2023-11-14,49.75,49.75,49.75,49.75,8400
2023-11-15,49.75,49.75,49.75,49.75,600
2023-11-16,49.75,49.75,49.75,49.75,24900
2023-11-17,49.75,49.75,49.75,49.75,1400
2023-11-20,49.75,49.75,49.75,49.75,8300
2023-11-21,49.75,49.75,49.75,49.75,52500
2023-11-22,49.75,49.75,49.75,49.75,42500
2023-11-23,49.75,49.75,49.75,49.75,6000
2023-11-24,49.75,49.75,49.75,49.75,5600
2023-11-27,49.75,49.75,49.75,49.75,220000
2023-11-28,49.75,49.75,49.75,49.75,6300
2023-11-29,49.75,49.75,49.75,49.75,200
2023-11-30,49.75,49.75,49.75,49.75,43000
2023-12-01,49.75,49.75,49.75,49.75,25600
2023-12-04,49.75,49.75,49.75,49.75,86200
2023-12-05,49.75,49.75,49.75,49.75,300
2023-12-06,49.75,49.75,49.75,49.75,3100
2023-12-07,49.75,49.75,49.75,49.75,400
2023-12-08,49.75,49.75,49.75,49.75,6500
2023-12-11,49.75,49.75,49.75,49.75,1700
2023-12-12,49.75,49.75,49.75,49.75,300
2023-12-13,49.75,49.75,49.75,49.75,4100
2023-12-14,49.75,49.75,49.75,49.75,6800
2023-12-15,49.75,49.75,49.75,49.75,3400
2023-12-18,49.75,49.75,49.75,49.75,2500
2023-12-19,49.75,49.75,49.75,49.75,380300
2023-12-20,49.75,49.75,49.75,49.75,5800
2023-12-21,49.75,49.75,49.75,49.75,2500
2023-12-22,49.75,49.75,49.75,49.75,8800
2023-12-27,49.75,49.75,49.75,49.75,14500
2023-12-28,49.75,49.75,49.75,49.75,1800
2023-12-29,49.75,49.75,49.75,49.75,3700
2024-01-02,49.75,49.75,49.75,49.75,24700
2024-01-03,49.75,49.75,49.75,49.75,16900
2024-01-04,49.75,49.75,49.75,49.75,5500
2024-01-05,49.75,49.75,49.75,49.75,11900
2024-01-08,49.75,49.75,49.75,49.75,4900
2024-01-09,49.75,49.75,49.75,49.75,7600
2024-01-10,49.75,49.75,49.75,49.75,2200
2024-01-11,49.75,49.75,49.75,49.75,400
2024-01-12,49.75,49.75,49.75,49.75,2300
2024-01-15,49.75,49.75,49.75,49.75,0
2024-01-16,49.75,49.75,49.75,49.75,41400
2024-01-17,49.75,49.75,49.75,49.75,5700
2024-01-18,49.75,49.75,49.75,49.75,8500
2024-01-19,49.75,49.75,49.75,49.75,8600
2024-01-22,49.75,49.75,49.75,49.75,66900
2024-01-23,49.75,49.75,49.75,49.75,9900
2024-01-24,49.75,49.75,49.75,49.75,0
2024-01-25,49.75,49.75,49.75,49.75,2100
2024-01-26,49.75,49.75,49.75,49.75,2000
2024-01-29,49.75,49.75,49.75,49.75,2100
2024-01-30,49.75,49.75,49.75,49.75,100
2024-01-31,49.75,49.75,49.75,49.75,6100
2024-02-01,49.75,49.75,49.75,49.75,18500
2024-02-02,49.75,49.75,49.75,49.75,14900
2024-02-05,49.75,49.75,49.75,49.75,1300
2024-02-06,49.75,49.75,49.75,49.75,30200
2024-02-07,49.75,49.75,49.75,49.75,1500
2024-02-12,49.75,49.75,49.75,49.75,2100
2024-02-13,49.75,49.75,49.75,49.75,2200
2024-02-15,49.75,49.75,49.75,49.75,65000
2024-02-16,49.75,49.75,49.75,49.75,64300
2024-02-19,49.75,49.75,49.75,49.75,8700
2024-02-20,49.75,49.75,49.75,49.75,2600
2024-02-21,49.75,49.75,49.75,49.75,60800
2024-02-22,49.75,49.75,49.75,49.75,3100
2024-02-23,49.75,49.75,49.75,49.75,9200
2024-02-26,49.75,49.75,49.75,49.75,700
2024-02-27,49.75,49.75,49.75,49.75,500
2024-02-28,49.75,49.75,49.75,49.75,1300
2024-02-29,49.75,49.75,49.75,49.75,5100
2024-03-01,49.75,49.75,49.75,49.75,400
2024-03-04,49.75,49.75,49.75,49.75,3200
2024-03-05,49.75,49.75,49.75,49.75,3900
2024-03-06,49.75,49.75,49.75,49.75,2400
2024-03-07,49.75,49.75,49.75,49.75,1300
2024-03-08,49.75,49.75,49.75,49.75,200
2024-03-13,49.75,49.75,49.75,49.75,8000
2024-03-14,49.75,49.75,49.75,49.75,100
2024-03-15,49.75,49.75,49.75,49.75,400
2024-03-18,49.75,49.75,49.75,49.75,1400
2024-03-19,49.75,49.75,49.75,49.75,12900
2024-03-20,49.75,49.75,49.75,49.75,400
2024-03-21,49.75,49.75,49.75,49.75,6100
2024-03-22,49.75,49.75,49.75,49.75,1600
2024-03-25,49.75,49.75,49.75,49.75,0
2024-03-26,49.75,49.75,49.75,49.75,0
2024-03-27,36.814998626708984,36.814998626708984,36.814998626708984,36.814998626708984,72200
2024-03-28,33.83000183105469,33.83000183105469,33.83000183105469,33.83000183105469,118500
2024-04-01,30.844999313354492,30.844999313354492,30.844999313354492,30.844999313354492,217700
2024-04-02,27.860000610351562,27.860000610351562,27.860000610351562,27.860000610351562,76900
2024-04-03,25.8700008392334,25.8700008392334,25.8700008392334,25.8700008392334,47800
2024-04-04,23.880001068115234,23.880001068115234,23.880001068115234,23.880001068115234,36000
2024-04-05,21.889999389648438,21.889999389648438,21.889999389648438,21.889999389648438,325100
2024-04-16,19.899999618530273,19.899999618530273,19.899999618530273,19.899999618530273,133200
2024-04-17,17.90999984741211,17.90999984741211,17.90999984741211,17.90999984741211,94100
2024-04-18,16.915000915527344,16.915000915527344,16.915000915527344,16.915000915527344,50800
2024-04-19,15.920000076293945,15.920000076293945,15.920000076293945,15.920000076293945,62900
2024-04-22,14.925000190734863,14.925000190734863,14.925000190734863,14.925000190734863,16400
2024-04-23,13.930000305175781,13.930000305175781,13.930000305175781,13.930000305175781,64400
2024-04-24,12.9350004196167,12.9350004196167,12.9350004196167,12.9350004196167,261300
2024-04-25,11.940000534057617,11.940000534057617,11.940000534057617,11.940000534057617,443800
2024-04-26,10.944999694824219,10.944999694824219,10.944999694824219,10.944999694824219,451400
