Date,Close,High,Low,Open,Volume
2023-07-03,50.0,50.0,50.0,50.0,550400
2023-07-04,50.0,50.0,50.0,50.0,220500
2023-07-05,50.0,50.0,50.0,50.0,135400
2023-07-06,50.0,50.0,50.0,50.0,45300
2023-07-07,50.0,50.0,50.0,50.0,149800
2023-07-10,50.0,50.0,50.0,50.0,1379300
2023-07-11,50.0,50.0,50.0,50.0,88500
2023-07-12,50.0,50.0,50.0,50.0,608300
2023-07-13,50.0,50.0,50.0,50.0,48500
2023-07-14,50.0,50.0,50.0,50.0,218700
2023-07-17,50.0,50.0,50.0,50.0,32100
2023-07-18,50.0,50.0,50.0,50.0,29300
2023-07-20,50.0,50.0,50.0,50.0,566900
2023-07-21,50.0,50.0,50.0,50.0,61900
2023-07-24,50.0,50.0,50.0,50.0,138400
2023-07-25,50.0,50.0,50.0,50.0,118100
2023-07-26,50.0,50.0,50.0,50.0,111600
2023-07-27,50.0,50.0,50.0,50.0,46000
2023-07-28,50.0,50.0,50.0,50.0,94100
2023-07-31,50.0,50.0,50.0,50.0,22000
2023-08-01,50.0,50.0,50.0,50.0,64500
2023-08-02,50.0,50.0,50.0,50.0,492800
2023-08-03,50.0,50.0,50.0,50.0,54800
2023-08-04,50.0,50.0,50.0,50.0,71900
2023-08-07,50.0,50.0,50.0,50.0,94300
2023-08-08,50.0,50.0,50.0,50.0,111400
2023-08-09,50.0,50.0,50.0,50.0,126200
2023-08-10,50.0,50.0,50.0,50.0,17600
2023-08-11,50.0,50.0,50.0,50.0,3300
2023-08-14,50.0,50.0,50.0,50.0,73800
2023-08-15,50.0,50.0,50.0,50.0,22100
2023-08-16,50.0,50.0,50.0,50.0,8200
2023-08-18,50.0,50.0,50.0,50.0,260100
2023-08-21,50.0,50.0,50.0,50.0,144500
2023-08-22,50.0,50.0,50.0,50.0,118100
2023-08-23,50.0,50.0,50.0,50.0,420700
2023-08-24,50.0,50.0,50.0,50.0,148400
2023-08-25,50.0,50.0,50.0,50.0,35800
2023-08-28,50.0,50.0,50.0,50.0,24600
2023-08-29,50.0,50.0,50.0,50.0,103500
2023-08-30,50.0,50.0,50.0,50.0,197800
2023-08-31,50.0,50.0,50.0,50.0,17900
2023-09-01,50.0,50.0,50.0,50.0,301800
2023-09-04,50.0,50.0,50.0,50.0,74100
2023-09-05,50.0,50.0,50.0,50.0,9000
2023-09-06,50.0,50.0,50.0,50.0,72800
2023-09-07,50.0,50.0,50.0,50.0,58000
2023-09-08,50.0,50.0,50.0,50.0,9800
2023-09-11,50.0,50.0,50.0,50.0,60700
2023-09-12,50.0,50.0,50.0,50.0,170200
2023-09-13,50.0,50.0,50.0,50.0,9200
2023-09-14,50.0,50.0,50.0,50.0,85500
2023-09-15,50.0,50.0,50.0,50.0,408700
2023-09-18,50.0,50.0,50.0,50.0,67900
2023-09-19,50.0,50.0,50.0,50.0,143800
2023-09-20,50.0,50.0,50.0,50.0,109800
2023-09-21,50.0,50.0,50.0,50.0,679500
2023-09-22,50.0,50.0,50.0,50.0,72800
2023-09-25,50.0,50.0,50.0,50.0,52400
2023-09-26,50.0,50.0,50.0,50.0,278500
2023-09-27,50.0,50.0,50.0,50.0,402100
2023-09-29,50.0,50.0,50.0,50.0,10200
2023-10-02,50.0,50.0,50.0,50.0,52000
2023-10-03,50.0,50.0,50.0,50.0,241400
2023-10-04,50.0,50.0,50.0,50.0,116000
2023-10-05,50.0,50.0,50.0,50.0,128100
2023-10-06,50.0,50.0,50.0,50.0,5100
2023-10-09,50.0,50.0,50.0,50.0,91600
2023-10-10,50.0,50.0,50.0,50.0,72900
2023-10-11,50.0,50.0,50.0,50.0,464200
2023-10-12,50.0,50.0,50.0,50.0,54200
2023-10-13,50.0,50.0,50.0,50.0,59400
2023-10-16,50.0,50.0,50.0,50.0,286000
2023-10-17,50.0,50.0,50.0,50.0,18900
2023-10-18,50.0,50.0,50.0,50.0,165200
2023-10-19,50.0,50.0,50.0,50.0,76700
2023-10-20,50.0,50.0,50.0,50.0,5500
2023-10-23,50.0,50.0,50.0,50.0,46900
2023-10-24,50.0,50.0,50.0,50.0,26500
2023-10-25,50.0,50.0,50.0,50.0,41400
2023-10-26,50.0,50.0,50.0,50.0,55600
2023-10-27,50.0,50.0,50.0,50.0,41300
2023-10-30,50.0,50.0,50.0,50.0,68900
2023-10-31,50.0,50.0,50.0,50.0,20000
2023-11-01,50.0,50.0,50.0,50.0,5000
2023-11-02,50.0,50.0,50.0,50.0,180400
2023-11-03,50.0,50.0,50.0,50.0,55300
2023-11-06,50.0,50.0,50.0,50.0,7600
2023-11-07,50.0,50.0,50.0,50.0,1800
2023-11-08,50.0,50.0,50.0,50.0,22500
2023-11-09,50.0,50.0,50.0,50.0,5300
2023-11-10,50.0,50.0,50.0,50.0,16700
2023-11-13,50.0,50.0,50.0,50.0,2600
2023-11-14,50.0,50.0,50.0,50.0,18400
2023-11-15,50.0,50.0,50.0,50.0,13700
2023-11-16,50.0,50.0,50.0,50.0,32800
2023-11-17,50.0,50.0,50.0,50.0,7900
2023-11-20,50.0,50.0,50.0,50.0,2100
2023-11-21,50.0,50.0,50.0,50.0,5100
2023-11-22,50.0,50.0,50.0,50.0,1200
2023-11-23,50.0,50.0,50.0,50.0,1069600
2023-11-24,50.0,50.0,50.0,50.0,28500
2023-11-27,50.0,50.0,50.0,50.0,34400
2023-11-28,50.0,50.0,50.0,50.0,14600
2023-11-29,50.0,50.0,50.0,50.0,118500
2023-11-30,50.0,50.0,50.0,50.0,175200
2023-12-01,50.0,50.0,50.0,50.0,39000
2023-12-04,50.0,50.0,50.0,50.0,186200
2023-12-05,50.0,50.0,50.0,50.0,57600
2023-12-06,50.0,50.0,50.0,50.0,161700
2023-12-07,50.0,50.0,50.0,50.0,12400
2023-12-08,50.0,50.0,50.0,50.0,3400
2023-12-11,50.0,50.0,50.0,50.0,17500
2023-12-12,50.0,50.0,50.0,50.0,2100
2023-12-13,50.0,50.0,50.0,50.0,181500
2023-12-14,50.0,50.0,50.0,50.0,100
2023-12-15,50.0,50.0,50.0,50.0,3200
2023-12-18,50.0,50.0,50.0,50.0,22000
2023-12-19,50.0,50.0,50.0,50.0,76900
2023-12-20,50.0,50.0,50.0,50.0,10900
2023-12-21,50.0,50.0,50.0,50.0,0
2023-12-22,50.0,50.0,50.0,50.0,0
2023-12-27,50.0,50.0,50.0,50.0,0
2023-12-28,50.0,50.0,50.0,50.0,0
2023-12-29,50.0,50.0,50.0,50.0,0
2024-01-02,50.0,50.0,50.0,50.0,0
2024-01-03,50.0,50.0,50.0,50.0,0
2024-01-04,50.0,50.0,50.0,50.0,0
2024-01-05,50.0,50.0,50.0,50.0,0
2024-01-08,50.0,50.0,50.0,50.0,0
2024-01-09,50.0,50.0,50.0,50.0,0
2024-01-10,50.0,50.0,50.0,50.0,0
2024-01-11,50.0,50.0,50.0,50.0,0
2024-01-12,50.0,50.0,50.0,50.0,0
2024-01-15,50.0,50.0,50.0,50.0,0
2024-01-16,50.0,50.0,50.0,50.0,0
2024-01-17,50.0,50.0,50.0,50.0,0
2024-01-18,50.0,50.0,50.0,50.0,0
2024-01-19,50.0,50.0,50.0,50.0,0
2024-01-22,50.0,50.0,50.0,50.0,0
2024-01-23,50.0,50.0,50.0,50.0,0
2024-01-24,50.0,50.0,50.0,50.0,0
2024-01-25,50.0,50.0,50.0,50.0,0
2024-01-26,50.0,50.0,50.0,50.0,0
2024-01-29,50.0,50.0,50.0,50.0,0
2024-01-30,50.0,50.0,50.0,50.0,0
2024-01-31,50.0,50.0,50.0,50.0,0
2024-02-01,50.0,50.0,50.0,50.0,0
2024-02-02,50.0,50.0,50.0,50.0,0
2024-02-05,50.0,50.0,50.0,50.0,0
2024-02-06,50.0,50.0,50.0,50.0,0
2024-02-07,50.0,50.0,50.0,50.0,0
2024-02-12,50.0,50.0,50.0,50.0,0
2024-02-13,50.0,50.0,50.0,50.0,0
2024-02-15,50.0,50.0,50.0,50.0,0
2024-02-16,50.0,50.0,50.0,50.0,0
2024-02-19,50.0,50.0,50.0,50.0,0
2024-02-20,50.0,50.0,50.0,50.0,0
2024-02-21,50.0,50.0,50.0,50.0,0
2024-02-22,50.0,50.0,50.0,50.0,0
2024-02-23,50.0,50.0,50.0,50.0,0
2024-02-26,50.0,50.0,50.0,50.0,0
2024-02-27,50.0,50.0,50.0,50.0,0
2024-02-28,50.0,50.0,50.0,50.0,0
2024-02-29,50.0,50.0,50.0,50.0,0
2024-03-01,50.0,50.0,50.0,50.0,0
2024-03-04,50.0,50.0,50.0,50.0,0
2024-03-05,50.0,50.0,50.0,50.0,0
2024-03-06,50.0,50.0,50.0,50.0,0
2024-03-07,50.0,50.0,50.0,50.0,0
2024-03-08,50.0,50.0,50.0,50.0,0
2024-03-13,50.0,50.0,50.0,50.0,228100
2024-03-14,50.0,50.0,50.0,50.0,99700
2024-03-15,50.0,50.0,50.0,50.0,76200
2024-03-18,50.0,50.0,50.0,50.0,163100
2024-03-19,50.0,50.0,50.0,50.0,1051600
2024-03-20,50.0,50.0,50.0,50.0,28600
2024-03-21,50.0,50.0,50.0,50.0,137500
2024-03-22,50.0,50.0,50.0,50.0,1900
