Date,Close,High,Low,Open,Volume,DH,EP,MG,AK,XA,OD,GR,CP,HD,CC,YP,BS,AG,MI,AT,PD,IF,XL,TP,AO,TF,LG,YB,KI,RX,DX,ZP,BR,SH,BK,AI,YU,HP,DR,RO,SQ,NI,AZ,XC,BQ,KK,QA,PC,KZ,FZ,YJ,FS,LS,SF,BB,RG,JB,PG,RS,IU,CD,ES,MU,IH,OK,DU,SA,ZR,DP
2026-07-13,1500.0,1500.0,1425.0,1460.0,18827800,-0.0721,-0.0514,0.0677,-1.9,-0.0508,-0.1002,-0.1144,0.5846,-0.0258,-0.3162,0.6045,-0.0089,-0.0044,0.1215,-0.0201,-0.3259,1.4,-1.7,-0.1518,0.0725,0.0114,0.3066,0.1116,0.0,0.0,-0.0017,2.6,0.0,-0.006,-0.266,0.0873,-3.4,0.005,0.0864,0.0302,0.2906,0.0357,0.6863,-0.5857,2.3,-0.0806,-0.0005,0.0,0.0378,-0.0055,0.082,-0.0007,-0.0131,0.0148,-0.32,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,1500.0,1535.0,1490.0,1510.0,24204600,0.15,-0.1119,-0.0335,-6.4,0.0301,1.7,0.2727,0.3368,0.1094,-1.1,1.8,-0.0091,0.0,-0.1297,1.2,0.5177,1.1,6.4,-2.1,0.0,0.0061,-0.3185,0.0,0.1877,0.7968,0.0204,-2.8,0.0,0.0015,-2.3,0.0121,-1.9,0.0274,0.1021,0.0,0.5104,0.3405,-0.1144,0.761,1.0,-0.1512,0.0063,0.2016,0.0,-0.0015,-0.1509,0.0,0.0,-0.0009,0.0,-0.0015,0.0,0.0,-0.0302,-0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,1515.0,1535.0,1500.0,1515.0,16718100,-0.0653,-0.1817,-0.0059,1.8,0.0638,-0.4888,0.1189,0.8308,0.0122,0.2779,-0.7894,0.0,0.0061,0.0,0.0891,1.3,0.7597,0.2202,-0.0066,0.0,-0.0121,2.2,0.0009,0.0037,0.0,-0.0076,-4.1,0.0,-0.0023,-1.2,0.2544,1.3,0.0093,0.1001,0.0195,-0.3003,-0.0739,0.0016,0.3338,-1.3,0.0413,-0.0061,0.0,0.0,0.0,-0.0008,0.0,0.1591,-0.0,-1.3,-0.0015,0.0005,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,1530.0,1555.0,1500.0,1515.0,29685600,-0.035,-0.6035,-0.05,7.4,-0.0512,-0.502,-0.1431,0.3526,0.0343,1.9,0.0508,0.0,-0.0008,0.25,-0.1067,-0.8483,0.0126,-1.1,0.4468,0.0003,0.0285,-0.2013,0.0745,0.8317,0.0,-0.0153,-7.4,0.0578,-0.0023,-1.9,0.5429,-0.4186,-0.0019,1.4,-0.0017,-0.0576,-0.1237,0.158,-0.4326,0.0935,0.3014,0.004,-0.2061,-0.0233,0.0537,0.0999,-0.0008,-0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1530.0,1540.0,1515.0,1530.0,9707300,0.0137,0.415,0.019,-2.9,0.0983,-0.0596,0.2097,0.1936,0.0459,-0.824,0.3985,0.0229,0.0009,-0.1238,0.0257,0.2465,0.0188,2.0,0.0344,0.0153,-0.0015,0.0324,-0.1038,-0.0077,-0.4237,0.0215,-2.2,-0.0421,-0.0015,-0.8203,-0.0536,-0.0342,0.0017,0.2581,-0.0027,2.4,-0.3077,0.0079,0.662,0.5995,0.1527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1560.0,1595.0,1520.0,1535.0,27589500,-0.0695,-0.4062,1.3,2.1,0.1023,0.52,0.146,-0.3938,0.0732,-0.2286,-0.5932,-0.0001,-0.0016,-0.1246,-0.0179,-0.1895,0.0126,1.3,-0.0856,0.0,-0.0122,0.473,-0.2288,0.1549,0.0,0.5962,-7.6,-0.0156,-0.0023,0.5457,-0.0003,0.646,0.004,0.542,-0.0017,0.03,1.4,0.208,-0.1861,0.6987,-0.9103,-0.0038,0.0,0.0,0.0166,-0.0312,0.0157,-0.0063,0.0,0.0,0.0023,0.0,0.0,0.0,-0.0008,0.0009,0.0,0.0,0.1722,0.0,0.0,-0.0157,0.0152,0.0
2026-07-21,1545.0,1570.0,1535.0,1560.0,24892400,2.2,-0.0672,-1.3,-5.3,0.0093,0.2766,-0.2491,1.1,-0.04,3.2,-0.2532,0.0,0.0325,0.0,-1.2,1.3,0.0,3.7,0.5375,0.0465,0.0,0.2509,-0.1644,-0.0011,0.0,0.0383,-1.7,0.0,-0.0,-0.3832,0.0147,2.1,0.0144,-0.4318,0.0,-7.6,0.6168,0.0383,2.3,0.2953,0.0679,-0.0034,0.0,0.0121,0.0,0.0,0.0,-0.0015,0.0,0.1104,0.0,0.0,0.0,0.0,0.0,0.2212,0.0,0.0,0.1395,0.0,0.0,0.0,0.0,0.0247
2026-07-22,1550.0,1595.0,1540.0,1550.0,31722900,0.12,0.0452,-0.038,2.2,-0.0506,0.7,0.244,-1.6,-0.1882,3.7,1.8,-0.0001,0.0,0.0,-1.1,-10.1,-0.4542,2.0,0.4249,0.0511,-0.0197,-2.1,0.1771,-2.5,0.0,0.2908,-0.0139,-0.0026,0.0,3.6,-0.0663,0.5524,0.0095,0.655,0.002,-0.9172,1.0,1.6,0.3378,0.3459,-0.163,0.0028,0.0942,0.0,0.0,-0.0014,0.1585,0.0,-0.0062,-0.6193,-0.0016,0.0,0.0,0.0,0.0,0.0786,-0.0016,-0.0,-0.2378,0.0,0.0,0.0,0.0,0.0
2026-07-23,1570.0,1625.0,1545.0,1560.0,49398300,0.0788,0.0276,0.966,9.4,-0.0171,-0.3388,-0.201,0.9223,-0.0099,1.8,-3.9,0.0,-0.0207,0.0,-0.1682,-0.5661,-0.3721,-4.5,0.0051,-0.0316,0.0079,0.2367,0.1045,-4.9,0.0,-0.5815,2.1,0.0,-0.0136,7.9,-0.0232,0.2623,0.0243,-0.2358,-0.0093,-1.9,0.1223,-0.1459,-1.9,-4.9,0.6769,0.0,0.0,0.0,0.0,0.1304,-0.1068,0.3175,0.0,-0.3303,0.0,0.0,0.0,0.0,0.0,0.0079,0.0078,0.0,0.0016,0.0157,0.0003,-0.0157,-0.0158,0.0
2026-07-24,1480.0,1550.0,1450.0,1550.0,46336700,4.2,0.8718,0.7723,-1.7,0.0,1.3,1.3,-0.234,-0.1075,-19.6,1.3,0.0358,0.2992,0.0,0.5354,3.1,-0.3637,8.6,0.8654,0.1892,-0.0012,0.2005,-0.3572,-5.4,0.6112,-1.6,-0.682,0.0,0.0,1.9,0.0,1.0,0.0,0.6198,0.0,-0.791,1.5,-1.3,1.3,0.7587,0.3967,0.0,-0.0881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1577,0.0337,0.1503,0.0,0.0,0.0,0.0,0.0,0.0
