Date,Close,High,Low,Open,Volume,DH,MG,EP,QA,AK,XA,YJ,KI,ZP,OD,RB,GR,CP,AI,YU,CC,IN,YP,DR,RO,SQ,AG,NI,AZ,MI,BQ,XC,IU,AT,KK,PD,XL,TP,FZ,LG,YB,DX,HP,SF,HD,BK,PO,FS,PC,IF,AO,SH,MU,CD,DU
2026-07-13,93.0,96.0,91.0,96.0,22899200,0.0019,-0.0261,-0.0371,0.0051,0.0275,0.003,0.0,0.0,0.0,0.019,0.0,0.1751,-0.1184,0.0093,-0.0019,0.0593,0.0,0.0507,0.0071,-0.0046,-0.0074,0.0,-0.0376,0.0039,0.0055,0.0457,-0.0677,0.0025,-0.006,-0.0209,0.0454,-0.101,0.0,0.0001,0.001,-0.0385,0.0019,0.0,0.0,0.0,0.0028,0.0005,0.0,-0.0,-0.0001,0.0,0.0,0.0,0.0,0.0
2026-07-14,93.0,96.0,92.0,94.0,15674600,-0.0081,0.0279,-0.0031,0.0088,0.0516,-0.0232,0.0,0.0024,0.0,-0.0038,0.0,0.0636,-0.0006,0.0094,-0.0012,0.1503,0.0,-0.0267,-0.0175,0.0008,-0.178,0.0047,0.0009,-0.0023,0.0,-0.0335,0.0359,0.0017,-0.0352,-0.0615,0.0923,-0.0873,-0.0004,0.0,-0.0055,0.0433,0.0,0.0,0.0,0.0,-0.0028,-0.0005,-0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,94.0,95.0,91.0,93.0,14127600,0.0,-0.0029,0.0026,0.0,-0.0143,-0.016,-0.0001,-0.0002,0.0,-0.0066,0.0,-0.1874,-0.0317,-0.0001,0.0,0.0033,0.0,0.1182,-0.002,0.0001,0.0157,0.0,0.0025,0.0259,-0.0028,0.0052,0.0418,-0.0019,0.0,0.0052,0.0846,-0.0004,0.0103,0.0,0.0059,-0.0539,0.0,0.0,-0.0001,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,93.0,95.0,92.0,93.0,11120900,0.0,0.0138,-0.1001,0.0,-0.022,-0.0782,0.0,0.0,0.0,0.0173,0.0,-0.0079,-0.0102,-0.0002,0.0,0.0571,0.0,0.0418,-0.0047,-0.0001,-0.0281,-0.0002,-0.0042,-0.009,0.0,0.0003,0.007,0.0012,0.0,-0.0059,0.0339,0.0663,0.0,0.0,0.0001,0.0041,-0.0003,0.0282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,95.0,98.0,92.0,93.0,31261600,0.0099,0.0908,0.0036,-0.0011,-0.0444,0.0016,-0.0049,-0.0001,0.019,0.0096,0.0,-0.107,-0.0083,-0.0,-0.0165,-0.1938,-0.0093,-0.1118,0.0103,-400.0,0.29,-0.0048,-0.0153,0.2404,-0.0029,0.0029,-0.0673,-0.0026,0.0021,0.026,-0.1177,-0.0212,0.0286,0.0019,0.0023,-0.0098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,95.0,97.0,93.0,97.0,10649400,0.0027,-0.1002,0.0038,0.0013,0.0505,-0.0017,0.0,0.0,0.0,-0.0082,0.0,-0.0014,0.0296,0.0,0.0,0.0954,0.0,-0.1074,-0.0039,0.0002,0.0186,0.0,-0.0135,-0.2363,0.0,-0.0059,-0.0084,-0.001,-0.0002,-0.0096,-0.0018,0.3001,0.0003,0.0,-0.0013,-0.0049,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0029,0.0,0.0,0.0,0.0
2026-07-21,97.0,97.0,93.0,95.0,19190300,0.0,0.0147,0.0039,0.0006,0.087,-0.004,0.0,-0.0,0.0009,-0.2026,-0.001,-0.0233,-0.0376,-0.0,0.0265,0.413,0.0,-0.0345,0.01,0.0014,-0.0137,0.0,-0.0421,0.0069,0.0,0.0171,0.0082,-0.024,-0.0182,0.0076,-0.0098,-0.2239,0.0,0.0,-0.0004,0.0313,0.0,-0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0
2026-07-22,99.0,102.0,95.0,97.0,39419300,0.0901,-0.0411,-0.048,0.0026,-0.1432,0.0935,0.0,0.0074,-0.0498,0.0015,0.0,0.0767,-0.116,-0.005,0.0,0.3438,0.0,-0.0821,0.0011,-0.0001,-0.2939,-0.0007,-0.0032,0.0741,0.0,-0.0253,0.1215,-0.025,0.0114,-0.0067,0.012,-0.0005,0.0002,0.0,0.0412,0.0337,0.0,-0.0294,0.0,-0.0136,-0.0065,0.0,0.0,0.0,0.0,-0.0014,0.0,0.0,0.0,-0.0194
2026-07-23,98.0,104.0,97.0,99.0,41493100,-0.0137,-0.0711,0.0473,-0.0155,-0.0025,0.0001,0.0005,0.0,0.004,-0.0453,-0.175,-0.0869,-0.0449,0.004,0.0103,-0.1842,0.0,0.0547,0.028,0.0003,0.0954,0.0,0.0285,0.0448,0.0,0.0195,0.0354,-0.0478,-0.0197,-0.0059,0.1537,0.1847,0.005,-0.0011,-0.0303,0.024,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0094,0.0018,0.0098,0.0,0.0
2026-07-24,93.0,98.0,93.0,97.0,11476700,0.0071,0.0056,-0.0276,0.0011,0.0185,0.0085,0.0002,-0.0071,-0.0188,-0.0012,0.0,0.1255,0.0023,0.0099,0.0,-0.092,0.0,-0.0389,0.0038,-0.0017,0.0728,0.0,0.019,0.018,0.0,-0.0065,-0.0106,0.0003,0.0,0.016,0.0056,-0.1904,-0.0004,0.0018,0.0001,0.0583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0149,-0.0004,0.0047,0.0013,0.0,0.0,0.0
