Date,Close,High,Low,Open,Volume,EP,AK,YP,SQ,OD,AZ,XC,KK,XL,AO,LG,CC,YB,NI,CP,PO,RO,BQ,PD,DH,TP,KI,IF,GR,YU,AT,XA,DX,ZP,MG,QA,HD,DR,HP,AG,AI
2026-07-13,680.0,690.0,680.0,690.0,7900,-0.002,0.0,-0.0005,0.0,0.0,0.0,0.0023,0.0,0.0014,0.0,0.0,-0.0018,0.0,0.0,0.0,0.0007,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,690.0,695.0,670.0,690.0,33800,-0.0011,0.0,-0.0007,0.0,0.0,0.0,-0.0001,0.0,-0.0172,0.0,0.0,0.0039,-0.0025,0.0173,0.0,-0.0003,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,680.0,680.0,675.0,680.0,16300,0.0016,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0001,-0.0094,0.0,0.0068,0.0005,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,690.0,690.0,675.0,685.0,10800,-0.0016,0.0,-0.0001,0.0,0.0,0.0,-0.0003,0.0,-0.0001,0.0,0.0,0.0006,0.0,0.0062,-0.0043,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,710.0,745.0,680.0,680.0,25200,0.0099,-0.0002,-0.0003,-0.0005,0.0003,0.0003,-0.0005,-0.0002,-0.0016,-0.0102,-0.0004,0.0015,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,690.0,730.0,690.0,730.0,48200,0.0033,-0.0006,0.0003,-0.0142,0.0004,-0.0004,-0.0021,0.0006,0.0113,-0.0124,0.0,-0.0014,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0135,0.0,0.0
2026-07-21,720.0,745.0,690.0,695.0,88600,-0.0136,-0.0024,-0.0144,0.0,0.0,0.0,-0.0011,-0.0031,-0.0103,0.0,-0.0021,-0.0018,0.0,0.0399,0.0,-0.0007,-0.0003,0.0,0.0001,0.0,0.0,-0.0023,0.0,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0067,0.0,0.0052
2026-07-22,900.0,900.0,740.0,740.0,1430400,0.0012,-0.0033,0.4351,-0.0837,0.0017,-0.0804,0.0647,-0.0872,0.0772,-0.0776,-0.0398,-0.1013,-0.0101,0.0119,-0.0007,0.001,0.0,-0.0001,0.0115,0.0,-0.0008,0.0,-0.0,0.0003,0.0094,0.0,0.0,0.036,0.0,0.0003,0.0001,0.0089,-0.0009,-0.1552,-0.0181,0.0
2026-07-23,845.0,1070.0,820.0,935.0,1738100,0.0014,-0.0144,0.002,-0.1116,0.0273,-0.1012,0.045,0.0011,0.1792,-0.0632,0.0068,0.0903,0.018,-0.0297,-0.0008,0.0,-0.0,-0.0011,-0.0002,-0.0,0.0,0.007,0.0025,-0.0004,-0.0095,0.0089,0.0056,-0.0384,-0.0168,-0.0005,0.0002,-0.0081,0.0007,0.0,0.0,0.0
2026-07-24,800.0,845.0,760.0,845.0,329600,-0.0022,-0.0202,0.0004,-0.0402,-0.0001,-0.0263,-0.0015,0.0013,0.0166,0.0,0.0,0.0274,-0.0259,0.0791,0.0012,0.0,0.0,-0.0,0.0004,-0.022,0.0007,-0.0033,-0.0008,0.0157,0.0016,-0.0023,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
