Date,Close,High,Low,Open,Volume,KI,DH,EP,YJ,ZP,OD,GR,CP,YU,CC,HP,YP,RO,SQ,AG,NI,BQ,XC,AT,KK,PD,XL,LG,YB,QA,MG,XA,HD,IF,TP,AI,FS,DR,AZ,CD,SF,GI,DX,JB,FZ
2026-07-13,515.0,540.0,500.0,535.0,171400,0.0,0.0,0.0027,0.0,0.0,0.0008,0.0,0.0,0.0016,-0.0592,0.0,0.0014,0.0,0.0011,0.0,0.0,0.0213,0.0071,0.0001,0.0,0.0,0.0228,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,505.0,520.0,498.0,520.0,311200,0.0,0.0,-0.0005,0.0003,0.0,0.0029,0.0,0.0,0.0,0.0089,0.0,-0.0011,0.0,0.0013,0.0,0.0836,0.0076,0.0097,0.0,0.0009,-0.0013,-0.1078,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,-0.0047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,615.0,630.0,505.0,505.0,2209500,-0.0036,0.0005,-0.0034,-0.0003,0.0,-0.0146,-0.0069,0.0017,-0.0001,-0.035,-0.0,-0.0303,-0.0,-0.0002,-0.001,0.4229,-0.045,-0.0195,0.0,-0.0035,0.0096,-0.2593,-0.0001,-0.0193,0.0,0.0014,-0.0002,0.0057,0.0,0.0006,0.0,0.0001,0.0001,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,670.0,740.0,635.0,640.0,2498800,-0.0006,-0.0009,0.0019,-0.0018,0.0013,-0.0057,0.0,-0.0024,-0.0019,-0.1652,0.0,-0.0348,-0.0001,-0.0099,0.0,0.4937,-0.1541,-0.0253,0.0286,-0.0007,-0.0111,-0.1354,-0.0083,0.0001,0.0002,-0.0013,0.0413,-0.0075,-0.0,-0.0006,-0.0003,-0.0001,0.0001,0.0007,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,725.0,740.0,670.0,675.0,752300,0.0001,-0.0014,-0.0025,-0.0011,-0.002,-0.0014,-0.0004,-0.0001,-0.0001,-0.0615,0.0001,0.0016,-0.0001,-0.0009,-0.0006,0.2478,-0.0249,-0.0065,-0.0,0.0001,-0.0057,-0.1395,-0.0006,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,695.0,720.0,635.0,720.0,607200,-0.0001,0.0,-0.0002,0.0003,-0.0007,0.0071,0.0,-0.0001,0.0021,-0.0114,0.0,0.013,0.0,-0.001,-0.0,0.031,0.0025,-0.0003,0.0,-0.0003,0.0105,-0.0448,0.0009,0.0,0.0003,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0071,0.0,0.0,0.0,0.0,0.0,-0.0019
2026-07-21,865.0,865.0,675.0,700.0,2092900,-0.0,-0.0007,0.0655,-0.0022,-0.0007,-0.0148,-0.0,0.0068,0.0059,0.0338,-0.0,-0.0208,-0.0001,-0.0016,-0.0079,0.6592,-0.0091,-0.0255,-0.0291,0.0003,-0.0069,-0.6033,-0.0019,-0.0,-0.0006,0.0001,-0.0502,0.0,-0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0001,0.0,0.0,-0.0001,0.0
2026-07-22,960.0,1040.0,800.0,875.0,2105200,0.0,-0.0,-0.0676,0.0,-0.0002,0.0203,0.0,-0.008,-0.0089,-0.2856,0.0,-0.0195,0.0081,0.0129,0.0,0.4259,-0.0003,0.0235,-0.0045,-0.0,-0.0013,-0.0777,0.0012,0.0031,0.0003,0.0,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0003,-0.0044,-0.0,0.0,0.0,-0.0171,0.0,0.0
2026-07-23,1100.0,1100.0,960.0,965.0,1134500,-0.0003,-0.0086,-0.0002,0.0,0.0,-0.0167,0.0,0.0059,0.0,0.1039,-0.0098,-0.4749,-0.0088,-0.0121,0.0,0.7193,0.0032,-0.0325,-0.0,-0.0003,-0.0027,-0.2598,-0.0013,-0.0033,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003,-0.0003,-0.0,-0.0001,-0.0,0.0,0.0,0.0
2026-07-24,1375.0,1375.0,1105.0,1200.0,1101900,0.0,-0.0016,0.004,0.0,0.0,-0.097,-0.0005,0.0071,-0.0,0.0024,0.0001,-0.0513,-0.0003,0.01,-0.0193,0.4654,-0.0027,-0.0182,0.0199,0.0002,-0.0334,-0.288,-0.0001,0.0026,0.0,0.0011,-0.0004,0.0,0.0639,0.0,-0.0034,0.0,0.0032,-0.0636,0.0,0.0,0.0,0.0,0.0,0.0
