Date,Close,High,Low,Open,Volume,AK,YP,OD,AZ,XC,KK,PD,XL,SQ,NI,CC,QA,DR,AT,DP,EP,ZP
2026-07-13,386.0,388.0,384.0,384.0,3900,0.0,0.0,0.0,0.0,-0.0003,0.0002,-0.0008,0.0009,0.0,0.0001,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
2026-07-14,386.0,394.0,384.0,392.0,9000,0.0,0.0002,-0.0004,0.0,0.0029,-0.0004,0.0,-0.0023,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,392.0,394.0,370.0,390.0,135100,0.0,0.001,0.0,0.0,0.0007,0.0006,0.0024,-0.0017,0.0,0.0186,0.0153,400.0,-800.0,0.0,-0.0371,0.0,0.0
2026-07-16,392.0,392.0,388.0,392.0,6200,0.0,0.0001,0.0,0.0,-0.0003,0.0002,0.0,-0.0009,0.0005,-0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,392.0,394.0,386.0,392.0,6500,-0.0,-0.0004,0.0,0.0001,-0.0005,0.0003,0.0011,-0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,390.0,392.0,390.0,392.0,700,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,392.0,392.0,388.0,390.0,23200,-0.0001,0.0006,0.0,0.0,0.0013,0.0003,-0.0,-0.0039,0.0,0.0,0.0019,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,390.0,396.0,388.0,392.0,24300,0.0,-0.0071,0.0,0.0011,-0.0006,0.0006,-0.0,-0.001,0.0,0.007,0.0002,0.0,0.0,0.0,0.0,0.0,-0.0001
2026-07-23,388.0,390.0,386.0,388.0,11300,0.0,0.0001,0.0,0.0004,-0.0,0.0001,0.0002,-0.001,0.0,0.0003,0.0003,0.0,0.0,0.0,0.0,0.0,-0.0003
2026-07-24,384.0,390.0,384.0,388.0,3600,0.0,0.0,0.0,0.0,-0.0,0.0001,0.0001,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0002
