Date,Close,High,Low,Open,Volume,QA,ZP,OD,DX,GR,CP,HD,CC,YP,RO,SQ,XC,BQ,KK,PD,XL,NI,AZ,AT,EP,XA,LG,IH,YB,YU,TP,FZ,HP,MG,KI,IF
2026-07-13,258.0,262.0,252.0,254.0,209600,0.0,0.0,0.0003,0.0,0.0,0.0,0.0001,-0.0139,-0.0001,0.0,-0.0115,-0.0001,0.0,-0.0005,0.0,0.0235,0.0005,-0.0002,0.0005,0.0,0.0,0.0,0.0,0.0,-0.0,0.0013,-0.0,0.0,0.0,0.0,0.0
2026-07-14,264.0,268.0,254.0,258.0,449800,0.0,0.0,0.0005,0.0,0.0528,0.0,0.0001,-0.0167,0.0096,0.0,-0.0128,-0.0029,0.0,-0.0015,0.0227,-0.0507,0.0002,-0.0012,0.0003,0.0,0.0,0.0,0.0001,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,264.0,266.0,258.0,260.0,757000,0.0,0.0,-0.0062,0.0,0.0,0.0,-0.0002,0.0031,0.0002,0.0,-0.1068,-0.0009,-200.0,-0.0132,0.1528,-0.0027,0.002,0.0,-0.0005,-0.001,-0.0268,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,260.0,264.0,254.0,264.0,254300,0.0,0.0,0.0051,0.0,0.0,0.0,0.0002,0.0045,-0.0034,0.0,0.008,-0.0001,0.0001,0.0,0.0039,-0.0209,0.0025,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,266.0,272.0,256.0,262.0,981100,0.0029,-0.0001,-0.0079,-0.0,0.1331,-0.0026,-0.0001,-0.038,-0.0003,-0.0026,-0.0257,-0.0097,-0.0007,-0.0094,-0.0226,-0.0162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,272.0,274.0,260.0,266.0,487400,-0.0033,0.0,-0.0059,0.0,0.002,-0.0027,0.0001,-0.0084,0.0115,-0.0001,0.0,-0.0093,0.0651,-0.0027,0.0003,-0.0414,-0.0073,0.0,-0.0003,0.0,0.0,0.0,0.0,0.0027,-0.0002,0.0,0.0,0.0,0.0,0.0,-0.0002
2026-07-21,266.0,272.0,262.0,272.0,237600,0.0,0.0,0.0024,0.0,0.0,0.0,-0.0002,0.0013,0.0147,0.0007,0.0045,0.0019,0.0001,0.0,0.0047,-0.017,0.0,0.0,0.0,-0.0132,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,266.0,266.0,260.0,264.0,395000,0.0,0.0,0.0025,0.0,0.0,0.0,200.0,-0.0035,0.026,0.0003,-0.0079,-0.0354,0.0003,0.0042,0.0,0.0234,0.0003,0.0,0.0,-0.0193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.0026,-0.0,0.0
2026-07-23,264.0,266.0,260.0,266.0,115400,0.0,0.0,0.002,0.0,0.0,0.0,0.0,-0.0071,0.0008,-0.0,0.0,0.0009,0.0003,-0.0016,0.0001,0.0123,-0.0009,0.0,0.0,-0.0071,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,260.0,266.0,256.0,262.0,188300,0.0,0.0,-0.0016,0.0,0.0,0.0,-0.0,0.0007,0.0098,0.0,0.0,0.0009,0.0003,-0.0122,0.0,0.0087,0.0001,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0065,0.0,0.0,0.0
