Date,Close,High,Low,Open,Volume,YP,RF,PD,XC,AZ,SH,CC,GR,OD,NI,XA,SQ,KK,XL,AO,DR,EP,LS,DH
2026-07-13,2990.0,3030.0,2990.0,3030.0,6400,-0.0164,0.0,0.0,-0.0009,0.0,0.0,-0.0003,0.0,0.0,0.0003,0.0,0.0,0.0012,0.0012,0.0,0.015,0.0,0.0,0.0
2026-07-14,3090.0,3090.0,3030.0,3030.0,10000,-0.027,0.0164,-0.0003,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0046,0.0,0.0,0.0,-0.0021,0.0094,0.0,0.0,0.0,0.0
2026-07-15,3060.0,3090.0,3060.0,3090.0,600,-0.0003,0.0,0.0,-0.0003,0.0,0.0,-0.0006,0.0,0.0,0.0006,0.0006,-0.0003,-0.0003,0.0003,0.0003,0.0,0.0,0.0,0.0
2026-07-16,3060.0,3060.0,3060.0,3060.0,2900,-0.0049,0.0,0.0,0.0003,0.0,0.0,-0.0034,-0.0003,-0.0003,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,3100.0,3100.0,3100.0,3100.0,1600,-0.0006,0.0009,-0.0003,-0.0003,-0.0031,0.004,-0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,3100.0,3100.0,3100.0,3100.0,13900,0.0,0.0003,0.0,-0.0037,0.0,0.0403,-0.0022,0.0,0.0,-0.0028,0.0,0.0016,0.0,0.0006,0.0,-0.0341,0.0,0.0,0.0
2026-07-21,3050.0,3100.0,3050.0,3100.0,900,0.0,0.0015,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,-0.0015,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009
2026-07-22,3090.0,3090.0,3080.0,3080.0,1200,0.0,0.0,0.0,-0.0003,0.0,0.0,-0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0.0,0.0,0.0,0.0,0.0
2026-07-23,3190.0,3190.0,3090.0,3110.0,3500,0.0,0.0,0.0026,-0.0003,0.0,0.0057,0.0003,0.0,-0.0,-0.0006,0.0,0.0,0.0,-0.0083,0.0,0.0,-0.0,0.0006,0.0
2026-07-24,3240.0,3250.0,3100.0,3100.0,98400,-0.0006,0.0,-0.3046,0.0019,0.0,0.3062,-0.0029,-0.0003,-0.0006,0.0,0.0,0.0,0.0003,0.0026,0.0,0.0,-0.0019,0.0,0.0
