Date,Close,High,Low,Open,Volume,QA,AK,MG,EP,YJ,XA,DX,OD,GR,CP,PO,CC,HP,YP,LS,RO,SQ,NI,XC,BQ,AT,KK,PD,XL,LG,YB,DH,IF,CD,GI,KI,ZP,BK,YU,DR,AZ,GA,PC,SA,JB,ZR,TP,ID,AI,FZ,HD
2026-07-13,57.0,58.0,55.0,57.0,37247100,0.001,0.0073,0.1038,-0.0047,0.0,-0.0061,0.0404,-0.0122,-0.0063,0.003,0.0,0.3792,0.0017,0.1551,0.0,0.0003,-0.0046,-0.0288,-0.0498,-0.0099,-0.0023,0.0017,-0.134,-0.4476,0.0,-0.0002,0.0061,0.0,0.0,-0.0,-0.0003,-0.0,0.0107,0.0,-0.0002,-0.0056,0.0,0.0,0.0,-0.004,-0.0001,0.0009,0.0057,-0.0001,0.0,0.0
2026-07-14,58.0,61.0,57.0,58.0,85264400,-0.0006,0.011,-0.072,0.0027,-0.001,-0.0058,-0.043,0.0191,0.0048,-0.0018,0.0014,0.832,0.049,-0.1895,0.0,0.0008,0.0014,0.0053,0.0128,0.0035,0.034,-0.0327,0.1131,-0.6897,0.0108,0.0038,0.01,0.001,0.0,0.0,0.002,0.0,-0.0106,-0.0604,-0.0065,-0.0046,0.0,-0.0006,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,59.0,60.0,58.0,58.0,22833800,-0.0003,-0.0224,-0.0178,0.0001,0.0001,-0.0001,0.0,-0.089,0.0155,0.0569,0.0,-0.1194,-0.007,0.0022,0.0,-0.0011,0.0062,-0.0091,-0.009,0.0034,-0.0001,-0.0027,-0.0343,0.2559,0.0045,-0.0004,-0.035,0.0,0.0,0.0017,-0.0007,-0.0009,0.0008,0.0,-0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,58.0,60.0,57.0,59.0,51337100,-0.0022,0.0018,0.0087,0.0,-0.0,0.0203,0.0,-0.0153,0.0121,-0.0491,-0.0014,-0.0655,-0.0391,0.2203,0.0225,0.0029,-0.0099,-0.0402,0.0541,-0.0029,-0.0009,0.0006,-0.0791,-0.0267,0.0001,-0.0019,0.0041,-0.0003,0.0,-0.0018,0.0003,-0.0,-0.0,-0.0011,-0.005,-0.022,0.0165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,58.0,59.0,57.0,58.0,10412000,0.0014,0.0007,-0.0084,-0.0029,-0.0,-0.0222,0.0006,0.0008,-0.0036,0.0098,-0.0,0.0197,0.0021,0.0071,-0.0222,-0.0028,0.0634,-0.0024,0.0566,-0.0012,0.0009,-0.0198,0.0141,-0.0837,0.0002,-0.0079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,58.0,59.0,57.0,58.0,12371700,-0.0,0.0,0.0145,0.0027,-0.0,0.0,0.0,0.0238,-0.0004,-0.0031,0.0,0.0474,0.0,0.0341,0.0,0.001,-0.0046,0.0268,-0.0208,0.0003,0.0024,-0.0019,0.013,-0.1337,-0.0001,0.0,-0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029,0.0,0.0
2026-07-21,59.0,59.0,57.0,58.0,25783300,-0.0015,0.0175,-0.0006,0.0,-0.0012,-0.0067,-0.0002,-0.0105,-0.0006,-0.3443,0.0,0.0757,-0.0046,-0.0539,0.0,-0.0001,-0.0058,0.0032,0.0549,0.006,0.001,0.0083,0.1391,0.0974,-0.0027,0.0077,0.0145,0.0011,0.0,0.0,0.0019,0.0,0.0017,-0.0001,0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003,0.0,0.0
2026-07-22,60.0,61.0,58.0,59.0,34985800,-0.0048,-0.0035,0.0478,0.0465,-0.0015,100.0,0.0003,-0.001,0.0056,0.0419,0.0,-0.1635,0.0018,0.0476,0.0,-0.001,0.0039,-0.024,0.0151,0.0038,0.0009,0.0118,-0.0275,0.02,-0.0001,-0.0136,-0.002,0.0,-0.0,0.0,0.0013,0.0,0.0,-0.0001,-0.0039,-0.0003,0.0,0.0,0.0,0.0,0.0,-0.0011,0.0,0.0,0.0,0.0
2026-07-23,60.0,61.0,59.0,60.0,36166500,0.0002,0.0137,-0.0336,-0.025,0.0006,-0.009,-0.0001,0.0079,0.0119,-0.0022,0.0,0.0149,0.0012,-0.0398,0.0,-0.0003,-0.0138,0.011,-0.043,-0.001,0.0042,0.0009,-0.0075,0.1185,0.0024,0.0,-0.0126,0.0,0.0,0.0,-0.0031,0.0,-0.0002,0.0012,-0.0005,0.006,0.0,0.0,0.0,0.0,0.0,-0.003,0.0,0.0,0.0,0.0
2026-07-24,57.0,60.0,56.0,60.0,24800900,0.0002,-0.0268,-0.0034,0.0056,0.0006,-0.0119,0.0001,-0.0151,0.0303,0.0019,0.0034,-0.1999,-0.0029,0.01,0.0,-0.001,0.047,0.0156,-0.0109,0.0015,0.0008,0.0054,-0.0215,0.2008,0.0,-0.0002,-0.0082,0.0,0.0002,0.0,0.0,0.0,0.0,-0.0335,0.002,0.0032,0.0,0.0,0.0,0.0,0.0,0.0001,0.0057,0.0,0.0006,0.0003
