Date,Close,High,Low,Open,Volume,MG,AK,RS,PC,XA,OD,GR,SS,CP,BB,HD,CC,YP,KZ,IH,PD,IF,XL,TP,FZ,MU,LG,KI,YJ,RX,ZP,DX,BR,SH,AI,RF,BK,YU,IT,HP,DR,AZ,GA,BQ,XC,PG,KK,DP,DH,EP,ZR,AG,AH,CD,AO,YB,PP,LS,RO,SQ,NI,QA,BS,RG,AT,FS,OK,IU,SF,YO,TS,EL,ID,JB,ES,SA,PO,AF
2026-07-13,4850.0,4860.0,4730.0,4810.0,43780800,0.0,-2.8,0.0,0.0,0.0,0.3418,0.0,2.5,3.9,-42.8,0.3285,-12.8,2.1,2.4,0.0,9.3,9.0,3.9,0.6484,0.947,0.0,13.7,0.144,-0.0295,8.5,-3.5,-0.0223,0.0,0.0,12.5,0.0,-20.7,-3.8,0.126,0.0,-0.0851,9.7,-0.0006,-0.151,0.3721,0.1499,-0.4289,0.0,0.5835,0.5706,0.0,0.0,0.0,-3.3,0.0,0.2723,0.0,0.0,-0.0366,5.1,3.5,0.0,0.0,-0.0041,-0.0733,-0.3885,0.0,0.0,-0.0024,-0.0007,0.0994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,4880.0,4910.0,4810.0,4850.0,50811200,-0.0361,8.4,0.9997,0.0,-0.0493,-0.4968,0.1094,-0.488,-1.1,-26.7,-0.3179,-21.1,-3.8,3.3,0.0,21.5,0.0131,4.3,-0.0699,-0.005,0.0,19.2,-0.0217,0.0092,1.2,-17.2,6.7,0.0,0.1006,0.2821,0.0,-18.7,-0.7895,0.0,14.6,2.3,2.2,0.0,0.2637,1.0,0.0627,-2.1,0.0,-0.0326,0.433,0.0,-0.1033,0.0,-0.1182,0.0378,-1.1,0.0,-0.001,0.0878,-0.2034,7.3,0.0199,-0.0172,0.0,0.0376,0.0,0.0,-0.0073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,4850.0,4930.0,4850.0,4880.0,37729500,0.0044,-3.3,-0.0196,0.0,0.1033,-0.8116,0.0457,-0.5677,-0.4436,-11.3,0.0966,-5.0,1.5,-6.9,0.0,16.8,0.002,-0.0921,-20.0,0.0,0.0,12.7,-0.0035,-0.0078,3.0,-18.4,23.3,0.0,-0.0513,-0.1594,0.0,10.9,-3.3,0.0,-0.0035,0.0036,0.7339,0.0,-0.4065,-0.2823,0.0,2.2,-3.0,0.7117,1.5,0.0,0.0005,0.0,0.0436,0.1,0.0241,0.0,0.0,-0.0662,-0.2066,0.5362,0.001,0.0005,0.0733,-0.0254,-0.0024,-0.0049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,5100.0,5150.0,4840.0,4850.0,72624500,2.3,-5.9,-0.1008,0.0,4.4,-1.5,0.0915,0.0,-1.5,5.3,-0.1297,-10.2,-6.7,5.0,0.1097,8.3,-0.4693,-7.3,10.1,-1.1,0.0,7.9,-0.3208,0.0,0.0,-109.0,-0.2221,2.9,6.8,6.7,21.2,-14.8,13.1,-0.202,0.1869,1.5,71.7,0.0,-6.5,-2.1,0.0,-0.9836,0.0,-1.9,-0.8106,0.0007,13.4,0.0005,2.9,-0.1149,0.114,0.2305,-0.1424,-0.1522,-5.8,-5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,5100.0,5200.0,5025.0,5125.0,65960600,11.0,-48.1,-0.0204,-0.0041,0.6514,-1.0,2.2,-1.2,-0.2207,17.9,-0.7994,-15.7,6.6,19.2,-0.1024,4.0,0.9994,10.5,2.9,-1.0,-0.0214,2.7,2.6,10.7,10.2,-16.3,-0.1148,0.8658,1.3,9.9,4.3,-24.3,-55.8,-0.0052,7.7,7.6,16.5,-0.0023,4.2,3.0,-0.0026,0.8642,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,5050.0,5250.0,5050.0,5125.0,67793400,7.0,-36.0,-0.001,0.0,0.692,2.5,-2.7,0.0,3.0,-40.0,-0.0496,7.0,2.5,-15.2,-0.0026,-1.8,0.3656,7.0,-3.8,0.0,0.0,24.0,0.0,-1.2,-2.2,-13.4,0.0,-0.884,-0.0029,9.4,-4.9,-31.4,3.6,0.3831,24.5,-0.8577,20.0,0.0,0.2302,3.1,-0.0026,0.1446,0.0,0.2744,0.0,0.0,0.0,0.0,0.5451,0.0,0.2753,0.0,0.0,0.5468,26.9,9.7,0.0,-0.0004,0.2568,0.0,0.0994,-0.0131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004
2026-07-21,5100.0,5150.0,5050.0,5100.0,40894600,0.0082,-19.5,0.0,0.0035,0.0505,1.6,0.2214,-0.51,-1.5,-34.9,0.0088,-4.0,0.9557,-11.6,0.0,4.9,-0.0668,4.6,9.2,0.0091,0.0,49.1,-0.0093,-3.4,-0.3872,12.4,-0.1584,0.0,7.2,-1.1,0.0,10.6,-24.8,0.0,-0.0037,-1.5,9.5,0.0,0.0809,2.5,0.0,0.081,0.0,0.1226,-0.0222,0.0,7.7,0.0,0.0104,0.0,0.0355,0.0,-0.001,-0.3403,5.9,-10.5,-0.0087,-0.0015,0.0,-0.005,0.0,0.0,-5.2,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.1,0.0
2026-07-22,5150.0,5300.0,5100.0,5150.0,93334100,-0.4831,7.1,-0.0224,0.0,0.3047,-0.1315,-3.1,-1.1,0.4225,9.4,-0.0171,-24.6,-1.1,-13.6,0.0,-3.7,4.1,-8.1,1.4,0.0,0.0,27.6,0.538,-1.4,3.2,-81.7,0.6727,1.3,-1.4,8.7,1.8,-17.8,39.5,0.0,0.0,2.6,52.5,0.0,-0.6546,-2.8,0.0,1.5,0.0,-0.4052,-0.1308,0.0,3.1,0.0,0.7222,-0.1338,-0.6948,0.0,0.4029,0.0,-4.1,2.5,0.0,1.6,0.0,0.0683,0.0,-0.0133,-8.7,0.0,0.0,0.0,0.0,0.0,5.0,0.0045,-0.0263,0.0,0.0
2026-07-23,5000.0,5175.0,5000.0,5150.0,66257200,0.0,-30.9,0.0,0.0,1.1,13.2,0.478,0.0,1.1,-1.8,0.5145,-3.4,6.7,-15.5,0.0,4.8,0.28,16.2,0.846,0.0,0.0,0.0,0.5463,0.243,4.5,7.4,-0.3892,-1.0,0.0,-0.2745,0.0,39.1,-77.9,0.0,-13.4,8.9,13.6,0.0,2.0,8.9,0.0,2.7,0.0,0.8922,0.0,0.0,0.0,0.0,0.4841,0.0,0.7104,0.0,0.0,0.0,4.6,9.5,-0.0016,0.0,0.0,0.0,0.0,0.0,-6.1,-0.0005,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0
2026-07-24,4980.0,4980.0,4900.0,4980.0,73314000,0.0,73.6,0.0,0.0984,-0.1428,0.7207,0.1636,0.982,-1.6,-10.3,0.8809,8.4,0.5027,1.8,1.5,6.8,1.2,-0.0799,-1.4,0.0,0.0,-40.1,0.0331,-1.3,-40.5,49.3,-0.4084,-0.2438,0.0,-7.1,-20.0,69.9,-73.0,0.0,-0.1283,2.6,-29.5,0.0,-3.5,-0.0737,0.0,0.2928,0.0,0.7981,1.2,-0.0005,7.7,0.0,-0.0124,0.1984,0.6807,0.0,-0.0843,0.0723,1.2,-1.0,-0.005,0.0641,0.0,-0.2292,0.0,0.0,0.0,0.0,0.0,-0.1013,-0.0197,0.0,0.0,0.0,0.0,0.0,0.0
