Date,Close,High,Low,Open,Volume,YP,DR,XC,KK,PD,XL,YU,TP,CC,RG,AZ,LS,LG,OD,NI,XA,DH,SQ
2026-07-13,250.0,250.0,248.0,248.0,3400,0.0,0.0,0.0003,0.0,-0.0,0.0,-0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0
2026-07-14,252.0,252.0,250.0,250.0,10400,-0.0005,0.0,0.0,0.0,0.0005,0.0013,-0.002,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,252.0,252.0,252.0,252.0,4300,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0008,0.0003,0.0,0.0,0.0,0.0,0.0
2026-07-16,254.0,254.0,248.0,252.0,28400,0.0,0.0,0.0,0.0,-0.0049,-0.0001,0.0038,0.0002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,260.0,260.0,252.0,254.0,32000,-0.0,-0.0003,0.0,-0.0023,0.0015,-0.0004,-0.0044,0.0037,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,262.0,262.0,258.0,260.0,19300,-0.0005,0.0,-0.0,0.0,0.0007,0.0015,-0.0034,0.0012,0.0001,0.0,0.0,0.0004,0.0,0.0001,0.0,0.0,0.0,0.0
2026-07-21,270.0,272.0,258.0,262.0,89500,-0.0001,0.0,0.0005,0.0,0.0,0.0071,-0.0068,-0.0002,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0002,-0.0002,0.0,0.0
2026-07-22,266.0,270.0,266.0,270.0,1700,0.0,0.0,-0.0001,0.0,0.0001,-0.0001,0.0001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0001,0.0,0.0
2026-07-23,268.0,270.0,264.0,266.0,29400,0.0027,0.0,-0.0001,0.0,0.0,-0.0031,-0.0003,0.0023,-0.0001,0.0,0.0,0.0007,0.0,0.0,-0.0002,-0.0,-0.002,0.0
2026-07-24,264.0,270.0,262.0,270.0,17500,0.001,0.0,-0.0003,0.0,0.001,-0.0036,0.0003,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0001,0.0,0.0
