Date,Close,High,Low,Open,Volume,DH,EP,AK,PC,OD,SS,CP,GR,BB,HD,CC,YP,BS,AG,AT,PD,XL,PF,TP,GI,AO,LG,YB,KI,YJ,ZP,AI,BK,YU,DR,RO,SQ,NI,AZ,XC,BQ,PG,KK,MG,QA,KZ,IF,RX,DX,XA,RG,CD,FS,HP,ES
2026-07-13,320.0,320.0,314.0,318.0,4360200,0.0,-0.0147,-0.5192,0.0,0.0028,0.0,0.0021,-0.0019,0.0,-0.0028,0.05,-0.0221,0.0,0.0,-0.0008,-0.0055,-0.005,0.0,0.0,0.0001,0.0,0.0081,0.0,0.0,0.0,0.3216,0.0,0.0675,0.0001,0.0064,-0.0002,0.0126,0.0034,0.0032,0.0005,0.0005,0.0,0.0908,0.0,0.0,0.0,0.0,0.0,-0.0,-0.001,0.0,0.0038,0.0,-0.0002,0.0
2026-07-14,324.0,328.0,318.0,320.0,9758700,0.0003,-0.0156,-0.714,0.0,-0.0306,0.0,-400.0,-0.0026,0.0,-0.0002,-0.0195,0.0747,0.0,-0.0,-0.1298,-0.0537,-0.0469,-0.026,-0.0027,0.0,-0.0001,-0.0025,-0.0002,0.0,-0.0008,1.1,0.0003,0.0267,0.0,0.0327,0.0002,-0.0645,-0.0432,-0.0008,-0.0143,0.014,0.0,-0.0024,0.0,0.0,0.0,0.0001,0.0,-0.0001,-0.0648,0.0,0.0,0.0,-0.0002,0.0
2026-07-15,328.0,334.0,320.0,324.0,9850400,-0.1148,-0.0004,-1.0,0.0,0.0038,0.0,-0.0169,-0.0737,-0.4899,0.0012,-0.0072,0.0208,-0.0001,0.0,-0.0039,-0.0505,-0.1848,0.0,-0.0007,0.0,-0.0002,0.0333,-0.0085,0.0,-0.0008,0.3824,-0.0002,-0.3893,0.0004,0.0174,0.0004,0.0432,0.2975,0.0,-0.0138,0.0653,0.0,0.0004,0.0,0.0001,0.0,0.0498,1.4,-0.0,0.0002,0.0002,0.0001,-0.0007,0.0,0.0
2026-07-16,334.0,338.0,328.0,330.0,13565200,0.0002,0.0012,-0.8829,0.0,-0.0064,0.0,-0.0214,0.0326,-1.0,-0.0014,0.5753,-0.2687,-0.01,0.0,-0.0003,-0.1285,-0.1297,-0.0134,-0.001,0.0,-0.0001,-0.0006,0.0128,0.0006,-0.168,0.6672,1.1,-0.5379,-0.0179,0.0512,-0.0009,0.0817,-0.0661,0.0126,0.0055,0.0001,0.0,0.0013,0.0234,-0.0002,0.4093,0.0048,0.2985,-0.0027,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,330.0,340.0,330.0,336.0,31290400,0.0652,0.0272,-1.1,0.0002,-0.0717,-0.0539,0.0549,-0.0312,-2.5,-0.0,1.7,0.2974,-0.01,0.0018,0.0052,0.104,0.2912,0.0165,0.0176,0.0003,-0.0001,0.0355,0.0268,-0.0003,-0.3718,-1.4,4.2,-1.2,-0.002,-0.0089,0.0003,-0.1503,0.0439,0.0008,0.057,0.0209,-0.0,0.0411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,334.0,342.0,330.0,332.0,29131600,0.0043,0.0029,0.3347,0.0,-0.0001,0.0,-0.0475,-0.0566,-2.4,0.0036,1.1,-0.0128,0.0,0.0,-0.0005,0.2539,0.4233,-0.0169,0.0,0.0,-0.0002,-0.0014,0.0069,-0.0,-0.37,-0.0391,2.0,-1.3,-0.0058,0.0334,-0.0001,0.2197,-0.0468,0.0679,0.0145,-0.0997,0.0,0.006,-0.0188,0.0166,0.0718,-0.0001,1.7,-1.7,-0.0002,0.0,0.0,0.0,0.0,0.0
2026-07-21,342.0,342.0,336.0,336.0,18140500,0.0027,-0.0092,-0.8275,0.0,-0.0325,0.0,-0.0059,-0.0117,-1.5,-0.0035,0.278,-0.276,0.0,0.0,0.0053,-0.0434,0.2759,0.0,0.0,0.0,-0.0001,0.0,0.0034,-0.0,-0.2883,0.9463,2.2,-1.4,0.0,0.4199,-0.0003,0.1989,0.3428,-0.1246,-0.0331,0.0,0.0,-0.0118,-0.0051,0.0,0.0007,-0.0008,0.0,0.0,-0.0001,0.0,-0.0019,0.0,0.0003,-0.102
2026-07-22,340.0,344.0,332.0,340.0,17728900,0.0012,-0.0175,-1.2,0.0012,0.0007,0.0,0.03,0.0139,-1.7,-0.0,-0.4311,0.1465,0.0,0.0,0.0009,-0.0023,0.2311,0.0,0.0481,0.0,0.0,0.0001,0.0136,-0.0,-0.0851,1.1,2.6,-0.7311,0.0,-0.0004,0.0006,-0.0176,0.002,0.001,0.0331,0.0001,0.0,-0.027,0.0,0.0001,0.0,0.0,0.0,0.0,-400.0,0.0,0.0016,0.0,0.0,0.0
2026-07-23,330.0,342.0,330.0,340.0,17837800,0.0054,0.0277,-0.4164,0.0007,0.112,0.0,0.0071,0.0142,-2.0,-0.0002,0.7179,0.05,0.0,0.0,0.0394,0.1806,0.2435,0.0,0.0503,0.0,-0.0001,0.4606,-0.0125,0.0,0.0068,0.8574,0.0334,-0.7335,0.1865,-0.006,0.0009,0.1441,-0.0204,-0.011,0.0984,0.0095,0.0,0.0449,0.0,0.0,-0.0935,0.0003,0.0073,0.0,-0.0003,0.0,0.0,0.0,0.0033,0.0
2026-07-24,324.0,332.0,318.0,330.0,23204800,-0.0405,0.0056,0.8289,0.0099,-0.0439,0.0,0.022,0.0442,-2.3,0.0036,0.144,0.0995,0.0194,0.0,0.0071,0.0932,0.3751,0.0642,0.1998,0.0,0.0,0.0075,-0.0198,0.0,0.0,1.4,0.0,-1.7,0.008,0.0713,0.0,0.0312,0.3613,0.0,0.1235,0.0115,0.0,0.2045,0.0,0.0,0.0541,-0.1584,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0954
