Date,Close,High,Low,Open,Volume,DH,AK,EP,KI,XA,ZP,OD,GR,CP,BK,AI,CC,IN,HP,YP,DR,SQ,AG,NI,AZ,BQ,XC,AT,KK,PD,XL,TP,LG,YB,QA,MG,DX,AO,IF,TF,RO,SF,RF,FZ,ZR,YU,YJ,PC,DU
2026-07-13,354.0,366.0,348.0,352.0,42112800,0.0005,-0.573,-0.0081,0.0,-3.9,-0.2445,0.0031,-0.0016,0.0431,0.0,0.0,0.0607,0.0001,0.0298,0.0114,-0.1446,-0.0025,3.2,-0.0341,0.0116,-0.0,-0.0027,0.0,-0.0078,0.1611,-0.2195,0.0,200.0,0.2219,0.0001,1.4,0.0,0.0,0.0,0.0,-0.0012,0.0,0.0,0.0001,-0.0003,0.0012,0.0,0.0,0.0
2026-07-14,354.0,360.0,350.0,354.0,20815200,0.0067,-0.0604,0.0021,0.0496,-4.8,-0.0043,0.0057,0.007,-0.0662,0.0,0.0,0.0528,0.0,0.0,0.0138,-0.1044,-0.1074,5.1,-0.0052,-0.0048,0.0,0.0057,-0.0161,0.0018,-0.0004,-0.1022,0.0,0.0,0.0288,-0.0002,-0.0124,0.0,0.0,0.0,0.0,-0.0,0.0001,0.0001,-0.0001,0.0,0.0,0.0,0.0,0.0
2026-07-15,360.0,362.0,348.0,354.0,51124500,-0.008,1.6,-0.0033,-0.0394,5.0,-0.0297,-0.0175,-0.0044,0.0077,0.018,0.0,0.4282,0.0,-0.0179,-0.2445,-0.092,-0.1443,-5.9,-0.0137,-0.0531,-0.0003,0.0127,-0.0209,-0.0083,-0.1149,-0.2334,0.0,-0.0104,-0.0144,-0.0,-0.0182,0.0,-0.0358,0.01,-0.0026,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,364.0,364.0,356.0,360.0,44524100,0.0355,-0.0099,0.0,0.0,-0.3214,-0.1049,-0.0006,-0.0072,-0.0063,0.0,0.0,0.612,0.0,0.0,-0.0027,0.0002,-0.2096,1.6,-0.0068,-0.0101,0.0006,-0.0515,-0.0133,-0.0291,0.007,-0.0552,0.0,0.0088,-0.0009,-0.0074,-1.4,0.0007,-0.0216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,374.0,376.0,358.0,362.0,29185100,-0.0267,-0.2554,-0.012,-0.0049,-2.9,0.0308,-0.0654,-0.0114,-0.0465,0.2226,-0.0,-0.3181,-0.0141,0.0001,-0.1218,0.0121,0.0021,4.1,0.0335,0.014,0.0004,-0.0187,-0.0194,-0.0862,-0.0131,-0.8482,0.1829,-0.0004,0.1433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,390.0,390.0,376.0,380.0,48857000,0.0015,-0.4482,0.0019,0.0016,5.2,-0.1043,-0.0034,-0.0366,-0.0982,1.5,-0.0,-0.2668,-0.0034,0.0,0.0389,0.0085,-0.0009,-7.2,-0.0437,0.0294,-0.0032,-0.0246,0.0011,-0.1758,-0.054,0.4202,-0.1136,-0.0566,-0.0016,-0.0,1.4,0.0,0.0,0.0,0.0,0.0004,-0.0002,0.0,0.0,0.0,-0.0077,0.0,-0.0012,-0.0221
2026-07-21,398.0,402.0,382.0,390.0,55217200,-0.0118,0.2118,0.0002,-0.0016,-4.1,0.1732,0.0331,-0.0294,-0.0003,0.1666,-0.04,0.6291,0.0,-0.0003,-0.5859,-0.1638,0.0233,6.1,-0.0111,-0.0111,0.0187,0.064,0.0109,-0.1065,-0.1237,-1.0,0.0623,-0.0109,0.1948,0.0004,-1.4,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,-0.0089,0.0,-0.0018,0.0
2026-07-22,394.0,400.0,392.0,398.0,38735000,0.1124,0.1209,0.0163,0.0,7.0,-0.0154,-0.0527,0.0138,0.0003,-0.1826,-0.0099,0.3679,0.0,0.0003,0.0055,-0.037,0.009,-6.5,0.0026,0.0,-0.0256,-0.027,-0.0303,0.0083,0.0687,-0.7003,-0.1415,-0.0001,0.0044,-0.0,-0.0001,0.0,0.0,0.0,0.0,-0.0004,0.0,0.0,0.0,0.0,0.0099,0.0,0.0,0.0
2026-07-23,396.0,408.0,390.0,392.0,39665500,-0.0401,-0.2816,-0.0026,0.0,-5.0,-0.0805,0.0044,-0.0305,-0.0005,0.167,-0.0,0.4065,0.0,0.0002,-0.2134,-0.1558,-0.0762,5.9,-0.0155,-0.0343,-0.0627,-0.1107,-0.0019,-0.0979,-0.031,-0.3974,0.2249,-0.0022,0.0193,-0.0002,0.0004,0.0044,0.0,-0.0112,0.0,0.0001,0.0,0.0,0.0,-0.004,0.0,-0.02,-0.0004,0.0
2026-07-24,390.0,400.0,388.0,396.0,32982800,-0.0083,0.1024,-0.0033,-0.0337,5.4,0.0493,0.0009,-0.0014,-0.0005,0.2476,0.0,0.5203,0.0,-0.0333,-0.0877,0.045,-0.0043,-5.8,-0.0419,-0.0006,0.0045,0.024,0.0001,-0.0048,-0.0409,-0.2531,-0.0688,-0.0046,-0.0398,0.0002,0.0,-0.0039,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
