Date,Close,High,Low,Open,Volume,NI,RO,XA,DU,OD,YB,QA,DR,SQ,YP,HP,XC,LG,KK,XL,AT,YJ,AI,EP,DH,PD,BQ,AZ,AG,IF,MG,PC,GR,CC,DX,CP,YU,TP,CD,ZP,KI,SF,LS,ZR,AO
2026-07-13,174.0,178.0,170.0,171.0,589300,-0.0019,0.0003,0.0,0.0,-0.0005,-0.0018,-0.0,0.0,0.0123,-0.0008,0.0,0.0032,0.0,-0.0,-0.0134,-0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,-0.0014,-0.0034,0.0,0.006,0.0,0.0,0.001,0.0002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,174.0,175.0,171.0,174.0,778300,0.0002,-0.0003,0.0,0.0,0.0037,-0.0009,0.0,0.0,-0.0038,-0.0019,0.0,-0.0053,0.0,0.0,0.0411,0.0,0.0,0.0,0.0,0.0,-0.0411,0.0,0.0001,0.0,-0.001,0.0,0.0,-0.0,0.0155,0.0,0.0003,0.0,-0.0064,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,175.0,177.0,171.0,174.0,820000,-0.0017,0.0,-0.0,0.0,-0.0003,-0.0003,0.0,-0.0,-0.0003,-0.0002,0.0,0.0396,-0.0004,0.0009,-0.0384,-0.0,0.0,0.0,0.0,0.0017,-0.0004,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0008,0.0036,0.0,-0.0016,-0.001,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,180.0,189.0,170.0,175.0,2543600,-0.0031,0.0,0.0002,0.0,-0.0168,0.0,0.0,-200.0,-0.0003,-0.0032,0.0,0.1531,-0.0001,-0.0009,-0.1229,-0.0004,0.0,0.0,0.0,-0.0019,-0.0264,-0.0001,0.0,-0.0001,0.0,0.0,0.0001,-0.0001,0.0239,0.0,0.0002,-0.0011,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,188.0,218.0,176.0,183.0,13871900,-0.0021,0.0,0.0005,0.0005,-0.0053,-0.002,-0.0187,-0.0005,-0.0169,-0.0236,-0.0017,0.1181,-0.0,-0.0137,-0.322,0.0524,-0.001,0.0,0.0005,-0.0006,0.024,0.0411,0.0006,0.0009,-0.0001,-0.0001,-0.0,-0.0,0.187,-0.0016,-0.0156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,198.0,210.0,192.0,195.0,4556000,0.0026,-0.0,-0.0002,-0.0004,-0.0026,0.0004,-0.0001,0.0024,-0.0247,0.0145,0.0,0.0617,0.0,-0.0001,-0.0472,-0.0176,-0.001,0.0,-0.0,-0.01,0.048,-0.0135,-0.0,0.0,0.0,-0.0101,0.0,0.0,-0.0016,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,-0.0004,-0.0002,0.0
2026-07-21,198.0,206.0,196.0,200.0,2044600,0.0013,0.0,0.0,0.0,0.0079,-0.0007,0.003,-0.0021,-0.0004,0.004,0.0,0.041,0.0008,-0.001,-0.1015,-0.0008,0.0,0.0,0.0,-0.0004,0.0016,-0.007,0.0001,0.0,0.0,0.0,0.0,0.005,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2026-07-22,196.0,202.0,192.0,198.0,2786300,-0.0018,0.0,0.0,0.0,0.0179,0.0,-0.052,0.0049,0.0044,-0.0079,0.0,0.0452,-0.0778,-0.0053,0.0327,-0.029,0.0,0.0,0.0,0.0146,-0.002,-0.0423,0.0,0.0,0.0,0.0,0.0,0.0097,0.0769,0.0,0.0096,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0019,0.0
2026-07-23,198.0,208.0,193.0,196.0,3352600,0.0031,0.0,0.003,0.0,-0.0005,0.0,0.0,0.0002,-0.0102,-0.0011,0.0,0.2058,-0.0731,0.056,-0.2033,0.0308,0.0002,0.0,0.0,-0.0054,-0.0772,-0.0028,-200.0,0.0,0.0,0.0,0.0,-0.0098,0.0946,0.0,-0.01,0.0,-0.0003,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2026-07-24,190.0,198.0,188.0,198.0,866400,0.0039,0.0,0.003,0.0,-0.005,0.0,0.0,0.0,0.0,0.0054,0.0,0.0115,0.0,-0.002,-0.0212,-0.0008,0.0,0.0,0.0,0.0033,0.0033,-0.0003,0.0,-0.0002,0.0,-0.0009,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
