Date,Close,High,Low,Open,Volume,NI,XA,OD,YB,QA,DR,SQ,YP,XC,LG,KK,XL,AI,DH,AZ,MG,CP,BK,DU,AK,AT,ZP,TP,EP,SF,PD,BQ,AG,GR,CC,AO,FZ,HP,YJ,RO,PC,GI,HD,KI,TF,YU,SH,IU,ID
2026-07-13,680.0,690.0,675.0,685.0,15520600,-0.0035,0.9495,-0.0188,0.0058,-0.0017,0.0,-0.0007,-0.401,-0.0099,0.0,-0.11,-0.6138,0.0,0.0,-0.2184,0.0068,0.6257,0.0027,0.0,-0.0433,0.001,0.0,0.0852,-0.0003,0.0,-0.0022,-0.3712,-2.2,0.0082,-0.2644,2.6,0.0,-0.0069,0.0,0.0001,0.0,-0.0343,-0.001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,670.0,680.0,665.0,680.0,7224000,-0.0104,0.0,0.0274,0.0277,500.0,-0.0059,-0.0066,0.1586,-0.1038,0.0338,0.0281,0.5106,0.0,0.0068,0.0,0.0304,0.0242,0.0,-0.389,0.0125,0.0,0.0,-0.0923,0.0012,0.0,-0.0349,-0.3277,-0.6603,0.0007,-0.1779,0.9482,-0.0021,0.0005,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,665.0,680.0,655.0,670.0,11987800,0.0012,-0.0131,0.0102,-0.0035,0.0007,-0.0108,-0.0105,-0.2589,0.0217,-0.0093,0.0149,-0.7295,0.0,0.0129,0.0,-0.0037,-0.1768,0.01,-0.1223,0.1189,0.0037,0.0,-0.0175,0.004,0.0,-0.0085,-0.4172,1.2,-0.0295,0.1864,0.2774,0.0,-0.0029,0.0,-0.0001,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,675.0,675.0,650.0,665.0,12463800,-0.0069,-1.0,-0.0306,0.0168,-0.0001,0.0013,0.0105,-0.5101,-0.6681,0.0,0.0156,0.0902,0.0,0.0001,0.0015,0.0068,-0.3403,0.5952,0.7482,0.0078,-0.001,0.3835,-0.0005,0.0015,0.0,-0.0923,-0.8984,0.5228,-0.0162,0.9361,0.2277,0.0,-0.0,0.0199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,685.0,690.0,660.0,675.0,14364800,0.0174,-0.6688,-0.041,0.0409,-0.0014,-0.0028,-0.0098,-0.6801,-0.648,0.0146,0.0117,-1.1,-0.01,-0.0065,-0.0001,0.1288,-0.0493,0.4066,-0.0512,0.3499,-0.0038,-0.0,-0.021,-0.0003,0.001,0.0124,-0.9124,1.6,-0.0058,1.6,0.0405,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,705.0,715.0,670.0,685.0,20761000,0.0068,-0.6903,-0.0243,0.0146,0.0002,0.2237,0.3249,-0.6122,-0.1971,-0.0225,0.1341,-0.6373,0.0,-0.0215,0.0069,0.0885,-0.0169,0.5677,0.0,0.2205,-0.0,-0.0001,-0.0003,-0.0111,0.0,0.092,-0.2528,-0.3797,0.0009,0.6922,0.4907,0.0084,-0.07,0.0,-0.0,0.0,0.0,0.0,-0.0036,0.0,0.0,-0.0002,-0.0,0.068
2026-07-21,725.0,730.0,690.0,705.0,20682800,-0.0449,0.2813,-0.0121,-0.0227,500.0,-0.0105,-0.004,-0.3125,-0.7327,-0.0214,-0.0166,-1.2,0.0,0.0026,-0.0043,-0.0157,-0.0968,-0.4066,-0.3463,0.5797,0.001,-0.198,-0.0053,-0.0384,0.0,0.1828,0.8559,0.4062,-0.0717,0.3089,1.0,0.0003,-0.0,-0.0175,-0.0001,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0
2026-07-22,715.0,725.0,710.0,725.0,12745200,-0.0015,0.0007,0.0105,0.0979,-0.0002,0.0,0.1574,-0.0695,0.0013,-0.0001,-0.02,0.981,0.0,0.0715,0.0009,-0.0859,-0.2456,-1.0,-0.3576,0.3163,-0.0255,0.0,0.0,-0.0864,0.0,0.0047,-0.0425,-0.0265,-0.0045,-0.39,0.713,0.0,0.0011,0.0,0.0002,0.0,0.0,0.0,0.0,-0.0006,0.0,0.0,0.0,0.0
2026-07-23,710.0,725.0,700.0,715.0,18384200,0.0135,0.0002,-0.0131,-0.0345,0.0,0.0,-0.263,-0.0306,-0.0249,-0.0007,0.0003,-0.2703,0.0,0.0141,0.0014,-0.0025,0.6162,0.0082,0.7485,1.9,0.0,-0.1796,0.0,-0.012,0.0,-0.0101,-0.1119,-4.4,0.0007,0.9528,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0072,0.0,0.0,0.0,0.0,0.0
2026-07-24,710.0,720.0,695.0,710.0,14466500,-0.002,0.0006,-0.0149,-0.092,0.0,0.0071,-0.1004,-1.5,-0.8508,-0.0003,-0.0067,-1.0,0.0,-0.0036,-0.002,-0.0009,-0.5964,0.1512,0.0,1.6,0.0,0.0,0.0,-0.0267,-0.0011,0.0265,-0.242,2.7,0.0,-0.6085,0.5271,0.0,0.0,0.0,0.0001,0.0,0.0,0.0029,0.0,0.0,0.0,0.0,0.0,0.0
