Date,Close,High,Low,Open,Volume,NI,RO,XA,OD,YB,DR,SQ,YP,HP,XC,LG,KK,XL,AK,AT,ZP,AI,EP,DH,PD,BQ,AZ,AG,IF,KI,MG,GR,CC,FZ,CP,RB,QA,SH,PC,AO,IN,YU,TP,PG,FS,LS,GI,CD,IU,BR,DX,JB,YJ,HD,SF
2026-07-13,240.0,286.0,240.0,282.0,71438100,0.0795,-0.0001,0.0879,-0.0558,-0.1202,0.1095,0.0146,0.0074,0.0008,-0.3355,0.971,0.0307,-3.3,0.1919,-0.076,-0.0005,0.4673,0.0188,-0.0124,0.109,-0.1528,-0.0539,-0.0001,0.0001,0.0213,-0.0115,0.0203,1.6,0.0,0.423,0.0,-0.0008,0.0,0.0,0.0,0.0,0.0,0.0031,0.0,0.0,0.0,0.0,0.0,0.0021,0.0,0.0038,-0.0009,-0.0017,0.0,0.0
2026-07-14,266.0,276.0,222.0,252.0,104076900,-0.1119,-0.0019,2.6,0.092,0.016,0.1084,0.025,-0.9134,-0.0027,-0.1075,-0.5568,-0.0733,1.3,-0.219,0.0168,0.0133,-0.4096,-0.0221,-0.0022,0.0266,0.0092,-0.0857,0.0013,-0.0009,0.0242,0.103,-0.0535,-2.1,0.0,0.3055,-0.0002,-0.0051,0.0,0.0,0.0014,0.0,0.039,-0.0472,0.0005,0.0,-0.0016,0.0,0.0003,-0.0006,0.045,-0.0025,0.0,0.0,0.0,0.0
2026-07-15,312.0,316.0,252.0,268.0,212278200,-0.0668,0.0,5.6,-0.1602,-0.1264,0.091,-0.0362,-0.6429,0.0058,-0.3301,-0.5133,-0.0615,-2.1,-0.0462,-0.0213,0.0302,-0.0219,-0.0382,-0.0022,-0.1858,0.2934,-0.0366,-0.0016,0.001,-0.0302,-0.1112,0.0494,-0.1628,-0.0037,-1.3,0.0,-0.0475,0.0,0.0,0.0028,0.0001,-0.0387,-0.0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,266.0,314.0,266.0,312.0,68250800,0.1721,0.0,-8.8,0.2107,0.1343,-0.0176,-0.011,0.7787,0.0049,0.8992,0.1034,0.1696,4.2,-0.0039,0.0152,0.026,0.0609,0.024,0.0191,0.389,-0.0801,0.0668,0.0,-0.0005,0.0009,0.1196,0.1027,1.1,0.0,0.329,0.0053,0.063,0.0073,0.0119,-0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,228.0,242.0,228.0,228.0,30749200,0.0738,0.0007,-1.5,0.1238,0.0145,0.001,0.0207,-0.907,-0.001,0.0345,0.4727,0.0956,0.5954,0.043,0.0056,0.011,0.002,0.0114,0.0281,0.1939,0.0424,0.0481,0.0023,-0.0006,0.0234,0.0042,0.0259,0.5319,0.001,-0.0359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,210.0,236.0,204.0,206.0,54787100,-0.0395,0.002,-0.2013,0.1056,0.022,0.0772,0.0477,-0.487,0.0003,-0.1324,0.1451,0.0198,-0.5492,-0.0082,-0.0033,-0.0201,-0.0173,0.0742,0.0036,0.0503,-0.0618,0.0295,-0.0004,-0.0,-0.0421,-0.0427,0.0209,0.6424,0.0022,0.4619,0.0,-0.0442,0.0,-0.0044,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,-0.0098,0.0,-0.0417,0.0,0.0,0.0004,0.0,0.0
2026-07-21,212.0,220.0,204.0,212.0,20877800,0.0136,-0.0001,0.129,-0.0191,0.0183,0.004,0.2025,-0.29,0.0002,0.0036,0.0558,-0.0354,0.0228,-0.0448,0.0096,0.0027,-0.015,0.0238,-0.0027,0.0093,0.0261,-0.0165,-0.0,0.0,0.0042,-0.0482,0.0337,-0.0962,0.0,-0.0191,0.0208,0.0001,0.0,0.0011,0.0,0.0,0.0,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.0002
2026-07-22,210.0,218.0,206.0,212.0,11878200,0.0073,0.0027,0.2591,-0.0723,0.0233,0.0022,-0.0687,-0.2119,-0.0015,-0.0343,0.0074,-0.0101,-0.2584,-0.0048,-0.0065,0.0001,0.0,0.0006,-0.0003,0.0068,-0.0038,-0.0034,-0.0023,0.0,-0.0022,0.0256,0.0,0.1503,-0.003,0.2119,-0.0115,0.0,0.0,0.001,0.0,0.0,0.0,-0.0032,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0001,0.0,-0.0015,0.0,0.0009
2026-07-23,220.0,220.0,206.0,214.0,36658700,-0.0215,0.0074,-0.6494,0.0099,0.057,0.0252,-0.0365,1.1,0.0013,0.1482,-0.2297,0.1026,-0.3162,0.1422,0.045,-0.0001,0.0,-0.0949,0.0005,0.1096,0.0466,-0.0417,0.0022,0.0,0.0007,0.13,-0.0317,-0.5029,0.0,0.1223,-0.01,-0.007,0.0,-0.0011,0.0,0.0,0.0348,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,-0.0001,0.0,-0.0003,-0.1074,0.0
2026-07-24,187.0,234.0,187.0,222.0,136839000,0.1568,0.0215,-0.7362,0.3823,-0.0545,-0.3085,0.0521,-3.6,0.0022,0.1515,-0.4291,0.1116,2.2,-0.1428,-0.022,0.036,0.1701,0.0775,0.0722,0.3975,-0.0758,0.0782,0.4368,0.0,0.1121,-0.1443,0.0328,0.9075,0.0011,0.0983,-0.0045,0.0068,0.0,0.0009,0.0,0.0,-0.022,0.0,0.0,0.0,0.002,0.0,-0.0067,0.0,0.0,0.0004,0.0,0.0517,0.0,0.0
