Date,Close,High,Low,Open,Volume,NI,RO,CC,OD,YB,DR,SQ,YP,YU,XC,LG,AK,XL,CD,EP,DH,PD,BQ,AG,LS,GR,HD,CP,IF,QA,KK,AT,ZP,YJ,AI,SF,XA,FS,TP,KI,MG,MU
2026-07-13,920.0,935.0,905.0,910.0,143400,0.0114,0.0,-0.0001,-0.0101,0.0,0.0,-0.0827,-0.0037,0.0,-0.0001,0.0,0.0,0.0051,-0.0004,0.001,0.0005,-0.0002,0.0,0.0,0.0,-0.0006,-0.0,-0.0045,0.0,0.0,-0.0027,0.0,0.0,-0.0059,0.0,0.0,0.0929,0.0,0.0,0.0,0.0,0.0
2026-07-14,910.0,920.0,910.0,920.0,59700,0.007,0.0,0.0042,0.0,0.0,0.0,0.0005,0.0028,0.0,0.0022,0.0,0.0002,0.0157,0.0,0.0006,0.0,0.0093,0.0,0.0,0.0,0.0,0.0001,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,-0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,925.0,930.0,905.0,915.0,177800,-0.0013,-0.0001,-0.0,-0.0102,0.0009,0.0,0.0195,0.0025,0.0018,-0.0021,0.0002,0.0,-0.0169,0.0,-0.0006,0.0816,-0.003,0.0,0.0,0.0,0.0,-0.0001,0.004,0.0,0.0036,-0.0005,0.001,-0.0003,-0.0001,-0.0801,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,925.0,925.0,920.0,925.0,155000,0.0003,0.0,-0.0038,-0.0007,0.0,0.0,-0.0044,-0.0402,0.0018,0.0058,0.0,0.0,0.0095,0.0,0.0,0.084,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009,-0.0036,-0.0488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,945.0,950.0,915.0,920.0,322300,-0.0241,-500.0,0.0233,0.0009,-0.0007,0.0,-0.014,0.0361,-0.09,-0.0275,0.0,-0.0033,-0.0053,-0.0016,-0.0,0.047,0.0473,0.0002,-0.0047,0.0159,-0.0009,0.0014,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,945.0,970.0,940.0,950.0,185600,-0.0251,0.0002,0.0069,-0.0009,0.0,0.0,0.001,0.0186,-0.0063,0.0002,-0.0108,-0.0001,0.0564,0.0,0.001,-0.0013,-0.0343,-0.0002,0.0,0.0,-0.001,-0.0014,0.0,0.0,0.0,-0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,-0.0011
2026-07-21,930.0,950.0,920.0,945.0,120100,0.0003,0.0,-0.0004,0.0001,0.0,0.0,0.0038,-0.0159,-0.0273,0.0045,-0.0002,-0.0001,0.0212,0.0,0.0047,0.0005,0.0008,0.0002,0.0,0.0,0.0001,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105,0.0,0.0,0.0015,-0.0046,0.0
2026-07-22,920.0,945.0,920.0,930.0,84200,0.0005,0.0,-0.0282,0.0001,0.0,0.0,-0.002,0.0153,-0.0216,0.0312,0.0003,0.0,0.0055,0.0,0.0046,-0.0014,-0.0067,0.0,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0.0,0.0,0.0,0.0,0.0
2026-07-23,920.0,930.0,905.0,925.0,216900,0.0048,0.0004,0.0415,0.0047,0.0,0.0,0.002,0.0028,-0.0892,-0.0226,-0.0002,0.0,0.0237,0.0,0.0,0.0005,-0.0376,0.0,0.0,0.0,0.0637,-0.0002,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0032,0.0,0.0,0.0015,0.0,0.0
2026-07-24,905.0,925.0,900.0,920.0,430600,-0.0048,0.0,0.2837,-0.0048,0.0,-0.063,-0.0004,0.0182,-0.0025,0.0028,0.0,0.0,-0.1688,0.0,0.0046,0.0012,-0.0776,0.0,0.0,0.0,0.01,0.0001,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0004,0.0004,0.0,0.0,0.0
