Date,Close,High,Low,Open,Volume,NI,XA,CC,OD,ID,YB,PG,QA,DR,SQ,YP,SS,ES,HP,XC,LG,KK,XL,FS,YJ,SA,AI,DH,IF,RG,AZ,MG,LS,CP,BK,IT,RO,RS,YU,AK,AT,ZP,TF,CD,TP,EP,PD,BQ,AG,KI,AR,GR,HD,AO,DX,PP,BB,RX,KZ,FZ,PC,RF,SF,DD,MU,PO
2026-07-13,1205.0,1205.0,1165.0,1180.0,17409900,0.342,-0.2584,-3.2,0.1362,0.0,0.4537,0.0,-0.0001,-0.0261,0.2562,0.6145,0.0,0.0,-0.0001,0.4111,0.0288,0.7413,1.2,0.0,0.1257,0.0,0.0362,-0.1519,-0.0064,0.0,0.0828,0.0149,0.0,-0.4076,-0.1306,-0.03,0.0006,-0.0264,0.0193,-2.8,-0.004,1.3,-0.0024,0.0,0.0738,0.5792,0.4773,-0.0443,-0.0009,0.0085,-0.0011,0.0111,0.0137,0.0595,-0.0335,0.0,0.1917,0.0,0.0,0.0,-0.0006,0.0,0.0,0.0,0.0,0.0
2026-07-14,1190.0,1205.0,1180.0,1205.0,15054500,-0.2169,-0.0299,-1.4,0.0916,0.0,-0.3312,0.0,0.0,0.0536,-0.1859,-0.4642,0.0,0.0,0.007,0.2413,0.0292,-1.2,0.9978,0.0,0.0,0.0,-0.0312,-0.0398,0.0019,0.0,0.1056,-0.0589,-0.0066,3.1,2.4,0.0,-0.0006,0.0,0.6872,-3.9,0.1417,0.1992,0.0036,0.0,0.0599,0.3045,0.4589,-0.0039,0.0195,0.0048,-0.0004,-0.6652,-0.0231,0.018,-0.0347,0.0,0.0,-0.3102,0.0,-0.0012,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,1205.0,1220.0,1185.0,1190.0,15395400,-0.1676,-0.0073,-0.5367,-0.2978,0.0,-0.155,0.0,0.0001,-0.8004,0.4136,-0.4488,0.0,0.0,0.0015,-0.1356,0.0995,-0.1954,-0.8558,0.0,-0.0576,0.0,0.0,-0.0182,-0.0234,0.0,0.082,-0.0121,-0.1205,-1.3,-0.2238,0.0,0.0,-0.0121,-0.0328,1.1,-0.1444,1.5,0.0,0.0001,0.0356,-0.8952,-0.1156,0.1201,-0.0326,-0.0052,0.0,0.8313,0.0189,0.0,-0.022,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,1210.0,1225.0,1195.0,1205.0,18280900,0.5643,0.0124,-1.9,0.005,0.0,0.0637,0.0,0.0002,-0.1187,0.3307,-0.1396,0.0,-0.0242,-0.0001,-0.5392,-0.0892,-0.0262,-1.5,0.0,-0.108,0.0,0.6809,0.0004,-0.0367,0.0,-0.1086,-0.0013,0.0012,-1.1,-0.8963,0.0,-0.0014,-0.0241,0.2967,2.1,-0.0563,-0.0854,0.0,0.0,0.0636,-2.4,-0.5616,-0.0021,0.0013,0.4233,-0.0003,3.6,0.0094,0.0242,-1.7,-0.1562,1.5,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1260.0,1285.0,1230.0,1235.0,54314800,-1.4,-0.047,-5.8,0.1837,-0.125,2.1,0.384,0.0038,2.5,-0.136,-1.4,-0.0057,-0.0376,0.0376,0.6839,0.8409,0.4418,1.3,-0.0006,-0.0227,-0.0127,0.5646,0.1615,0.2769,0.0012,-0.45,0.504,-0.1062,0.8704,-0.2442,-0.4301,-0.039,-0.0544,-2.8,5.5,0.0037,1.1,0.0281,-6.9,-0.7733,-0.3175,1.9,0.2883,-0.0653,0.0394,-0.1929,-0.2828,-0.0174,0.1508,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1265.0,1285.0,1255.0,1260.0,24419000,-0.0748,0.0634,-3.1,-0.3204,0.0,-2.5,0.0025,-0.0004,0.8283,1.3,-1.7,0.0,0.0,-0.0378,0.948,2.3,-0.1307,0.8036,0.0,0.0063,0.0,-0.1291,-0.2072,-0.0001,0.0,-1.0,0.0119,-0.0013,-1.0,-0.5531,0.0,0.0125,0.4826,-0.0137,-2.5,0.1092,1.1,-0.0256,0.2559,0.5019,-0.0481,0.0693,-0.4053,0.1025,0.0004,-0.0025,0.5159,-0.0181,0.109,0.0604,0.0,1.2,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,1265.0,1280.0,1255.0,1265.0,15441000,-0.5097,-0.0089,0.5761,-0.2817,0.0,0.0087,0.0,0.0074,-0.0319,-0.1948,-5.2,0.0,0.0,0.0,0.5759,0.0262,0.1224,0.3772,0.0,0.0126,0.0,-0.3031,0.4013,-0.0006,0.0001,-0.4549,-0.5045,0.0,-1.8,1.7,0.0,0.0003,0.0633,0.094,3.8,-0.0013,0.8968,0.0,-0.0127,0.2556,0.3233,-0.0996,-0.1188,0.1265,0.1857,0.0003,-0.0845,0.0251,0.0013,-0.0373,0.0,0.0,0.0,-0.0378,0.0,0.0,0.0,0.0,0.0,0.0001,0.0
2026-07-22,1260.0,1275.0,1250.0,1265.0,21305400,-3.4,-0.0019,1.7,-5.2,0.0,0.018,0.0,0.0008,-0.0117,-0.2971,-5.6,0.0,0.0,-0.01,0.579,-0.254,0.0076,0.149,0.0098,0.126,0.0,0.035,0.1028,-0.0106,0.0,-2.2,-0.0252,0.0126,1.2,2.5,0.0,-0.0004,0.126,0.8174,3.8,0.002,1.5,0.0,0.0,0.1788,-0.1008,-0.1178,0.1716,0.2034,-0.0037,0.001,-0.076,-0.0063,-0.1169,-0.0291,0.0,0.0,0.0,3.9,0.0,0.0,0.378,0.0,0.0,0.0,0.0
2026-07-23,1260.0,1275.0,1250.0,1265.0,19514500,0.125,-0.0215,-1.2,0.3747,0.0,-0.0086,0.0,-0.0004,0.7747,0.1026,-4.1,0.0,0.0,0.0006,-0.1435,-0.0263,-0.1836,-0.4699,0.0,-0.0064,0.0,-0.1365,-0.0062,0.0232,0.0,0.1187,-0.0015,0.0,-0.529,0.4054,0.0,0.0014,0.0174,0.4782,0.1669,0.0118,-2.1,-0.0016,0.0,0.1058,0.0604,0.1107,0.0694,-0.0099,0.0013,-0.0005,0.5647,-0.0193,-0.062,-0.1048,0.0,5.5,0.0,-0.215,0.0,0.0013,0.255,0.0003,0.0044,-0.0001,0.0063
2026-07-24,1205.0,1255.0,1205.0,1255.0,22683100,0.3107,0.02,2.2,0.5832,0.0,-0.1686,0.0,0.0,-0.6034,0.0824,-13.6,0.0,0.0,0.0591,-1.1,0.0377,0.8869,0.5255,0.0,0.0,0.0,0.0,0.1253,0.0,0.0,0.2172,0.0,0.1254,1.3,0.4049,0.0303,-0.0053,0.1828,-0.104,6.9,-0.0002,-2.5,0.0,0.0,0.2875,-0.2582,1.4,0.0,0.0,0.0,0.0473,-0.5235,0.0311,0.3671,0.02,0.0,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
