Date,Close,High,Low,Open,Volume,NI,HD,XA,OD,YB,QA,SH,DR,SQ,YP,XC,KK,XL,AI,TP,DH,PD,BQ,AZ,PF,KI,PC,RX,CC,FZ,RO,HP,LG,AT,EP,IF,MG,DX,CP,YU,ZP,SF,GI,YJ,AG,MU,GR,DU,LS,ID,AO
2026-07-13,81.0,81.0,77.0,81.0,5098100,0.013,0.0002,0.0,0.0,-0.0012,-0.0002,0.0,0.0008,0.0292,0.0165,0.0008,0.0016,0.0138,-0.0,0.0,0.0005,0.0008,0.0028,-0.0001,0.0001,0.0,0.0,0.0,0.0024,0.0,0.0001,0.0,0.0001,0.0,0.002,0.0,-0.0002,0.0,-0.0874,0.0,0.0,0.0016,0.0,0.0008,-0.0001,0.0021,0.0,0.0,0.0,0.0,0.0
2026-07-14,80.0,81.0,78.0,81.0,3384500,0.0058,-0.0002,0.0,0.0164,0.0049,0.0,0.0,0.0,0.0033,0.0015,0.0056,0.0,0.027,0.0,-0.0004,0.0,0.0204,-0.0004,-0.0125,0.0,0.0002,0.0553,0.0,0.0003,0.0,0.0001,0.0,-0.0001,0.0,-0.1184,0.0,0.0,0.0,-0.0089,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,78.0,79.0,77.0,79.0,3104400,0.0032,0.0001,0.0,0.0007,0.0008,0.0,0.0,0.0143,0.0078,0.0269,0.0025,0.002,0.1059,0.0,0.0,0.0,0.0018,0.0,0.0016,0.0,0.0,0.0067,0.0,-0.1788,0.0,0.0001,0.0,0.0002,0.0,0.0002,0.0,0.0016,0.0,0.0009,0.0005,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,80.0,83.0,77.0,78.0,4511400,-0.0117,0.0002,0.0002,0.0077,0.0095,0.0,0.0,0.0003,-0.0002,0.0212,0.0113,0.0044,0.0366,0.0082,0.0,0.0063,0.0054,-0.0,-0.008,0.0,-0.0001,0.0141,-0.1177,0.0089,0.0,0.0001,0.0,0.0002,0.0,0.0004,-0.0,0.0016,-0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,79.0,80.0,78.0,80.0,2080700,0.012,-0.0003,0.0,-0.0004,0.0034,0.0001,0.0,0.0,0.015,0.0046,0.0063,0.0007,0.019,0.0039,0.0004,0.0008,-0.0052,0.0078,0.0042,0.0001,-0.0001,0.0157,-0.1178,0.0298,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,80.0,80.0,77.0,77.0,3571100,-0.0,-0.0,0.0,-0.0063,0.0031,0.0,0.0,0.0,0.0103,0.0134,0.0024,0.007,0.0758,-0.0078,0.0,0.0,0.0027,0.0012,0.0008,0.0,-0.0,0.0415,0.0,0.0016,0.0,0.0001,-0.0312,0.0,0.0001,0.0,0.0,0.0,0.0,-0.1148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001
2026-07-21,80.0,81.0,78.0,80.0,3233400,0.001,-0.0001,0.0,-0.1255,0.006,0.0,0.0,0.0,-0.0009,0.002,0.0021,0.0018,0.0569,-0.0,0.0,0.0008,0.0142,0.0016,-0.0008,0.0001,0.0,0.0,0.0,0.002,0.0,0.0002,0.0,-0.0,0.0,0.0012,-0.0001,0.0142,0.0,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0201,0.0,0.0
2026-07-22,78.0,81.0,78.0,80.0,3765500,-0.0024,0.0001,0.0,0.0248,0.009,0.0,0.0,0.0058,0.0178,-0.0129,0.0114,-0.0042,0.0397,0.0,0.0,0.0041,0.0034,0.0,0.0021,0.0,0.0006,0.0,0.0,0.0181,0.0,0.0001,0.001,0.0002,0.0,-0.1169,0.0,-0.0001,0.0,-0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0011,0.0,0.0001,0.0
2026-07-23,78.0,81.0,77.0,79.0,5184200,-0.0299,-0.0001,0.0,0.0003,0.0028,0.0,0.0,0.0195,0.0129,-0.0089,0.0216,0.015,0.0678,0.0,0.0,-0.0008,0.0044,0.0005,0.0008,0.0004,0.0005,0.0,0.0,0.0144,0.0,0.0014,0.002,0.0001,0.0,0.0008,0.0,0.0,0.0,-0.1257,0.0,0.0,0.0,0.0,0.0024,0.016,0.0,0.0,0.0022,-0.02,0.0,0.0
2026-07-24,76.0,78.0,73.0,78.0,4536300,0.001,0.0155,0.0,-0.0026,0.0116,-0.0,0.0,0.0146,0.0151,0.0041,0.0062,0.0008,-0.023,0.0,0.0004,0.0,0.0132,-0.0027,0.0019,0.0,0.0006,0.0,0.0,0.0095,0.0,0.0002,0.0011,0.0004,0.0,-0.1121,0.0,0.0046,0.0,0.0014,0.0004,0.0004,0.0,0.0004,0.0044,0.0273,0.0,0.002,0.0032,0.0,0.0,0.0
