Date,Close,High,Low,Open,Volume,NI,RO,OD,YB,YP,YU,HP,XC,KK,XL,AT,ZP,EP,TP,DH,PD,BQ,AZ,MG,CC,CP,DR,SQ,LG,CD,LS,XA,KZ,GR,DX,KI,YJ,AI,AG,QA
2026-07-13,26.0,26.0,25.0,26.0,2081700,-0.0063,0.0,0.0007,0.0006,-0.0161,0.0102,0.0,-0.0,0.0003,0.0143,0.0,-0.0182,0.0,-0.0001,-0.0013,0.0045,0.0,0.0,-0.0001,0.0082,0.0004,0.0,0.0006,0.0,0.0,0.0008,0.0,-0.0003,0.0005,0.0013,0.0,0.0,0.0,0.0,0.0
2026-07-14,25.0,26.0,25.0,26.0,2513300,0.0056,-0.0,-0.0003,0.0269,-0.0281,0.0091,0.0,0.0008,-0.0,0.002,0.0,-0.0146,-0.0001,-0.0032,0.0,0.0017,0.0,0.0,0.0069,-0.0006,-0.0005,0.0,-0.006,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,25.0,26.0,25.0,25.0,6041300,-0.0044,0.0003,0.0,0.0044,0.0109,0.0566,0.0,0.0062,0.0023,0.0118,0.0,-0.0052,0.0,-0.0022,0.0007,0.0119,0.0,0.0,-0.0031,-0.07,-0.0,-0.0212,0.0001,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,25.0,26.0,25.0,25.0,4666400,0.0011,-0.0003,0.001,-0.0045,0.0097,0.0259,0.0,-0.0068,-0.0002,0.0213,0.0,-0.0184,-0.0003,-0.0006,0.0006,0.0003,-0.0,-0.0,-0.0002,-0.01,0.005,0.0025,0.0025,-0.025,-0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,25.0,26.0,25.0,26.0,1724400,-0.0049,0.0002,0.0003,-0.0173,-0.0076,0.0161,0.0,-0.0028,0.0032,-0.0021,0.0029,-0.0035,0.0,-0.0005,0.0,0.003,0.0001,0.0,-0.0005,0.0001,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,26.0,26.0,26.0,26.0,10153000,0.0009,0.0,0.0003,0.0,0.0142,0.0625,0.0,0.001,0.0026,-0.0024,0.0005,-0.0199,-0.0019,-0.0007,0.0,0.0013,0.0,-0.0026,-0.0012,0.0125,0.0001,-0.082,0.0011,0.0,0.0,0.0008,0.0,0.0,0.136,0.0,0.0,0.0,-0.1231,0.0,0.0
2026-07-21,28.0,28.0,28.0,28.0,14342600,0.0009,0.0,0.014,0.0,-0.0068,0.0447,0.0,0.0363,-0.0767,0.0292,-0.0103,-0.0131,0.0308,-0.0001,0.0139,-0.0025,-0.0,0.0216,0.0629,-0.0118,-0.07,-0.0029,-0.0045,0.056,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.1115,0.0,0.0
2026-07-22,27.0,28.0,27.0,28.0,5006600,0.0041,0.0,0.0084,0.0,0.0367,0.028,0.0,0.0003,0.0031,-0.0033,-0.0135,-0.0,0.0185,0.0011,0.0,0.0008,0.0,0.0016,-0.0007,0.0154,-0.07,-0.0318,0.0003,0.0003,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005
2026-07-23,26.0,27.0,26.0,27.0,17705000,-0.0109,0.0,0.0055,0.0052,0.0255,0.0,0.0054,-0.034,0.0094,0.1008,0.0,-0.0081,-0.0,0.0021,0.0082,-0.0025,0.0,-0.0752,0.0134,0.0006,0.0,0.0003,0.2429,0.0054,0.0,0.0,0.0,0.0,-0.0052,0.0,0.0,0.0024,-0.2911,0.0,0.0
2026-07-24,26.0,27.0,26.0,27.0,9198800,0.0043,0.0,0.0013,0.1274,0.0061,0.0435,0.0,-0.0114,0.0104,0.0184,0.0,-0.1246,-0.0,0.0005,0.0002,-0.021,0.0,0.0026,-0.0614,0.0037,0.0,0.0002,0.0004,0.0,0.0,0.0005,0.0,0.0,-0.0028,0.0,0.0,0.0018,0.0,0.0,0.0
