Date,Close,High,Low,Open,Volume,AK,ZP,NI,DH,RO,PD,OD,AZ,XL,RX,KK,YP,GR,XC,CC,AO,EP,XA,SQ,LG,BQ,IF,YU,AG,CP,AT,JB,RF,TP,HP,DR,AI
2026-07-13,635.0,640.0,625.0,635.0,228600,0.0,-0.001,0.0059,0.0033,-0.0001,0.0093,0.0253,0.0,0.0038,0.0,0.0008,0.0054,0.006,0.0017,0.0646,0.0013,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,-0.1259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,630.0,645.0,625.0,635.0,350300,0.0,-0.0022,0.0133,0.0003,0.0,0.0051,0.0012,0.0,0.0392,0.0,0.0018,0.0401,-0.0079,-0.0168,0.0043,0.0355,-0.1258,-0.0006,0.0103,0.0001,0.0001,0.0,0.0006,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,625.0,640.0,625.0,630.0,248900,0.0,0.0,0.001,0.0009,0.0001,0.003,0.0012,0.0001,0.0638,0.0,0.0119,0.0071,0.0097,0.0036,-0.1165,0.0143,0.0,0.0,-0.0001,0.0,0.0001,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,640.0,640.0,625.0,630.0,340500,0.0,0.0,-0.0084,0.0007,0.0,0.0037,-0.1483,0.0,0.0332,0.0,0.0048,0.1251,-0.0104,0.0097,-0.017,0.0032,-0.0001,-0.0006,0.0044,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,645.0,645.0,630.0,635.0,344500,0.0002,-0.0063,0.0078,0.0006,-0.0001,0.0171,0.0002,0.0005,-0.0141,-0.1273,0.0002,0.0049,-0.0156,0.0005,0.0919,0.0396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,660.0,665.0,640.0,645.0,837400,-0.0002,-0.0065,0.0026,0.0002,-0.0001,0.0166,-0.0107,0.0,-0.0648,0.0,-0.0003,-0.0101,-0.0358,0.0265,-0.0252,0.24,0.0068,0.0,-0.0003,0.0,0.0,0.0,0.0,0.0016,-0.1303,-0.0005,0.0,0.0,0.0,0.0,0.0,-0.0098
2026-07-21,670.0,670.0,650.0,655.0,556800,0.0,0.0001,-0.003,0.0038,0.0,0.0022,-0.1264,0.0101,-0.0146,0.0,0.0003,-0.0184,-0.0109,-0.0536,-0.0017,0.1451,0.0216,0.0,0.0126,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0328,0.0,0.0,0.0001,0.0
2026-07-22,660.0,675.0,655.0,670.0,461500,0.0,0.0665,0.0004,-0.001,0.0,0.0107,0.0353,0.0468,0.0004,0.0,0.0002,0.0346,-0.0039,-0.0108,-0.0505,0.0011,-0.0281,0.0,0.0008,0.0,0.0,0.0,0.0,-0.003,0.0,-0.0002,0.0,0.033,-0.1322,-0.0001,0.0,0.0
2026-07-23,660.0,670.0,655.0,655.0,284600,0.0,0.0,-0.0053,0.0003,0.0,0.0051,-0.0024,0.0003,0.045,0.0,0.0007,0.0421,0.0001,0.0006,0.0087,0.033,0.0001,0.0002,0.0026,0.0,-0.0003,0.0,0.0,0.0013,-0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,645.0,665.0,640.0,660.0,401300,0.0,0.0,0.0015,0.0008,0.0,-0.0363,0.0059,0.0,0.0404,0.0,0.0013,0.0101,0.0176,0.0004,-0.0023,0.0531,-0.1287,0.0,0.0344,0.0,0.0,0.0,0.0,0.0016,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0
