Date,Close,High,Low,Open,Volume,NI,HD,XA,OD,YB,QA,DR,SQ,YP,DX,HP,XC,LG,KK,XL,YJ,DH,AZ,MG,MU,CP,BK,RO,YU,AK,ZP,EP,TP,CD,PD,BQ,AG,KI,AR,GR,CC,AO,IH,IF,PC,BB,JB,AI,FZ,RG,DP,AT,LS,KZ,PO,ES
2026-07-13,515.0,515.0,505.0,505.0,7894100,0.1215,0.0011,0.0,-0.0329,-0.0513,0.0002,-0.0846,0.094,0.2725,0.0001,0.0023,-0.0607,0.0305,-0.0725,0.2154,0.0707,0.1078,0.0582,0.0017,0.0,-0.0809,0.1737,0.0005,0.0017,0.298,-0.2833,0.0006,0.1065,0.0,0.1126,-0.0033,0.0001,-0.0002,0.0,0.0005,-0.9378,0.0,0.0,0.0076,0.0,0.0,0.0005,0.0,-0.0509,-0.0044,0.0,0.0032,-0.0189,0.0,0.0,0.0
2026-07-14,510.0,515.0,505.0,515.0,5820000,0.1057,-0.0009,0.0409,0.0207,-0.0503,0.0,0.0066,0.0073,0.2228,0.0015,0.0005,0.2194,0.0132,0.0036,0.0907,0.0872,0.0021,0.0052,0.0,0.0,0.1275,0.0,0.0005,0.0115,0.1813,-0.2232,0.0063,0.006,0.0,-0.7755,-0.306,0.0005,-0.0005,0.0,-0.0529,0.199,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.05,0.0,0.0,-0.002,0.0,0.0,0.0,0.0
2026-07-15,510.0,515.0,510.0,510.0,3865300,-0.2826,0.001,0.0,0.0206,-0.153,0.0,0.0015,0.0135,-0.0712,0.0002,0.0005,0.039,0.0154,-0.1074,0.1842,0.1265,0.2406,0.0001,0.0,0.0,-0.0584,0.0,0.0012,0.1504,0.0313,-0.032,0.0002,0.0102,0.0,0.0057,0.0,0.0,0.0003,0.0,-0.153,0.0912,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0002,-0.0515,0.001,-0.0255,0.0,0.0,0.0,0.0,0.0
2026-07-16,515.0,520.0,510.0,510.0,6069700,-0.0145,0.0125,0.0001,-0.0158,-0.2139,0.0,-0.0026,-0.0665,-0.1066,-0.0046,0.0001,-0.2438,-0.0153,-0.0006,-0.7752,0.0,-0.0164,-0.0052,-0.0017,0.0,-0.0041,0.0494,-0.0002,-0.0515,0.114,0.3955,-0.0001,-0.0051,-0.005,-0.0784,-0.0004,0.0,0.0044,0.0,0.0002,1.2,0.0,0.0,-0.0052,-0.0036,-0.1221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,525.0,530.0,515.0,520.0,14782600,-0.1084,-0.0163,-0.0784,0.0541,-0.104,-0.0001,-0.0414,-0.6586,-0.7402,-0.0089,0.0024,-0.3377,-0.0415,-0.1298,0.8526,-0.0013,-0.0558,-0.0057,0.2625,0.0001,-0.0422,0.1583,-0.0012,0.0532,0.0233,-0.5505,-0.0534,-0.0036,-0.0026,1.4,-0.0001,-0.0007,-0.0076,0.0001,-0.0039,0.1646,0.0332,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,530.0,535.0,525.0,525.0,6487400,0.1259,0.0,-0.0467,-0.0627,-0.1036,0.0001,-0.0064,-0.3235,-0.1958,-0.0077,-0.0003,-0.0323,-0.0309,-0.073,0.2696,0.0,0.0205,0.0159,-0.265,0.0,-0.0004,0.1429,0.0006,0.1022,0.2218,-0.3348,0.0017,0.3596,0.0,0.0513,0.1176,-0.0027,0.0153,0.0,0.0106,-0.148,0.0,0.0,0.0,0.0,0.2063,0.0001,0.0,0.0,0.0,0.0,-0.0002,-0.0318,0.0,-0.0016,0.0053
2026-07-21,530.0,535.0,525.0,530.0,5087900,0.1425,0.004,-0.0104,-0.0601,0.0,0.0,0.0041,0.0445,0.0514,0.0,0.0053,0.1351,-0.0373,-0.0805,0.5762,0.0,-0.5948,0.0,0.0,0.0,0.0686,-0.3469,-0.0005,0.0,0.0017,0.0002,0.0081,-0.0002,0.0,0.02,0.0,0.0001,-0.0084,0.0,-0.0003,-0.1389,0.0,0.0,0.0062,0.0,0.1848,0.0001,0.0239,0.0,0.0014,0.0,0.0004,0.0,0.0,0.0,0.0
2026-07-22,525.0,535.0,520.0,530.0,5054900,0.0093,-0.0012,0.0263,0.011,0.1733,-0.0005,0.0423,0.081,0.3175,0.0,0.0027,0.0456,0.02,0.0474,0.3099,0.0001,0.0032,-0.0043,0.0,0.0,0.1307,0.0,0.0002,0.0939,0.1495,-0.1991,0.0149,0.0017,0.0,-0.0881,0.0002,0.0003,0.0003,0.0,-0.0498,-1.3,0.0,0.0,-0.0001,0.0,0.1666,-0.0003,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0
2026-07-23,525.0,530.0,525.0,525.0,6407700,0.0049,0.0014,0.0086,0.0099,-0.1006,0.0001,0.0105,0.0204,-0.2439,-0.0087,0.0,-0.0383,-0.0169,-0.0228,0.4071,0.0,0.0012,0.0003,0.0,0.0,-0.1563,0.0,-0.0044,-0.2858,0.1802,-0.0951,0.0119,0.0198,0.0,0.1603,-0.0002,0.0001,-0.033,0.0013,-0.0404,-0.0318,0.0,0.0002,0.0004,0.0002,0.2349,0.0,0.0,0.0,-0.0026,0.0,0.0068,0.0003,0.0,0.0,0.0
2026-07-24,520.0,525.0,515.0,525.0,7102300,0.0258,-0.0042,0.0114,0.0055,0.2175,0.0,0.0045,0.1671,-0.5857,0.0052,0.0,-0.0556,0.0013,-0.0726,0.4283,0.0,0.0056,0.0,0.0017,0.0,0.1062,0.0,0.0,0.0047,0.0539,-0.4451,0.0591,0.0053,0.0,-0.3051,0.0,0.0002,0.0005,0.0013,-0.0273,0.1336,0.0,0.0,0.002,0.0,0.2408,0.0,0.0,0.0,0.0,0.0,0.0015,0.002,0.0104,0.0,0.0
