Date,Close,High,Low,Open,Volume,EP,NI,TP,PD,OD,AZ,GR,KK,SQ,YP,XC,CC,XL,CP,BQ,YU,YB,DR,AT,ZP,KI,QA,LG,CD,DH,MG,MU,XA,YJ,LS,HP,AG,ZR,RO,MI
2026-07-13,34.0,34.0,33.0,33.0,3949900,-0.0,0.0005,0.0,-0.0219,-0.0,0.0,-0.0001,0.0,0.0,-0.0059,0.0047,0.0005,0.1035,0.0004,0.0,0.0,0.0,-0.0003,0.0,0.0,0.0002,0.0,-0.0625,0.0,0.0,-0.002,0.0,0.0,-0.017,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,35.0,35.0,35.0,35.0,2468000,-0.0001,0.0,0.0,-0.0126,-0.0,0.0,-0.0001,-0.012,0.0002,-0.0037,-0.0006,-0.0003,0.0531,0.0018,-0.0035,-0.0073,-0.0001,-0.0019,0.0,0.0,0.0001,0.0,-0.0,-0.0035,-0.0009,-0.0007,-0.0079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,34.0,34.0,34.0,34.0,1896700,-0.0063,0.0004,0.0001,0.0037,0.001,0.0,0.0001,0.0014,0.0003,0.0001,0.0005,0.0041,-0.0085,0.0,0.0,-0.0099,-0.0034,0.0077,0.0085,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,34.0,34.0,33.0,33.0,742000,0.0,0.0001,0.0,200.0,0.0023,0.0,0.0,0.0,0.0003,0.0009,0.0021,0.0015,-0.0046,-0.0002,0.0,-0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,33.0,33.0,33.0,33.0,2817600,0.0014,0.0078,0.0,0.0041,-0.0129,0.0001,0.0009,0.0001,-0.0126,-0.0436,0.0053,0.0046,0.038,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,35.0,35.0,34.0,34.0,2493100,0.0214,0.0073,-0.0001,0.0003,-0.0,0.0003,0.0,0.0,-0.0001,-0.0016,0.0012,0.0003,0.0083,-0.0003,0.0,-0.0146,0.0,0.0,0.0007,-0.0272,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035
2026-07-21,36.0,36.0,35.0,35.0,2524400,-0.0001,-0.0,0.0,-0.0089,0.0018,0.0008,-0.0001,-0.0072,0.0005,-0.0,-0.0099,0.0092,0.018,0.0,0.0,0.0,0.0,-0.0064,0.0,0.0005,0.0,0.0,-0.0001,0.0004,0.0004,-0.0007,0.0,0.0,0.0,0.0018,0.0,0.0,0.0,-0.0,0.0
2026-07-22,35.0,35.0,34.0,34.0,6843200,0.0002,0.0003,0.0,0.0171,-0.17,0.0006,0.0,0.0001,0.0029,0.0119,0.0144,0.0064,0.1033,-0.0055,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0071,0.0,0.0
2026-07-23,34.0,35.0,33.0,35.0,5308800,0.0,0.0003,0.0,0.0544,0.0034,0.0011,0.0001,0.0043,0.0005,0.0037,-0.0002,0.0048,-0.0459,0.0,0.0054,-0.0036,0.0,0.0033,0.0,-0.0324,0.0,0.0004,-0.0005,0.0005,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,33.0,34.0,33.0,34.0,3789300,0.0,0.0,0.0,0.0103,-0.0001,0.0002,0.0,0.0,0.0003,0.0053,0.0076,0.0147,0.0242,0.0041,-0.0584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0159,0.0008,0.0,0.0,0.0,0.0,0.0,0.0068,0.0,0.0,0.0,0.0,0.0
