Date,Close,High,Low,Open,Volume,HD,NI,XA,OD,ID,YB,QA,DR,SQ,YP,ES,HP,XC,LG,KK,XL,YJ,SA,EL,AI,DH,AZ,IF,RG,MG,PC,CP,BK,IN,DU,RS,YU,ZR,AK,AT,ZP,TP,EP,CD,IU,PD,BQ,GA,BB,AG,KI,GR,CC,AO,IH,II,SH,SS,FS,FZ,RO,RF,PO,BR,DX,BF,BS,IT,GI,TF,DD,AH,LS,AF,MU,AR,JB,SF,MI,PG,AP,PF,PI
2026-07-13,93.0,93.0,83.0,85.0,1239982600,0.1873,-0.5016,-0.1415,-1.1,0.0,0.251,-0.0612,0.0,0.08,0.0,0.0,-0.101,-1.0,1.1,-0.1338,1.8,-0.9387,0.0,-0.042,-0.0575,-0.2412,0.4432,0.508,0.0179,-2.0,0.0012,-3.5,-0.16,-0.5696,-0.6073,-0.0959,0.0726,0.0,-2.4,-0.2405,0.8165,0.2776,-0.4919,-0.2293,-0.352,5.2,0.1992,0.0,0.0,0.0,1.7,3.7,1.3,0.0,0.0451,-2.6,0.0,0.0,0.0,0.0,0.0,0.0026,-0.0765,0.0043,-0.0456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0956,0.0,0.0,0.0091,0.0,0.0,0.0,0.0,0.0
2026-07-14,89.0,93.0,88.0,93.0,968863400,-0.3212,0.7881,-0.2679,1.4,0.0342,0.5546,0.0,0.2488,-0.5661,4.2,-0.1458,0.095,3.2,-0.735,0.5848,8.8,-1.0,0.0,0.0,0.0,0.3181,-12.3,0.0,-0.018,0.9441,0.2689,-1.9,-0.1165,-0.1969,0.0,0.0,1.1,0.0,-2.6,0.2229,1.6,0.0848,0.1855,-0.0389,0.0489,1.2,-0.0462,0.0,0.0,0.0388,-4.1,1.1,0.0,0.1416,-0.046,0.0,0.0,-0.45,-0.1168,0.0561,-0.5525,0.0,-0.236,0.0,0.0423,0.0,0.0,0.0,0.0,0.0,0.0,-0.0142,-0.4533,-0.0258,-0.0979,-0.9069,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,86.0,89.0,85.0,89.0,771854500,-0.0045,0.5987,0.0,0.1536,0.0,0.1899,0.0,0.2277,1.2,-4.7,0.0,-0.0653,5.1,0.1304,0.5059,9.4,0.113,-0.0926,0.0,1.7,0.2643,1.2,0.0,0.0,-13.0,0.6701,3.4,0.0,-12.8,0.0,0.0,0.4875,0.0,1.2,0.1918,0.0,0.7021,-0.0168,0.1319,0.0,0.2113,0.12,0.0,0.0,0.0,-1.2,0.1642,3.3,-0.0531,0.0,-0.043,-0.0735,0.0,0.0,0.0,0.0925,0.0,0.0,0.0,0.0,-0.0147,-0.0191,-0.0064,-0.0085,-0.0006,-0.0096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,86.0,89.0,80.0,85.0,2233190900,0.4402,0.0277,-0.1145,0.3543,0.0,-0.0291,0.0,-0.0707,-0.0965,9.4,0.0,0.3651,0.907,0.5287,0.4074,13.2,-0.4124,-0.0407,0.0,2.0,-0.7396,-9.3,1.5,0.0,-11.1,0.0,0.6955,0.1848,-14.5,0.0,0.0,-0.6111,0.0,-4.7,-0.1458,0.8594,1.4,-0.1022,-0.0476,0.0425,1.2,-0.2002,0.0,8.0,-0.6242,0.1351,0.9565,0.5666,-0.0658,0.2392,-0.0205,-0.0323,-0.1239,-0.0334,0.0547,0.4937,-0.0197,-0.3033,-0.8333,0.2096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,85.0,88.0,83.0,85.0,1017030300,1.6,-0.5144,-0.1399,-0.2633,-0.0349,-0.0049,-0.0034,-0.0119,0.6652,0.7164,0.8556,-0.1251,1.4,0.3378,-0.1335,-4.6,-0.0772,-0.2125,-0.0018,0.1092,0.0572,3.0,1.2,-0.0017,-1.9,1.0,0.0963,-0.199,-7.3,-0.0256,-0.0082,0.1256,-0.0136,-1.3,0.01,0.6825,0.4569,0.0201,0.0138,0.8513,0.2248,0.0826,0.0168,4.0,-1.0,-0.4366,0.5958,0.2124,-0.0518,-0.0279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,105.0,105.0,85.0,85.0,4212598100,-0.3772,-3.4,0.0,-3.1,0.0,0.0,0.0,0.4926,-0.9541,0.4458,-0.9852,0.0,-8.7,10.3,-2.7,-31.6,-0.4673,0.0,0.0,1.3,-0.7753,7.9,2.2,0.0388,10.2,-2.5,-11.4,1.4,-11.9,0.0,0.0,-2.1,0.0,39.7,-0.6389,1.9,0.2415,0.0,0.0,0.3666,0.0581,-1.4,0.0,0.0,-2.1,-5.6,-1.3,20.0,-0.3689,0.1736,-0.525,0.0496,0.0,0.0,-0.3461,0.0,0.0,-0.4,-0.996,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,-0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001
2026-07-21,107.0,112.0,99.0,104.0,5710801200,-0.2479,0.0,0.9531,0.6555,0.0,4.8,0.0,0.317,0.7622,-1.3,-0.0056,0.2434,0.9719,3.4,1.8,10.6,0.4594,0.0,0.0,1.6,0.0,11.2,0.7263,-0.089,0.7504,-0.3151,-5.4,-1.7,-15.3,0.0,-0.0027,1.9,-0.0428,-19.6,0.775,-2.6,8.4,1.7,2.9,0.0,1.8,0.0,2.8,0.0,-0.2053,-1.7,4.7,-14.8,-0.1888,-0.5902,0.0,0.0,-1.9,-0.0058,0.0,0.0,-0.0505,-0.4309,0.5118,0.8408,0.0,0.0,0.0,-0.0081,0.0,0.0,0.0,-0.0338,0.0,0.0,-0.1684,0.0,-0.0347,0.0,0.0,0.0,0.0,0.0
2026-07-22,115.0,116.0,103.0,107.0,4806227400,1.8,-0.4953,-0.6818,-0.8758,0.0,0.0,0.0129,-0.4477,-0.4961,1.8,-0.5223,-0.4312,-5.5,-0.7137,0.2793,-24.9,-0.8652,-0.8094,0.0114,0.2045,2.6,4.6,0.8067,0.0,14.1,-1.1,-5.6,0.2829,-15.6,0.0,0.0,0.2933,0.0031,22.0,-0.9063,16.8,1.2,0.1562,-2.3,-1.7,-1.3,0.0,0.3062,0.0,0.1371,-2.6,0.1761,-0.3702,1.4,1.7,0.0,0.0,0.0,0.0,0.2751,-0.7163,0.0,0.0,-0.5556,-0.3189,0.0,0.0,0.0,0.0,0.0104,0.0,0.0,-0.5219,0.0,0.0,0.0,0.0,0.0,0.0544,0.0,0.0,0.0,0.0
2026-07-23,108.0,122.0,106.0,115.0,6781994800,5.3,-1.1,0.0,5.5,-0.0934,2.4,-0.0114,0.8195,3.1,-3.9,0.0,0.8312,9.3,3.5,2.8,32.2,0.8138,-0.0836,-0.0033,3.6,-0.7824,7.8,-0.3962,0.0,-23.0,2.2,-19.7,0.0,-5.8,0.6661,0.0,1.9,0.0,-26.4,1.7,7.8,0.0,-0.2871,3.2,0.0,0.9655,0.0,3.3,0.0,0.0,-13.5,3.0,-9.4,-0.8575,0.3733,-0.0334,0.0,-1.7,0.0,-0.0631,0.0,0.0,0.0,-0.0716,0.0,0.0,0.0,-0.0022,0.0,-0.0014,0.0,0.0,-0.0371,0.0,0.0,0.4046,-0.0147,0.0,0.0,0.0,-0.006,1.1,0.0
2026-07-24,105.0,110.0,101.0,104.0,2952422100,0.1423,0.2652,0.3614,2.1,0.0,-2.0,0.0,0.225,-0.7557,0.9428,0.0,0.0846,0.8026,1.4,3.1,-5.0,-0.1721,-0.3195,0.0,-0.8504,-0.1102,0.1678,1.8,0.0,8.6,0.0,8.5,-0.1103,-10.0,0.51,0.0,0.1952,-0.1058,10.6,-0.2312,-4.0,-0.214,0.0,-0.0163,-0.0254,-4.9,0.2591,-0.0543,0.0,-0.2424,-3.0,-8.0,2.5,1.7,-0.079,-4.6,0.0,0.0,0.055,-0.13,-0.0287,0.0,0.0,-0.0856,0.0122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1788,0.0,0.0,0.0,0.0,0.0,0.0077,0.5146,0.0,0.0,0.0
