Date,Close,High,Low,Open,Volume,NI,XA,CC,OD,YB,QA,DR,SQ,YP,HP,XC,LG,KK,XL,DH,IF,AZ,MG,MI,BK,RO,RS,YU,AK,AT,ZP,TF,TP,EP,CD,SF,PD,BQ,KI,GR,HD,AO,DX,YJ,RF,AI,PP,AG,BS,CP,LS,IT,GA,IH,AD,FZ,AR,RG,KZ,FS,ZR
2026-07-13,1595.0,1595.0,1570.0,1580.0,1315500,-0.0015,0.0,0.601,-0.0,0.0176,-0.0087,-0.4093,0.0257,-0.1147,0.2453,0.0044,0.0002,-0.0086,-0.3633,-0.0791,0.0006,-0.0238,0.0,0.0024,0.029,0.0472,-0.0499,-0.2231,0.0843,0.0,0.0809,0.0,0.0158,0.0032,0.0,0.0,0.0227,0.096,0.0003,0.0024,-0.0009,0.0,-0.0008,0.0,0.0,0.0021,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,-0.0002,-0.0008,0.0,0.0,0.0,0.0,0.0
2026-07-14,1585.0,1600.0,1580.0,1595.0,1087000,-0.0088,0.1269,-0.0806,0.0975,-0.0018,-0.0002,-0.3449,0.0268,0.1065,0.1588,0.0379,0.0014,-0.0279,0.122,0.0172,0.0035,-0.001,0.0,0.0024,0.0016,0.0091,0.0,-0.0643,0.0204,0.0097,-0.0162,0.0,-0.3178,-0.0006,0.0,0.0,0.0504,-0.1192,0.0022,0.0002,0.0021,0.0,0.1437,0.0399,0.0,0.0032,0.0,-500.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,1585.0,1600.0,1585.0,1585.0,1627900,-0.055,-0.1277,0.0758,0.006,-0.0145,0.0,-0.2339,0.1713,0.1337,0.1606,-0.0518,0.0029,-0.7995,-0.0104,-0.066,-0.0043,-0.0008,0.0,0.0024,0.0545,-0.0019,-0.0499,0.3712,0.0569,-0.0029,-0.0765,0.0,0.0414,0.0902,0.0005,0.0,0.2503,-0.0006,0.0002,0.044,-0.0018,0.0,0.0043,0.0,0.0,0.0,0.0,0.001,0.0,-0.0021,0.0003,0.0159,0.016,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,1585.0,1600.0,1585.0,1595.0,2096900,0.0019,0.2209,0.3124,-0.0013,0.0014,0.0,-0.0019,0.4363,0.3537,0.001,-0.2319,0.007,-1.0,0.2029,-0.0115,0.0695,-0.1539,0.0,0.0,0.0552,0.0016,0.0,0.1786,0.0567,0.0,0.0375,0.0,0.0555,0.0059,0.0,0.0,-0.0497,0.0002,0.0,0.0633,0.0014,0.0,0.0647,0.0159,-0.0008,-0.7927,-0.1013,-0.0008,0.0793,0.1643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1620.0,1625.0,1585.0,1590.0,3818600,0.062,-0.1182,1.1,0.0021,-0.0144,0.0008,-0.1221,0.1272,-0.0228,0.0003,-0.3442,0.0031,-1.9,1.3,-0.3396,-0.0065,-0.0048,0.008,0.0024,0.3195,-0.0002,-0.0207,0.0237,0.335,0.0002,0.2822,-0.0026,-0.1692,-0.0196,-0.0005,0.0002,-0.0742,-0.0274,0.0003,-0.0226,0.0435,-0.3245,-0.0203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1620.0,1645.0,1620.0,1620.0,3723600,0.223,0.0,-1.4,-0.0058,0.0,0.0044,0.0255,-0.248,-0.1918,0.0003,0.1806,0.002,1.1,1.1,-0.2235,-0.029,0.0234,-0.1829,0.0,-0.1143,-0.0003,0.0,0.0656,0.108,0.0005,-0.0155,-0.0021,0.1714,-0.01,0.0,0.0,-0.595,0.0093,-0.0,0.0709,-0.0472,-0.0003,-0.0093,0.0,0.0,0.0,0.0,0.0002,-0.0813,0.028,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008,-0.0016
2026-07-21,1635.0,1640.0,1620.0,1620.0,2110700,-0.1541,0.0,-0.4016,-0.0952,0.0,0.0008,0.007,0.0258,0.0764,0.209,0.2502,-0.0962,0.2625,-0.1446,0.0037,0.0489,0.0216,0.0,0.0025,-0.2881,-0.0039,0.0,0.0395,-0.0581,-0.0024,0.1995,0.0002,0.0265,-0.0021,0.0049,0.0003,0.0306,0.0127,-0.0005,0.0,0.0,-0.0168,-0.0009,0.0,0.0,0.0,0.0,0.0003,0.0,0.0011,0.0,0.0,0.0081,0.0,0.0,0.0,0.0,-0.0003,0.0326,0.0,0.0
2026-07-22,1655.0,1655.0,1630.0,1635.0,2989300,-0.0927,-0.2103,-0.2402,-0.0859,-0.2497,0.0,-0.0135,-0.5529,-0.8046,0.0,-0.1207,-0.002,-0.0413,-0.2986,-0.0099,-0.0041,0.0041,0.0,0.0,2.2,-0.0066,0.0,-0.0097,-0.5396,0.0,-0.2925,-0.0022,0.0064,-0.1292,0.0,0.0,-0.0798,-0.0201,-0.0824,-0.0167,0.0008,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,1.7,0.0,0.0
2026-07-23,1655.0,1665.0,1640.0,1655.0,2268100,-0.0034,-0.2713,-0.0553,0.0735,0.0099,0.0,0.3709,0.1824,-0.5258,0.0,-0.0398,-0.0023,0.0263,-0.1562,0.0002,0.0109,-0.0042,-0.2317,0.0025,-0.1186,0.0015,0.0,0.4723,1.1,0.0,-0.5068,-0.0026,-0.1024,-0.0008,0.0,0.0008,-0.2533,0.0074,0.0038,-0.0003,-0.0008,0.005,-0.0148,0.0495,0.0008,-0.0045,0.0,0.0002,0.0,-0.0222,-0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,1640.0,1650.0,1625.0,1650.0,2600200,-0.2495,0.1927,0.3703,-0.5794,-0.0098,0.0002,0.0192,-0.137,-0.3612,0.0081,0.568,-0.0986,0.0316,-0.6197,-0.0652,0.0103,0.0,-0.0165,0.0,0.0102,-0.0081,0.0,-0.0388,1.4,-0.0002,0.0101,0.0018,-0.0036,-0.0002,0.0,0.0,0.0183,-0.3867,0.0249,0.0009,0.0023,-0.0049,-0.0105,0.0,0.0,0.0342,0.0,-0.001,0.0,-0.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0813,0.0,0.0,0.0,0.0
